Tweets,Length,Date,Source,Favourites,RTs
RT @HarjitSajjan: Nos membres des @ForcesCanada servent notre pays avec dignité et courage. On est présents pour les familles et les proche…,140,2020-04-30 18:37:17,Twitter for iPhone,0,26
HAPPENING NOW: I’m speaking about yesterday’s incident that took place off the coast of Greece involving members of our @CanadianForces. Watch live: https://t.co/Vxzsv0tbZm,172,2020-04-30 15:28:08,Twitter for iPhone,520,118
EN CE MOMENT : Je parle de l’incident survenu hier au large des côtes grecques qui a impliqué des membres des @ForcesCanada. Regardez en direct : https://t.co/mrmL8qrS7H,169,2020-04-30 15:28:04,Twitter for iPhone,191,38
"Earlier today, I spoke with Premier @jkenney about the latest developments on the flooding in Fort McMurray and assured him the federal government stands ready to help. More on our call here: https://t.co/q53RJk7oM7",215,2020-04-30 03:30:44,Twitter for iPhone,566,125
"Plus tôt aujourd’hui, j’ai parlé au PM @jkenney des derniers développements concernant les inondations à Fort McMurray et je lui ai assuré que le gouvernement fédéral était prêt à aider. Pour plus de détails : https://t.co/ONmBr5LJ6U",233,2020-04-30 03:30:34,Twitter for iPhone,183,24
"To our friends and neighbours in Fort McMurray, all Canadians are keeping you in our thoughts. I spoke with your mayor, @DonaldKScott, this afternoon and I let him know we’re ready to help now and in the days and weeks ahead with recovery efforts.",247,2020-04-30 03:16:58,Twitter for iPhone,3088,339
"À nos amis et voisins à Fort McMurray : tous les Canadiens pensent à vous. Cet après-midi, j’ai parlé avec le maire @DonaldKScott pour lui dire que nous sommes prêts à contribuer aux efforts de rétablissement dès maintenant et pour les semaines à venir.",253,2020-04-30 03:16:45,Twitter for iPhone,297,37
"I talked to Prime Minister @ScottMorrisonMP earlier today. We spoke last month about COVID-19 and agreed to stay in touch as the situation evolved in Canada, in Australia, and around the world. For a summary of what we talked about today, click here: https://t.co/Iz8BuEnAim",274,2020-04-30 03:07:20,Twitter for iPhone,419,74
"J’ai parlé avec le PM @ScottMorrisonMP plus tôt aujourd’hui. Le mois dernier, on avait discuté de la COVID-19 et on avait convenu de rester en contact à mesure que la situation évolue au Canada, en Australie et dans le monde. Détails de notre entretien : https://t.co/LOaLkscrLL",278,2020-04-30 03:07:07,Twitter for iPhone,190,28
"A Canadian helicopter involved in Op REASSURANCE with NATO allies has gone missing off the coast of Greece. I have spoken with Minister @HarjitSajjan, and search and rescue efforts are currently underway. Updates will be provided as soon as possible.",250,2020-04-30 00:17:21,Twitter for iPhone,3479,812
"Un hélicoptère canadien impliqué dans l‘Opération REASSURANCE avec des alliés de l‘OTAN a disparu au large des côtes de la Grèce. J‘ai parlé avec le ministre @HarjitSajjan, et des efforts de recherche et de sauvetage sont en cours. On fournira une mise à jour dès que possible.",277,2020-04-30 00:17:10,Twitter for iPhone,312,71
"I spoke with the @EU_Commission’s @vonderleyen today about COVID-19 and coordinating global efforts to develop and distribute vaccines, treatments, and testing. We’ll keep working together so there’s a strong and sustainable recovery for the long term. https://t.co/PFF1W3br65",276,2020-04-29 20:51:58,Twitter for iPhone,997,211
"J’ai parlé avec la présidente de l’@EU_Commission, @vonderleyen, de la coordination des efforts mondiaux pour développer et distribuer des vaccins, des traitements et des tests pour la COVID-19. On travaillera ensemble pour une reprise forte et durable. https://t.co/6jyuGgs6um",277,2020-04-29 20:51:48,Twitter for iPhone,228,43
RT @FilomenaTassi: A reminder if you are worried about your taxes: the deadline for individuals to file their taxes has been extended to Ju…,140,2020-04-29 20:38:17,Twitter for iPhone,0,54
RT @FilomenaTassi: Un rappel si vous êtes inquiet au sujet de vos impôts: la date limite de dépôt des déclarations des particuliers a été r…,140,2020-04-29 20:38:15,Twitter for iPhone,0,12
"We announced our plan to help students last week. And since then, we’ve been working with other parties to get you - and students across the country - this help as quickly as possible. That’s what we’re working on in Parliament this afternoon. I’ll keep you posted, so stay tuned. https://t.co/P1rMpOPHN9",304,2020-04-29 19:47:25,Twitter for iPhone,2320,383
"La semaine dernière, on a annoncé notre plan pour aider les étudiants. Depuis, on collabore avec les autres partis pour fournir cette aide le plus tôt possible. Et on travaille là-dessus au Parlement aujourd’hui. Je vous donnerai des nouvelles bientôt. Restez à l’affût! https://t.co/0c3gC0f7ud",294,2020-04-29 19:47:18,Twitter for iPhone,270,54
I’m giving an update on the evolving COVID-19 pandemic and talking about what our government will be focused on when MPs meet in the House of Commons again this afternoon. Tune in now for the details: https://t.co/s48L7HykhF,224,2020-04-29 15:02:33,Twitter for iPhone,703,154
Je fais le point sur l’évolution de la pandémie de la COVID-19 et des priorités de notre gouvernement lorsque les députés se réuniront à la Chambre des communes de nouveau cet après-midi. Regardez maintenant pour obtenir les détails : https://t.co/KBfo7xZxYc,258,2020-04-29 15:02:28,Twitter for iPhone,203,40
"Update on personal protective equipment: We’ll be sending over 6 million surgical masks to the provinces and territories this week. More than 100,000 face shields from @BauerHockey and Toronto Stamp are also ready and will be shipped out soon - and there are more on the way.",275,2020-04-29 01:28:46,Twitter for iPhone,4105,635
Mise à jour sur l’équipement de protection individuelle : nous enverrons plus de 6 millions de masques chirurgicaux aux provinces et territoires cette semaine. Plus de 100 000 écrans faciaux de @BauerHockey et de Toronto Stamp seront bientôt prêts à livrer - et d’autres suivront.,280,2020-04-29 01:28:36,Twitter for iPhone,307,66
"RT @PattyHajdu: This afternoon, @CPHO_Canada updated Canadians on the latest national modelling. Our measures are working but we have to ke…",140,2020-04-29 01:26:41,Twitter for iPhone,0,66
"RT @PattyHajdu: Cet après-midi, @ACSP_Canada a adressé les Canadiens avec une mise à jour sur la dernière modélisation nationale. Nos mesur…",140,2020-04-29 01:26:39,Twitter for iPhone,0,27
"Spoke with Premier @fordnation again today. We talked about what we’re doing to keep Ontarians safe and supported right now, as well as the work we’ll need to do with governments across the country to defeat COVID-19 and gradually reopen the economy. https://t.co/Noj6JvtAJP",274,2020-04-29 00:08:56,Twitter for iPhone,666,92
"J’ai parlé avec le PM @fordnation de ce qu’on fait pour protéger et soutenir les Ontariens. On a aussi discuté de notre travail avec les autres gouvernements du pays pour lutter contre la COVID-19, ainsi que de la réouverture graduelle de l’économie. https://t.co/9NbkQvQSkI",274,2020-04-29 00:08:48,Twitter for iPhone,137,19
"RT @FP_Champagne: Today's 7th call of the Ministerial Coordination Group on #COVID19 focused on strengthening multilateralism.  

🇿🇦🇩🇪🇦🇺🇧🇷…",139,2020-04-29 00:07:11,Twitter for iPhone,0,49
RT @FP_Champagne: Le 7ème appel du groupe de coordination ministérielle #COVID19 s'est concentré aujourd'hui sur le renforcement du multila…,140,2020-04-29 00:07:09,Twitter for iPhone,0,19
"I spoke with Prime Minister @NarendraModi about COVID-19 today. We talked about the need for international cooperation as we work on responding to the pandemic, stabilizing our economies, developing treatments and vaccines, and more. Read a summary here: https://t.co/7YwG0ZX8bQ",278,2020-04-28 22:04:38,Twitter for iPhone,1360,282
"J’ai discuté de la COVID-19 avec le PM @NarendraModi aujourd’hui. On a parlé de l’importance de la coopération internationale pour faire face à la pandémie, stabiliser nos économies et mettre au point des traitements et des vaccins. Résumé de l’entretien : https://t.co/GDQcZ6Luw1",280,2020-04-28 22:04:19,Twitter for iPhone,368,54
"RT @BillBlair: Today, I spoke with @AFN_updates Chief @perrybellegarde regarding Indigenous policing during #COVID19, and preparation effor…",140,2020-04-28 21:40:08,Twitter for iPhone,0,24
RT @BillBlair: Ce matin j'ai parlé avec le chef @perrybellegarde de @AFN_updates relativement aux services de police autochtones pendant la…,140,2020-04-28 21:40:07,Twitter for iPhone,0,12
"RT @FilomenaTassi: “On this National #DayofMourning, we are facing an enormous challenge in #COVID19 that underlines the importance of reme…",140,2020-04-28 20:41:10,Twitter for iPhone,0,30
"RT @FilomenaTassi: “En ce #JourDeDeuil national, nous faisons face à un énorme défi en forme de la #COVID19 qui souligne l’importance de se…",140,2020-04-28 20:41:09,Twitter for iPhone,0,18
"If you’d like to read the shared principles the provinces and territories have agreed on, and learn more about how we’ll lift measures responsibly so we don’t lose the progress we’ve made so far, click here: https://t.co/lqKLPKFwsO",231,2020-04-28 19:44:08,Twitter for iPhone,630,123
These shared principles lay out the things that need to happen before we can start lifting public health restrictions. Keeping you safe will always be our top priority. More on our agreement: https://t.co/kjudrqmSCY,215,2020-04-28 19:44:08,Twitter for iPhone,969,156
You want to know when things will get back to normal - when you can go back to work or see your friends again. That’s why we’ve worked with the provinces and territories to reach an agreement on shared principles for gradually and carefully restarting the economy.,264,2020-04-28 19:44:07,Twitter for iPhone,7026,853
"Pour lire les principes communs sur lesquels les provinces et territoires se sont entendus et pour les détails sur la façon dont on lèvera les différentes mesures de manière responsable en évitant de perdre les gains réalisés jusqu’ici, cliquez ici : https://t.co/6Z9Or4HXUY",274,2020-04-28 19:43:40,Twitter for iPhone,101,13
Ces principes communs définissent les conditions à remplir avant de lever les restrictions visant la santé publique. Votre sécurité sera toujours notre priorité numéro un. Pour plus de détails : https://t.co/VFVZupdKpF,218,2020-04-28 19:43:40,Twitter for iPhone,120,13
"Vous voulez savoir quand les choses reviendront à la normale - quand vous pourrez retourner au travail ou revoir vos amis. Avec les provinces et les territoires, on a établi des principes communs pour relancer l’économie de manière prudente et progressive.",256,2020-04-28 19:43:39,Twitter for iPhone,337,51
We’re going to help you get through the COVID-19 pandemic. Tune in now for the latest on the steps we’ve taken and will be taking this week to support you and your family as this situation continues to evolve: https://t.co/BZXCDaCIEQ,233,2020-04-28 15:08:14,Twitter for iPhone,696,132
"On va vous aider à traverser cette pandémie de la COVID-19. Pour des infos sur les dernières mesures qu’on a prises et celles qu’on prendra cette semaine pour vous appuyer, vous et votre famille, au fur et à mesure que la situation évolue, regardez : https://t.co/tvr8UEA4WI",274,2020-04-28 15:08:09,Twitter for iPhone,196,46
RT @BillBlair: Spoke to Fort McMurray mayor @donaldKScott and Alberta Minister of Municipal Affairs @KayceeMaduYEG about the ongoing floods…,140,2020-04-28 14:30:23,Twitter for iPhone,0,69
RT @BillBlair: J’ai parlé au maire de Fort McMurray @donaldKScott et au ministre des Affaires municipales de l'Alberta @KayceeMaduYEG au su…,140,2020-04-28 14:30:21,Twitter for iPhone,0,20
"I spoke with my mom, and thankfully she’s doing fine. Thanks to everyone who reached out and sent us well wishes. I’d also like to thank the first responders for their incredible work, and I’m keeping the other families affected by this fire in my thoughts today.",263,2020-04-28 14:12:53,Twitter for iPhone,22588,1401
"J’ai été en contact avec ma mère et, heureusement, elle va bien. Merci à tous ceux qui ont pensé à nous. Je voudrais également remercier les premiers répondants pour leur travail incroyable. Mes pensées vont aux autres familles touchées par cet incendie.",254,2020-04-28 14:12:45,Twitter for iPhone,886,98
"Today, we pay tribute to all those who have died, were injured, or fell ill on the job. We all need to do our part to protect workers. Right now, that includes staying home to keep front line workers safe. My statement on the National Day of Mourning: https://t.co/OW1QsC25Ua",275,2020-04-28 13:02:53,Twitter for iPhone,2461,631
"À l’occasion du Jour de deuil national, honorons ceux qui sont décédés, ont été blessés ou sont devenus malades dans l’exercice de leurs fonctions. À l’heure actuelle, on doit protéger nos travailleurs de première ligne, notamment en restant à la maison. https://t.co/UHRChrzyA0",278,2020-04-28 13:02:35,Twitter for iPhone,243,71
"RT @CanadianPM: To help employers keep and re-hire workers amidst the challenges posed by the #COVID19 pandemic, the Government has impleme…",140,2020-04-28 03:27:07,Twitter for iPhone,0,224
"RT @PMcanadien: Pour aider les employeurs à garder ou à réembaucher leurs employés malgré les défis que pose la pandémie de #COVID19, le go…",140,2020-04-28 03:27:01,Twitter for iPhone,0,41
"I touched base with Premier @jjhorgan on the phone today. We discussed the actions we’re taking to protect the health &amp; safety of British Columbians and all Canadians, and agreed to keep working together. Read a summary of our call here: https://t.co/yqcog9NdJv",265,2020-04-28 03:10:16,Twitter Web App,707,114
"Aujourd’hui, j’ai parlé au téléphone avec le premier ministre @jjhorgan des mesures qu’on prend pour assurer la santé et la sécurité des Britanno-Colombiens et de tous les Canadiens. On a convenu de poursuivre notre collaboration. Résumé de l’entretien : https://t.co/fgbKwfxyyG",278,2020-04-28 03:09:55,Twitter Web App,203,24
"This evening, I spoke with Premier @StephenMcNeil to offer my deepest condolences &amp; support to the friends &amp; families of the victims of last week’s tragic event. We’re going to get through this and the COVID-19 pandemic together. More on our call here: https://t.co/0zGnHs48O5",284,2020-04-28 02:36:59,Twitter Web App,609,78
"Ce soir, j’ai parlé au PM @StephenMcNeil pour offrir mes plus sincères condoléances et mon soutien aux amis et aux familles des victimes de la tragédie de la semaine dernière. On va traverser cette épreuve et la pandémie de la COVID-19 ensemble. Détails : https://t.co/UVaDPd1Ab5",279,2020-04-28 02:36:30,Twitter Web App,192,36
"There are so many more stories like this one. We all know a local shop that’s struggling or had to close because of the pandemic – and we know the people who work there too. Help us spread the word, share this link so they can get the help they need. https://t.co/thsNICp2LD",274,2020-04-28 01:41:07,Twitter Web App,696,143
"Last week, I received a letter from @focusonnatureca. Because of COVID-19, this charity in Guelph would have been forced to lay off all their staff. But thanks to the Canada Emergency Wage Subsidy, they can now keep employees on the payroll, and keep teaching kids about nature.",278,2020-04-28 01:41:07,Twitter Web App,2634,319
Les cas de ce genre sont nombreux. On connaît tous un magasin en difficulté ou qui a dû fermer à cause de la pandémie – et on connaît aussi ses employés. Aidez-nous à propager le message! Partagez ce lien pour qu’ils reçoivent l'aide dont ils ont besoin. https://t.co/vhwOcZDnST,278,2020-04-28 01:40:53,Twitter Web App,159,23
"La semaine dernière, l’organisme @focusonnatureca m’écrivait pour me dire qu’en raison de la COVID-19, il aurait dû mettre à pied leur personnel. Mais, grâce à la Subvention salariale d’urgence, des employés vont rester en poste et continuer d’initier les enfants à la nature.",276,2020-04-28 01:40:53,Twitter Web App,260,32
"RT @mary_ng: In this crisis, it’s crucial for us to be listening and responding directly to what #SMEs are telling us.
 
Tune in to my conv…",140,2020-04-28 00:04:12,Twitter for iPhone,0,32
RT @danielehenkeltv: Les ministres @melaniejoly et @mary_ng répondent à nos questions et parlent de l’impact de la crise sur différentes or…,140,2020-04-28 00:04:00,Twitter for iPhone,0,17
REMINDER: If your employer can’t hire you back because of COVID-19 or if you’re a seasonal worker – the Canada Emergency Response Benefit is here for you. Don’t forget to re-confirm your eligibility if you need help in the coming month: https://t.co/QWZkSsGlP6,260,2020-04-27 22:07:20,Twitter Web App,4005,1167
RAPPEL : Si votre employeur ne peut pas vous réengager à cause de la COVID-19 ou si vous êtes un travailleur saisonnier : la Prestation canadienne d’urgence est là. N’oubliez pas de reconfirmer votre admissibilité si vous avez besoin d’aide : https://t.co/FKvATJN13Y,266,2020-04-27 22:07:15,Twitter Web App,222,38
"RT @PattyHajdu: I know #COVID19 has been challenging for most of us. Working from home, teaching our kids and keeping them entertained, and…",140,2020-04-27 21:05:16,Twitter Web App,0,65
RT @PattyHajdu: Vous n'êtes pas seuls et nous traverserons cette épreuve ensemble. Obtenez des ressources et du soutien à : https://t.co/7P…,140,2020-04-27 21:05:13,Twitter Web App,0,15
RT @mclaudebibeau: Thousands of people work every day to make sure our food supply chain remains strong. Even during these demanding and di…,140,2020-04-27 20:15:12,Twitter Web App,0,62
RT @mclaudebibeau: Des milliers de personnes travaillent chaque jour pour s'assurer que notre chaîne d'approvisionnement alimentaire reste…,139,2020-04-27 20:15:07,Twitter Web App,0,19
"RT @DiLebouthillier: Today is the first day when we’re accepting applications for the Canada Emergency Wage Subsidy! 
More details below👇🏻…",139,2020-04-27 20:05:31,Twitter Web App,0,57
"RT @DiLebouthillier: Ça y est, les employeurs admissibles peuvent demander la subvention salariale d’urgence du 🇨🇦.
Comment faire? 
➡️Mon d…",140,2020-04-27 20:05:24,Twitter Web App,0,17
RT @CanadianPM: Applications for the Canada Emergency Wage Subsidy are now open! If you’re a Canadian employer whose business has been affe…,140,2020-04-27 19:04:40,Twitter Web App,0,145
RT @PMcanadien: Vous pouvez maintenant demander la Subvention salariale d’urgence du Canada! Comme employeur canadien touché par la #COVID1…,140,2020-04-27 19:04:33,Twitter Web App,0,51
"The Canada Emergency Wage Subsidy is going to help businesses &amp; workers right across the country. Employees will be able to keep their job, and employers will not only be able to stay afloat, they’ll be ready to gear back up when things get better. More: https://t.co/xykLnEoFGn",282,2020-04-27 17:44:26,Twitter Web App,436,78
"Whether you’re a charity that employs 200 people, or a fast-growing start-up that employs 20 – you’ll be eligible for up to $847 a week per employee. You can apply online through the Canada Revenue Agency here: https://t.co/thsNICp2LD",234,2020-04-27 17:44:26,Twitter Web App,505,98
"Earlier this month, we introduced the Canada Emergency Wage Subsidy to help protect your job, or help get you back to work. And today, applications for this program are now open.",178,2020-04-27 17:44:25,Twitter Web App,2616,365
La Subvention salariale d’urgence va aider les entreprises et les travailleurs de partout au pays. Les employés pourront garder leur emploi et les employeurs pourront tenir le coup. Ceux-ci pourront aussi être prêts à rebondir après la crise. Détails : https://t.co/RqarjzHkeq,276,2020-04-27 17:44:11,Twitter Web App,115,14
"Que vous ayez un organisme de bienfaisance qui emploie 200 personnes ou une nouvelle entreprise qui en emploie 20, vous serez admissible à des prestations pouvant atteindre 847 $ par employé, par semaine. Faites une demande sur le site de l’ARC : https://t.co/2IIOoiegzc",270,2020-04-27 17:44:10,Twitter Web App,120,17
"Plus tôt ce mois-ci, nous avons lancé la Subvention salariale d’urgence du Canada pour aider à protéger votre emploi ou vous aider à retourner au travail. Et dès maintenant, vous pouvez soumettre votre demande en ligne.",219,2020-04-27 17:44:10,Twitter Web App,315,54
"RT @MonaFortier: As of this morning, applications for the #CEWS have opened. Employers can now submit a claim through the @CanRevAgency to…",139,2020-04-27 17:38:13,Twitter Web App,0,50
"RT @MonaFortier: Depuis ce matin, les employeurs peuvent déposer une demande en ligne pour recevoir la #SubventionSalarialeUrgence sur le s…",140,2020-04-27 17:38:09,Twitter Web App,0,19
I’m starting off this week with an update on the Canada Emergency Wage Subsidy – it will help business owners keep employees on the payroll so more workers can keep their jobs. Tune in to my daily update for the latest: https://t.co/aoD08nQVDJ,243,2020-04-27 15:17:41,Twitter Web App,1016,231
"Je commence la semaine par une mise à jour sur la Subvention salariale d’urgence du Canada, qui aidera les propriétaires d’entreprise à garder leurs employés et les travailleurs à conserver leur emploi. Regardez ma mise à jour en direct : https://t.co/oR2yayXToq",262,2020-04-27 15:17:35,Twitter Web App,232,44
"RT @mary_ng: ✨NEW✨ Starting today, you can apply for the Canada Emergency Wage Subsidy.

This is not only about saving 🇨🇦 jobs – it will al…",140,2020-04-27 12:40:01,Twitter Web App,0,179
"RT @mary_ng: ✨NOUVEAU✨ À partir d'aujourd'hui, vous pouvez appliquer pour la Subvention salariale d'urgence du Canada.

Cela permettra aux…",139,2020-04-27 12:39:58,Twitter Web App,0,32
"Our front line workers are going above and beyond to keep us safe, our shelves stocked, and our country moving. And tonight’s #StrongerTogether event is all about saluting them and supporting @FoodBanksCanada. Click here to get all the details: https://t.co/oflneHfeRq https://t.co/BQqcLILZVz",292,2020-04-26 22:17:22,Twitter for iPhone,3990,838
"Nos travailleurs de première ligne se donnent corps et âme pour nous protéger, nous nourrir et garder le pays en marche. Ce soir, l’événement #TousEnsemble nous permettra de les remercier et de soutenir @FoodBanksCanada. Cliquez ici pour les détails : https://t.co/tXN2xshf0n https://t.co/zIfH00DIN7",299,2020-04-26 22:17:05,Twitter for iPhone,387,67
"What an inspiring - and relevant - message from @DoaneUschool’s talented students and @JannArden! Thanks for bringing people together, helping others, and sharing kindness. We need that now more than ever. #ShareKindnessForKids https://t.co/xdImh2jD11",251,2020-04-26 20:25:28,Twitter for iPhone,1145,195
"Quel message inspirant – et pertinent – des talentueux élèves de la @DoaneUschool et de @JannArden! Merci d’unir les gens, d’aider les autres et de nous inspirer. Nous en avons encore plus besoin ces temps-ci. #ShareKindnessForKids https://t.co/xdImh2jD11",255,2020-04-26 20:25:00,Twitter for iPhone,270,40
"RT @CanRevAgency: Businesses impacted by COVID-19 will be able to apply for the Canada Emergency Wage Subsidy as of April 27th, 2020. The n…",140,2020-04-26 19:52:51,Twitter for iPhone,0,169
RT @AgenceRevCan: Les entreprises admissibles touchées par la COVID-19 pourront bientôt faire une demande de SSUC. Cette nouvelle subventio…,140,2020-04-26 19:52:48,Twitter for iPhone,0,35
RT @GovCanHealth: All #COVID19 information at your fingertips! Use the Government of Canada COVID-19 app to get the latest on #COVID19 in C…,140,2020-04-26 18:25:21,Twitter for iPhone,0,368
RT @GouvCanSante: Tous les renseignements sur la #COVID19 à portée de main! Utilisez l’application Canada COVID-19 du gouvernement du Canad…,140,2020-04-26 18:25:14,Twitter for iPhone,0,178
"Well done, Principal Faught! Glad to see you remembered your coat... won’t make that mistake twice. And thanks for sharing this message with your students - hope everyone at @HolyCrossCSS is having a good weekend! https://t.co/kRHeIb4AzM",237,2020-04-26 17:32:03,Twitter for iPhone,1865,265
"Bravo, monsieur Faught! Heureux de voir que tu n’as pas oublié ton manteau... une erreur que je ne vais pas faire deux fois. Et merci d’avoir transmis ce message à tes élèves. Je souhaite une bonne fin de semaine à toute l’équipe de @HolyCrossCSS! https://t.co/kRHeIb4AzM",271,2020-04-26 17:31:51,Twitter for iPhone,328,30
"Canada’s laboratory professionals play a key role in our fight against COVID-19. This week, we celebrate their expertise and dedication, and thank them for all they’re doing to help keep our loved ones, health care professionals, and communities safe. https://t.co/SVHmOvVRAX",275,2020-04-26 13:34:47,Twitter for iPhone,2368,418
"Nos professionnels de laboratoire jouent un rôle clé dans la lutte contre la COVID-19. Cette semaine, on souligne leur expertise et leur dévouement et on les remercie de contribuer à protéger nos proches, nos travailleurs de la santé et nos communautés. https://t.co/ygsoDgByjw",277,2020-04-26 13:34:42,Twitter for iPhone,332,47
RT @CanadianPM: The Government of Canada is giving fish and seafood processors more resources to adapt to the many challenges brought on by…,140,2020-04-26 00:32:29,Twitter for iPhone,0,157
RT @PMcanadien: Le gouvernement du Canada accorde plus de ressources aux transformateurs de poissons et fruits de mer pour qu’ils puissent…,139,2020-04-26 00:32:25,Twitter for iPhone,0,44
"Hey @BradMBradford, congratulations on an extraordinary accomplishment! What you’ve done for our health care workers is inspiring - they definitely deserve this. Thanks to you and your team for going the extra mile(s) to #CrushCOVID! https://t.co/s8QWCtEJIS",257,2020-04-25 23:34:04,Twitter for iPhone,987,160
Félicitations @BradMBradford pour votre accomplissement extraordinaire! Ce que vous avez fait pour nos professionnels de la santé est inspirant. Ils le méritent vraiment. Merci à vous et à votre équipe pour tout ce que vous avez fait pour écraser la COVID-19! #CrushCOVID https://t.co/s8QWCtEJIS,295,2020-04-25 23:33:49,Twitter for iPhone,304,44
"Thanks again for helping us get this message out, Tyler. And to all the kids who are adjusting to this new normal: You’re doing a great job pitching in and helping out, so thank you. We need you to stay strong - and I know you’re up for the challenge. Let’s fight this together. https://t.co/AOK37vzJ6E",302,2020-04-25 22:10:34,Twitter for iPhone,3856,714
Merci encore Tyler de nous aider à relayer ce message. À tous les enfants qui s’adaptent à cette nouvelle réalité : vous faites du bon travail en nous aidant. Je vous dis merci. On doit tout faire pour passer à travers et je sais que vous pouvez relever ce défi. Luttons ensemble. https://t.co/qCaxD8OtGs,304,2020-04-25 22:10:18,Twitter for iPhone,459,78
"RT @L_MacAulay: Today marks #AnzacDay for our friends from Australia and New Zealand, and I joined them to #StandAtDawn and remember those…",139,2020-04-25 20:10:35,Twitter for iPhone,0,49
"RT @L_MacAulay: Aujourd'hui marque #JourneeAnzac pour nos amis d'Australie et de Nouvelle-Zélande, et je les ai rejoints pour #Tenezvousàla…",140,2020-04-25 20:10:33,Twitter for iPhone,0,14
"RT @BernJordanMP: 1/ The new Canadian Seafood Stabilization Fund will help:
 
🐟Increase storage capacity, so processors can purchase more f…",140,2020-04-25 18:52:31,Twitter for iPhone,0,53
"RT @BernJordanMP: 1/ Le nouveau Fonds canadien pour la stabilisation des produits de la mer aidera à :
 
🐟Augmenter la capacité d'entreposa…",140,2020-04-25 18:52:25,Twitter for iPhone,0,15
"We’re giving fish and seafood processors the resources they need to adapt to the many challenges brought on by COVID-19 and keep workers safe. For more on the plan we announced today and how it’ll help, click here: https://t.co/Sv1RJk40Kl",238,2020-04-25 17:20:16,Twitter for iPhone,621,83
"We’re giving more money to processors so they can buy personal protective equipment for workers and adapt to health protocols. And we’ll help fish processing plants buy new equipment, like freezers, so their product can stay good longer as they respond to a changing market.",274,2020-04-25 17:20:15,Twitter for iPhone,914,101
"Across the country, fish and seafood processors are working around the clock to make sure we have food to put on our tables. And today, we’re announcing an investment of $62.5 million to support them so that they can safely continue doing that important work. ⤵️",262,2020-04-25 17:20:15,Twitter for iPhone,4052,490
Nous offrons aux transformateurs de poissons et fruits de mer les ressources nécessaires pour s’adapter aux défis face à la COVID-19 et protéger leurs travailleurs. Détails sur le plan annoncé aujourd’hui et comment il va aider : https://t.co/k3tODAeZrp,253,2020-04-25 17:19:48,Twitter for iPhone,137,17
