Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter
To our business community: public health guidance MUST BE FOLLOWED. Local authorities have been empowered to enforce these guidelines set forth through Executive Order and by public health. This has the power of law. 3/,219,2020-06-26 21:24:59,TweetDeck,94,20,dougducey,1276627543672549376,20217019.0,20217019,False,,en,June,Q2
"So this weekend, remember: You are safer at home. If you do go out, wear a mask. We can’t stress this enough. COVID19 is widespread in Arizona, and you need to protect yourself and others. 2/",191,2020-06-26 21:24:09,TweetDeck,123,28,dougducey,1276627334792003584,20217019.0,20217019,False,,en,June,Q2
"We must contain the spread of #COVID19 in Arizona. The current increase in cases and hospitalizations is unacceptable. All our efforts must be focused on this, and we are asking all Arizonans to help. 1/",203,2020-06-26 21:23:21,TweetDeck,407,86,dougducey,1276627132421038082,,20217019,False,,en,June,Q2
"Cuídate a ti mismo. 

Cuida a los demás.

Ayuda a contener la propagación del #COVID19.

Usa un cubrebocas. #UsaCubrebocas",146,2020-06-26 20:46:34,Twitter Web App,48,19,dougducey,1276617875420180481,,20217019,False,https://t.co/G5J4x51ASl,en,June,Q2
"Today we held a call with business leaders to discuss guidelines to protect public health. We’re grateful to those who have taken action to protect employees and customers, and we’ll continue to hold bad actors accountable. @DrCaraChrist @SandraWatsonAZ @DebJohnsonAZ",291,2020-06-26 19:17:24,Twitter Web App,105,13,dougducey,1276595435851767809,,20217019,False,https://t.co/2smFcfiLhh,en,June,Q2
"Wearing a face covering properly is one of the most important things we can do to contain the spread of #COVID19.

#MaskUpAZ",148,2020-06-26 17:04:43,Twitter Media Studio,238,89,dougducey,1276562045677142016,,20217019,False,https://t.co/DfFiEbt7uE,en,June,Q2
".@AZDHS has information on #COVID19 testing sites, hours of operation, pre-registration requirements and more. Details HERE:",148,2020-06-26 16:35:06,Twitter Web App,53,17,dougducey,1276554591253880832,,20217019,False,https://t.co/wGvGKbrjRP,en,June,Q2
"Thank you @EPCORUSA for the generous $50,000 donation to the AZ Coronavirus Relief Fund! This support to Arizona families, medical professionals and those in need will protect public health and help Arizona #ReturnStronger. #AZTogether @EPCOR",266,2020-06-26 16:00:35,Twitter Web App,36,9,dougducey,1276545903449391105,,20217019,False,https://t.co/KdsH1ad852,en,June,Q2
"We know #COVID19 is widespread, and has been for some time. We all have a role and responsibility:

To protect ourselves. 

To protect others. 

To protect those on the frontlines like our health care workers. 

And to contain the spread. Let's all continue to do our part. 6/6",301,2020-06-25 22:46:21,Twitter Web App,72,16,dougducey,1276285630863966208,20217019.0,20217019,False,https://t.co/7pzuKuvuw6,en,June,Q2
"And we’re holding bad actors accountable. Last week, we increased guidance for establishments and gave local law enforcement clear authority to ensure compliance. And we’re already seeing action. 5/",198,2020-06-25 22:45:08,Twitter Web App,81,8,dougducey,1276285323857719297,20217019.0,20217019,False,,en,June,Q2
