Tweets,Length,Date,Source,Favourites,RTs,Username,id_str
"We are more focused than ever to continue moving forwards, with what feels like our toughest year yet. I’m so grateful for my team for all the hours they’ve put in as we prepare for the first race of 2020. And to #TeamLH, thank you guys for keeping me going
Next stop, Melbourne🇦🇺 https://t.co/qXOWQiG8yg",304,2020-02-28 17:56:53,Twitter for iPhone,11781,850,LewisHamilton,1233451015149686786
@MercedesAMGF1 @winnieharlow @PUMA 🙌🏾,37,2020-02-28 16:31:31,Twitter for iPhone,1030,39,LewisHamilton,1233429532809613317
"RT @MercedesAMGF1: Ideal driving conditions this morning in Barcelona ☀️

@LewisHamilton on 5️⃣0️⃣ laps and counting! 👏

#F1Testing https:/…",140,2020-02-28 10:05:15,Twitter for iPhone,0,224,LewisHamilton,1233332324772831234
"RT @MercedesAMGF1: Grab that popcorn, #DriveToSurvive season 2 is finally here! 🍿🎬

How epic is this special teaser featuring six-time worl…",140,2020-02-28 08:24:34,Twitter for iPhone,0,1415,LewisHamilton,1233306986718093312
Final day of testing 🙌🏾 #F1Testing https://t.co/mfBCxMgLCQ,58,2020-02-28 08:11:41,Twitter for iPhone,8961,593,LewisHamilton,1233303746312097792
"I took this years ago on the beach in Barcelona with my best buddy Roscoe. I love Barcelona, the city has one of the best vibes, amazing architecture and the people are nice too. Not to mention the great weather. #barcelona https://t.co/YCLsRvlwAZ",247,2020-02-27 21:07:08,Twitter for iPhone,11482,707,LewisHamilton,1233136506900033559
"Testing didn’t quite go to plan today but we’ll come back better and stronger tomorrow 💪🏾 
Thank you #TeamLH for all your support, I see all of your messages and love that you send me. ❤️ https://t.co/y7A0BORYYH",211,2020-02-27 16:28:55,Twitter for iPhone,7302,429,LewisHamilton,1233066493144944641
And we’re off... #F1Testing https://t.co/fgMj8ow2Kq,51,2020-02-27 14:19:09,Twitter for iPhone,5559,337,LewisHamilton,1233033832829538305
"We have to all use our voice for change, each and every one of us have the power to shift opinion and steer the conversation for positive change. I am learning everyday how I can use mine better and be a part of the solution. https://t.co/WtOPaqNRHy",249,2020-02-26 20:14:43,Twitter for iPhone,7690,751,LewisHamilton,1232760929764466689
Thanks so much #TeamLH for always coming out to show your support 🙏🏾#F1Testing https://t.co/0B1GkWRgxK,102,2020-02-26 13:50:14,Twitter for iPhone,4974,336,LewisHamilton,1232664169289322503
Good to be back behind the wheel 💥 #F1Testing https://t.co/Fk85voWo7y,69,2020-02-26 12:17:38,Twitter for iPhone,11554,795,LewisHamilton,1232640864301801481
"RT @MercedesAMGF1: ¡Hola there Champ! 👋 

@LewisHamilton and the W11 turning heads at the @Circuitcat_eng! 🤩 

#F1Testing https://t.co/PEtg…",140,2020-02-26 11:48:58,Twitter for iPhone,0,359,LewisHamilton,1232633652963676160
Such a pleasure meeting with @lang_lang. Such a humble guy 🙏🏾 I’m determined to get better at playing this year 💪🏾 https://t.co/qlu2BLzG1g,138,2020-02-25 14:57:52,Twitter for iPhone,14970,1325,LewisHamilton,1232318803633008647
I am so proud of you brother. You did this on your own and you’ve earned the right to be racing this year. You inspire so many and i’m proud to call you my brother. Here’s to the best year yet for you. Keep shining your bright light and never give up. Love 🙏🏾 @nicolashamilton https://t.co/u2lQ00Jv0R,300,2020-02-25 10:52:59,Twitter for iPhone,11778,784,LewisHamilton,1232257173499076609
@MercedesAMGF1 👀,16,2020-02-25 10:51:27,Twitter for iPhone,4517,124,LewisHamilton,1232256788780724226
@MercedesAMGF1 @PET_Motorsports 👊🏾,34,2020-02-24 13:24:02,Twitter Web App,1838,57,LewisHamilton,1231932798887452673
RT @joejonas: Cup of Joe Paris with @LewisHamilton 😎 https://t.co/BFkOyVb2c1,76,2020-02-22 20:11:55,Twitter for iPhone,0,1916,LewisHamilton,1231310673675718657
@joejonas 😂🙌🏾,13,2020-02-22 16:28:52,Twitter for iPhone,675,21,LewisHamilton,1231254540864884738
Good hanging out @joejonas! Catch you soon 😎 https://t.co/IkGc8oBYC9,68,2020-02-22 16:21:56,Twitter for iPhone,10184,741,LewisHamilton,1231252795958976513
"Today we celebrate Niki’s 71st birthday. 
It would have been so nice to have him there at testing earlier this week. He would always say “Give it a**holes” before a race. I hope we can continue to make him proud 🙏🏾 
Happy Birthday Niki ❤️ https://t.co/Thv6KKrFV1",262,2020-02-22 13:29:28,Twitter for iPhone,24015,1947,LewisHamilton,1231209392609091585
"RT @MercedesAMGF1: TEST ONE 🏁 Lewis hits 73 laps to end the first week of #F1Testing strong 

That’s 138 for the day! Back on track next we…",140,2020-02-21 17:42:44,Twitter for iPhone,0,273,LewisHamilton,1230910741680730114
"That’s a wrap on testing for now. Looking forward to getting back out there next week. Sending everyone positive energy for the weekend 🙏🏾
#F1Testing https://t.co/tkpb5Sxee0",173,2020-02-21 17:37:56,Twitter for iPhone,9166,733,LewisHamilton,1230909534039920643
"RT @MercedesAMGF1: Red suits you, W11 ❤️ #F1Testing https://t.co/9nOpXmMMvr",75,2020-02-21 15:26:58,Twitter for iPhone,0,486,LewisHamilton,1230876574070792193
Strapped in and ready #F1Testing https://t.co/3uIFrlXgE7,56,2020-02-21 14:28:46,Twitter for iPhone,5597,371,LewisHamilton,1230861925862592513
RT @MercedesAMGF1: 💯 @LewisHamilton smashes through the 100 lap marker for the morning! 👊 #DrivenByEachOther https://t.co/wmL2BJOhI3,132,2020-02-20 14:12:23,Twitter for iPhone,0,337,LewisHamilton,1230495415453257729
❤️ meeting you guys https://t.co/gSA0lVue6X,43,2020-02-20 13:39:47,Twitter for iPhone,10419,505,LewisHamilton,1230487211293974528
"#Teamwork 💪🏾 

@MercedesAMGF1 https://t.co/fYU80hRFmn",53,2020-02-20 10:00:16,Twitter for iPhone,8675,788,LewisHamilton,1230431969231679488
Ready for day 2 of #F1Testing https://t.co/wS9ab4Jqh7,53,2020-02-20 08:40:36,Twitter for iPhone,8166,594,LewisHamilton,1230411919259000832
@LH44updates 👀,14,2020-02-20 05:13:23,Twitter for iPhone,607,21,LewisHamilton,1230359774656638977
"Day 1 testing complete 🏁 
Good to be back on the track 👊🏾 #F1Testing https://t.co/8t8PPAQk1p",92,2020-02-19 21:06:52,Twitter for iPhone,9135,644,LewisHamilton,1230237337638010886
🙌🏾 https://t.co/B6Tlb53AoS,26,2020-02-19 17:36:46,Twitter for iPhone,14468,1019,LewisHamilton,1230184463772065794
Ready for testing 💪🏾 https://t.co/Aulww0XTOl,44,2020-02-19 14:33:03,Twitter for iPhone,16202,1204,LewisHamilton,1230138231095808001
"Such an honour to meet the legendary @Springboks team.
We spoke about our journeys and how Mandela was an inspiration to both them and I. It’s incredible to now see these men, not only inspiring a whole nation, but many around the world. Congrats to them on their Laureus award👏🏾 https://t.co/bAnbxeN0Zh",303,2020-02-18 18:10:55,Twitter for iPhone,17177,2528,LewisHamilton,1229830670077366273
"Congratulations Dirk @swish41 on your lifetime achievement award and amazing career. You are an inspiration to so many people around the world. Enjoy this moment, I am grateful I got to witness you being acknowledged as the legend you are👊🏾🙏🏾 https://t.co/QMY1Zwo6a9",266,2020-02-18 13:40:03,Twitter for iPhone,5858,394,LewisHamilton,1229762503292473345
"RT @MercedesAMGF1: 💬 “Wow, this is such an incredible honour!”

An incredible moment in Berlin as Lewis picks up the @LaureusSport World Sp…",140,2020-02-18 10:19:09,Twitter for iPhone,0,746,LewisHamilton,1229711946842279936
@LaureusSport @TeamMessi 🙏🏾,27,2020-02-18 08:23:29,Twitter for iPhone,821,27,LewisHamilton,1229682837625987072
"Thank you @LaureusSport for this incredible award of World Sportsman of the Year. To think that my name is going to slot in alongside the legends, who have won this award before me, is really humbling. Thank you again 🙏🏾 https://t.co/XqYynmgQ2P",244,2020-02-17 19:05:57,Twitter for iPhone,21734,2190,LewisHamilton,1229482131770007552
Still on a high from last night 🙌🏾#TommyXLewis @TommyHilfiger https://t.co/jALVcBRKEZ,85,2020-02-17 16:16:51,Twitter for iPhone,4402,344,LewisHamilton,1229439574469902337
"Last night was 🔥 at #TommyxLewis Season 4. Thanks to @thomasjhilfiger, all my amazing models and to everyone at @tommyhilfiger. It’s been a journey to create our most sustainable collection, but it’s something i’m so proud that we’ve been able to achieve. Feeling very grateful🙏🏾 https://t.co/V8RCKlOCZG",303,2020-02-17 08:58:07,Twitter for iPhone,19801,979,LewisHamilton,1229329167310901248
"Rehearsals underway 🙌🏾
Watch the livestream at 8PM (GMT)
https://t.co/wUbDtjbSU0 https://t.co/eioopm4jCR",104,2020-02-16 19:31:02,Twitter for iPhone,3581,257,LewisHamilton,1229126054415040513
"RT @HERMusicx: Such an honor to collab with @TommyHilfiger and @LewisHamilton! The TommyXLewisXH.E.R. Collection is 🔥. 

Watch the #TOMMYNO…",140,2020-02-16 14:10:01,Twitter for iPhone,0,179,LewisHamilton,1229045271499288578
"Lap 1 of many done with the new #W11, such an incredible feeling to drive for the first time since the last race. Let’s go💪🏾
@MercedesAMGF1 https://t.co/c2VHR5OS42",163,2020-02-16 10:03:52,Twitter for iPhone,19566,2053,LewisHamilton,1228983324720476160
Had an incredible time speaking at #LFW about the new #TommyXLewis collection! I felt proud to share the inspiration behind the line and why it was so important we incorporate sustainable materials and embrace style for all. Can’t wait for you all to see the collection tomorrow! https://t.co/KQDQEwwqeI,303,2020-02-15 21:06:13,Twitter for iPhone,13824,449,LewisHamilton,1228787623734456320
