Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter
"While we celebrate &amp; recommit ourselves to the principle that all persons are created equal, we can never forget that this country was built on the backs of generations of enslaved Black men &amp; women. For them, and for our Black New Mexican friends &amp; neighbors, we lower the flags.",292,2020-06-19 00:02:18,Twitter Web App,142,17,GovMLG,1273768032007884800,1.0700837068224389e+18,1070083706822438912,False,,en,June,Q2
"Juneteenth is a celebration of human dignity and freedom, but it’s also a reminder of the dark and irrevocable original sin of this nation, the structural and social effects of which we are sadly still grappling with today.",223,2020-06-19 00:02:18,Twitter Web App,82,9,GovMLG,1273768031114559488,1.0700837068224389e+18,1070083706822438912,False,,en,June,Q2
Today I announced that I've ordered all state flags to fly at half staff from sundown today through sundown Saturday in observance of Juneteenth.,170,2020-06-19 00:02:18,Twitter Web App,673,113,GovMLG,1273768030053339137,,1070083706822438912,False,https://t.co/ex6dsOZp8w,en,June,Q2
"Today's #COVID19 update:

- 94 new COVID-19 cases, totaling 10,153 cases statewide

- Four additional COVID-19 deaths, bringing the total to 456 deaths statewide

- 157 individuals currently hospitalized with COVID-19 statewide

More info here:",292,2020-06-18 22:50:11,Twitter Web App,61,23,GovMLG,1273749880368816129,,1070083706822438912,False,https://t.co/VJ9KFLr8OO,en,June,Q2
It's critical that we protect New Mexico's natural resources &amp; ensure a free-flowing &amp; healthy water system in the Gila. I look forward to continuing to work with local govts &amp; stakeholders to invest in long overdue water projects in SW New Mexico &amp; continue protecting the Gila.,295,2020-06-18 20:45:38,Twitter Web App,76,8,GovMLG,1273718536553127937,1.0700837068224389e+18,1070083706822438912,False,,en,June,Q2
"I applaud the Interstate Stream Commission for taking action today to effectively stop the Gila Diversion Project, an expensive and ill-devised effort that was a disservice to the resource-management needs of the area and to New Mexicans.",238,2020-06-18 20:45:38,Twitter Web App,181,20,GovMLG,1273718535621980161,,1070083706822438912,False,,en,June,Q2
"- Watch online at 

- Submit public comment on the ""What's Happening"" tab of  – go to committee agendas, which have instructions for how to participate

- Follow along by supporting local New Mexico journalism",255,2020-06-18 20:15:12,Twitter Web App,73,23,GovMLG,1273710880614580224,1.0700837068224389e+18,1070083706822438912,False,https://t.co/KyvZybe7Zc,en,June,Q2
This is an unusual session of the #nmleg. Legislative leaders opted to close the Capitol to the public in the interest of protecting both the public and legislative members from COVID-19. I strongly encourage the public to participate with lawmakers using these tools ⬇️,270,2020-06-18 20:15:12,Twitter Web App,208,40,GovMLG,1273710879666614272,,1070083706822438912,False,,en,June,Q2
"Thank you @senpetecampos for your wonderful opening reflection today as the New Mexico Legislature begins the 2020 special session.

The Legislature is now in session, taking up:
- Business &amp; tax relief
- Public safety reform
- Election accessibility",278,2020-06-18 18:48:20,Twitter Web App,66,15,GovMLG,1273689017935003648,,1070083706822438912,False,https://t.co/Usuxz7kEHH,en,June,Q2
See my full statement here:,51,2020-06-18 15:42:08,Twitter Web App,109,11,GovMLG,1273642160185733121,1.0700837068224389e+18,1070083706822438912,False,https://t.co/87bILPZtOE,en,June,Q2
