Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month
". @AmericanIdol is on a roll so you’re going to want to put your 🧩 down, pull out your 🍌🍞, &amp; tune into #AmericanIdol tonight at 8/7c on @abcnetwork. What better way to wipe your cares away for 2 hours 🧻 PS: we’ll catch up beforehand at 4:30p PT / 7:30p ET on Facebook live! 😍",303,2020-05-03 21:06:42,Twitter for iPhone,21998,2449,katyperry,1257053995136200704,False,https://t.co/wekv7OBf6O,en,May
🙋🏼‍♀️ if you’re up for a princess picnic in your backyard or living room 👸🏼✨🧺 and don’t forget 10% of every purchase will be donated to @baby2baby to assist their efforts in providing essential items to children and families impacted by COVID-19  #ShoesdayTuesday @kpcollections,302,2020-04-29 04:32:34,Twitter for iPhone,9573,961,katyperry,1255354262638510081,False,https://t.co/S2UUIxVayB,en,April
Welcome to my home studio! 🏠📹 🙃 WESTCOAST! It’s your turn for #AmericanIdol! And don’t forget to ➡️ VOTE for who you want in your TOP 10 before 9am ET tomorrow❗️,185,2020-04-27 02:58:55,Twitter for iPhone,13074,1313,katyperry,1254605918311866368,False,https://t.co/Qgb2xX1U20,en,April
We at #AmericanIdol are keeping it both fresh and CLEAN! Tune in for the 1st ever episode from our homes tonight @ 8/7c on @abcnetwork. It’s up to u to narrow us down to our top 🔟! And I’ll be going live on Facebook at 4:30pm PT / 7:30pm ET before the east coast broadcast! 🤗,299,2020-04-26 21:21:25,Twitter for iPhone,21638,2729,katyperry,1254520985220288512,False,https://t.co/G11wH3Jzmc,en,April
when you hear “hey guys” 17 times as you scroll ig 🙃,52,2020-04-26 07:02:18,Twitter for iPhone,40714,3158,katyperry,1254304781230694401,False,,en,April
Who said you can’t add a little sparkle to your sweats? ✨🌈✨ and don’t forget 10% of every purchase will be donated to @baby2baby to assist their efforts in providing essential items to children and families impacted by COVID-19  #ShoesdayTuesday @kpcollections,284,2020-04-21 23:40:28,Twitter for iPhone,7095,674,katyperry,1252744040556068864,False,https://t.co/e5Sr4cMxRZ,en,April
Here I am in my last glampt prequarentina look March 12th in front of the Sydney Opera House - a world class venue that our next #AmericanIdol could be performing at in their future 🔮 Follow their journey tonight…,237,2020-04-19 22:36:13,Instagram,7149,715,katyperry,1252003095397257217,False,https://t.co/q2Kl7RD1v4,en,April
"Kitty Purry crawled through my then-boyfriend’s window 15 years ago, fully pregnant and seeking shelter. Two litters and many moons later, this street cat became a lovable mascot to many. Sadly, Kitty completed her…",239,2020-04-19 06:23:27,Instagram,19966,2088,katyperry,1251758289085435906,False,https://t.co/QFyWDhs40B,en,April
♥️🙏🏻,28,2020-04-17 19:12:13,Twitter for iPhone,16296,1466,katyperry,1251226980965470208,False,https://t.co/giuOd16tI4,en,April
the people that used to say “I only do hugs” are most definitely cancelled for the foreseeable future,101,2020-04-15 18:45:51,Twitter for iPhone,21673,2485,katyperry,1250495570893926400,False,,en,April
