Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month,Quarter
"If you’re a temporary foreign worker, please get tested for #COVID19. You will not lose your job, and you’ll be able to self isolate if required. We stand shoulder to shoulder with our farmers and their workers.",235,2020-06-24 22:11:00,Twitter for iPhone,366,60,fordnation,1275914346846175233,False,https://t.co/XYWDwEWjKC,en,June,Q2
"Premier Ford, Minister Lecce, and Superfan Nav Bhatia Celebrate Graduating Students in Ontario",118,2020-06-24 20:08:14,Twitter Media Studio,317,72,fordnation,1275883451065958403,False,https://t.co/HfcI9mdJ1H,en,June,Q2
"Thank you to our great developmental service workers across Ontario! Today, and every day, we recognize your dedication and commitment on the frontlines.",177,2020-06-24 18:45:33,Twitter for iPhone,79,14,fordnation,1275862643077718016,False,https://t.co/vezqWqzHDC,en,June,Q2
"Our government launched a 3 point plan to reduce transmission on farms &amp; throughout @TheWECHU includes:
• Ongoing &amp; expanding on-site testing
• Access to employment benefits &amp; supports
• New #PublicHealth guidance",274,2020-06-24 17:37:00,Twitter for iPhone,59,19,fordnation,1275845392681361409,False,https://t.co/m95Bn8gToh,en,June,Q2
Premier Ford Provides a COVID-19 Update,63,2020-06-24 17:02:20,Twitter Media Studio,85,32,fordnation,1275836669883813889,False,https://t.co/ct17NJ21dL,en,June,Q2
"We stand shoulder to shoulder with farmers, and we need their help to keep farms safe. 

If you work on a farm, please get tested for #COVID19.",167,2020-06-24 15:02:12,Twitter for iPhone,207,54,fordnation,1275806434949808130,False,https://t.co/oWXDo9RYoW,en,June,Q2
We are committed to making Ontario students leaders in STEM with our plan to reintroduce back-to-basics math.,133,2020-06-24 15:01:26,Twitter for iPhone,283,30,fordnation,1275806242649395200,False,https://t.co/di4DVtPAIT,en,June,Q2
"To every member of Ontario’s graduating class of 2020 - we are so proud of you! 

Tune in today at 4pm for a special message on behalf of all Ontarians! #OntarioGradHatToss",196,2020-06-24 13:50:36,Twitter for iPhone,172,26,fordnation,1275788419269120002,False,https://t.co/92ewdFE5oU,en,June,Q2
"Tune in this morning as we provide a local update to Windsor, Niagara, Hamilton, and Sarnia! 📻 

@am800cklw 
@610CKTB
@AM900CHML 
@FoxFMSarnia 
@CHOKSarnia 
@K1063sarnia",193,2020-06-24 12:26:49,Twitter for iPhone,34,9,fordnation,1275767333227823106,False,https://t.co/ETQpzGtsvb,en,June,Q2
"COVID-19 update for June 23, 2020. Check back daily for updates or visit",120,2020-06-23 23:57:31,Twitter for iPhone,112,22,fordnation,1275578764433461248,False,https://t.co/gMeZp5IKu5,en,June,Q2
"After consultation with parents and educators we released our 4 year math strategy, including an investment of $200M and a renewed focus on skilled trades and STEM subjects. 

Today, we unveiled the new, updated curriculum for Grades 1-8.",262,2020-06-23 23:13:23,Twitter for iPhone,621,83,fordnation,1275567657845174276,False,https://t.co/DUMyt6hdhV,en,June,Q2
"Tune in tomorrow at 4PM to hear from @sflecce, @superfan_nav, and I as we celebrate all of Ontario’s graduating students of 2020! 🎉",155,2020-06-23 21:58:11,Twitter for iPhone,166,36,fordnation,1275548732562513921,False,https://t.co/yQShOVX5r7,en,June,Q2
"We’ve released Ontario’s new math curriculum for Grades 1-8 - the first update in 15 years!

To equip our next generation with the skills they need this curriculum focuses on getting back-to-basics and updates like coding and financial literacy.

@sflecce",304,2020-06-23 17:59:14,Twitter for iPhone,911,153,fordnation,1275488602126983171,False,https://t.co/XI0VKPseYz,en,June,Q2
Premier Ford Provides a COVID-19 Update,63,2020-06-23 17:09:15,Twitter Media Studio,115,34,fordnation,1275476022448787456,False,https://t.co/SwRcYoAs4X,en,June,Q2
Today on the National Day of Remembrance for Victims of Terrorism I join Ontarians in remembering the tragic attack on Air Indian Flight 182 in 1985. There is no place for terrorism in our province or country. We will continue to fight for victims of terrorism and their families.,304,2020-06-23 14:44:10,Twitter for iPhone,169,34,fordnation,1275439508683538432,False,https://t.co/zbcb6OAsZl,en,June,Q2
"Yesterday I was able to announce that tomorrow, June 24th at 12:01AM the City of Toronto and Peel Region will enter Stage 2. 

We are continuing to work with our municipal partners so that all regions can enter Stage 2 as soon as possible.",263,2020-06-23 13:53:21,Twitter for iPhone,205,34,fordnation,1275426724059250688,False,https://t.co/niSFEKKC2b,en,June,Q2
"COVID-19 update for June 22, 2020. Check back daily for updates or visit",120,2020-06-22 23:06:40,Twitter for iPhone,67,20,fordnation,1275203579545092098,False,https://t.co/gMeZp5IKu5,en,June,Q2
