Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter
"Due to the COVID-related economic downturn, our consensus revenue numbers for fiscal years 2020 and 2021 show a deficit of $93 million in one-time funding and a deficit of $757 million in ongoing funding in the general and education funds.",239,2020-06-17 19:52:49,Twitter Web App,48,10,GovHerbert,1273342855667310592,,60688326,False,,en,June,Q2
"My heart goes out to the family of Air Force 1st Lt. Kenneth Allen. He was a Utahn dedicated to making a difference in the world, and kept his virtue through both triumph and disaster. His truly unique and altruistic spirit will be greatly missed.",271,2020-06-16 17:27:16,Twitter Web App,427,32,GovHerbert,1272943838986829824,,60688326,False,https://t.co/ftcloRzcqg,en,June,Q2
Reducing the spread of coronavirus is a community effort. An easy way to play your part is by wearing a mask when physical distancing is not possible.,200,2020-06-15 17:07:12,Twitter Web App,334,104,GovHerbert,1272576404182298626,,60688326,False,https://t.co/snc1Ux5xYA,en,June,Q2
"As I see the flag of the United States displayed across Utah today, I am grateful for our nation and freedoms. On this #flagday, may we honor the memory of those who have served the country by making a commitment to do better by our fellow man.",268,2020-06-14 16:29:00,Twitter Web App,535,41,GovHerbert,1272204401466212353,,60688326,False,https://t.co/NOFuI6AjHm,en,June,Q2
"This Great Outdoors Month, I hope all Utahns take the chance to enjoy the numerous outdoor treasures Utah offers. As you venture outside, please remember to practice #ResponsibleRecreation",237,2020-06-12 21:46:46,Twitter Web App,207,13,GovHerbert,1271559596247666688,,60688326,False,https://t.co/xsAz8Vgy2p,en,June,Q2
"Please continue to practice social distancing and good hygiene. I also strongly urge Utahns to use face coverings. This is an easy, low-cost practice that will help us return to normal.",185,2020-06-11 19:12:10,Twitter Web App,51,4,GovHerbert,1271158299816194048,60688326.0,60688326,False,,en,June,Q2
"However, the Southwest Utah Health Department has requested Kane County be moved to green. Because Kane County has very few cases, zero ICU bed use for the past 14 days, and low community transmission, we are comfortable allowing the move to green tomorrow at 10 am.",266,2020-06-11 19:12:10,Twitter Web App,42,5,GovHerbert,1271158299111522304,60688326.0,60688326,False,,en,June,Q2
"Due to spikes in disease incidence over the past seven days, we will maintain Yellow guidance for most of the state. We will continue to analyze data trends with an eye toward balancing overall health risks and protecting high-risk populations.",244,2020-06-11 19:12:09,Twitter Web App,19,0,GovHerbert,1271158298402672641,60688326.0,60688326,False,,en,June,Q2
"For those with questions about the state’s health risk guidance, most of the state is currently in Low Risk, or Yellow. Importantly, under the Yellow risk status, there are no economic activities that are categorically prohibited if common-sense precautions are in place.",271,2020-06-11 19:12:09,Twitter Web App,128,11,GovHerbert,1271158297664450560,,60688326,False,,en,June,Q2
"Regarding Utah’s budget outlook, I plan to call a Special Session of the legislature next week. Because the economic downturn has decreased state revenue, the legislature needs to meet before we begin out next fiscal year in July to address potential budgetary modifications.",275,2020-06-11 18:54:42,Twitter Web App,55,17,GovHerbert,1271153904709824512,,60688326,False,,en,June,Q2
Utah was founded as a place of refuge for those seeking escape from hatred and persecution. We can do better to live up to that ideal in our daily actions and in our policies that we create.,190,2020-06-11 18:53:00,Twitter Web App,150,15,GovHerbert,1271153475749949440,60688326.0,60688326,False,,en,June,Q2
"Finally, I have directed @andersonljess to identify other ways public safety can decrease fear and anger in underrepresented communities toward law enforcement and also increase transparency and accountability throughout the state. He will report his findings to me July 1.
(4/4)",279,2020-06-11 18:52:29,Twitter Web App,42,4,GovHerbert,1271153349044219904,60688326.0,60688326,False,,en,June,Q2
"I also am directing our Department of Public Safety and Department of Corrections to immediately enforce that no state public safety or corrections officers use chokeholds or restraints that pressure the neck or spine.
(3/4)",224,2020-06-11 18:52:29,Twitter Web App,57,9,GovHerbert,1271153348318642176,60688326.0,60688326,False,,en,June,Q2
"We will additionally provide implicit bias training to state government officials. This will begin with my next cabinet meeting in July and then through each successive layer of leadership in our executive branch of government.
(2/4)",233,2020-06-11 18:52:29,Twitter Web App,33,6,GovHerbert,1271153347626582017,60688326.0,60688326,False,,en,June,Q2
"Effective immediately, the director of our Division of Multicultural Affairs, Nubia Peña, and the director of our Division of Indian Affairs, Dustin Jansen, will report to me. They will also be included in my weekly leadership meetings and briefings. 
(1/4)",257,2020-06-11 18:52:29,Twitter Web App,35,4,GovHerbert,1271153346880008192,60688326.0,60688326,False,,en,June,Q2
"I will meet again with these groups early next month to continue our discussions and review actions we have taken. However, here are things we are doing right now to make a difference:",184,2020-06-11 18:52:29,Twitter Web App,15,2,GovHerbert,1271153346192093184,60688326.0,60688326,False,,en,June,Q2
"Last Tuesday, I gathered with members of our Martin Luther King Jr. Commission and Multicultural Commission for an emergency joint meeting. It was sobering to be reminded that far too many within our multicultural communities continue to experience discrimination.",288,2020-06-11 18:52:28,Twitter Web App,85,7,GovHerbert,1271153342106894336,,60688326,False,https://t.co/0p4CLPoq2D,en,June,Q2
Their return marks the end of the Utah National Guard’s support to assure the safety of peaceful protestors in DC and Salt Lake City. National Guard units called to augment civil authorities in Salt Lake and at the Utah State Capitol began demobilizing first thing Sunday morning.,280,2020-06-08 03:47:14,Twitter Web App,62,1,GovHerbert,1269838368331816961,60688326.0,60688326,False,,en,June,Q2
"The unit had been postured to deploy overseas when called to DC by Defense Sec. Mark Esper, allowing the Utah National Guard to respond rapidly.",168,2020-06-08 03:47:13,Twitter Web App,52,1,GovHerbert,1269838367073550338,60688326.0,60688326,False,https://t.co/5kMSTD8ece,en,June,Q2
"Soldiers from the Utah National Guard returned this evening after five days in Washington D.C. I am grateful for their professional service protecting national monuments, assisting cleanup efforts, and augmenting civil authorities in Washington, D.C. amid civil unrest.",293,2020-06-08 03:47:13,Twitter Web App,649,48,GovHerbert,1269838365634916352,,60688326,False,https://t.co/YrAy3YPQVr,en,June,Q2
"Utah offers its deepest condolences to the family of Officer Lyday and the Ogden community. I am grateful for his heroism, love, and service. Now more than ever, we need law enforcement like Nathan; capable of empathy, courage, and understanding as they do their difficult jobs.",278,2020-06-06 18:40:07,Twitter Web App,758,44,GovHerbert,1269338297374871552,,60688326,False,,en,June,Q2
"76 years ago today, thousands of brave soldiers stormed the beaches of Normandy in a heroic effort to fight tyranny and preserve freedom. I am ever-grateful for their sacrifice #DDay.",207,2020-06-06 14:51:17,Twitter Web App,598,65,GovHerbert,1269280709023158272,,60688326,False,https://t.co/Si18oAmkqF,en,June,Q2
"Due process is expected. Until all the facts are in we will not comment substantively on this ongoing investigation. We will, however, always decry disproportionate use of force. If there are findings of misconduct, we expect full accountability.",246,2020-06-05 23:09:27,Twitter Web App,86,5,GovHerbert,1269043689327783936,60688326.0,60688326,False,,en,June,Q2
"We call on @slcpd and @UPDSL (as lead investigator) to be thorough, transparent, swift and just in their review of Bernardo Palacios-Carbajal’s unfortunate death.",162,2020-06-05 23:09:27,Twitter Web App,169,26,GovHerbert,1269043688547721219,,60688326,False,,en,June,Q2
I'm thrilled the Utah Navajo Water Rights Settlement Act passed the U.S. Senate and look forward to House consideration. It creates clean drinking water projects for our Navajo friends and certainty for Utah's future water needs. My sincere thanks to @SenatorRomney and @NNPrezNez,304,2020-06-04 23:06:08,Twitter Web App,335,47,GovHerbert,1268680464333590528,,60688326,False,https://t.co/qZ4yvOWxlh,en,June,Q2
I was grateful to meet WWII Veteran Sidney Walton yesterday. His selfless service and message of hope as he travels across the country are a reminder to us all to be unwavering in our kindness.,217,2020-06-03 22:46:07,Twitter Web App,298,12,GovHerbert,1268313040794955776,,60688326,False,https://t.co/g6Yg46yOec,en,June,Q2
I have issued an executive order temporarily closing the State Capitol Complex to the public.,117,2020-06-02 01:35:15,Twitter Web App,341,61,GovHerbert,1267630827325714433,,60688326,False,https://t.co/Nle8ZNZqvw,en,June,Q2
.@BenWinslow was on the hill late last night covering protests — and he was back again this afternoon. He's a great example of dedicated journalism in Salt Lake (and a great example of mask wearing!).,248,2020-05-31 22:53:51,Twitter Web App,286,12,GovHerbert,1267227823724302336,,60688326,False,https://t.co/ViPTq9Qj5q,en,May,Q2
"Overwhelmed and grateful to meet with people who helped care for and clean the people’s house after last night’s protests. People are stepping up right and left - cleaning in the hot sun, offering cool water, and dropping off pizza.",256,2020-05-31 20:32:56,Twitter for iPhone,1758,136,GovHerbert,1267192357683728384,,60688326,False,https://t.co/5eSz45MQl3,en,May,Q2
"Unless you are defined as an essential person, please steer clear of the downtown area through the remainder of the weekend.",124,2020-05-31 04:43:51,Twitter for iPhone,267,16,GovHerbert,1266953517102624768,60688326.0,60688326,False,,en,May,Q2
"Due to the historic and delicate nature of the building, and the ongoing curfew (expires on Monday at 6:00am), we are going to rely on professionals from the State of Utah to clean and restore the exterior walls and surfaces.",225,2020-05-31 04:43:51,Twitter for iPhone,312,15,GovHerbert,1266953516267929601,60688326.0,60688326,False,,en,May,Q2
We were deeply saddened to see the defacement of our beautiful Capitol building by this weekend’s protesters. We are heartened by the many individuals wanting to help clean its stone walls and grounds.,201,2020-05-31 04:43:51,Twitter for iPhone,1038,79,GovHerbert,1266953514774749184,,60688326,False,,en,May,Q2
We condemn violence and looting. I have activated the National Guard to help control the escalating situation in downtown Salt Lake City. I once again call on all who are protesting to do so peacefully.,202,2020-05-30 23:11:53,Twitter for iPhone,4047,750,GovHerbert,1266869972749303809,,60688326,False,,en,May,Q2
We call upon the good people of Utah to engage civilly and to act peaceably as they seek to exercise their First Amendment rights.,130,2020-05-30 22:56:56,Twitter for iPhone,425,60,GovHerbert,1266866209363877888,60688326.0,60688326,False,,en,May,Q2
"We are grateful for the swift actions taken by the state of Minnesota to hold those responsible for his death accountable. We can not, however, condone violence, defacement of public buildings, and destruction of property.",222,2020-05-30 22:56:07,Twitter for iPhone,199,15,GovHerbert,1266866005080281088,60688326.0,60688326,False,,en,May,Q2
We are in close contact with our department of public safety and receiving regular updates. Our hearts break for the family of George Floyd and for his unnecessary death.,170,2020-05-30 22:55:24,Twitter for iPhone,439,27,GovHerbert,1266865825497010176,,60688326,False,,en,May,Q2
"To graduating seniors, congratulations on your achievements! Though we are unable to celebrate this milestone in typical fashion, it does not diminish all your hard work. I have been amazed by the determination you have shown and am proud to have you as part of our state.",296,2020-05-29 21:24:34,Twitter Web App,156,21,GovHerbert,1266480576397144064,,60688326,False,https://t.co/sRYL31pM8X,en,May,Q2
"I am heartbroken to hear the news from Ogden this evening. Standing tall in the line of duty is a brave and noble act, and my prayers are with the fallen officer’s family and friends. Tonight, the whole state mourns with @OGDEN_POLICE",234,2020-05-29 02:49:18,Twitter Web App,674,66,GovHerbert,1266199912326156289,,60688326,False,,en,May,Q2
"It is important to note Utah’s color-coded health risk guidance does not apply to the Navajo Nation. Tribal lands are sovereign, and they make their own policy and health directives. We strongly encourage Utahns living on tribal lands to follow all tribal health directives.",274,2020-05-28 17:15:14,Twitter Web App,41,6,GovHerbert,1266055443186515973,60688326.0,60688326,False,,en,May,Q2
I have appreciated the opportunity to collaborate with @NNPrezNez and @UT_Indian on efforts to combat the coronavirus.,118,2020-05-28 17:15:14,Twitter Web App,27,1,GovHerbert,1266055442502828032,60688326.0,60688326,False,,en,May,Q2
"Our prayers go out to all of our Navajo friends who have been so directly impacted by this terrible virus. Utah has been working hard to provide assistance to the Navajo Nation, including mobile testing, medical personnel, and much-needed supplies.",248,2020-05-28 17:11:42,Twitter Web App,70,3,GovHerbert,1266054553889193984,60688326.0,60688326,False,,en,May,Q2
"Recent data has indicated that as of Tuesday, the Navajo Nation, which has a population of just under 175,000, has experienced 158 deaths. To put that in perspective, Utah, with a population of over 3 million, has had just over 100 deaths total.",245,2020-05-28 17:11:42,Twitter Web App,132,20,GovHerbert,1266054553201291266,,60688326,False,,en,May,Q2
"A key part of the Utah Leads Together 3.0 plan is protecting Utah’s high-risk populations. As we move to different risk phases, it is still important for high-risk individuals to adhere to recommended guidelines. You can find more at:",282,2020-05-26 19:32:17,Twitter Web App,72,13,GovHerbert,1265365156210462720,,60688326,False,https://t.co/4LSVHmi7zC,en,May,Q2
"This Memorial Day, I am calling upon all Utahns to observe a day of prayer for permanent peace, and ask that we all come together for a shared moment of silence at 3 p.m. to honor and reflect on those who died protecting our freedoms.",258,2020-05-25 14:57:41,Twitter Web App,113,9,GovHerbert,1264933662698553344,60688326.0,60688326,False,https://t.co/bbIhTBneCM,en,May,Q2
"Memorial Day is a time for Americans to unite and solemnly honor the men and women who marched, flew and sailed in defense of the nation, never to return home. In these uncertain times, it is our responsibility to honor those who have given their lives to ensure our freedoms.",300,2020-05-25 14:57:40,Twitter Web App,206,20,GovHerbert,1264933661326979074,,60688326,False,https://t.co/AZZER9Cias,en,May,Q2
"This morning, the flag of the United States of America and the flag of the State of Utah have been lowered to half-staff. We join with the entire country in paying our respects to those who have lost their lives in this pandemic. Flags will remain lowered until sunset tonight.",301,2020-05-24 14:33:18,Twitter Web App,493,54,GovHerbert,1264565140004823040,,60688326,False,https://t.co/ehhdh2ohHk,en,May,Q2
