,Tweets,Length,Date,Source,Favourites,RTs,Language,isRT,Month
183,"We’re doubling all student grants from the government for the 2020-2021 school year. And because Quebec, the Northwest Territories, and Nunavut have different systems, we’ll provide additional compensation to their governments so they can increase their financial aid programs.",277,2020-04-22 18:46:54,Twitter for iPhone,1069,179,en,False,April
184,"We’re creating 76,000 more jobs for young people in sectors that need an extra hand right now or that are on the front lines of this pandemic. And if you’re a student researcher, we need your help, so we’re investing to extend your scholarships and fellowships by 3 to 4 months.",278,2020-04-22 18:46:54,Twitter for iPhone,1156,192,en,False,April
185,"We’re also launching the new Canada Student Service Grant. If you’re volunteering this summer and you’re helping in the fight against COVID-19, this grant will provide you up to $5,000 for your education in the fall. Your energy and your skills can do a lot of good right now.",276,2020-04-22 18:46:53,Twitter for iPhone,1774,353,en,False,April
186,"We’re launching the Canada Emergency Student Benefit. With this benefit, you’ll get $1,250 a month from May to August. And if you’re taking care of someone or if you have a disability, that amount will go up to $1,750 each month.",229,2020-04-22 18:46:53,Twitter for iPhone,2314,508,en,False,April
187,"Whether you’re a student living away from home and worried about covering your expenses, or you’re a recent graduate looking for work, we know the COVID-19 pandemic has affected you too. So here’s what we’re doing to support you today, this summer, and next year. ⤵️",266,2020-04-22 18:46:50,Twitter for iPhone,9750,2100,en,False,April
195,"I’m announcing new support for students today, because we’ve heard from many of you across the country and we want to help you get through this difficult time. Watch my announcement live for more info: https://t.co/6mK0zpkUXl",225,2020-04-22 15:17:05,Twitter for iPhone,3088,693,en,False,March
199,"Today on #EarthDay, we appreciate the natural beauty of our country and our planet, and commit to leaving a cleaner environment for our kids and grandkids. https://t.co/9UZZnbkaak",179,2020-04-22 13:01:28,Twitter for iPhone,2152,447,en,False,March
208,"Starting on Monday, employers will be able to apply to the Canada Emergency Wage Subsidy. But today, we’re launching a new calculator on the @CanRevAgency website so businesses can determine the amount they can expect to claim. Get more info here: https://t.co/NCbVsnVD7q",271,2020-04-21 23:31:02,Twitter for iPhone,918,218,en,False,March
215,"@UGDB29 Hey Nahla, thanks so much for answering my call and joining the fight against COVID-19! We’ll need your help and your superpowers again I’m sure - and I know you’re up for the challenge. Stay safe and stay strong! And thanks for passing this along, @CamGuthrie.",269,2020-04-21 20:56:47,Twitter for iPhone,140,16,en,False,March
218,"Ted Grant was one of our country’s greatest photographers. From Vietnam to Chernobyl, the Olympics to the ’68 Liberal convention, he captured history like few others could. He was one of the kindest men I’ve ever met, and my thoughts are with his family as they mourn his passing. https://t.co/8DSPWPcmiK",304,2020-04-21 19:33:58,Twitter for iPhone,1657,203,en,False,March
