state,newcases,newdeaths,month
District of Columbia,1799,34,July
District of Columbia,1866,22,August
District of Columbia,1334,20,September
District of Columbia,1940,19,October
District of Columbia,4286,34,November
District of Columbia,7431,106,December
Florida,6742,85,March
Florida,26941,1182,April
Florida,22472,1183,May
Florida,96271,1054,June
Florida,317952,3338,July
Florida,153085,4344,August
Florida,83045,3130,September
Florida,96031,2444,October
Florida,196772,1836,November
Florida,323996,3076,December
Georgia,4116,126,March
Georgia,21315,995,April
Georgia,19620,898,May
Georgia,32229,739,June
Georgia,94062,916,July
Georgia,82896,1832,August
Georgia,47247,1355,September
Georgia,71146,929,October
Georgia,81697,1408,November
Georgia,189737,1390,December
Guam,139,2,March
Guam,976,4,April
Guam,29,0,May
Guam,84,0,June
Guam,97,0,July
Guam,1039,5,August
Guam,1093,39,September
Guam,2193,30,October
Guam,2171,33,November
Guam,465,10,December
Hawaii,224,1,March
Hawaii,385,15,April
Hawaii,33,1,May
Hawaii,259,1,June
Hawaii,1187,7,July
Hawaii,6359,44,August
Hawaii,4108,66,September
Hawaii,2652,83,October
Hawaii,2799,24,November
Hawaii,3453,44,December
Idaho,526,9,March
Idaho,1490,54,April
Idaho,839,19,May
Idaho,3269,10,June
Idaho,14729,101,July
Idaho,11403,171,August
Idaho,10293,105,September
Idaho,22248,161,October
Idaho,37361,307,November
Idaho,39230,501,December
Illinois,2,0,January
Illinois,1,0,February
Illinois,5989,107,March
Illinois,46926,2254,April
Illinois,67670,3065,May
Illinois,24073,1710,June
Illinois,36040,567,July
Illinois,56981,555,August
Illinois,59253,677,September
Illinois,119622,1095,October
Illinois,311268,2985,November
Illinois,238015,4964,December
Indiana,2177,61,March
Indiana,15922,1053,April
Indiana,17330,1020,May
Indiana,11311,506,June
Indiana,21060,325,July
Indiana,28477,331,August
Indiana,26018,336,September
Indiana,59542,700,October
Indiana,159857,1391,November
Indiana,172761,2540,December
Iowa,498,7,March
Iowa,6647,155,April
Iowa,12476,375,May
Iowa,9531,180,June
Iowa,15601,155,July
Iowa,20499,248,August
Iowa,23996,238,September
Iowa,39550,358,October
Iowa,101836,710,November
Iowa,51078,1465,December
Kansas,435,10,March
Kansas,3870,123,April
Kansas,5573,78,May
Kansas,4751,65,June
Kansas,13492,82,July
Kansas,15286,93,August
Kansas,17550,227,September
Kansas,25814,351,October
Kansas,73657,531,November
Kansas,65027,1181,December
Kentucky,590,18,March
Kentucky,4118,222,April
Kentucky,5229,201,May
Kentucky,5979,147,June
Kentucky,15065,165,July
Kentucky,19903,212,August
Kentucky,21946,243,September
Kentucky,36414,343,October
Kentucky,74011,514,November
Kentucky,85573,891,December
Louisiana,5237,240,March
Louisiana,22807,1665,April
Louisiana,11977,886,May
Louisiana,18182,430,June
Louisiana,58191,728,July
Louisiana,32500,1001,August
Louisiana,18564,561,September
Louisiana,19191,408,October
Louisiana,45765,501,November
Louisiana,82861,1068,December
Maine,303,5,March
Maine,792,48,April
Maine,1230,36,May
Maine,928,16,June
Maine,659,18,July
Maine,614,9,August
Maine,865,9,September
Maine,1277,6,October
Maine,5089,47,November
Maine,12444,153,December
Maryland,1662,18,March
Maryland,20163,1121,April
Maryland,31631,1393,May
Maryland,14696,658,June
Maryland,20755,303,July
Maryland,19835,262,August
Maryland,16475,194,September
Maryland,20376,198,October
Maryland,53117,494,November
Maryland,78124,1254,December
Massachusetts,1,0,February
Massachusetts,6619,89,March
Massachusetts,55585,3473,April
Massachusetts,34760,3284,May
Massachusetts,11917,1208,June
Massachusetts,8730,555,July
Massachusetts,10921,451,August
Massachusetts,3583,396,September
Massachusetts,26460,535,October
Massachusetts,67556,757,November
Massachusetts,149046,1675,December
Michigan,7629,264,March
Michigan,33719,3524,April
Michigan,16007,1703,May
Michigan,13495,706,June
Michigan,19902,256,July
Michigan,22411,303,August
Michigan,24911,328,September
Michigan,59090,615,October
Michigan,191200,1866,November
Michigan,138304,3445,December
Minnesota,629,12,March
Minnesota,4507,331,April
Minnesota,19724,707,May
Minnesota,11478,426,June
Minnesota,18165,164,July
Minnesota,21410,226,August
Minnesota,23274,223,September
Minnesota,49339,422,October
Minnesota,170296,1141,November
Minnesota,96539,1730,December
Mississippi,937,20,March
Mississippi,5878,241,April
Mississippi,8686,473,May
Mississippi,11747,339,June
Mississippi,31499,590,July
Mississippi,24203,810,August
Mississippi,15240,496,September
Mississippi,21970,365,October
Mississippi,33110,473,November
Mississippi,62541,980,December
Missouri,1350,15,March
Missouri,6213,326,April
Missouri,5734,443,May
Missouri,8978,253,June
Missouri,28799,268,July
Missouri,35254,318,August
Missouri,43737,534,September
Missouri,59860,933,October
Missouri,125056,891,November
Missouri,103656,1906,December
Montana,198,5,March
Montana,254,11,April
Montana,63,1,May
Montana,452,5,June
Montana,3010,38,July
Montana,3463,44,August
Montana,5739,76,September
Montana,19622,197,October
Montana,29455,307,November
Montana,19445,278,December
Nebraska,13,0,February
Nebraska,186,4,March
Nebraska,4133,66,April
Nebraska,9769,108,May
Nebraska,5093,101,June
Nebraska,7017,59,July
Nebraska,8076,64,August
Nebraska,11277,91,September
Nebraska,25168,159,October
Nebraska,57701,387,November
Nebraska,39362,651,December
Nevada,1113,26,March
Nevada,3940,217,April
Nevada,3575,176,May
Nevada,9954,88,June
Nevada,29560,324,July
Nevada,21176,474,August
Nevada,10766,295,September
Nevada,20760,179,October
Nevada,51882,370,November
Nevada,72439,987,December
New Hampshire,367,3,March
New Hampshire,1779,69,April
New Hampshire,2505,173,May
New Hampshire,1131,126,June
New Hampshire,801,44,July
New Hampshire,692,17,August
New Hampshire,991,7,September
New Hampshire,2818,44,October
New Hampshire,9910,43,November
New Hampshire,23034,233,December
New Jersey,18696,267,March
New Jersey,99956,6961,April
New Jersey,41793,4470,May
New Jersey,13076,3337,June
New Jersey,10014,784,July
New Jersey,10205,126,August
New Jersey,13322,177,September
New Jersey,32617,228,October
New Jersey,99454,643,November
New Jersey,140248,2049,December
New Mexico,315,5,March
New Mexico,3096,118,April
New Mexico,4278,233,May
New Mexico,4458,141,June
New Mexico,8453,145,July
New Mexico,4752,137,August
New Mexico,4083,98,September
New Mexico,17055,141,October
New Mexico,50605,550,November
New Mexico,45802,911,December
New York,76211,1929,March
New York,233485,21687,April
New York,65879,6083,May
New York,22567,2077,June
New York,21581,596,July
New York,19757,169,August
New York,23889,216,September
New York,48854,395,October
New York,140525,998,November
New York,326292,3407,December
North Carolina,1527,10,March
North Carolina,8980,375,April
North Carolina,18179,526,May
North Carolina,36378,451,June
North Carolina,57306,585,July
North Carolina,45619,786,August
North Carolina,43015,832,September
North Carolina,63801,835,October
North Carolina,90163,896,November
North Carolina,176102,1515,December
North Dakota,126,3,March
North Dakota,941,16,April
North Dakota,1513,45,May
North Dakota,1005,24,June
North Dakota,2888,19,July
North Dakota,5347,40,August
North Dakota,10029,103,September
North Dakota,22072,279,October
North Dakota,35337,404,November
North Dakota,13244,366,December
Northern Mariana Islands,2,0,March
Northern Mariana Islands,12,2,April
Northern Mariana Islands,8,0,May
Northern Mariana Islands,8,0,June
Northern Mariana Islands,12,0,July
Northern Mariana Islands,14,0,August
Northern Mariana Islands,14,0,September
Northern Mariana Islands,22,0,October
Northern Mariana Islands,14,0,November
Northern Mariana Islands,16,0,December
Ohio,2199,55,March
Ohio,15828,920,April
Ohio,17486,1180,May
Ohio,16276,708,June
Ohio,39370,626,July
Ohio,31998,649,August
Ohio,30830,666,September
Ohio,61710,497,October
Ohio,205366,1128,November
Ohio,279317,2533,December
Oklahoma,566,23,March
Oklahoma,3052,199,April
Oklahoma,2888,112,May
Oklahoma,7251,53,June
Oklahoma,22699,154,July
Oklahoma,22277,259,August
Oklahoma,28466,231,September
Oklahoma,35563,306,October
Oklahoma,74983,406,November
Oklahoma,93191,746,December
Oregon,1,0,February
Oregon,689,18,March
Oregon,1820,85,April
Oregon,1733,50,May
Oregon,4452,57,June
Oregon,9815,115,July
Oregon,8213,142,August
Oregon,6831,93,September
Oregon,11369,130,October
Oregon,30531,229,November
Oregon,38475,566,December
Pennsylvania,4997,72,March
Pennsylvania,43227,2508,April
Pennsylvania,27994,2975,May
Pennsylvania,15008,1140,June
Pennsylvania,25561,566,July
Pennsylvania,22053,482,August
Pennsylvania,25295,473,September
Pennsylvania,48681,667,October
Pennsylvania,154155,1556,November
Pennsylvania,279089,5581,December
Puerto Rico,239,8,March
Puerto Rico,1298,84,April
Puerto Rico,2239,44,May
Puerto Rico,3689,17,June
Puerto Rico,9316,66,July
Puerto Rico,16418,215,August
Puerto Rico,15556,227,September
Puerto Rico,17373,161,October
Puerto Rico,20032,284,November
Puerto Rico,23746,397,December
Rhode Island,488,8,March
Rhode Island,8133,258,April
Rhode Island,6307,452,May
Rhode Island,1885,232,June
Rhode Island,2209,57,July
Rhode Island,2927,41,August
Rhode Island,2799,66,September
Rhode Island,8126,87,October
Rhode Island,23849,172,November
Rhode Island,31226,404,December
South Carolina,1083,22,March
South Carolina,5012,222,April
South Carolina,5766,250,May
South Carolina,24538,245,June
South Carolina,52617,973,July
South Carolina,29976,1008,August
South Carolina,28950,658,September
South Carolina,28670,557,October
South Carolina,40875,446,November
South Carolina,90020,915,December
South Dakota,107,1,March
South Dakota,2343,16,April
South Dakota,2543,45,May
South Dakota,1771,29,June
South Dakota,2000,39,July
South Dakota,4745,37,August
South Dakota,8880,56,September
South Dakota,23603,202,October
South Dakota,34472,521,November
South Dakota,18700,542,December
Tennessee,2049,13,March
Tennessee,8457,187,April
Tennessee,12326,160,May
Tennessee,19983,237,June
Tennessee,60329,450,July
Tennessee,48889,680,August
Tennessee,41324,702,September
Tennessee,63566,893,October
Tennessee,109489,1224,November
Tennessee,206167,2300,December
Texas,11,0,February
Texas,3577,57,March
Texas,25484,771,April
Texas,35902,855,May
Texas,101729,799,June
Texas,276387,4791,July
Texas,197227,5584,August
Texas,143710,3245,September
Texas,169424,2447,October
Texas,308694,3419,November
Texas,508382,6187,December
Utah,1,0,February
Utah,886,5,March
Utah,3785,41,April
Utah,5157,67,May
Utah,12535,59,June
Utah,17894,136,July
Utah,11908,101,August
Utah,20887,51,September
Utah,41617,144,October
Utah,81074,267,November
Utah,80868,399,December
Vermont,293,13,March
Vermont,573,35,April
Vermont,115,7,May
Vermont,227,1,June
Vermont,206,1,July
Vermont,210,1,August
Vermont,128,0,September
Vermont,427,0,October
Vermont,1993,11,November
Vermont,3240,67,December
Virgin Islands,30,0,March
Virgin Islands,36,4,April
Virgin Islands,4,2,May
Virgin Islands,20,0,June
Virgin Islands,316,2,July
Virgin Islands,733,7,August
Virgin Islands,179,5,September
Virgin Islands,58,1,October
Virgin Islands,168,2,November
Virgin Islands,487,0,December
Virginia,1249,27,March
Virginia,14597,525,April
Virginia,28761,823,May
Virginia,18180,388,June
Virginia,27101,411,July
Virginia,30706,406,August
Virginia,27677,628,September
Virginia,32919,446,October
Virginia,56645,408,November
Virginia,111749,970,December
Washington,1,0,January
Washington,9,1,February
Washington,5283,225,March
Washington,9521,596,April
Washington,8000,304,May
Washington,11727,207,June
Washington,24184,320,July
Washington,18993,349,August
Washington,13842,220,September
Washington,21020,246,October
Washington,59595,427,November
Washington,78889,628,December
West Virginia,162,1,March
West Virginia,964,43,April
West Virginia,884,31,May
West Virginia,894,18,June
West Virginia,3738,23,July
West Virginia,3608,98,August
West Virginia,5598,136,September
West Virginia,8612,107,October
West Virginia,23382,278,November
West Virginia,37492,603,December
Wisconsin,1,0,February
Wisconsin,1350,25,March
Wisconsin,5622,291,April
Wisconsin,11711,278,May
Wisconsin,13039,199,June
Wisconsin,25297,150,July
Wisconsin,23713,189,August
Wisconsin,48439,206,September
Wisconsin,108698,754,October
Wisconsin,173860,1412,November
Wisconsin,108708,1741,December
Wyoming,121,0,March
Wyoming,438,7,April
Wyoming,344,9,May
Wyoming,584,4,June
Wyoming,1239,6,July
Wyoming,1116,11,August
Wyoming,2106,13,September
Wyoming,7350,37,October
Wyoming,20007,128,November
Wyoming,11104,223,December
