;great;thank;president;trump;democrats;fake;mini;hoax;impeachment;news;mike;bernie;people;big;new;@foxnews;military;democrat;republican;party;state;america;iowa;strong;endorsement;country;crazy;mueller;vets;#maga;russia;congress;vote;complete;win;good;dems;history;border;states;do_nothing;campaign;carolina;nothing;house;coronavirus;#2a;working;help;wonderful;job;china;tonight;witch;bad;money;usa;loves;united;hampshire;bloomberg;supports;best;everyone;debate;corrupt;agenda;south;jobs;record;american;scam;trial;rally;polls;john;debates;congratulations;countries;place;night;texas;@cnn;senator;judge;think;#kag2020;totally;honor;hope;numbers;election;economy;wall;sanders;deal;senate;stop;phony;crime
democrat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;12;4;0;8;0;0;2;6;2;0;0;4;2;4;0;2;4;0;4;0;0;6;2;0;6;0;0;0;2;0;0;0;0;2;0;4;0;2;0;0;2;4;0;0;0;8;2;0;0;0;4;2;0;0;0;0;0;4;0;0;0;8;0;2;4;0;2;0;0;0;2;2;0;0;0;6;0;0;0;2;2
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;6;0;4;0;4;0;2;0;4;4;0;0;2;4;2;2;6;2;6;0;8;0;2;0;4;4;0;0;0;0;0;0;0;4;6;0;0;0;0;0;0;4;0;0;0;2;4;0;0;8;2;0;0;0;4;2;0;0;0;0;0;4;0;6;0;0;0;0;0;0;2;2;2;4;0;0;6;2;2;2
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;0;0;0;2;0;0;2;2;0;2;0;4;2;4;6;2;0;6;2;0;4;2;4;0;0;0;0;0;0;0;2;6;0;0;0;0;2;0;0;0;0;2;2;0;0;0;8;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;4;2;0;0;0;2;0;2;4
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;8;12;6;4;0;12;12;4;4;6;12;4;2;0;6;10;0;2;2;8;2;0;0;4;0;4;4;0;0;2;0;0;0;2;4;0;2;0;10;2;4;2;2;10;6;2;2;0;0;0;4;0;0;2;6;0;2;0;8;0;2;0;0;2;0;4;0;0;0;2;8;2;0;2;0;0;2
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;2;0;2;0;0;2;0;2;2;0;2;2;0;0;0;0;2;4;0;0;0;0;0;0;2;2;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2;4;4;0;0;0;0;0;0;0;0;0;2
iowa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;4;2;10;2;6;0;10;2;0;2;4;2;0;4;2;0;0;0;0;0;0;2;4;2;0;0;0;0;0;8;2;0;0;0;0;2;0;2;0;8;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4;0
strong;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;6;0;0;22;14;0;12;4;20;0;4;0;0;16;0;0;0;0;2;0;2;22;2;4;2;0;2;0;0;0;0;0;18;0;0;0;12;2;2;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;2;2;0;4;0;6;0;0;0;0;0;12
endorsement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;26;20;0;14;2;30;0;0;0;0;22;0;0;0;2;0;0;0;22;2;4;0;0;0;0;0;0;0;0;20;0;0;0;18;2;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;2;0;8;0;2;0;0;0;10
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;4;4;0;0;2;0;2;2;0;0;2;2;0;0;2;2;0;4;0;0;2;0;0;0;4;2;2;0;2;0;2;2;0;0;0;2;0;0;2;0;4;0;0;2;0;2;2;0;2;4;0;0;4;4;2;0;6;2;0;2;0;0;0;0;0;0;0;4
crazy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;8;0;4;0;2;2;0;0;2;2;4;0;4;0;0;0;2;0;0;0;2;0;2;8;0;0;0;0;2;0;2;2;8;4;0;2;2;2;2;2;0;0;2;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;2;2;4;0;2;2;2;0
mueller;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;16;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;2;0;0;6;0;4;0;0;0;4;0
vets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;2;12;6;24;2;0;0;0;20;0;0;0;0;0;0;0;20;0;4;0;0;0;0;6;0;0;0;18;0;0;0;14;2;0;0;2;14;0;8;0;0;6;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;2;0;4;8;8;2;0;0;0;0;12
#maga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;20;0;0;0;0;14;0;0;0;4;0;0;0;12;0;0;0;0;0;0;0;0;0;0;10;0;0;0;16;2;2;0;0;18;2;0;0;0;0;0;2;0;0;0;2;0;0;0;10;0;0;0;0;8;0;0;0;0;2;0;8;0;0;0;0;0;4
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;8;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0;0;0
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;0;0;0;8;4;2;2;0;0;0;0;12;0;6;0;0;0;0;0;0;0;0;10;4;0;0;6;0;8;0;0;4;0;0;0;0;4;0;0;0;0;0;2;0;2;0;6;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;6
vote;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;6;2;2;2;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;2;2;2;4;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;2;0;2;2;0;2;0;4;0;4;4
complete;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;18;0;0;0;2;0;0;0;18;0;4;0;0;0;0;0;0;0;0;16;0;0;2;16;2;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;2;0;8;0;0;0;0;0;10
win;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;4;0;0;0;4;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;0;4;0;6;0;0;0;2;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;2;4;0;4;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;4;4;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;4;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0
dems;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;0;2;2;6;0;4;2;0;2;0;4;2;4;0;2;0;0;2;4;0;2;0;0;2;0;0;0;2;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;2;2;2;0
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;0;0;0;0;0;0;0;2;2;2;0;6;0;0;4;0;0;2;0;6;0;2;0;0;4;4;0;0;2;0;0;6;4;0;0;4;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;2;2;2
border;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;14;2;4;0;0;2;0;0;2;0;0;16;0;0;0;14;2;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;2;0;0;12;0;0;0;0;0;0;0;0;0;2;0;10;0;0;0;0;0;4
