;#gapol;georgia;state;safe;together;georgians;help;gt;proud;great;@gafirstlady;icymi;efforts;working;trafficking;families;stop;kemp;support;continue;covid19;work;local;spread;county;put;ensure;public;part;@realdonaldtrump;honored;vulnerable;coronavirus;year;home;hardworking;history;dismantle;safety;georgias;fight;good;human;gang;gangs;teachers;industry;force;workforce;w;sex;end;health;country;protect;safer;survivors;strong;family;life;commission;school;children;combat;medical;task;jobs;opportunity;communities;among;best;huge;evil;care;#godawgs;gov;people;prosperous;growth;live;dangerous;officials;ahead;stronger;grace;staff;resources;thanks;students;law;commitment;enforcement;remain;unemployment;states;future;business;healthcare;atlanta;leaders
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;4;0;2;2;0;0;2;0;0;4;2;4;0;0;0;0;0;0;2;2;4;0;0;2;0;2;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;2;2;2;0;0;2;0;0;0;4;2;0;0;2;4
county;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;4;0;0;0;0;0;0;0;2;4;4;2;0;4;2;4;6;0;2;0;0;0;0;0;2;0;2;2;0;2;0;0;2;2;0;2;0;0;2;0;4;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0
put;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;4;0;4;0;6;4;0;6;2;2;0;0;2;0;0;0;0;0;6;2;0;4;0;4;2;2;0;2;0;2;4;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;0;4;2;2;0;0;0;4;0;2;0;2;0;0;2;0;2;0;2
ensure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;0;0;6;0;0;2;2;0;4;0;2;4;0;2;2;2;2;4;2;2;0;0;4;4;2;0;0;8;0;0;4;0;2;2;0;8;0;4;0;0;2;2;0;0;0;2;0;8;0;0;0;4;0;2;0;0;0;2;2;2;0;0;2;8;0;0;2;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;6;2;2;2;2;2;2;2;0;0;2;2;0;2;4;0;0;0;0;2;2;0;0;4;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;4;2;0;0;0;0;0;0;2;0;4;0;0;0;0;2;0;0;0;2
part;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;4;0;2;0;2;2;0;2;2;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;2;0;0;0;2;2;2;2;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2
@realdonaldtrump;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;6;0;2;0;0;2;0;0;0;0;2;0;0;4;4;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;4;0;0;0;0;0;2;2;0;0;0;0;0
honored;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0
vulnerable;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;4;2;2;0;2;2;0;2;0;2;4;0;2;0;8;0;2;0;0;4;2;2;0;2;2;2;2;4;0;12;2;0;0;6;0;0;0;0;0;4;0;2;0;0;2;0;2;0;2;0;2;0;0;0;2;0;0;0;0;2
coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;2;0;2;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;2;2;0;0;2;4;2;0;6;2;0;0;0;2;0;0;2;0;4;0;0;0;2;0;0;2;4;2;0;2;0;2;0;0;0;0;0;2;4;2;0;2;0;0;2;0;2;2;0;4;0;0;0;0;6;0;0;2;0;0;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;0;0;0;2;6;0;0;2;2;2;0;0;4;0;0;2;0;0;0;0;6;0;4;0;0;2;2;2;0;0;0;0;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
hardworking;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;2;0;0;2;0;0;2;0;0;2;0;0;4;4;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;4;0;2;0;2;2;6;2;0;2;0;0;0
dismantle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;8;10;2;0;6;0;2;0;0;0;0;2;6;0;2;0;0;0;2;0;2;0;6;0;0;4;0;2;0;0;0;0;0;0;2;0;0;2;0;0;4;0;2;2;0;0;6;0;6;0;0;0;4;0;0;0;0
safety;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;2;2;0;2;0;0;0;6;0;0;8;0;2;0;0;0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;4;0;0;0;2;2;0;0;0;2
georgias;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;4;0;0;2;2;2;0;4;0;4;0;0;0;2
fight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;2;2;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;2
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;4;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0
human;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;4;0;0;0;0;4;0;0;4;0;0;0;4;0;0;0;2;0;2;0;0;4;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0
gang;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;6;2;6;0;0;0;6;0;0;0;0
gangs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0;0;2;0;4;0;0;0;2;0;2;0;4;0;2;6;2;0;0;0;0;0;0;0;2;2;0;4;0;0;0;0;2;2;0;0;2;0;2;2;0;0;0;0;0;0;0
teachers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4;0;2;0;0;0;4;2;0;0;0;2;2;0;0;6;2;0;2;0;0;0;6;2;0;2;0;0;4;0;2;2;0;6;0;0;0;0;0;0;2;0;0;0;0
industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;0;2;0;0;6;0;0;0;4;0;2;4;0;0;0;0;0;0;0;0;14;0;0;0;2;0;2;0;0;0;0;0;4;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0
force;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;14;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;6;0;0;2;0;2;0;2;2;2;0;0;0;2
workforce;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;4;0;4
w;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;4;2;2;2;2;0;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;2;4;0;0;0;2;2;2;0;0;0;4;2;0;2;2
sex;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;2;0;6;0;0;0;4;0;2;4;0;0;2;2;0;2;0;0;8;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0
end;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;6;0;2;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;4;4;0;0;0;2;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;2;2;0;2;0;6;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0
safer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;8;2;0;0;0;2;12;0;0;0;0;0;2;0;2;2;2;0;4;0;0;0;0
survivors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0
strong;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;4;0;0;0;0;0;0;0;0;6;4;0;4;2;0;2;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0
family;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0
life;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;4;0;0;0;4;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0
commission;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
school;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2
children;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;2;0;2;0;0;0;2;0;0;0;0
combat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;2;0
medical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;6;0;0;2;0;0;0;0;0;0;2;0;2;2;0
