;west;#wvgov;governor;virginia;state;@jimjusticewv;president;@realdonaldtrump;great;virginians;coronavirus;jobs;covid19;life;across;justice;novel;#covid19;year;law;online;order;@wv4life;reelection;announced;numbers;yesterday;address;states;decade;new;#covid2019;job;unborn;economy;#prolife;watch;joined;seen;forward;work;businesses;employment;economic;thousands;paperwork;friend;thank;information;prevent;best;@nrlc;help;support;program;#wvpol;people;issued;abortion;child;executive;virginias;continue;file;candidacy;2019;senate;week;visit;#sotu;trump;@wvlegislature;bornalive;home;strong;working;defend;survivors;leaders;seniors;act;welcome;2020;protection;@jimjusticewvs;provide;jim;#wvcovid19;county;recent;100;office;leadership;public;country;sign;safe;month;hand;stronger
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;6;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0
@wv4life;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;4;0;8;2;4;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;2;0;2;0;0;6;4;0;0;2;0;0;0;0;0;0;0;0;4;6;0;2;0;4;6;4;0;6;0;2;6;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0
reelection;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;6;2;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;8;4;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0
announced;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;2;4;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;2;2;0;0;2;0;0;0;0;2;2;2;0;0
numbers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;8;0;4;0;0;0;6;0;2;0;0;0;4;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;4;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0
yesterday;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;4;0;2;0;0;2;0;0;0;2;4;0;2;2;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
address;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;0;0;2;0;2;0;2;0;0;0;0;0;2;2;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;0;2;0;2;0;2;0;0;0;0;0;0
decade;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;0;2;0;0;0;6;0;0;0;4;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;2;4;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0
