;utah;covid19;state;health;testing;data;public;together;utahs;risk;help;utahns;#utcovid19;grateful;home;orange;continue;people;work;stay;phase;capacity;mask;masks;navajo;still;family;social;may;working;county;distancing;spread;symptoms;take;high;nation;plan;face;friends;app;medical;use;call;virus;order;communities;yellow;travel;moderate;guidance;exercise;new;wearing;weeks;lake;efforts;individuals;salt;possible;commission;wear;care;healthy;safe;next;everyone;test;community;@utahdepofhealth;visit;tribal;follow;service;leads;hospital;red;close;part;precautions;good;days;guidelines;remain;economic;thank;could;hope;contact;following;hygiene;million;information;directive;cases;effort;green;transition;provide;meet
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;4;0;0;0;2;0;0;0;0;0;4;4;0;2;6;0;2;0;2;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0;4;0;2;6;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;2;2;2;2;0;0;0;0;0;2;0;0;0;0;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;2;0;0;0;0;2;2;2;4;0;0;2;0;0;2;2;2;2;0;0;2;2;2;0;4;0;0;0;0;6;2;0;4;0;2;2;2;10;0;2;2;2;0;4;0;0;0;0;2;4;0;0;2;0;0;0;2;0;2;4;0;0;6;0;0;0;4;0;2;2;0;0;0
phase;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;10;2;2;2;0;0;2;0;0;2;2;0;6;0;4;0;0;0;0;0;0;2;4;0;10;2;4;0;2;0;0;0;0;0;2;2;0;0;2;2;2;0;0;0;2;0;0;2;0;2;0;8;0;0;2;2;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;8;0;0
capacity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;4;0;2;0;0;0;0;0;6;2;2;0;0;6;0;0;0;0;2;0;0;10;0;0;0;0;2;0;0;0;0;0;2;0;2;2;2;0;0;0;0;2;0;0;2;0
mask;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;6;6;2;0;0;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;0;0;12;0;2;0;0;2;8;0;10;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;4;0;0;2;0
masks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;8;10;0;2;0;0;2;10;0;0;0;6;0;2;4;2;0;0;0;0;0;0;8;2;0;0;0;0;0;0;10;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;2;0;2;0;2;4;0;0;2;0;0;0;2;0
navajo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;18;0;0;8;0;2;0;0;6;0;0;4;0;4;6;0;0;0;2;2;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0
still;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;2;2;0;6;0;2;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;4;0;2;2;0;2;0;4;0;4;0;2;0;2;0;4;0;4;0;2;2;2;0;2;0;0;2;0;0;0;4;2;2
family;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;2;0;0;0;0;2;12;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;4;2;2;2;0;0;0;0;2;0;0;0;0
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;6;0;2;2;0;2;8;0;0;0;6;0;2;0;0;0;2;0;0;0;2;6;0;0;2;0;0;2;0;4;2;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;4;2;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0
