;covid19;arkansas;state;provide;update;ar;live;governor;news;hutchinson;great;health;media;response;students;conference;care;cases;watch;states;weeks;address;thank;holding;public;outbreak;new;work;social;help;radio;arkansans;school;emergency;spread;people;learn;@adhpio;businesses;support;home;education;distancing;good;130pm;continue;business;general;2020;grateful;announced;governors;honor;year;order;service;positive;march;discuss;week;safe;number;guidelines;assembly;line;across;leadership;honored;13;rock;working;dedication;speak;23;little;commend;thanks;important;safety;sunday;nursing;share;individuals;virus;blood;million;33;future;workers;behalf;national;24;testing;hard;lives;part;mitigate;lab;guidance;daily
great;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;2;2;10;0;0;0;6;4;0;6;2;0;0;0;0;2;4;0;2;2;0;0;0;2;0;0;0;0;2;0;0;2;2;2;0;2;0;0;2;0;0;0;2;0;0;0;4;2;0;0;0;0;4;0;0;0;2;0;0;0;0;2;0;0;0;2;0;4;2;2;0;0;0;0;0;2;0;0;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;18;0;0;0;2;0;2;0;14;4;0;2;0;2;0;2;2;10;0;2;0;8;0;4;0;0;0;0;0;0;2;0;0;2;2;0;0;0;4;2;2;0;0;0;2;0;4;0;2;2;2;0;2;2;4;2;2;0;2;2;2;0;4;0;2;0;2;2;2;2;0;4;6;0;2;2;2;4;2;0;0;2;4;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;2;28;2;2;2;0;28;4;0;0;2;0;0;2;2;0;6;0;0;0;2;0;4;0;0;0;0;20;0;0;0;0;2;2;0;0;0;2;0;2;0;2;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
students;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;4;0;4;0;0;10;0;2;2;8;0;0;2;2;8;0;0;0;0;0;0;4;0;2;2;2;2;0;0;0;2;0;2;0;0;0;0;0;4;0;0;0;2;0;0;0;2;2;0;2;2;2;0;4;0;2;0;0;0;2;6;0;2;0;0;0;0;0;2;0;0;2;0
conference;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;6;0;4;2;28;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;4;0;2;2;4;0;2;0;2;2;0;0;4;0;2;2;0;2;0;0;0;0;2;0;2;4;0;0;0;0;0;2;0;0;2;2;0;2;0;2;2;0;0;0;2;4;0;2;2;2;0;0;0;2;0;2;0;2;0;0;2;2;4;8;0;0;2;2;2;4;0;0;2;2;0
cases;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;0;0;0;2;0;2;0;0;0;4;0;6;2;0;6;0;0;2;0;2;2;0;0;0;2;0;0;10;0;0;0;2;0;12;0;0;2;0;6;2;0;4;2;0;2;8;2;0;0;0;4;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;2;6;0;0;2;0;4;2;2
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;4;0;0;0;2;2;0;0;4;4;0;0;2;4;2;0;0;0;2;2;0;0;0;0;2;0;2;0;4;0;2;0;0;4;4;0;6;2;0;0;0;0;2;2;0;0;2;2;2;0;2;0;2;4;0;2;0;0;0;0;2;0;0;4;2;2;0;4;0;2;0;0;0;0;0;0;0;2
weeks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;2;4;0;0;0;24;0;4;0;4;2;12;0;0;2;0;0;0;0;0;2;2;0;2;0;4;0;0;0;2;2;4;2;8;4;0;2;0;0;0;0;2;0;4;0;0;0;0;0;0;2;0;2;0;0;0;10;0;0;0;2;0;0;0;0;0;4;0;0;2;0;0;0;0;0
address;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;24;2;0;0;2;2;12;0;0;2;0;0;0;0;0;2;2;2;2;0;0;0;0;2;2;2;0;2;12;4;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;8;0;2;0;2;2;2;0;6;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;6;0;0;0;0;0;0;0;0;2;2;6;0;0;2;0;6;8;0;2;4;0;0;0;0;0;0;4;0;0;0;0;0;0;6;2;0;0;4;0;0;0;0;0;4
holding;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;4;8;2;2;0;4;0;2;4;4;0;0;0;0;2;0;0;2;0;0;0;0;4;4;2;2;0;2;2;0;2;0;2;0;2;0;0;2;0;2;0;0;2;2;2;2;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0
outbreak;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;4;2;4;2;2;6;4;2;4;4;4;0;2;6;0;0;2;6;2;0;4;2;0;0;4;4;2;0;0;2;2;2;2;4;2;2;2;0;0;0;0;2;2;0;4;0;4;0;0;2;0;0;0;0;4;0;0;0;0;0;2;0;0;0;6;4;0;4;0;0;2
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;2;0;4;4;2;0;2;0;0;2;0;0;0;2;0;0;2;0;2;0;0;2;2;0;2;2;0;0;0;2;2;0;0;0;0;2;2;2;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;2;0;0;0;0;2;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;6;2;6;2;4;0;2;2;0;0;2;0;2;0;2;0;2;0;2;0;0;0;2;0;0;0;4;4;0;0;2;0;0;0;0;0;0;0;4;6;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;4;2;0;0;6;0;0;2;0;0;2
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;4;0;0;6;4;0;4;2;4;2;0;18;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;6;0;4;0;0;0;0;0;0;0;0;4;0;2;4;2;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;6;4;6;0;0;2
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;6;2;2;2;0;0;4;6;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;4;0;2;2;0;2;0;2;0;4;2;2;2;0;0;2;0;0;2;2;0;4;0;2;2;8;0;0;0;2;0;2;4;2;4;0;0;0
radio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;12;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;2;0;2;8;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arkansans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;6;0;4;4;0;2;0;0;0;2;2;2;4;0;0;2;0;0;0;0;0;2;2;6;0;6;2;0;2;2;0;0;0;4;2;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;4;2;2;4;0;0;0
school;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;4;2;0;0;0;2;2;0;2;0;2;2;2;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;2;2;0;2;0;0;2;0;4;2;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;2;0
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;2;4;2;2;0;0;2;2;2;0;0;0;0;0;0;0;2;4;2;0;0;2;2;0;0;0;0;2;0;0;2;2;0;0;0;2;0;4;2;0;2;0;0;0;0;2;0
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;6;0;0;2;2;0;0;0;4;0;0;0;2;0;6;0;0;0;2;4;0;0;2;2;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;8;0;0;2;0;0;0;0;0;2;0;2;0;10;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;4;0;0;2;2;2;0;4;0;4;2;2;4;4;0;2;0;0;0;2;2;4;0;0;0;0;0;4;0;0;0;2;0;0;4;2;0;2
learn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;2;0;4;0;0;2;0;0;2;2;0;2;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0
@adhpio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;2;0;0;0;0;4;2;2;0;0;4;2;4;6;0;2;2;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;6;4;2;2;0;2;4;2
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;4;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;4;2;6;0;0;2;2;4;0;2;0;0;2;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;2
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;2;2;0;2;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0
education;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;6;0;0;2;2;0;0;0;0;0;0;0;0
distancing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;4;0;2;4;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;6;4;4;0;0;2
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
130pm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0
business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0
general;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;16;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0
2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
grateful;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;2;0;2;0;2;0;4;0;0;2;0;2
announced;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
governors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0
honor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;4;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;4;2;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;4;0;0;0;2;2;0;2;0
service;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;2;0;0;2;8;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2
positive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;4;2;0;0;0;0;2;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
march;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
discuss;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
week;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0
number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;4;0;0;0;2;0;0;0
guidelines;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;4;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;4;2;0;2;0
assembly;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0
line;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;2;2
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;2;0;0;0;0;2;0;4;2;2;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0
