;trump;president;great;united;people;states;new;american;house;government;federal;news;national;administration;state;obama;white;world;country;man;democrats;republican;working;york;media;department;party;fbi;thank;best;big;donald;campaign;court;election;washington;help;job;russia;senate;former;fake;history;police;bill;good;may;security;article;congress;americans;justice;love;2016;city;year;military;america;left;trying;committee;law;hard;story;presidential;times;support;supreme;called;china;released;million;night;thing;work;clinton;post;hillary;russian;proud;senator;think;nothing;another;act;investigation;killed;win;money;political;radical;war;week;team;important;end;following;take;announce;reserve
federal;0;0;0;0;0;0;0;0;0;0;0;58;66;122;118;66;46;38;36;40;28;28;72;42;28;98;28;32;26;22;54;54;44;152;66;50;84;62;26;18;46;16;52;20;48;40;34;40;32;50;76;66;2;44;44;54;10;18;22;18;18;96;22;12;26;36;46;62;38;18;16;92;6;26;32;12;22;12;14;10;10;20;24;26;46;62;18;20;98;12;10;16;28;6;30;30;12;14;22;438
news;0;0;0;0;0;0;0;0;0;0;0;0;54;78;42;68;142;52;54;54;88;58;72;84;338;50;44;66;68;70;62;80;52;12;56;62;24;38;56;36;50;662;54;18;44;94;32;32;28;28;40;42;42;50;20;24;18;36;56;88;32;20;54;92;54;58;30;10;30;34;30;26;42;50;34;24;30;26;28;16;24;30;54;32;18;30;22;24;26;38;38;28;24;28;20;36;26;26;24;24
national;0;0;0;0;0;0;0;0;0;0;0;0;0;58;72;76;62;54;64;34;78;212;82;54;22;54;52;86;38;44;34;68;76;20;60;84;52;30;48;38;144;24;38;22;26;24;46;382;22;36;88;48;22;58;18;46;32;30;28;26;320;48;40;30;44;22;38;10;22;14;60;34;36;20;34;48;34;56;60;64;24;8;20;20;30;32;22;26;18;28;20;14;30;36;36;20;54;10;66;8
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;748;54;38;40;20;72;26;72;54;46;76;32;32;20;8;38;46;60;56;38;54;48;28;48;44;60;38;48;16;40;18;42;66;46;74;56;48;6;30;10;24;36;26;28;32;38;28;28;38;20;50;26;30;30;34;48;38;12;22;26;24;30;26;46;16;14;18;46;36;32;44;24;6;32;10;32;52;14;8;24;34;24;20;20;12
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;32;28;30;26;32;64;62;108;28;206;42;36;52;28;44;46;46;64;42;76;60;34;42;44;56;18;36;46;44;26;40;48;18;34;26;28;44;24;50;36;34;14;20;28;28;56;22;18;24;20;36;50;34;14;48;44;22;12;34;82;12;80;30;46;36;12;30;36;26;32;38;44;28;20;26;20;14;24;22;16;24;20;40;6
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;44;40;22;64;38;30;58;38;86;38;44;8;10;44;48;88;36;70;52;42;32;52;42;92;28;38;20;38;18;42;52;50;66;48;74;6;48;8;14;34;20;20;52;38;30;12;36;28;52;16;26;38;28;46;32;20;14;8;34;32;32;44;16;8;22;52;36;28;48;26;12;28;18;20;58;18;10;18;30;14;14;12;14
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;36;62;64;32;62;34;44;38;28;62;62;20;36;74;42;22;40;76;32;38;44;40;72;48;18;24;24;38;26;34;14;32;22;28;22;30;20;18;18;40;42;22;38;30;18;28;24;32;26;18;46;16;60;14;54;30;22;20;32;14;24;22;8;8;16;30;10;30;22;16;14;28;16;4;22;16;10;28;18;16;24;4
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152;36;22;10;36;18;28;22;16;8;24;70;24;8;8;14;14;12;30;44;12;14;8;22;72;6;16;34;12;50;26;28;28;12;38;16;16;32;26;46;16;30;2;12;24;24;16;14;12;10;30;52;24;24;12;24;36;14;14;14;14;24;10;22;8;12;20;6;10;10;32;26;32;78;20;14;24;38;12;24;10;22
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;50;32;70;22;44;16;26;14;50;58;44;48;20;20;42;14;36;48;20;10;24;34;64;18;12;30;10;32;12;34;48;18;68;24;12;32;66;74;40;24;12;44;54;18;24;18;36;12;24;44;12;10;18;34;44;12;10;10;6;38;20;28;34;22;28;8;18;16;28;20;42;26;4;16;34;32;12;48;16;8
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;10;24;34;44;60;22;62;34;16;22;18;10;50;16;24;16;16;10;8;24;26;26;184;6;30;24;8;8;12;8;32;24;14;40;40;16;24;24;16;10;18;10;38;4;30;6;34;38;10;28;16;48;12;12;12;6;12;14;12;16;20;18;22;14;14;132;4;6;4;6;10;20;10;10;14;18;18;10;6
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;78;32;80;26;102;30;36;32;64;48;32;22;96;44;40;28;44;100;18;84;38;8;62;36;18;26;20;60;28;32;8;58;8;32;14;24;184;130;44;30;64;38;36;22;22;20;28;16;14;24;20;36;20;22;12;32;26;10;30;28;138;38;28;8;4;58;24;48;178;14;16;10;12;22;10;60;2;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;36;54;18;400;20;28;32;52;152;92;24;58;38;20;32;12;72;40;32;50;12;52;24;20;18;18;34;20;22;16;58;22;14;14;32;44;32;120;12;42;18;140;32;20;22;36;12;24;20;36;42;26;28;18;34;8;28;78;22;18;26;14;14;2;40;12;28;30;10;16;6;14;8;16;16;10;6
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;68;58;50;32;72;32;30;24;22;16;32;24;72;34;16;32;24;42;12;14;30;28;6;52;14;50;60;40;18;16;16;8;20;24;30;28;20;42;324;18;12;8;40;16;22;34;6;24;14;18;54;10;18;12;16;42;36;16;30;18;30;14;8;14;8;18;24;4;24;30;30;12;18;30;28;8
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;52;28;36;24;28;22;58;40;22;24;30;22;8;38;20;58;38;32;34;34;28;20;32;92;22;12;30;14;22;150;20;22;18;28;16;10;14;16;60;26;436;6;10;30;10;32;18;14;14;12;22;80;22;8;16;14;16;12;26;12;28;24;22;16;10;22;14;22;18;6;12;20;14;18;14
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;50;50;16;22;40;58;44;2;30;34;14;38;34;24;18;324;28;20;16;30;18;14;16;16;18;30;10;22;10;18;12;6;48;96;14;8;48;68;42;32;8;4;18;6;18;6;20;38;18;20;16;22;22;10;12;30;30;24;8;28;16;8;4;26;24;12;22;10;20;14;6;14;6;10
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;146;14;8;24;30;66;26;54;30;46;24;50;22;48;18;6;140;12;6;42;96;14;28;26;428;4;68;54;24;10;8;18;6;28;46;18;20;40;18;20;14;12;8;70;34;14;8;24;54;18;50;52;8;4;8;12;16;28;106;22;10;18;10;10;10;6;4;16;16;30;6;10;10
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;14;22;44;58;44;24;48;18;12;26;8;40;16;30;42;12;10;24;16;14;2;14;18;18;10;32;16;14;8;22;70;28;22;12;20;12;36;28;16;22;16;22;10;16;24;24;10;28;12;24;6;28;32;20;18;30;6;2;4;46;22;24;58;12;14;6;6;16;14;24;14;6
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;12;30;52;134;10;84;44;20;26;130;44;122;34;12;20;16;16;42;66;6;44;12;158;10;88;16;10;4;4;14;22;56;50;12;30;70;22;4;2;12;4;38;4;16;24;12;76;18;78;108;2;18;16;14;8;16;206;10;12;6;16;6;6;20;12;10;22;18;6;2;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;46;16;6;18;26;22;44;52;4;36;6;18;32;18;32;42;16;10;24;32;18;12;76;8;16;26;34;42;26;18;6;26;48;14;12;8;82;20;2;14;10;2;24;14;52;8;16;6;4;36;34;14;22;12;10;4;10;16;8;14;20;0;12;22;30;20;10;28;12;8
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;12;10;6;16;22;14;56;16;12;4;28;32;4;16;46;10;14;10;12;28;14;36;6;16;28;26;18;18;18;12;18;24;26;14;20;12;4;16;16;4;12;24;98;42;8;14;16;2;22;8;34;14;26;10;6;2;22;12;16;18;16;20;40;24;14;10;20;20;8
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;30;34;30;20;34;36;20;28;12;34;32;12;36;38;18;16;10;30;14;32;14;18;22;42;26;20;28;22;12;24;30;20;12;2;16;22;16;16;14;18;26;22;16;8;18;20;8;30;24;16;16;28;24;2;2;94;16;18;24;8;28;22;18;18;10;16;16;16
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;22;104;86;30;26;56;22;34;26;30;12;18;36;30;18;24;12;28;28;18;64;12;8;10;16;20;26;44;22;12;24;138;48;14;4;34;22;12;20;32;42;6;70;26;78;34;12;10;14;10;10;16;44;4;32;18;44;4;8;24;8;8;16;20;10;0;10
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;106;38;14;8;176;36;74;24;30;0;4;22;28;12;16;16;14;66;6;154;14;8;14;10;12;36;110;12;10;28;188;38;12;10;32;10;52;18;12;24;8;118;12;106;72;6;26;4;28;14;16;56;6;28;36;26;4;8;14;26;14;18;14;2;10;8
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;24;4;6;10;12;30;0;14;16;10;8;28;16;6;20;30;78;8;6;12;12;10;12;12;6;2;94;6;2;8;10;12;582;8;4;12;6;12;2;4;2;4;0;2;4;8;2;2;16;50;8;6;32;10;8;6;8;12;4;14;6;12;14;14;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;28;26;120;78;28;30;44;4;8;30;26;18;14;18;36;54;4;316;6;16;6;24;40;62;104;16;22;18;196;22;14;12;32;6;28;14;26;20;8;38;12;54;134;4;18;8;28;16;10;84;10;78;6;32;24;12;24;12;38;12;24;16;8;10
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;18;40;34;32;16;34;14;14;6;10;18;26;10;28;18;8;40;8;20;10;16;14;28;24;14;20;44;32;20;24;10;20;10;16;18;22;6;20;8;178;16;36;6;18;8;16;18;16;26;14;24;10;32;6;8;20;16;10;8;14;8;4;12
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;26;28;4;2;12;36;30;20;18;16;24;36;30;14;14;34;28;20;26;16;16;26;18;18;42;16;32;16;40;4;24;2;4;68;8;14;26;0;18;6;14;24;14;20;32;8;26;8;10;38;32;16;14;4;14;8;24;14;8;10;18;14
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;18;14;26;20;12;14;62;4;14;6;20;42;18;16;16;10;12;16;16;6;18;8;10;14;4;6;8;20;6;4;12;18;14;18;28;28;10;10;10;8;22;16;30;10;8;8;10;4;26;10;20;16;10;4;20;16;14;10;14;6;30
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;46;28;14;2;6;8;30;24;10;26;4;44;2;136;4;6;10;2;20;22;78;18;8;34;94;32;10;4;14;30;28;10;2;24;4;20;18;22;92;0;6;4;22;16;10;78;4;24;12;18;14;16;18;16;20;12;2;8;2;4
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;12;28;4;164;22;36;26;14;36;26;20;8;60;6;26;18;6;26;26;180;22;30;14;32;20;18;14;26;0;28;12;22;30;8;8;12;8;58;4;66;8;28;30;52;30;6;28;10;16;24;6;34;4;26;32;14;8;16;2
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;16;36;18;10;40;104;8;28;10;48;4;50;32;8;16;2;8;8;72;12;8;16;44;24;4;16;6;12;28;14;28;8;10;50;34;34;42;8;14;0;4;18;6;66;10;6;22;8;8;14;20;8;0;14;12;6;18;12
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;12;16;32;2;16;14;14;14;14;22;12;8;10;10;14;48;80;18;8;38;74;14;36;8;0;18;14;12;4;14;44;12;20;20;20;14;10;10;18;40;36;2;14;4;6;8;26;28;6;10;20;18;14;4;12;6;8
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;22;2;20;14;14;24;16;12;10;30;10;28;22;30;20;18;10;30;8;28;40;14;10;14;24;10;6;24;26;18;12;16;18;18;4;30;6;12;18;14;10;6;14;14;10;54;20;24;8;8;32;16;4;6;14;22
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;26;6;2;6;10;24;0;8;54;24;14;14;20;4;0;20;6;26;2;14;6;12;18;0;24;10;32;6;10;0;2;2;0;8;2;2;8;16;8;24;114;4;6;0;12;4;6;0;4;6;14;8;8;0
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;32;20;2;68;24;10;4;8;34;14;30;16;16;50;22;50;20;10;6;12;20;4;18;2;16;12;20;18;16;38;10;18;4;12;26;12;14;26;68;14;2;16;6;14;16;6;32;8;8;10;10;10;10;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;14;8;16;14;12;40;18;10;22;6;20;20;14;6;16;20;16;16;26;12;8;8;18;10;8;26;46;22;18;20;20;12;16;30;34;34;10;16;8;4;24;8;10;12;4;18;12;6;10;8;12;16;32
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;42;18;16;22;6;30;12;12;6;8;2;12;30;16;4;24;18;8;6;22;16;2;16;12;18;8;14;14;20;12;22;2;6;10;2;34;24;20;12;8;6;8;2;8;14;4;10;20;12;8;10;8
security;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;30;58;24;6;18;16;12;16;16;14;10;24;22;18;16;12;18;18;8;4;12;14;14;8;8;8;10;20;12;38;12;6;10;10;10;26;30;10;6;12;12;14;14;12;12;16;16;16;16;16;4
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;16;6;16;6;8;8;14;12;14;6;12;10;14;14;76;8;4;20;14;10;18;10;8;8;14;56;16;10;6;10;6;4;6;4;12;2;4;4;8;6;12;10;2;8;8;44;8;2;10
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;22;2;12;14;12;20;18;20;26;8;20;16;10;10;20;18;16;22;4;14;14;10;12;20;12;4;10;34;18;24;16;24;18;62;30;2;10;16;16;22;12;14;6;14;34;8;14;10;10
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;18;18;6;16;18;16;14;20;6;16;30;12;12;6;24;28;16;2;14;48;14;14;40;8;14;8;10;18;14;24;14;12;36;6;18;10;8;16;22;10;12;2;34;14;16;12;20;10
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;56;14;10;10;10;10;6;24;46;10;14;40;14;14;56;14;6;18;12;4;22;12;26;14;26;40;6;6;8;6;6;26;88;8;10;14;10;12;14;4;4;18;22;24;2;14;8
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;26;10;24;16;8;2;6;10;26;4;4;26;8;14;10;10;2;12;26;18;4;14;4;2;14;10;14;12;6;4;0;0;14;4;4;6;10;2;18;16;8;6;8;12;2
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;30;6;8;24;16;90;16;6;10;250;12;8;4;16;4;34;10;16;10;8;28;22;44;100;6;12;6;8;12;6;68;6;42;10;18;16;4;10;12;14;8;4;10;12;20
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;10;18;14;6;2;10;12;4;14;10;10;4;12;4;22;38;18;4;10;2;8;2;2;24;6;4;6;8;10;12;32;6;10;14;12;2;8;14;10;6;16;16;18;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;20;20;18;6;18;4;8;6;8;20;10;16;12;16;64;6;6;4;2;14;4;6;16;8;8;8;24;16;10;26;16;4;8;8;12;6;12;6;18;10;10;6;14
military;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;8;18;14;16;14;6;6;14;22;8;8;22;4;8;4;2;10;4;8;4;14;28;18;14;8;8;8;0;24;4;14;8;14;20;4;2;20;6;4;20;12;2
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;18;6;10;30;4;6;8;14;8;10;28;10;12;8;4;16;4;18;6;6;32;18;16;10;10;22;6;8;8;10;12;26;22;0;6;10;10;8;16;18;6
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;12;14;14;18;16;14;12;12;22;6;4;4;16;18;12;8;10;4;2;0;12;16;78;8;12;6;12;14;4;10;330;20;6;8;12;14;4;42;2;8
trying;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;26;36;14;14;10;2;4;10;12;8;8;12;20;6;16;14;22;22;6;10;18;34;14;8;6;4;14;14;28;26;10;8;6;6;4;4;44;2;2
committee;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;8;64;18;10;2;4;2;58;14;8;6;10;46;10;52;104;4;14;4;8;16;12;34;6;8;14;20;8;2;18;12;8;6;14;4;14;0
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2;10;8;14;78;4;2;6;10;12;6;18;10;12;8;16;18;12;2;18;14;52;26;4;6;12;14;12;12;8;2;20;12;10;8;12;2
hard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;10;12;2;16;18;4;16;8;14;126;4;12;6;12;26;32;14;20;4;12;0;10;8;6;6;12;0;6;20;20;0;8;20;14;10
story;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;54;4;4;10;14;8;4;20;20;12;14;28;16;22;8;18;16;24;32;2;8;8;6;8;16;14;12;28;8;8;6;28;8;0;6
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;8;2;22;10;28;8;24;18;6;62;14;74;82;4;28;6;6;12;6;50;0;30;6;30;10;10;14;10;14;16;6;6;2;8
times;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;26;10;10;14;6;10;2;16;20;18;14;8;10;10;10;14;4;26;6;8;12;6;14;10;12;2;6;10;12;12;6;10
