;president;great;trump;states;united;people;new;house;government;american;news;federal;administration;democrats;national;white;state;man;obama;party;republican;good;country;world;police;media;election;department;investigation;working;fbi;fake;congress;thank;york;donald;history;support;thing;washington;may;post;help;americans;called;senate;think;security;russia;article;hillary;russian;campaign;left;story;bill;times;act;justice;big;decision;free;court;clinton;former;senator;proud;released;military;billion;republicans;political;committee;war;presidential;america;north;important;year;following;best;trying;radical;democrat;job;order;law;could;million;end;deal;city;china;life;amazing;texas;nation;james;lot;greatest
federal;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;2;8;2;8;2;0;2;0;4;6;2;4;2;6;4;0;0;2;6;2;6;2;6;2;0;2;0;0;4;0;6;2;0;2;0;6;2;2;0;0;2;2;2;2;0;6;2;6;6;4;0;2;0;2;0;0;2;8;4;0;0;0;2;2;4;0;2;0;4;2;2;4;0;2;0;0;2;0;0;0;0;4;4;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;4;4;0;40;0;2;0;0;0;2;6;4;2;2;4;0;4;12;0;6;0;0;4;4;4;2;2;2;4;2;0;2;6;2;2;0;2;0;4;0;0;6;4;0;2;4;2;6;0;4;0;4;4;4;4;2;4;0;2;0;2;0;4;0;0;0;2;2;2;2;2;0;0;4;4;4;0;2;0;4;0;4;0;2;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;0;2;4;4;4;2;6;2;0;6;6;0;0;6;4;0;6;0;2;0;2;0;2;10;0;4;2;6;0;4;4;4;4;0;2;2;2;18;0;4;4;2;0;0;4;0;0;0;0;2;0;0;0;2;10;2;2;2;0;4;0;2;0;0;2;4;18;6;0;0;6;2;4;2;4;0;6;0;0;0;2;2;2;2
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;0;8;0;0;4;4;0;6;2;4;0;4;0;2;2;0;2;2;0;2;4;4;4;0;4;4;2;0;24;2;2;0;2;2;4;0;2;0;2;0;2;2;2;0;0;4;2;0;2;2;0;2;0;16;0;0;4;0;2;2;2;2;2;4;2;0;0;2;4;2;2;0;0;0;0;4;0;0;2;2;2
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;2;2;4;0;6;2;0;2;0;6;4;8;0;4;2;6;2;2;2;0;6;0;2;0;2;4;0;0;8;4;2;4;0;0;2;0;0;4;0;0;2;4;4;0;4;6;0;4;0;2;0;2;0;2;2;0;0;4;2;2;0;0;0;0;4;0;2;0;0;0;2;0;0;2;0;2;0;2;6;4;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;0;0;2;0;4;16;2;2;6;2;2;6;8;0;4;2;0;0;4;0;0;0;4;0;0;0;0;2;4;2;4;0;0;0;2;0;0;0;0;0;0;4;4;2;4;4;6;4;0;0;0;0;2;0;4;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;2;2;10;0;0;2;2;2;2;0;0;2;0;0;0;2;0;2;2;2;0;0;0;0;0;4;0;0;0;2;0;0;4;0;0;2;0;0;2;2;2;0;4;2;0;2;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;2;0;0;0;4;0;0;0;0;2;6;2;4;2;2;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;2;2;0;0;0;0;6;2;4;0;2;0;0;4;0;2;2;4;2;2;0;2;2;4;0;0;0;2;0;2;6;2;0;2;6;2;6;0;8;0;0;2;6;2;8;4;0;4;4;2;2;0;2;0;2;0;0;2;0;2;0;0;0;0;4;0;4;0;2;0;4;0;2;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;4;8;2;0;2;0;2;0;2;0;4;6;8;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;2;2;0;4;0;4;2;0;0;4;0;0;4;0;2;0;2;0;10;2;2;2;0;2;2;0;0;2;0;0;0;0;0;0;2
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;2;0;2;2;4;0;10;2;0;4;0;4;2;0;0;4;0;2;0;0;0;2;0;6;4;0;2;0;2;0;2;2;0;0;0;0;4;0;2;0;0;2;0;6;0;8;0;0;2;0;4;2;0;4;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;0;2;0;4;0;4;0;0;2;2;0;2;2;0;0;2;6;2;0;0;2;0;2;2;0;0;0;2;0;0;2;2;2;2;0;2;2;2;0;0;4;0;0;0;0;0;0;0;4;2;4;2;2;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;4;0;2;4;2;2;0;0;0;0;6;6;4;2;0;0;0;2;2;0;4;0;0;0;2;0;0;2;4;0;0;0;0;2;2;0;0;2;2;4;4;0;2;0;0;4;2;4;4;4;0;0;2;0;4;0;4;0;0;2;0;4;0;0;0;0;0;0;2;0;0;0;0;4
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;2;0;0;2;6;0;6;0;0;0;2;4;0;2;0;4;0;0;0;0;0;2;4;2;0;0;0;2;0;4;0;0;2;2;2;0;2;2;2;0;0;8;0;4;2;0;2;4;4;0;6;0;2;2;0;2;0;0;0;2;0;2;6;0;4;0;0;4
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;0;0;4;0;0;6;0;0;0;4;0;0;2;0;0;0;0;0;4;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;2;0;2;2;0;2;0;4;0;0;0;0;0;0;0;4;0;0;2;0;0;2;2;2
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;8;2;14;2;4;4;0;4;0;2;4;0;2;0;2;2;2;2;0;2;0;2;2;2;0;6;4;2;0;2;0;0;4;2;2;0;0;0;2;4;2;0;0;0;0;0;0;0;2;0;0;2;4;0;2;4;2;0;0;0;0;2;0;2;0;2;0;0;0;0;4
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;12;2;10;0;4;2;0;0;4;2;0;0;6;0;2;2;0;4;2;0;8;0;0;10;0;2;0;0;0;0;0;0;4;4;4;0;0;2;0;2;0;0;0;2;6;2;8;0;0;0;0;0;0;0;2;2;0;0;0;2;4;0;0;0;2;0;0;2;0;0;0;0
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;0;2;6;0;2;4;0;2;4;4;0;0;0;0;0;4;0;0;2;2;2;0;2;0;4;2;14;0;0;0;0;2;2;0;0;4;0;2;0;0;0;0;0;0;0;4;0;2;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;2;2;2;0;0
investigation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;2;4;0;4;0;0;0;0;2;2;2;2;0;4;4;2;4;2;0;4;12;0;2;0;0;4;0;2;0;4;0;0;4;8;0;0;4;0;0;0;0;8;0;4;0;0;0;0;2;0;2;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;8;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;4;2;0;0;2;0;2;2;2;4;0;2;0;2;0;0;0;2;0;0;2;0;0;2;0;0;6;0;2;0;2;0;0;4;0;4;0;2;0;0;2;0;4;0;4;0;2;2;0;2;0;0;0;4;0;2;4;0;2;0;0;2;4;2;0;2;2
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;0;0;2;4;4;2;0;0;2;2;2;2;6;0;6;6;4;2;2;0;4;0;0;2;2;2;0;6;10;0;0;0;0;0;2;0;4;0;4;0;0;0;0;0;2;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;14;0;0
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;8;2;2;2;0;2;4;2;2;0;0;0;2;0;2;0;4;2;2;2;0;0;0;0;0;4;0;2;0;0;2;2;2;2;0;2;0;0;0;2;2;0;0;4;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;4;0;4;2;0;0;4;2;0;2;0;2;0;2;4;4;0;0;4;0;2;0;0;6;2;6;2;2;2;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;2;0;2;0;0;0;0;0;2;0;2;2;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;2;0;0;2;0;2;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;4;0;2;0;2;0;2;0;0;2;0;2;2;2;0;6;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;4;2;2;0;0;0;2;2;2;0;0;0;26;0;0;0;0;0;0;2;2;2;2;4;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;2;0;0;8;0;0;2;0;0;4;0;0
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;4;0;6;2;4;2;0;0;2;0;0;2;4;2;6;8;0;0;2;0;0;0;0;0;2;0;10;0;0;2;0;2;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;4;2;0
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;2;0;4;2;2;0;0;4;0;0;4;0;0;0;0;2;2;0;0;0;0;4;2;2;2;2;6;0;2;4;0;0;0;2;2;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;2;0;12
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;6;4;0;0;0;0;0;0;0;4;0;4;4;0;0;0;0;0;4;0;2;0;0;0;2;0;2;2;0;2;0;2;0;0;2;0;0;0;2;0;0;2;2
thing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;4;0;0;2;2;0;0;0;0;4;2;2;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;8;2;0;10;2;4;0;0;0;0;4;0;2;0;0;0;4;2;0;0;0;0;0
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;16;2;0;2;2;2;4;4;2;0;0;0;2;2;0;4;0;2;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;4;2;0;0;2;0;0;0;0;0;2;0;0;0;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0
post;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;6;0;0;0;0;2;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;6;4;0;0;0;0;0;4;2;0;0;0;0;0;0;0;2;0;2;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;4;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;4;2;0;0;2;0;2;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;2;0;0;0;2;0;0;2;0
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;4;2;4;0;4;0;0;6;0;4;0;2;4;2;0;0;0;4;0;0;0;2;2;2;0;0;0;0;2
called;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;2;0;2;2;4;2;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;4;0;0;0;0;0;0;2;2;2;4;0;0;0;0;0;0;2;0;2;0;0;2;0;2;4;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;4;2;2;0;8;0;4;2;4;6;0;0;2;0;2;0;0;2;2;10;0;8;0;0;0;0;2;4;0;0;0;2;2;0;0;0;0;2;2;2;0;0;0;0;0;2;2;0;0
think;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;4;0;2;0;6;0;0;6;0;2;2;0;0;0;0;0;0;2;0;0
security;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;4;0;2;0;2;2;4;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;4;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;4;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2
hillary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;2;0;2;4;4;0;0;24;2;2;0;6;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2
russian;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;0;0;0;2;0;0;2;2;2;0;2;0;0;0;0;6;0;2;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;2
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;4;4;0;0;6;0;0;0;0;4;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;6;24;2;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0
story;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;2;0;2;0;0;0;4;0;2;0;0;2;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;2;2;2;0;0;0;4;4;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0
times;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0
act;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;4;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;2;0
decision;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;2;0;0;0;0;0;0;2;6;2;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0
free;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0
clinton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;8;0;0
senator;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;4;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0
