;trump;great;president;united;states;people;new;house;american;national;federal;news;government;state;white;administration;country;man;working;department;world;obama;fbi;democrats;republican;campaign;thank;senate;party;election;donald;help;big;york;2016;job;washington;police;love;history;best;justice;russia;presidential;court;media;may;americans;good;hillary;committee;military;clinton;former;year;article;fake;security;america;law;million;china;called;bill;investigation;killed;city;team;congress;times;hard;proud;thing;left;released;support;announce;strong;vote;war;post;act;political;story;work;democratic;supreme;economy;trying;important;another;fact;think;reserve;russian;family;report;bernie;amazing;radical
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;14;8;8;22;20;16;12;12;14;8;4;30;20;12;4;28;16;8;10;0;16;14;8;6;2;20;10;20;12;4;6;14;4;6;8;2;12;8;12;16;6;10;4;12;6;2;10;22;18;2;122;14;6;12;4;24;14;12;6;2;4;10;6;8;14;8;2;12;4;18;2;8;14;2;8;6;4;12;14;16
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;24;56;6;12;22;8;14;2;6;6;14;8;12;22;6;12;56;2;2;4;150;24;16;4;8;10;12;4;18;18;6;14;16;8;10;0;34;6;18;10;4;12;0;40;10;14;2;6;2;0;6;4;2;18;18;6;0;2;4;12;4;2;2;12;6;0;0;2;2;8;8;6;0;12;10;8;2;2;2
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;4;0;10;8;2;2;10;8;4;8;12;4;12;4;4;8;16;24;2;4;8;2;8;2;6;12;4;0;20;2;0;4;8;6;10;16;4;6;20;6;0;2;0;12;12;4;6;14;12;12;8;4;0;8;8;4;26;0;2;6;12;6;2;2;16;2;10;6;4;0;4;2;10;4;2;12;10
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;12;16;22;2;4;4;16;10;12;14;12;12;10;22;8;0;14;6;24;18;12;12;4;6;12;4;8;8;4;6;20;14;18;8;14;4;10;10;12;6;4;12;6;2;6;12;14;2;0;6;0;14;6;0;0;4;8;12;12;10;4;6;0;8;4;18;2;14;10;4;0;8;6;14;0;4;2
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;2;46;6;24;8;34;20;6;6;10;46;16;16;10;0;6;4;64;44;34;0;16;18;4;10;42;30;0;30;48;4;6;10;16;2;18;0;0;4;2;60;10;8;12;18;12;2;0;14;10;10;0;0;2;6;2;14;6;16;10;2;10;0;0;8;6;4;4;4;2;26;8;20;4;4;10
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;22;8;36;40;34;22;4;20;14;24;8;18;0;8;10;14;8;20;12;4;20;0;12;20;10;12;6;14;10;8;4;18;8;8;4;2;4;14;8;20;6;0;2;18;8;10;8;10;58;10;6;2;4;20;10;6;10;14;4;8;20;2;6;36;4;10;10;12;6;6;0;6;12;4;52
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;8;16;126;18;66;12;18;12;34;6;20;4;10;16;6;8;2;58;10;8;10;2;6;20;36;10;14;8;8;0;16;6;2;0;12;2;8;8;0;4;2;2;18;0;10;4;4;12;2;6;2;16;28;2;8;4;8;4;6;14;14;4;10;4;8;4;4;4;0;2;6;6;2;12
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;26;16;34;34;4;16;20;62;6;12;0;4;8;4;20;68;48;8;16;12;10;10;32;60;2;46;18;2;10;14;6;0;4;8;2;14;2;28;2;4;20;2;12;4;6;8;6;28;12;8;8;8;6;12;2;10;4;2;28;6;0;6;4;10;6;4;0;20;2;12;22;0;6
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;6;8;6;14;26;4;0;24;6;6;22;8;2;4;4;2;6;0;2;14;10;2;6;20;2;4;10;6;8;4;10;10;4;4;2;10;2;0;4;8;6;4;10;8;4;2;2;20;10;8;14;4;4;6;4;6;30;2;4;6;6;8;0;4;6;2;2;2;4;2;24;4
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;26;2;10;8;6;28;14;4;2;6;12;4;10;20;14;6;6;14;8;6;4;82;6;4;12;6;2;8;6;4;6;4;2;4;58;24;0;0;6;6;4;2;2;8;6;14;8;4;10;30;2;0;18;4;12;2;10;4;4;6;14;2;4;6;6;24;2;12;4;4;6
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;34;8;14;8;14;0;12;2;6;20;2;6;8;24;2;12;8;6;10;22;18;2;18;8;8;4;22;2;6;0;6;4;8;2;0;2;2;0;6;4;8;2;10;14;8;10;0;6;18;6;8;4;16;6;4;50;4;4;8;4;6;6;2;4;2;2;4;18;2;12
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;6;16;4;128;10;10;2;2;20;6;10;36;92;8;8;8;6;10;22;36;4;18;4;6;4;10;4;2;2;6;2;14;0;28;2;0;2;10;2;8;2;10;8;12;4;4;8;24;0;6;2;12;4;2;8;8;6;12;10;2;14;8;2;42;0;14;8;2;2
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;14;18;30;4;18;2;8;2;4;12;10;60;6;14;6;2;8;40;14;8;40;12;0;4;8;10;4;0;0;4;4;4;4;0;6;6;4;14;10;0;4;10;10;8;2;10;2;2;10;2;4;4;4;22;2;6;4;2;6;12;2;2;4;0;6;6;4;6
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;10;10;8;6;10;2;8;4;8;8;0;2;4;24;10;0;2;14;0;10;8;12;4;4;8;6;22;12;8;4;4;4;8;10;12;0;12;10;4;8;2;10;10;6;10;4;6;6;0;2;14;0;0;18;4;2;4;2;0;10;0;4;0;0;8;10
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;16;4;10;14;0;14;6;14;8;8;8;2;18;6;16;4;12;10;2;10;4;12;4;10;4;2;8;0;8;2;2;2;6;2;2;10;10;6;10;2;10;8;16;16;2;10;4;6;8;4;6;4;4;10;8;4;4;12;6;4;8;0;8;2;6
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;22;12;8;6;10;6;8;4;4;4;4;4;10;14;4;2;12;18;8;24;8;0;6;6;4;0;10;14;12;8;48;6;6;132;10;2;4;2;4;0;0;4;0;4;18;2;2;24;4;8;4;4;4;0;10;4;4;6;2;10;6;6;4;2
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;4;0;18;4;26;50;134;6;10;10;4;12;22;42;2;22;10;10;4;10;8;2;8;8;2;14;2;40;8;4;10;8;0;6;4;2;8;18;6;6;6;18;0;2;6;6;8;8;12;4;4;6;4;2;12;12;2;44;4;10;8;2;2
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;10;6;18;2;2;0;2;8;2;6;16;4;4;10;4;4;2;0;8;4;8;4;2;0;6;10;2;0;2;8;12;2;16;10;12;4;0;10;6;20;2;2;2;6;4;6;12;0;2;14;10;4;2;4;8;2;4;4;2;6;28;8
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;8;12;16;16;14;8;6;12;2;10;18;6;6;14;16;0;4;14;8;8;6;6;2;10;6;10;0;2;0;4;12;4;6;4;6;8;6;10;6;0;0;60;2;6;8;8;4;4;4;0;2;0;16;8;2;10;4;22;6;4;4
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;6;8;0;4;6;4;6;2;2;0;0;2;0;4;8;4;0;2;6;10;2;4;8;6;4;54;24;0;0;0;6;4;0;4;4;0;6;0;0;2;0;4;0;14;6;0;2;0;8;6;0;2;0;0;0;10;4;0;10;0
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;12;2;0;0;0;8;4;8;8;6;0;20;4;2;0;6;4;0;14;2;0;0;2;12;0;2;6;4;2;4;8;12;2;0;0;8;2;6;0;2;0;2;2;4;12;2;0;0;4;6;2;4;2;2;0;20;2;4;10;0
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;0;8;4;14;10;8;2;6;2;10;4;6;6;14;20;8;6;8;8;6;6;4;2;2;2;0;0;6;6;6;4;8;6;6;6;0;2;4;10;0;38;4;0;2;6;10;8;6;8;8;8;2;2;2;8;4;4;8
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;4;6;0;6;10;2;6;8;2;2;16;4;8;4;8;4;2;4;8;6;2;4;8;16;6;8;10;4;28;4;0;6;10;6;4;4;6;0;0;8;12;6;2;8;8;4;6;4;6;6;2;0;0;8;8;2
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;20;26;8;12;6;2;14;16;6;10;18;0;6;0;10;6;24;2;0;8;0;44;2;4;4;6;2;4;6;6;2;2;10;4;4;0;2;14;6;2;2;4;8;20;0;0;2;6;4;0;0;14;4;8;6;0;4
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;4;16;8;4;4;4;26;2;6;20;2;4;16;6;4;2;0;12;14;0;34;4;2;2;0;10;6;0;8;4;4;4;0;2;10;6;8;6;12;4;2;10;0;2;10;0;4;10;4;0;28;0;8;0;4;2
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;14;6;2;4;26;26;6;22;6;6;4;10;12;2;4;4;2;10;0;28;2;2;6;8;4;8;4;4;2;14;6;6;8;14;2;4;2;10;6;2;34;6;0;4;6;2;6;12;0;34;0;6;16;0;2
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;12;0;4;0;8;2;2;2;0;0;4;4;22;6;4;0;6;0;6;4;0;16;0;2;2;2;2;2;0;8;0;14;2;2;14;6;2;4;0;162;0;2;10;4;0;0;0;2;6;0;4;4;4
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;6;2;6;8;2;6;2;4;4;92;4;6;0;4;0;8;4;2;4;2;0;6;2;8;0;8;6;0;0;2;4;0;4;2;2;14;14;2;8;0;2;18;0;2;14;10;0;14;2;6;2;6;8
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;2;10;6;2;14;14;22;6;4;2;4;2;2;16;8;2;8;2;2;4;8;2;2;2;2;2;0;4;0;8;2;4;4;4;8;0;10;12;2;0;4;12;6;2;2;6;6;4;2;2;0
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;8;4;2;8;6;8;22;22;4;10;4;0;12;0;8;0;4;10;4;10;16;6;6;6;6;10;4;8;6;4;18;8;2;10;2;8;10;10;6;2;4;6;0;2;4;4;4;4;8
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;4;0;14;4;0;4;8;2;10;4;4;2;10;2;2;2;2;14;0;6;14;6;12;6;14;6;6;6;4;2;8;0;0;6;8;4;0;8;4;2;10;8;4;6;4;2;4;6;2;2
hillary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;190;38;0;4;6;2;0;2;4;2;2;0;24;0;0;2;6;12;6;2;8;2;14;6;4;2;6;0;6;2;8;12;2;46;2;2;4;4;4;18;10;2;8;0;12;30;2;2
committee;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;20;8;2;6;12;0;4;12;0;6;0;30;0;0;4;6;4;0;0;0;0;22;4;2;2;6;2;0;2;0;0;4;56;2;0;4;2;2;6;2;2;36;0;26;10;4;2
military;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;8;0;12;4;6;4;10;4;6;0;12;4;4;8;0;16;10;4;8;0;14;4;20;2;12;0;6;4;2;2;0;8;16;0;12;2;4;0;0;4;0;2;2;8;14
clinton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;2;2;8;2;0;2;2;4;4;4;14;0;0;2;6;12;2;0;6;0;20;8;2;2;8;0;8;2;8;10;2;38;2;2;4;6;4;20;4;4;4;0;12;26;0;2
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;0;34;0;2;4;8;12;8;28;2;6;10;16;14;2;6;0;2;6;2;8;4;4;2;2;4;6;10;4;10;0;2;0;6;2;4;2;0;4;0;2;4;0;2
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;8;10;2;8;2;4;2;2;4;6;6;4;2;4;8;12;8;6;2;16;2;0;4;4;6;2;0;8;4;0;12;2;8;2;10;0;6;4;6;4;2;8;6
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;8;2;2;4;8;2;4;0;10;6;2;20;2;0;4;4;2;2;0;2;0;8;16;0;6;8;0;2;0;0;0;4;6;6;4;4;0;4;2;2;2;6
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;2;12;2;2;0;4;0;2;6;8;2;8;8;2;0;0;0;10;2;8;2;10;14;0;8;0;2;18;0;4;8;6;2;8;0;10;8;10;6
security;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;8;2;2;6;12;0;2;6;4;0;2;4;4;4;8;0;8;6;2;2;4;2;0;2;6;4;4;0;0;4;4;12;0;0;2;2;4;2;0;0
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;2;8;4;2;4;6;4;2;2;4;12;8;6;2;10;12;12;6;6;2;4;2;8;0;4;4;4;6;2;4;4;6;2;0;2;0;4;10;16
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;20;8;4;6;4;6;2;2;6;2;2;0;0;2;0;8;0;4;10;0;0;6;2;12;0;2;2;4;0;2;2;4;4;2;0;4;4
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;8;2;6;0;2;2;0;2;4;10;10;2;0;4;2;4;0;0;8;0;8;4;0;0;4;2;0;2;0;2;2;0;0;0
china;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;2;0;2;2;0;6;0;2;2;4;2;2;0;0;4;0;0;2;0;8;4;4;10;4;4;2;0;6;2;0;0;4;2;2;0
called;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;2;4;2;2;12;0;0;6;6;6;2;2;0;0;6;6;4;4;10;8;8;2;2;4;2;4;2;6;2;4;2;8;0;6;2
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;14;4;16;6;10;12;2;4;0;4;6;4;20;4;2;20;2;4;0;2;2;8;4;6;4;0;4;0;0;6;2;0;2;2
investigation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;6;6;12;2;0;4;8;6;2;0;0;0;0;8;4;2;2;2;6;0;0;4;2;2;0;8;0;36;2;10;0;0;4
killed;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;4;0;0;2;6;8;2;0;0;0;6;0;4;0;8;0;0;2;0;6;4;8;4;2;0;2;16;2;0;0;4
