;#covid19;#teamkentucky;#togetherky;beshear;governor;live;watch;#healthyathome;kentuckians;update;visit;information;thank;ab;et;kentucky;updated;5;shares;#healthyatwork;#patriot;help;together;testing;via;gov;todays;health;conference;protect;safe;care;andy;commonwealth;new;news;tune;4;remember;facebook;fight;full;state;june;reopening;take;updates;tomorrow;across;lets;may;week;honor;weekend;guidelines;2;locations;10;register;follow;economy;following;share;yesterday;shared;tonight;mask;call;lost;louisville;wear;cases;please;work;making;spread;daily;stay;public;next;states;support;thing;proud;important;green;continue;lives;special;steps;family;place;guidance;masks;home;workers;people;#socialdistancing;communities;reopen
conference;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;50;2;8;0;0;4;6;0;0;0;0;6;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;6;0;0;0;2;0;0;0;2;0;2;6;2;0;2;6;2;2;0;6;6;0;0;4;0;10;2;2;2;6;6;0;12;2;2;0;10;4;4;0;2;2;4;0;2;0;0;0;8;4;2;0;2;4;2;6;6;2;2;4;0;0;2;2;4;2
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;0;0;0;14;0;4;0;0;4;8;2;2;2;0;2;4;6;0;10;10;2;0;4;0;12;12;0;2;2;0;0;2;4;0;0;2;0;4;2;2;4;4;16;4;2;0;0;2;2;0;2;2;2;2;2;0;6;4;0;0;4;2;4;0;8
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;4;0;4;0;2;2;0;6;2;0;4;0;6;0;0;4;0;4;0;2;2;2;4;0;2;0;2;0;4;0;2;2;4;0;2;0;0;0;2;2;0;2;4;2;4;0;0;4;0;0;4;2;2;10;2;2;2;4
andy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;4;0;0;20;4;4;2;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;12;0;0;2;2;0;0;0;10;0;0;0;0;0;0;0;0;2;0;12;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
commonwealth;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;4;6;0;6;6;4;10;6;6;2;6;26;2;2;8;6;2;2;2;8;0;6;2;2;0;2;0;0;2;0;2;2;0;0;0;2;6;0;2;2;2;6;0;2;0;2;2;2;0;6;2;0;4;0;2;0;0;2;0;0;4;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;4;4;4;4;0;0;4;2;6;0;8;2;0;4;4;8;0;8;2;2;0;0;6;2;0;0;0;0;4;0;2;0;2;2;0;2;0;2;4;2;2;0;2;0;0;0;2;2;4;0;2;2;2;0;0;0;2;8;2
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;2;0;0;0;0;0;4;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;8;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
tune;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2;2;0;0;0;2;8;0;4;2;2;0;0;6;0;4;2;0;0;2;0;0;2;0;6;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;20;2;4;6;8;2;2;0;4;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;4;0;8;0;0;0;0;6;0;0;8;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;0;0;0;2;0
