;love;oh;thank;donald;cant;god;new;man;good;@meredthsalenger;watch;yes;wow;great;everyone;show;fun;film;wait;shit;hope;movie;gonna;amazing;best;people;thread;please;guys;still;holy;ive;special;#iloveeverything;think;thanks;happy;little;hes;dude;brilliant;@netflix;trump;saturday;thing;fuck;help;mean;alice;hilarious;take;tickets;lets;end;tune;seen;theres;2;president;listen;times;talk;sorry;give;comedy;days;twitter;die;ha;hey;tomorrow;next;life;left;#illbegoneinthedark;hell;big;beyond;episode;miss;something;could;beautiful;someone;fascinating;goes;gorgeous;friend;guy;gets;yeah;work;season;safe;cuz;grab;probably;gotta;fan;tweet
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;6;6;0;4;4;8;6;0;2;0;2;4;0;4;0;4;8;0;2;6;2;0;2;4;2;10;0;2;2;0;2;2;2;8;2;0;6;4;0;4;2;4;0;0;4;4;2;4;2;0;2;0;0;2;2;0;2;0;0;0;2;2;2;2;2;0;4;0;2;0;0;6;2;0;0;0;2;0;0;0;2;2;2;2
yes;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;4;2;0;0;2;0;2;0;6;0;0;0;2;2;2;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;2;0;2;0;0;8;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0
wow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;4;0;2;6;0;6;0;2;0;2;0;2;0;0;6;0;0;0;0;2;2;0;2;2;0;2;4;0;2;0;4;2;2;0;0;0;4;0;2;2;0;4;0;2;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;4;2;0;0;0;2;6;2;2;2;0;0;2;4;2;0;0;0;0;2;0;0
everyone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;10;0;2;10;0;0;6;12;0;2;0;2;0;0;2;2;6;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;4;2;0;0;0;2;2;0;0;0;0;2;6;2;0;2;0;4;0;2;0;0;2;4;2;0;0;0;0;4;0;0;0;2;6;2;2;0;0;4;0
show;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;4;0;6;4;6;0;0;0;2;2;0;0;0;0;2;0;4;0;2;2;0;2;4;18;0;0;2;0;0;2;2;10;0;0;2;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;8;0;4;12;0;0;0;2;4;6;0;2;0;2;0;8;2;0;0;0;0;0;0;0;0;8;2;0;0;0
fun;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;2;0;2;0;0;2;0;0;0;0;0;0;8;0;0;2;2;0;0;0;0;0;0;0;2;0;6;0;0;2;0;6;0;0;6;0;4;2;6;0;2;0;0;0;0;0;0;0;4;0;2;0;2;0;2;2;2;0;0;4;0;0;4;0;4;0;0;0;0;2;0;2;2;0;0;0;0
film;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;4;0;10;4;2;0;2;0;4;0;4;2;0;4;0;2;2;2;0;8;2;0;4;2;0;0;0;2;2;0;2;0;4;2;6;0;0;0;0;2;2;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;2;0;0;2;0;2;2;2;2;6;0;0;0;0;0;0;0;0;0;4;0;0;0
wait;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;4;4;0;2;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0
shit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;2;0;2;38;4;0;0;0;0;0;2;0;0;2;2;2;0;0;2;0;2;0;0;0;0;0;6;0;2;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;4;2;0;0;0;2
hope;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;2;4;0;4;0;2;0;4;4;2;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;0;2;6;0;2;0;2;0;0;0;2;2;0;4;2;2;2;2;0;2;0;2;2;0;2;2;0;0;0;0;0;2;4;0;0;0;0;2;0
movie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;2;0;0;6;0;4;0;0;0;0;0;2;0;2;4;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;6;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;2;6;0;0;2;0;0;2;2;0;0;0;0;0;2;0;2
gonna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;4;0;0;2;0;0;0;4;2;0;2;2;0;0;4;4;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;0;2;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;2;0;0
amazing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;2;2;0;2;0;2;0;2;2;0;4;6;0;2;0;0;4;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;2;2;0;2;0;4;2;2;4;0;0;0;0;4;0;2;0;4;4;2;0;0;0;0;2;2;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;10;0;0;0;0;2;2;4;0;4;0;2;0;0;2;2;2;0;6;0;0;0;0;0;6;0;0;2;0;4;0;2;2;0;2;2;0;0;0;0;0;2;0;0;0;4;0;0;4;2;4;0;0;2;0;0;0;0;0;2;4;0;0;0;0;2;0;4;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;6;0;2;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;4;0;0;4;4;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;2;0;0;0
thread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;4;0;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0
please;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;0;0;0;0;2;0;0;2;4;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
guys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;2;0;0;0;0;2;0;0;0;4;2;0;0;0;4;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
still;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;2;0;4;0;2;4;0;0;0;0;0;0;4;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;2;2;2
holy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;2;0;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2
ive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;4;0;0;0;0;2;0;0;0;2;0;8;0;4;0;0;8;0;0;2;2;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4
special;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;2;2;2;28;0;0;0;0;0;4;0;2;2;0;2;0;2;0;2;0;0;0;0;0;2;2;6;6;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;2;0
#iloveeverything;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
think;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;2;0;2;0;0;0;0;4;0;0;4;0;0;0;0;0;0;4;0;0;0;2;0;4;0;4;0;0;0
thanks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;0;2;0;0;2;0;0;0;0;0;4;0;2;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0
happy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;4;0;0;2;2;2;0;0;0;2;0;2;0;2;0;0;2;0
little;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
hes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;2;2;0;0;0;0;0;2;2;0;2;0;4;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;6;2;0;0;0;0;0;0;0;0;2;0;2;0
dude;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;2;0;0;4;0;2;2;0;2;2;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;2;0;2;0
brilliant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;4;2;0;0;0;2;2;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;4;0;0;4;0;0;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0
@netflix;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;2;0;0;0;0;0;2;2;4;6;0;0;0;0;2;0;0;0;0;0;0;2;0;0;4;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
trump;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;2;2
saturday;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;2;2;2;0;8;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;12;2;0;0;0
thing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;4;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;2;2;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fuck;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;4;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0
mean;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0
alice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
hilarious;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;2;0;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;2;0;2;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0
tickets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;4;0;0;0;0;8;0;0;12;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;10;0;0;0;0
lets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;0;0;2;0;0;2;0;0;0;0;0
end;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0
tune;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;8;0;4;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
seen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
theres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;2;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0
president;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
listen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0
times;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2
talk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
sorry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
give;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
comedy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;2;0
