;great;people;states;united;trump;president;new;american;government;house;national;federal;news;country;world;democrats;senate;2016;department;party;state;white;man;police;job;administration;fbi;media;may;support;best;court;help;history;obama;york;good;former;working;campaign;complete;bill;russia;america;republican;law;killed;take;supreme;big;committee;think;donald;thing;love;left;city;article;security;election;times;book;americans;thank;washington;number;nothing;work;part;win;health;week;congress;year;amazing;life;justice;conference;act;fake;called;china;family;military;businesses;story;russian;general;investigation;home;radical;looking;post;care;program;hillary;source;director;political;presidential
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;4;0;0;0;0;0;2;4;6;0;0;2;0;4;2;2;2;0;2;0;2;0;0;2;6;4;4;0;4;0;4;6;4;2;2;2;16;0;2;0;6;2;0;0;0;2;0;12;0;2;2;0;0;2;0;0;0;2;0;2;4;4;0;0;0;2;4;0;2;2;0;10;4;2;0;0;4;0;2;0;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;4;0;2;2;0;6;0;4;2;0;0;2;2;2;4;2;8;0;2;2;6;2;2;2;0;2;2;0;0;6;0;0;2;0;4;0;0;2;2;4;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;2;0;4;4;2;0;0;0;0;0;0;2;2;0;4;0;0;2;4;0;0;4;0;2
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;6;0;0;0;0;4;0;2;2;0;0;0;4;0;0;2;4;2;14;0;4;4;0;4;6;0;0;0;0;6;0;0;4;0;0;0;0;2;14;0;0;2;0;0;2;4;0;2;0;2;0;2;2;0;0;2;0;2;2;2;2;0;0;0;0;2;2;2;0;0;0;2;0;0;6;0;2;0;12
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;4;2;6;10;0;4;2;0;0;2;0;6;2;4;2;2;4;0;0;2;0;0;2;0;2;0;0;0;2;2;0;0;2;2;0;0;0;4;2;2;0;4;0;0;0;0;0;2;0;2;0;0;2;22;0;0;2;0;0;2;0;4;0;2;0;6;2;0;0;0;0;2;2;0;2;2;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;6;0;0;0;0;0;6;0;0;0;4;12;0;0;0;0;0;2;0;0;2;2;6;2;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;6;0;2;2;2;2;0;0;4;4
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;6;0;2;2;0;4;0;6;0;4;8;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;2;0;2;0;2;2;2;2;4;2;0;0;0;6;0;0;4;0;2;4;0;2;2;0;0;0;0;2;4;0;4;0;0;0;0;0;0;0;2;2;0;0;2;0
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;2;0;8;2;0;0;2;0;0;0;2;4;0;4;0;0;2;0;0;0;2;2;0;0;4;0;2;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;6;2;0;2;4;0;0;12;2;2;2;0;0;0;0;0;2;4;4;0;0;2;0;2;0;2;0;0;0;4
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;2;0;2;0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;2;2;8;0;0;0;0;2;2;0;0;0;2;0;0;0;4;0;2;0;0;0;0;2;2;0;0
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;2;0;2;2;2;0;2;0;0;0;0;4;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;4;0;0;0;0;2;8;4;4;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;0;4;2;0;2;2;0;0;4;0;0;2;8;0;2;0;0;2;0;0;4;0;2;0;0;2;0;0;0;2;2;6;0;0;0;4;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;0;0;6;0;34;0;2;0;2;2;0;0;2;2;0;0;0;0;0;2;0;0;2;2;0;0;2;0;0;0;2;0;4;0;0;2;2;0;0;0;2;0;6;0;0;2;2;0;0;2;0;0;0;4;0;0;4;0;2;0;0;0;0;0;2;2;0;0;2;0
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;4;4;10;0;4;2;0;6;0;0;0;0;2;0;0;4;2;0;2;0;0;2;0;2;2;2;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;8;0;0;2;0;0;2;0;2;2;2;2;8;0;0;4;0;0;0;2;0;12;0;2
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;4;2;0;0;0;0;0;0;0;2;0;2;0;4;6;4;0;4;0;2;0;0;0;0;0;0;2;4;4;0;6;0;0;2;2;0;0;0;0;0;0;18;2;0;0;0;0;0;4;0;2;0;2;2;2;0;0;0;0;0;2;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;2;4;0;2;0;2;4;0;0;2;0;2;2;4;2;2;2;0;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;4;4;0;4;0;2;0;0;2;2;2;2;0;0;2;0;2;0;0;0;0;6;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;2;0;0;4;0;2;0;2;0;0;0;0;0;2;2;0;0;2;0;2;2;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;4;0;2;2;0;0;0;2;0;0;0;0;2
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;2;0;2;6;0;0;2;2;0;4;0;0;0;4;0;4;0;0;0;0;2;0;0;2;4;0;2;0;0;2;0;4;0;2;0;0;0;4;0;4;2;2;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;4;0;0;0
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;2;2;34;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;2;4;4;2;0;0;6;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;4;0;0;0;2;0;0;0;0;0;2;0;2;2;4;0;6;0;4;0;0;0;2;0;2;0;0;0;8;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;6;0;0;0;2;4;2;2;0;0;2;0;0;0;0;2;2;0;0;0;4;2;4;0;0;2;0;2;0;2;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;2;2;0;2;0;0;2;0;6;0;0;0;0;0;6;2
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;2;0;0;2;0;0;2;0;0;2;2;0;0;0;2;0;2;2;0;4;0;0;0;2;0;0;0;0;0;4;0;0;2;2;0;0;2;0;0;0;4;0;0;2;0;0;0;0;0;0;0;4;2;0;2;2;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;4;6;0;0;16;0;0;0;4;2;2;0;2;2;0;4;2;0;0;0;2;2;2;2;2;0;0;0;4;2;0;0;2;0;0;0;6;4;0;2;0;2;0;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;2;0;0;6;2;0;2;0;2;2;2;0;4;0;2;2;0;0;0;2;2;4;2;2;0;4;0;4;4;2;2;2;0;2;4;0;0;0;0;0;2;0;4;2;2;0;0;0;2
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;2;8;2;2;0;0;0;2;2;6;0;2;0;2;0;4;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;4;0;0;0;2;2;0;2;0;8;0;2
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;4;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;4;2;0;0;0;0;0;4;0;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;0;2;0;2;6;0;2;4;0;2;0;0;0;6;0;0;0;2;2;0;2;0;0;4;0;0;0;0;0;0;2;0;0;0;4;2;0;0;0;2;0;4;2;0;0;0;0;0;0;8;0;2;4;14
complete;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;0;4;0;0;0;0;0;4;0;2;0;2;0;2;0;0;0;0;2;0;0;0;4;2;2;0;0;0;0
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;2;0;0;0;0;0;2;2;0;0;0;0;4;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;2;2;4;0;0;2;0;0;0;2;2;0;0;4
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;4;2;0;0;2;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;4;0;2;4;0;0;0;0;0;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;4;0;4;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;2;0;0;2;0;0;0;4
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;8;2;0;0;0;0;2;2;0;0;4;0;2;0;0;4;2;0;4;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0
killed;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;6;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;4;4;2;6;0;2;0;2;2;0;0;4;0;0;4;0;0;2;2;0;0;0;2;0;4;2;2;2;2;2;0;2;2;0;0;0;0;0;4;0;0;2;0;0;0;0;0;2
supreme;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;2;4;4;2;0;0;6;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;4;2;4;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;2;2;2;0;4;0;0;2;0
committee;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;2;0;0;0;0;2;0;2;0;0;2;0;0;4;0;2;2;0;0;0;0;0;2;0;0;0;0;4;2;4;0;2;0;2;0;0;4;4;6;0;2
think;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;2;2;2;2;2;0;2;0;0;0;0;2;2;0;4;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;2;4;0;6;0;2;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;8
thing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;4;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;2;0;0;2;0;2;2;4;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;6;0;2;0;0;0;0;0;0;0;2;2;0;4;0;0;2;0;0;0;0;0;0;0;14;2;2;2;0;2;0;0;0;2
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;2;2;2;0;4;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;12;0;0;0
security;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;2;2;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;2;4;0;4;2;0;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;4;0;0;0;0;2;0;2;0;0;2;2;0;0;2;0;0;0;4;0;0;0;2;2;0;0;0;0;2;2;2
times;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;2;0;2;2;0;2;2;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0
book;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;4;2;0;0;2;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;4;2;0;2;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;8;0;2;2;0;2;2;0
number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0
