;district;residents;dc;housing;learn;#fairshot;help;2020;community;year;visit;washingtonians;new;ensure;across;live;#saferstrongerdc;programs;ward;call;affordable;program;safe;work;home;districts;#36000by2025;@usmayors;working;#dc2020acr;great;#dcproud;find;resources;wards;greenery;walk;tree;meet;create;free;anacostia;join;holiday;8;stamp;newsletter;health;opportunities;opportunity;together;family;happy;mayor;weeks;director;gun;thank;mlk;week;annual;#getcovereddc;#staycovereddc;visiting;plan;king;build;#dcstatehood;insurance;stay;schedule;quality;best;dr;@mbsyep;updated;historic;representative;@usps;businesses;give;needs;sign;census;federal;honor;take;public;goal;legacy;gwen;celebrate;@dchealthlink;bold;martin;gateway;january;assistance;luther;continue
districts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;4;0;2;4;2;0;2;0;4;2;2;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;6;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;4;0;4;0;0;4;4;4;0;0;2;0;4;2;0;0;0;2;0
#36000by2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;6;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;8;0;0;2;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;4;0;10;0;0;0;0;8;0;0;0;0;0;0
@usmayors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;4;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;6;0;2;0;0;4;0;0;0;0;6;0;0;2;2;0;4;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;6;0;2;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;2
#dc2020acr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0;0;2;2;0;2;0;0;0;2;2;2;0;0;4;0;0;0;0;4;2;2;0;0;2;2;2;0;0;0;0;0;0;0;2;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;2;0
#dcproud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2
find;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;6;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;12;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
resources;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;2;0;4;0;0;0;0;8;0;0;0;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;8;0;2;0;2
wards;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;2;0;0;4;0;10;0;0;6;2;0;0;0;0;2;0;0;0;0;0;0;0;6;6;2;0;0;0;0;6;2;0;4;0;0;0;0;0;8;0;0;2;2;4;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;2
greenery;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
walk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;4;0;0;0;0;0;0;0;0;2;4;2;2;0;0;0;2;0;4;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;2;0;4;2
tree;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0
meet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;2;0;0;4;0;0;0;0;2;0;0;6;0;2;0;8;0;0;0;0;4;0;4;0;0;0;0;4;0;0;0;0;0;0
create;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;4;0;2;0;0;0;4
free;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;2;2;0;0;0;2;0;2;2;2;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0
anacostia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;6;0;2;0;0;0;0;0;0;10;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;10;2;0;2;2
join;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;2;2;2;0;0;2;0
