;live;#akgov;#covid19;press;briefing;watch;@alaska_dhss;alaska;alaskans;#reopenalaskaresponsibly;tonight;#flattenthecurve;#alaska;state;economy;health;new;update;outbreak;5pm;reopen;alaskas;cases;thank;public;join;ak;businesses;plan;0;facebook;page;holding;numbers;great;responsibly;1;reopening;@annezinkmd;joined;deaths;covid19;officials;12;cumulative;discuss;tests;todays;#caresact;another;aks;latest;efforts;recovered;help;gt;#akleg;provide;22;discussing;may;economic;5;work;virus;hosting;phase;approximately;team;capacity;info;care;information;working;tomorrow;yesterday;continue;2;taking;members;federal;social;announced;questions;guidance;ongoing;case;cabinet;communities;hospitalized;briefings;evening;ways;across;system;hospitalizations;put;commissioner;alaskan;virtual
5pm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;0;12;18;4;0;8;0;12;10;6;4;0;4;2;4;10;0;0;0;10;0;0;10;0;0;2;10;4;0;8;0;2;0;0;6;0;6;0;4;0;2;4;10;2;10;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;4;2;4;0;2;0;0;8;2;4;2;0;0;4;2;0;0
reopen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;0;2;0;6;10;0;0;0;2;4;4;20;2;0;0;4;0;4;0;0;0;6;2;0;0;2;0;2;10;2;0;0;0;4;2;2;2;0;2;8;0;4;6;0;2;2;0;4;4;10;0;4;4;2;2;0;0;2;4;0;6;6;2;0;0;0;2;0;8;2;2;0;2;0;0;0
alaskas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;6;0;2;4;2;6;6;2;4;2;2;0;6;4;10;2;0;2;4;0;4;0;2;2;2;0;0;2;0;2;0;2;0;0;0;2;2;2;4;2;2;0;0;0;2;0;0;0;2;2;2;2;0;0;0;0;0;2;0;2;4;0;0;2;0;0;4;0;0;0;0;0;0;0;0
cases;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;2;6;18;0;0;10;18;4;2;8;4;2;2;22;10;0;4;20;2;18;14;0;4;0;8;0;16;0;6;0;2;4;2;2;0;2;2;2;0;2;0;2;4;6;4;2;2;8;4;4;6;0;0;0;2;2;0;2;0;4;0;0;12;4;2;0;2;2;8;0;0;4;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;8;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;4;2;0;0;4;0;4;2;6;0;4;4;0;2;4;0;0;0;6;2;2;2;0;4;0;2;0;0;0;0;2;4;2;0;2;0;0;0;4;0;0;2;2;6;0;0;0;0;2;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;10;2;0;0;14;14;6;0;4;0;0;0;4;8;0;4;24;4;0;2;0;0;2;6;8;0;2;0;2;0;2;6;0;6;0;2;6;0;2;8;0;12;0;0;2;0;0;0;0;0;2;0;4;10;0;0;0;0;0;0;0;10;2;0;0;8;2;4;2;0;0;0;2;0
join;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;12;10;2;0;2;2;0;6;6;0;0;0;6;0;0;10;0;0;2;2;4;0;2;0;2;0;0;0;0;2;0;4;4;0;2;6;0;6;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;6;2;0;0;0;0;0;2;2;0;2;0;0;2;2;0;2
ak;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;6;0;2;0;0;2;2;2;10;4;2;0;2;4;2;0;4;2;0;2;4;0;2;0;2;2;0;0;0;2;4;2;0;2;4;0;2;2;0;0;0;0;2;0;4;8;2;0;4;0;0;0;0;8;0;2;0;0;2;0;0;0;0;2;0;2
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;2;2;2;0;2;2;8;2;0;0;0;2;0;4;0;0;0;0;8;0;4;2;0;0;4;2;10;0;2;0;4;2;2;6;0;0;6;0;0;2;0;0;2;4;0;6;2;2;0;0;2;4;4;0;8;0;2;0;12;0;0;2;0;2;0;0;2;0;2;0
plan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;4;2;8;6;4;0;0;2;6;0;4;0;2;4;0;8;0;2;4;0;2;2;2;2;2;0;4;0;0;2;4;2;0;12;0;0;2;0;2;6;2;2;2;4;6;0;0;4;0;2;0;4;0;0;0;4;0;4;2;0;0;2;0;4;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;16;2;0;4;2;0;0;18;8;0;2;16;0;12;12;0;0;0;4;0;12;0;6;0;2;0;0;0;0;2;0;0;0;0;0;2;2;2;2;0;0;8;0;0;2;0;0;0;0;0;0;0;0;2;0;0;10;4;2;0;0;2;8;0;0;0;0
facebook;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;4;0;2;2;2;4;4;6;0;2;12;0;0;10;0;0;0;4;2;0;0;0;2;0;0;10;0;0;0;2;10;0;2;4;2;10;0;0;2;0;0;0;0;0;2;0;0;6;0;0;0;4;2;0;0;6;0;0;2;8;0;0;0;0;0;0;0;2
page;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;4;2;6;0;2;12;0;0;10;0;0;0;4;2;0;0;0;2;0;0;10;0;0;0;0;10;0;2;4;2;10;0;0;2;0;0;0;0;0;2;0;0;6;0;0;0;2;2;0;0;6;0;0;2;8;0;0;0;0;0;0;0;2
holding;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;2;0;2;0;6;4;4;4;4;0;2;2;2;4;0;4;2;4;0;4;0;6;0;4;0;0;6;2;2;0;0;2;2;0;0;2;4;0;8;4;4;2;4;2;0;0;0;0;0;0;2;2;0;2;2;2;0;2;0;2;0;0;2;0
numbers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;4;0;2;18;6;0;2;16;0;12;12;0;2;0;4;4;12;0;6;0;4;0;2;0;0;4;0;2;0;4;0;2;2;4;2;0;0;8;2;2;8;2;0;0;0;0;0;0;2;2;0;0;10;8;2;0;0;2;8;0;0;2;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;2;2;8;0;4;2;0;4;2;0;0;4;2;0;4;0;2;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;4;2;0;2;6;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;4;2;0;0;0;0
responsibly;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;4;0;0;0;4;2;0;0;0;0;2;6;2;0;0;0;2;0;2;0;0;0;6;0;4;6;0;0;2;0;2;4;0;0;2;2;2;4;0;0;0;0;2;2;4;0;0;0;0;0;0;4;0;2;0;2;0;0;2
