;president;united;states;great;people;trump;new;american;government;federal;house;state;national;news;working;white;world;administration;democrats;campaign;man;obama;republican;americans;court;best;party;department;country;huge;thing;love;washington;trying;hillary;thank;fbi;media;help;police;america;former;law;clinton;job;york;democratic;history;part;fake;strong;donald;justice;story;week;election;supreme;economy;announce;hard;may;post;called;win;presidential;men;support;take;following;asked;russia;proud;deal;year;away;2016;continue;second;billion;military;work;good;congress;dnc;left;care;life;fact;released;shooting;attack;game;big;bill;businesses;city;texas;looking;friday;bernie
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;4;0;2;0;0;2;2;0;2;4;0;0;0;2;0;0;0;2;0;2;4;0;2;0;0;6;2;2;0;2;0;2;0;0;2;0;2;0;0;0;4;4;4;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;2;0;2;2;0;0;2;0;2;0
huge;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;2;2;0;6;0;0;2;0;0;4;0;0;0;0;0;2;0;6;4;2;0;0;2;0;8;0;0;0;4;2;0;0;0;2;0;2;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0
thing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;4;6;0;0;0;0;0;0;4;0;0;0;2;2;2;6;0;6;0;4;0;0;0;2;0;0;0;0;0;2;0;0;0;0;4;0;2;2;2;0;2;0;0;0;0;4;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;2
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;2;0;0;2;0;2;0;0;2;0;0;0;0;0;4;0;2;0;2;0;0;2;0;0;0;2;0;2;0;0;0;2;0;0
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;2;0;0;2;2;0;0;0;4;2;4;2;0;0;0;0;0;2;8;0;0;2;0;4;0;0;0;0;0;0;2;0;2;0;4;0;0;0;0;2;2;0;0;0;2;0;0;0;0;2;0;2;2;4;0;4;2
trying;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;10;0;2;0;0;0;0;0;0;0;0;0;10;0;4;0;0;2;0;0;2;0;2;0;0;0;2;0;2;0;6;0;2;2;2;2;0;0;0;0;0;0;2;0;2;2;0;2;0;2;2;0;0;0;2;2;2;0;0;0;0;0;0
hillary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;4;0;28;0;4;16;2;0;0;2;4;0;4;0;0;0;0;2;0;2;0;0;2;6;0;0;0;0;2;0;0;2;2;2;2;0;0;2;2;0;0;0;8;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;8
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;2;2;0;0;0;0;0;4;0;0;2;0;0;2;4;2;0;0;0;2;0;2;0;2;2;0;0;2;0;0;0;2;0;0;0;0;4;0;2;0;0;4;0;0;0;2;0;0;2;2;0;0;0;2;2
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;8;2;0;4;4;0;0;0;0;0;2;10;2;2;8;0;0;0;2;0;2;0;0;6;0;0;0;0;2;2;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;6;0;0;0;0;8;0;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;2;2;18;0;4;0;4;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;4;0;0;0;2;2;2;2;2;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;2;2;0;0;0;2;0;2;4;4;0;0;0;2;2;4;0;4;0;0;4;0;0;6;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;4;2;0;0;0;0
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;2;0;2;0;0;2;0;2;0;0;2;2;0;2;0;0;4;0;0;0;0;0;0;2;2;0;0;0;0;0;2;6;2;0;0;0;0;0;0;2;0;0
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;2;0;0;0;0;0;0;0;2;2;4;0;0;0;0;2;0;2;0;0;2;0;0;6;0;2;0;0;0;0;0;2;0;0;2;2;0;2;0;0;2;0;0;2;2;0;0;2;0;2;0;2
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;4;0;2;2;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;8;0;4;0;0;4;0;2;0;4;2;2;2;0;2;0;0;2;0;0;0;2;0;0;0;2;2;2;0;0;0;2;0;0;0;0;2;0;2;4;0;0;4;0;0;2
clinton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;14;0;0;0;0;2;0;2;0;0;0;0;2;2;2;2;0;4;4;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;4;2;0;0;0;0;2;0;0;0;0;6
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;4;4;0;2;0;2;0;2;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;2;2;0;0;0;0;4;0;0;0;0;4;0;0;0;2;0;0;4;0;0;0;0;0;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;2;6;2;2;0;0;0;0;0;4;2;2;2;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;4;0;0
democratic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;0;0;0;0;2;10;0;0;0;0;4;0;0;2;0;2;2;0;0;0;0;0;0;0;16;2;0;0;0;2;2;0;2;0;2;0;0;0;0;0;10
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;2;2;0;6;2;0;2;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;2;0;2;2;2;0;0;2;2;0;0;2;0;0;2;0;2;0;0;0
part;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;2;0;0;4;0;0;2;0;0;0;2;0;0;0;2;2;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;2;2;0
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;4;2;0;0;0;2;0;2;0;0;0;2;0;0;2;4;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0
strong;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;6;2;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;2;2;0;0;0;4;0;0;4;0;2;0;0;0;2;0;4;2
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;2;6;0;0;0;0;0;6;0;0;2;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0
story;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;4;2;0;2;0;0;2;4;2;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0
week;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;0;2;2;0;0;0;0;0;0;0;2;2;0;2;2;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;4;2;4;0;2;2;0;0;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;4;12;0;0;2;0;0;2;4;0;0;2;14;2;0;0;0;0;0;2;0;2;0;6;0;0;0;2;0;2;0;0;0;2;0;0;0
supreme;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;2;0;0;4;0;0;0;0;0;0;0;2;0;0;2;0;2;0
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;8;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;2;0
announce;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;14;0;2;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;2;0;0;0
hard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;2;0;2;4;0;2;0
post;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;0;2;2;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;2;2;0
called;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;2;0;0;0;2;0;0;2;2;0;2;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0
win;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;2;4;0;0;2;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;20;0;0;0;0;2;2;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;4
men;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;8;0;2;0;0;0;0;2;0;0;4;0;0;2;0;2;0;0;2;0;0
