kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_all,freq_all
legend,1,greensboro,1,leaders,2,guide,1,break,1,connect,2,example,6
everybody,1,create,1,everyone,2,businesses,1,little,1,help,2,states,6
young,1,someone,1,consequences,2,compromise,1,nationwide,1,ideals,2,working,6
another,1,fight,1,public,2,future,1,world,1,hall,2,stay,6
reread,1,next,1,americans,2,side,1,thanks,1,mentioned,2,together,6
next,1,implementing,1,lets,2,real,1,demand,1,heres,2,vulnerable,6
reverberate,1,sidelines,1,distancing,2,demand,1,youll,1,everybody,2,americans,5
protect,1,across,1,stories,2,staying,1,home,1,heart,2,takes,5
magnitude,1,stars,1,journey,2,nostalgic,1,floyd,1,speaking,2,act,5
court,1,election,1,spread,2,system,1,person,1,part,2,moment,5
problems,1,telling,1,take,2,exile,1,civic,1,vote,2,progress,5
reflecting,1,solutions,1,great,2,turned,1,educators,1,lives,2,may,5
david,1,thanks,1,debt,2,level,1,mothers,1,mayors,2,ive,5
started,1,couple,1,old,2,federal,1,ahead,1,government,2,life,5
2020,1,sitting,1,prayers,2,cohesion,1,vulnerable,1,point,2,government,5
second,1,human,1,importance,2,nationwide,1,history,1,useful,2,distancing,5
factorys,1,@allontheline,1,especially,2,build,1,working,1,kid,2,america,5
year,1,sixty,1,act,2,talented,1,moms,1,elect,2,approach,5
past,1,among,1,transit,2,safely,1,join,1,join,2,months,5
conscience,1,acts,1,covid19,2,todays,1,democratic,1,reforms,2,thank,5
people,1,birthday,1,vote,2,representation,1,limit,1,third,2,everybody,5
environmental,1,near,1,virus,2,listen,1,joining,1,@joebiden,2,another,5
bryant,1,bottom,1,months,2,healthy,1,prouder,1,yesterday,2,history,5
birmingham,1,lunch,1,elderly,2,overwhelmed,1,congrats,1,chicago,2,bring,5
rico,1,longest,1,experts,2,program,1,times,1,progress,2,weeks,4
dr,1,home,1,hit,2,immigration,1,become,1,resources,2,build,4
may,1,world,1,workers,2,families,1,terrific,1,highlight,2,activists,4
moment,1,division,1,listen,2,humanityof,1,grads,1,town,2,parents,4
birthday,1,use,1,reminder,2,started,1,overtime,1,support,2,laws,4
documentary,1,together,1,carried,2,critical,1,school,1,mental,2,making,4
youll,1,80,1,neighbors,2,playing,1,lived,1,priority,2,efforts,4
driveways,1,@repjohnlewis,1,may,2,led,1,step,1,gun,2,matter,4
nba,1,consequences,1,article,2,burdens,1,tomorrow,1,national,2,great,4
world,1,felt,1,expect,2,home,1,offer,1,seen,2,level,4
australia,1,shirley,1,ability,2,equitable,1,congratulations,1,reminder,2,whove,4
latest,1,take,1,front,2,plans,1,hug,1,peaceful,2,story,4
brilliance,1,trick,1,heroes,2,michelles,1,@fooddepositoryand,1,health,2,helping,4
team,1,katherine,1,clock,1,color,1,power,1,channeling,2,use,4
healthy,1,grounds,1,cant,1,spent,1,happy,1,new,2,remember,4
scene,1,follow,1,rev,1,team,1,young,1,hope,2,local,4
achieve,1,end,1,curve,1,week,1,wind,1,city,2,proud,4
kobe,1,level,1,donate,1,makes,1,gave,1,concrete,2,democracy,4
reflect,1,thirty,1,lost,1,vulnerable,1,folks,1,remarkable,1,past,4
gianna,1,turn,1,sakefor,1,generations,1,lead,1,remains,1,stories,4
nod,1,complex,1,fellow,1,send,1,talent,1,media,1,ideals,4
melbourne,1,dance,1,extent,1,forced,1,seen,1,steps,1,especially,4
mahar,1,forever,1,overreaction,1,public,1,memorial,1,organization,1,generations,4
