;people;w;new;workers;public;thank;work;healthcare;congress;working;community;covid;paid;everyone;take;help;pay;gop;money;vote;campaign;still;black;bill;communities;health;lives;could;call;relief;climate;change;leave;policy;care;millions;means;families;power;bc;food;justice;police;cant;check;country;support;without;trump;rent;racial;lot;year;coronavirus;major;fight;housing;good;protect;ny14;important;put;wall;folks;away;believe;nyc;etc;ubi;isnt;2;moment;house;live;york;next;family;state;week;progressive;peoples;deal;yes;actually;may;free;enough;great;please;sick;powerful;jobs;city;starting;talk;think;voting;federal;white;saying
millions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;2;0;6;0;0;2;0;4;0;4;4;2;0;0;4;6;0;0;0;0;2;2;4;2;2;2;0;0;2;2;0;0;2;0;2;2;2;0;0;2;0;0;0;2;8;0;0;0;2;4;2;2;0
means;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;2;0;2;2;0;0;2;4;2;0;0;2;4;2;0;2;0;2;2;4;2;0;0;2;2;4;0;2;0;2;2;2;2;2;2;0;0;0;0;2;0;2;0;0;2;4;0;0;2;2;0;0;0;2;2;4;0
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;2;0;2;0;2;0;2;0;0;6;0;0;2;0;4;0;2;0;2;0;0;0;2;2;0;0;6;0;2;2;0;0;2;2;0;0;2;0;2;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0
power;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;2;0;0;0;2;0;2;2;0;0;6;0;2;0;2;0;0;2;6;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;2;2;2;0
bc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;6;0;4;0;4;0;0;2;0;0;0;0;0;2;2;2;2;2;0;4;0;0;4;0;0;0;0;0;2;0;0;0;0;4;2;0;6;0;0;0;0;0;0;4;2;0;0;0;0;0;0;4;4
food;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;6;0;0;0;2;2;2;0;2;2;2;0;6;0;2;0;0;2;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;2;2;0;0;0;0;0;2
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;12;0;0;0;0;6;4;0;0;0;2;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;2;2;0;2;0;2;0;2;0;4;0;0;2;0;2;2;0;0;0;0;2;0;2;2
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;2;0;0;6;0;6;0;0;0;0;0;0;0;4;0;0;2;0;0;0;4;0;0;0;0;2;2;0;0;0;2;6;0;0;4;0;0;0;0;2;0;4;0;2;0;0;0;2;0
cant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;6;2;0;0;0;0;2;2;2;0;0;0;2;0;0;4;2;2;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;0
check;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;4;2;2;2;2;2;0;0;0;0;0;4;0;4;0;2;2;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;4;0;0;0;2;0;0;2;2;0;0;0;2;2;0;0;2;2;0;2;0;2;6;0;2;0;2;0;2;0;0;0;0;0;2;4;2;0;0;2;0;0;0;0;4;2;0;0;2;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;2;2;2;0;0;0;2;0;4;2;4;0;0;0;0;0;0;2;0;4;0;2;0;0;0;0;4;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2
without;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;2;4;0;0;0;0;4;0;2;2;2;0;0;0;2;0;0;0;0;0;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;4
trump;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;6;0;0;2;2;4;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;2;2;2;2;2;0;0;0;0;0;0;0;0;0;2;2;2;2
rent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;4;4;2;0;2;0;0;0;0;0;4;2;4;0;2;2;2;2;2;6;0;2;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0
racial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;2;0;0;2;0;2;0;4;0;2;0;0;0;0;0;0;0;0;2;0;2;6;2;0;2;0
lot;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;2;2;0;2;0;2;0;2;0;0;2;0;4;0;0;2;2;0;0;2;0;0;0;0;2;2;0;2;0;0;0;2;2;0;4;2;4;2;2;4;0;0;0;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;0;0;0;0;2;2;0;2;0;0;0;2;2;0;0;6;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;2;2;4;2;0;0;0;4;2;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;4;0;0;0;4;2;0;0;4;0;0
major;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;2;0;2;0;2;0;0;0;0;4;0;0;0;2;2;0;0;2;0;2;2;4;2;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0
fight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;6;0;0;0;2;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0
housing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;0;0;0;0;2;2;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;4;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;6;2;2;0;0;4;0;0;0;0;0;0;0;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;2;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0
ny14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;8;0;0;0;2;2;0;0;0;0;0;0
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;2;0;2;0;0;0;0;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2
put;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;4;0;2;0;0;2;0;0;2;0;0;2;0;2
wall;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0
folks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;8
away;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2;2
believe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;0;0;2;0;2;2;0;0;0;0;4;0;2;0;2;0;0;0;2;0;2;0;0;0;4
