;missouri;covid19;state;testing;health;missourians;continue;recovery;care;director;missouris;working;people;across;work;public;#showmestrong;plan;new;county;thank;social;home;order;@healthylivingmo;may;help;businesses;st;million;great;week;positive;forward;economy;community;local;live;data;ppe;governor;safe;protect;facebook;distancing;response;stay;support;president;federal;louis;proud;important;workforce;give;dr;briefing;#missourisots;citizens;economic;efforts;food;good;2020;business;reopen;take;emergency;update;hospitals;states;hard;1;3pm;year;another;city;everyone;still;families;capacity;communities;team;system;school;safety;provide;program;facilities;providers;morning;members;budget;critical;mike;move;williams;law;tested;@missouri_ng
missouris;0;0;0;0;0;0;0;0;0;0;0;16;24;4;28;22;38;36;12;10;14;8;4;12;18;32;18;10;8;12;6;14;22;10;34;10;14;20;22;12;8;2;6;18;4;18;0;12;10;14;6;6;10;14;12;14;4;0;14;24;10;16;10;20;22;26;2;6;12;22;12;12;16;12;6;4;8;6;4;2;14;8;14;14;4;6;8;4;0;20;22;12;4;14;8;14;10;2;4;4
working;0;0;0;0;0;0;0;0;0;0;0;0;24;20;4;40;26;20;10;8;24;6;10;6;20;2;36;10;20;4;10;8;4;18;8;6;6;0;6;16;0;12;8;0;4;12;12;14;6;20;16;12;6;20;4;0;2;16;10;6;20;4;4;4;16;4;20;6;6;8;10;40;2;0;10;8;6;6;6;22;8;14;24;6;10;6;10;4;14;12;6;10;6;2;0;14;0;10;0;12
people;0;0;0;0;0;0;0;0;0;0;0;0;0;10;20;20;12;8;14;22;10;36;24;12;6;2;12;10;14;4;10;8;38;8;22;2;4;2;8;0;4;14;12;4;20;0;16;8;8;8;10;14;10;8;2;6;2;8;6;4;4;0;10;6;2;6;16;4;4;6;4;20;20;0;6;0;6;8;6;4;6;12;10;10;0;2;6;0;8;4;4;6;0;4;2;6;2;8;34;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;12;10;30;22;16;20;16;10;8;10;20;22;12;4;4;8;10;14;22;12;20;4;34;12;0;32;4;4;14;18;10;12;10;6;10;12;14;8;10;8;8;0;12;6;8;12;8;10;12;16;0;10;4;16;8;8;6;4;4;8;8;4;6;8;8;18;8;6;2;4;4;2;10;4;4;6;8;10;0;4;4;12;2;6
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;10;14;14;8;34;14;20;14;4;28;12;12;2;4;8;12;10;20;18;6;20;2;16;0;0;28;14;0;10;12;20;8;10;22;2;14;18;8;16;0;2;8;22;4;16;10;14;0;12;26;14;12;6;8;8;50;0;0;6;2;12;4;8;16;2;10;20;2;0;10;0;14;8;12;8;8;4;8;0;2;0;0;6;8
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;42;8;8;10;14;10;18;14;24;8;12;0;0;6;14;0;10;16;6;20;4;24;14;4;6;4;2;10;12;10;10;4;8;0;6;16;2;4;2;4;2;12;4;6;8;2;8;20;6;10;22;2;14;4;10;0;4;4;4;2;12;10;0;24;2;10;8;12;32;6;4;2;22;8;10;2;2;0;10;2;14;0;0
#showmestrong;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;4;4;24;14;4;4;10;44;12;14;4;0;4;8;4;16;30;6;4;12;16;26;0;10;2;12;10;8;6;4;2;2;4;22;6;6;6;2;4;0;8;16;4;4;2;2;16;20;6;0;4;8;8;0;20;14;0;6;6;6;2;8;28;8;8;14;0;16;0;0;2;10;16;2;0;12;4;12;0;0;2;10
plan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;2;0;4;4;4;6;48;6;20;4;2;2;18;0;20;26;14;10;16;22;28;2;6;18;12;2;2;4;8;6;2;4;0;6;2;12;6;12;6;16;14;4;2;4;2;16;38;8;2;6;10;8;6;24;14;4;12;2;4;8;8;30;6;4;18;2;10;2;2;2;16;10;2;2;8;2;14;4;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;10;4;8;10;6;14;20;10;14;22;6;4;10;16;12;6;4;10;8;4;12;14;4;10;2;0;4;6;0;6;6;8;26;0;6;2;12;8;4;8;2;8;0;10;0;0;0;0;4;10;10;6;2;12;8;8;4;4;2;6;4;8;0;8;10;6;12;10;10;12;4;4;8;2;4;4;4;0;0
county;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;6;4;6;24;14;2;4;32;8;14;8;26;0;2;12;22;8;2;2;6;10;4;4;4;12;6;8;2;2;28;8;4;4;0;0;10;0;2;2;2;0;2;10;6;6;2;14;2;2;0;6;22;0;2;2;24;6;2;2;0;4;6;2;4;4;0;4;2;4;10;2;2;0;6;0;0;8;20;20
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;26;16;2;4;16;2;8;6;12;6;0;0;2;8;12;0;0;4;2;16;6;0;4;8;16;16;8;2;6;8;10;10;0;0;0;6;10;0;16;12;4;6;2;2;4;12;2;2;6;16;0;0;4;2;4;18;0;8;4;18;20;2;2;6;2;2;2;8;6;14;2;4;2;2;0;10;0;10
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;46;6;12;2;14;2;0;6;0;4;2;18;2;6;2;6;4;12;18;34;6;144;2;28;0;2;4;2;6;30;2;0;6;4;0;8;6;10;12;10;4;4;24;26;0;0;2;4;2;10;4;0;4;0;26;22;6;0;0;2;0;2;10;6;0;2;0;12;2;0;4;8;0;4;2;2;2
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;2;12;10;2;4;6;10;4;10;2;16;6;8;6;4;0;12;10;6;2;26;2;114;0;6;0;4;8;14;0;2;4;4;2;6;0;14;0;2;4;6;14;16;2;6;0;2;4;2;6;0;6;2;28;4;14;0;2;0;4;0;0;0;4;0;0;4;6;0;4;6;0;0;2;8;2
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;18;12;12;2;4;0;0;0;0;12;0;14;6;8;2;18;6;8;8;42;24;74;6;4;6;2;2;10;0;4;2;8;0;2;8;20;8;4;6;4;12;8;10;6;2;4;0;6;10;6;2;2;20;4;4;0;4;0;0;0;4;4;2;0;0;6;2;2;0;10;0;2;8;0;4
@healthylivingmo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;6;0;0;10;4;2;2;4;10;56;4;12;26;2;12;64;6;8;2;4;8;6;2;4;4;2;30;88;40;0;8;6;4;4;0;2;2;0;2;2;36;6;2;8;0;52;2;28;0;0;0;2;2;2;8;2;0;2;8;0;8;16;0;4;6;4;26;2;88;4;0;42
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;14;6;4;4;6;0;12;18;10;10;10;16;2;0;8;2;10;10;4;10;0;8;6;4;2;4;2;4;0;0;0;2;6;8;2;12;10;18;32;8;6;2;14;8;6;30;10;4;2;10;2;12;2;8;6;0;8;4;12;6;2;2;16;2;2;2;2;0;10;0;2;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;18;8;4;0;2;6;12;8;0;2;16;6;22;12;0;2;8;8;20;8;24;4;14;2;16;4;0;0;8;16;6;14;10;6;0;4;2;10;10;2;2;4;14;2;0;4;6;4;4;0;10;2;10;10;10;8;8;8;10;2;4;6;4;6;10;0;0;0;4;0;6
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;10;4;0;10;30;8;12;6;8;4;0;14;10;2;14;0;4;14;6;8;0;4;2;0;0;0;2;0;26;30;2;2;2;0;14;16;6;2;4;6;6;14;8;2;0;0;2;4;6;12;0;20;6;0;2;8;10;18;0;6;0;2;4;4;0;6;0;0;0;0
st;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;16;12;10;6;4;28;8;4;2;0;4;4;2;6;2;2;0;6;8;8;128;10;2;6;2;0;4;8;2;2;6;2;4;8;4;2;2;0;0;6;6;6;8;2;2;8;22;6;4;0;10;2;4;2;6;0;4;2;6;0;4;6;0;0;4;4;0;2;12;10
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;2;6;6;0;6;4;0;6;0;0;0;0;0;2;0;14;4;12;6;4;2;10;0;2;2;14;2;2;2;6;2;6;2;2;4;10;2;0;6;2;6;0;20;16;6;0;0;10;2;0;0;8;2;0;10;20;0;0;0;0;18;6;0;0;0;2;2;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;10;6;18;4;2;0;0;4;4;0;0;6;2;2;8;10;0;8;16;2;18;2;2;0;0;2;0;6;0;4;12;6;2;10;2;0;0;4;2;4;0;6;6;8;0;0;4;2;2;18;0;8;4;4;2;2;0;12;20;4;4;0;10;0;0;0;2
week;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;12;2;16;2;6;4;6;4;4;0;4;0;4;2;2;2;12;12;8;0;4;8;4;2;2;6;6;2;2;10;10;2;4;10;6;2;4;2;4;4;2;8;12;2;0;2;2;12;2;4;2;4;4;6;6;2;8;0;6;6;6;2;8;0;2;2;4
positive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;2;0;8;2;6;8;2;0;4;0;4;0;2;4;10;4;6;4;0;10;0;4;4;0;14;0;8;0;0;2;4;0;6;10;2;2;24;0;0;4;10;2;12;2;4;2;0;2;0;2;0;0;6;0;2;2;0;4;8;0;4;0;44;0
forward;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;8;4;2;14;6;0;26;0;0;2;6;0;2;6;2;6;6;6;6;14;0;4;0;2;16;4;0;10;4;6;4;8;0;2;8;8;0;6;0;8;6;4;4;10;6;8;4;0;10;6;2;2;0;0;2;4;2;8;8;0;64;0;0;2;2
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;4;10;2;2;14;6;4;8;0;12;6;6;2;2;10;12;4;2;4;2;4;10;12;10;0;8;4;14;32;0;0;2;4;14;6;2;2;6;0;2;6;14;6;8;6;0;6;0;4;2;0;0;4;12;0;12;8;2;14;2;0;0;0
community;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;2;2;0;2;2;8;0;2;8;0;12;4;2;20;10;4;6;2;2;2;10;16;6;6;4;6;0;10;6;8;6;0;0;0;10;0;0;0;10;16;2;2;0;0;8;10;0;8;8;8;4;0;0;6;12;0;0;0;6;0;4;12;6
local;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;16;18;0;6;30;4;14;12;26;8;0;12;4;0;0;6;0;10;8;10;4;0;2;8;8;0;26;2;2;4;10;2;0;6;2;16;2;6;8;0;16;2;0;4;12;10;2;4;6;8;12;4;6;0;0;0;22;2;6
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;52;0;0;122;2;18;2;0;12;2;4;0;4;2;60;62;60;4;2;8;0;6;0;0;0;2;0;2;72;4;2;0;0;90;4;26;0;2;0;2;0;2;0;0;0;2;24;2;0;0;0;0;4;0;52;2;60;2;4;4
data;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;6;2;0;4;10;6;2;2;0;2;0;6;0;14;4;0;0;0;2;4;0;8;2;6;14;4;2;2;16;2;6;6;0;0;2;0;0;4;0;14;2;2;16;0;2;6;0;0;6;2;4;0;0;2;10;0;0;2;0
ppe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;2;0;0;0;4;0;4;2;0;6;0;0;0;0;0;2;0;2;0;2;2;2;2;0;12;2;4;4;0;0;2;2;2;0;0;20;0;2;24;0;4;2;0;6;22;8;0;0;8;2;2;0;10;0;0
governor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;58;10;24;12;0;6;0;4;2;2;0;22;32;42;2;0;0;0;2;0;6;0;2;0;6;36;2;6;2;0;58;0;2;6;2;0;0;0;2;2;2;2;4;22;0;0;0;2;4;2;0;90;0;28;0;0;4
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;8;12;12;6;6;6;4;8;12;8;2;2;12;4;8;8;8;4;2;2;2;8;2;18;0;0;6;6;4;2;0;2;2;18;4;6;0;12;8;0;0;2;0;2;2;0;6;4;0;4;0;6;0;6;2;2
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;2;6;2;2;8;2;0;10;0;0;4;0;2;34;2;8;0;4;0;2;8;20;2;0;0;2;4;2;0;0;4;2;14;20;14;0;8;6;4;0;18;10;0;10;2;0;4;2;4;0;2;4;10;0;0
facebook;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;20;2;0;8;0;6;0;0;2;50;72;68;4;2;10;0;2;0;4;0;2;0;2;60;2;2;0;0;100;2;30;0;0;0;0;0;2;0;0;0;2;24;0;0;0;0;0;4;0;58;0;70;0;0;10
distancing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;24;0;0;2;2;6;24;0;0;6;2;0;8;4;10;10;8;2;4;12;20;0;0;2;0;2;8;4;0;4;0;22;14;4;0;0;2;0;2;10;2;0;0;0;6;2;0;2;6;0;4;2;2;2
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;8;10;2;0;6;2;6;6;18;0;4;6;14;0;0;2;2;0;2;30;22;2;14;12;2;20;0;0;4;2;0;0;2;6;4;2;2;2;22;2;4;2;6;2;2;0;18;2;6;6;0;16
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;12;2;4;2;2;0;2;2;12;0;2;4;2;16;10;4;6;0;2;4;0;6;0;2;0;18;4;10;0;6;0;4;0;2;2;0;0;0;4;4;0;4;6;0;0;0;4;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;6;2;4;10;2;0;0;4;6;6;18;12;4;2;2;2;4;14;2;0;0;8;2;0;6;6;6;4;0;8;0;8;4;4;2;2;10;12;4;2;0;6;0;2;0;2;0;18;0;4
president;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;8;4;0;10;6;12;2;0;0;2;2;4;4;4;6;2;0;12;8;2;2;6;4;8;4;6;6;0;0;2;0;4;4;0;2;0;14;4;0;0;0;0;4;0;8;2;8;2;2;2
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;4;4;2;2;0;8;8;12;6;2;2;6;2;4;4;8;4;4;6;2;2;0;8;0;2;0;0;8;0;8;6;4;2;6;14;4;0;2;0;6;12;2;0;0;0;2;2;6
louis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;4;0;0;4;8;0;2;6;2;2;6;2;0;2;0;0;6;6;6;8;2;2;8;18;6;2;0;8;2;0;2;2;0;4;2;4;0;2;6;0;0;4;4;0;2;10;6
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;6;8;0;6;0;2;10;2;4;8;0;0;4;6;6;2;0;2;4;12;4;0;4;0;2;10;2;4;2;0;4;2;2;0;8;0;2;2;4;0;4;0;0
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;10;0;4;4;4;0;4;4;0;6;4;4;16;16;6;2;2;2;0;0;6;2;0;12;12;4;0;2;2;4;4;8;0;0;0;2;0;0;0;4;0;4;0;6;2;4
workforce;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;24;0;8;10;0;2;8;6;0;2;0;2;0;6;6;2;0;14;2;4;2;0;4;0;4;6;4;10;0;0;10;2;0;4;6;2;8;0;8;0;2;0;0
give;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;42;6;0;12;2;0;6;2;0;2;4;2;58;2;0;4;4;42;0;14;2;2;2;0;6;2;0;2;2;0;0;0;0;2;0;0;4;4;22;6;36;2;0;8
dr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;6;2;0;0;0;0;2;0;0;38;0;2;0;0;58;0;30;0;0;0;0;0;2;2;0;0;2;4;2;0;0;0;0;6;2;32;0;98;0;0;10
briefing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;16;4;0;0;4;0;2;0;10;32;2;4;0;2;60;0;22;0;8;2;0;0;2;0;0;0;0;18;0;2;0;8;2;4;0;38;2;44;0;0;14
#missourisots;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;0;0;2;0;4;2;0;0;10;4;2;0;12;12;4;0;2;2;0;12;0;8;8;2;2;8;0;0;0;6;0;4;0;0;0;6;0;0
citizens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;8;2;4;0;4;8;8;4;4;0;10;10;2;2;0;4;6;2;2;8;0;22;8;4;0;14;8;0;6;18;4;2;0;4;0;2;0;4;2;2
economic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;4;10;4;0;0;8;0;10;4;8;12;12;8;2;2;2;2;2;14;4;0;0;2;4;10;2;2;6;0;12;10;0;16;6;0;0;0
efforts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;6;8;4;6;4;0;2;4;4;0;6;0;4;2;0;0;4;4;6;4;0;2;2;0;2;0;8;6;4;4;2;4;0;6;0;10
food;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;10;0;0;4;2;0;2;2;0;0;2;2;4;0;2;6;2;4;2;6;2;2;2;4;4;0;6;2;0;0;0;0;4
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;12;6;2;4;26;0;6;4;0;2;0;2;4;18;2;4;0;2;2;0;0;4;2;2;0;4;0;2;0;0;4;0;0;0;0
2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;6;0;0;2;2;8;0;8;0;6;0;0;0;0;0;2;0;6;0;2;6;0;0;10;4;8;2;4;0;2;4;0;0
business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;4;10;6;4;2;0;0;8;16;2;2;0;0;4;6;4;0;2;0;6;4;8;8;0;2;0;0;6;0;0;0;0
reopen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;4;6;6;4;0;0;2;8;8;4;4;8;0;2;0;4;2;2;2;2;18;0;0;0;2;4;0;0;0;0
