;great;trump;united;president;states;people;new;news;national;american;government;house;federal;state;administration;obama;world;party;country;white;democrats;republican;help;york;working;man;media;department;big;donald;fbi;campaign;thank;best;job;2016;former;history;good;presidential;fake;court;americans;city;may;washington;election;senate;police;article;security;love;justice;times;america;russia;million;year;military;congress;post;hard;thing;story;bill;left;end;nothing;law;announce;deal;china;night;trying;report;released;team;war;committee;work;supreme;support;take;proud;think;russian;important;investigation;hillary;health;women;political;senator;win;radical;democratic;billion;called;week;act
government;0;0;0;0;0;0;0;0;0;0;0;28;194;18;28;26;30;18;26;10;22;16;46;14;36;4;16;26;14;4;18;18;6;8;16;10;14;12;22;10;12;30;26;16;22;8;14;12;10;8;24;0;18;14;12;6;34;18;4;18;6;6;12;0;20;20;20;12;6;6;4;6;4;16;14;16;4;12;6;8;26;20;4;2;10;32;10;2;12;10;0;8;6;2;12;2;20;2;14;10
house;0;0;0;0;0;0;0;0;0;0;0;0;20;26;28;30;4;24;12;302;64;22;26;16;28;6;18;16;16;16;26;24;22;10;14;26;34;12;12;14;20;4;6;8;26;20;26;54;8;6;22;6;14;16;16;24;4;4;8;32;16;16;10;14;34;22;14;22;10;4;18;6;10;22;14;12;10;4;52;14;2;6;16;4;8;24;18;28;10;8;6;12;10;32;20;12;10;2;22;22
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;36;32;16;14;10;8;12;12;10;32;14;28;10;12;40;10;18;14;10;4;10;26;10;18;16;16;14;10;46;18;30;16;10;22;12;14;8;12;0;22;10;6;0;40;18;2;22;4;10;6;8;16;2;6;10;22;8;0;4;6;8;12;10;4;10;8;6;16;18;2;4;6;8;16;20;6;10;4;10;4;0;2;2;20;4;20;16
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;20;10;22;16;14;18;30;24;24;22;10;6;64;14;8;10;16;18;8;6;14;36;14;10;12;4;24;4;28;14;24;12;10;6;8;8;18;10;6;14;12;16;12;8;12;6;14;4;6;6;4;12;12;6;12;10;6;20;14;12;18;8;8;0;8;20;14;10;6;4;4;8;4;26;8;10;4;10;22;4;10;10;14;0;6
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;230;12;16;10;18;20;8;20;26;26;2;16;24;14;12;24;18;8;0;8;18;18;14;10;8;6;18;16;8;26;22;18;12;2;6;28;10;20;16;18;26;10;6;6;30;20;18;4;12;14;12;12;16;8;10;16;14;2;10;20;24;2;18;10;6;6;12;8;10;2;10;10;18;2;6;6;8;4;2;14;4;20;8;8;12
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;14;8;22;18;10;16;14;8;4;8;26;14;8;20;42;4;4;6;16;30;10;12;16;8;12;14;2;22;30;20;12;2;12;24;4;22;14;16;24;6;6;8;20;22;8;4;10;8;6;8;16;10;4;10;10;4;12;20;24;6;14;14;4;10;4;12;4;4;14;10;20;16;2;6;4;18;4;12;8;14;14;6;8
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;26;4;6;4;10;6;8;12;12;0;16;10;4;4;18;26;10;4;2;20;6;8;6;0;12;6;4;4;6;2;6;2;4;6;2;4;20;2;8;12;18;4;4;4;6;6;4;8;14;4;4;6;14;18;6;6;2;6;8;24;6;4;0;10;8;12;6;2;8;2;6;24;2;8;2;2;4;4;8;8;2;2
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;10;40;148;4;8;20;8;16;2;18;24;8;22;6;20;8;20;20;12;2;24;6;8;16;4;8;8;20;4;4;6;4;12;2;8;8;8;8;6;8;8;8;16;12;0;8;26;4;14;6;6;6;4;8;14;0;0;6;4;20;6;8;6;8;8;6;4;4;2;24;6;10;18;10;22;28;54;0;10;6;2
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;22;14;18;6;16;12;8;4;14;14;6;8;12;20;10;10;2;14;12;10;6;4;12;8;2;4;14;8;4;6;8;14;4;6;22;6;14;8;12;14;2;10;16;12;6;16;10;16;12;10;14;8;4;12;12;6;2;12;6;10;4;18;8;8;2;4;12;2;2;4;16;8;16;6;14;6;10;4;6;6
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;12;16;6;14;10;16;12;6;16;18;12;16;6;14;10;20;10;6;6;14;4;8;12;14;16;8;14;14;2;14;6;6;10;16;16;0;6;6;14;10;6;10;14;6;12;8;6;2;2;12;6;6;6;12;10;6;4;12;10;2;4;8;4;6;8;8;14;10;4;4;4;8;8;10;10;0;6;14;8
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;6;4;28;6;28;12;6;6;16;18;8;12;6;18;4;6;12;18;20;6;6;2;10;10;28;40;4;0;8;4;12;6;8;24;6;0;12;38;0;12;12;10;18;80;2;62;10;0;2;10;10;58;14;6;2;12;14;6;6;4;26;10;2;14;12;10;10;6;2;12;4;24;84;14;2;2;8;8
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;8;6;16;4;38;50;6;26;16;10;12;28;20;16;10;58;14;8;12;6;8;20;18;20;2;4;4;10;4;6;4;2;4;8;8;8;4;16;16;4;14;20;4;12;4;2;6;2;18;14;6;8;0;2;50;4;8;4;6;6;6;8;4;2;18;10;4;12;24;20;20;14;4;4;6;2
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;22;12;10;24;14;4;0;8;12;10;4;12;2;2;10;10;2;6;14;28;12;4;10;8;8;12;10;4;8;6;14;8;26;4;16;24;6;16;4;6;12;6;4;8;8;10;6;12;4;10;0;6;8;8;10;12;6;20;6;10;2;2;10;4;0;16;4;6;6;22;0;2;28;6;2;4
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;16;24;8;26;26;16;6;8;14;10;24;16;12;10;16;4;6;64;10;20;4;4;10;22;6;8;22;148;6;12;8;6;6;4;36;12;8;16;10;2;8;2;6;8;4;6;12;6;2;2;8;2;6;4;2;8;6;8;4;6;2;20;4;2;2;10;8;4;2;2;6;8;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;28;14;18;10;10;10;8;14;14;12;4;14;6;8;24;0;14;12;4;10;16;10;0;2;6;14;8;14;10;12;6;4;14;18;2;108;10;4;16;6;6;8;12;12;4;6;10;16;4;2;8;4;4;8;0;12;16;8;6;0;6;4;8;16;8;12;6;10;8;6;4;6;8;6
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;2;8;12;8;6;4;2;8;10;8;6;4;12;16;4;8;2;10;2;4;66;2;2;6;8;2;10;6;0;10;8;6;4;4;4;22;0;8;4;4;4;0;2;0;16;8;12;6;2;2;4;0;12;4;4;2;8;2;0;10;2;0;8;0;6;2;2;4;0;4;4;2
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;16;14;10;10;8;10;8;6;6;8;16;16;128;10;8;4;12;4;10;2;2;4;8;10;4;14;12;12;8;10;6;8;14;10;12;26;2;18;0;26;6;4;2;6;6;24;18;6;6;4;2;6;10;0;4;2;14;6;6;8;4;0;2;10;0;2;10;4;0;4;6;2
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;14;58;26;2;2;14;26;16;4;4;20;10;4;8;20;14;12;12;8;38;8;36;0;150;10;4;26;10;6;4;10;4;12;0;6;2;2;4;8;8;10;4;14;10;10;14;18;2;2;4;2;0;4;8;6;4;26;4;16;12;18;4;8;0;10;4;4;10;2;2;8
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;6;22;4;10;10;8;10;6;8;12;4;4;6;8;12;10;10;0;0;0;10;4;4;14;0;2;14;12;8;6;16;10;14;20;6;2;8;6;14;44;8;8;10;0;4;8;2;8;12;4;8;10;6;14;6;10;4;10;2;6;2;10;32;0;8;6;4;2;0
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;30;8;6;10;24;10;10;4;50;2;10;8;4;14;28;30;6;6;10;4;2;16;14;10;12;2;4;6;2;18;10;12;6;2;4;6;2;14;0;6;4;6;0;2;12;0;4;8;2;8;2;6;2;6;6;0;2;12;4;2;4;2;8;0;12;8;8;10;6
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;2;0;8;42;52;2;4;18;6;4;2;8;16;12;34;8;4;2;22;0;58;6;4;32;2;10;2;16;4;4;6;10;2;4;8;8;10;0;4;0;2;8;8;10;6;0;16;2;0;2;2;0;8;42;2;52;16;4;2;8;4;2;6;10;0;4;8;4
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;58;30;6;10;62;8;2;8;4;12;16;30;14;6;8;6;2;22;12;0;42;4;0;0;10;8;6;2;6;8;2;6;12;6;2;2;2;10;12;14;18;10;0;28;0;2;6;2;0;8;32;0;16;38;0;4;10;12;20;4;16;2;6;6;6
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;20;2;2;10;10;8;2;4;0;2;10;4;2;10;6;10;0;24;4;0;16;4;2;2;8;2;2;8;4;10;6;2;6;8;8;6;14;10;12;6;2;0;14;8;2;6;4;22;6;8;6;2;16;4;0;0;18;0;8;6;2;6;0;8;6;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;0;20;2;8;8;4;6;2;8;4;6;4;0;0;2;10;0;6;8;0;2;10;8;2;6;6;34;2;6;10;0;14;4;6;6;0;10;8;4;2;22;6;4;10;4;4;8;6;8;0;16;6;0;6;6;8;6;8;8;2;0;0;4;2
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;32;2;8;4;10;10;4;0;4;16;10;0;2;10;10;6;12;4;2;4;6;8;2;6;8;4;6;0;8;10;6;4;4;2;6;6;2;2;8;2;6;8;2;6;4;8;10;0;6;2;6;6;10;8;4;4;2;0;2;2;2;0
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;6;8;118;2;0;6;8;8;12;104;8;2;6;4;0;20;6;6;38;4;8;4;14;10;10;2;4;4;8;8;12;10;4;4;4;6;4;6;4;4;0;38;2;0;2;4;2;4;28;6;14;12;6;4;10;8;20;4;22;4;6;2;4
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;20;0;2;8;12;16;12;6;12;10;8;34;0;14;4;6;8;6;2;4;6;10;2;2;6;2;2;12;2;8;6;10;2;0;2;4;10;8;2;24;2;2;8;0;6;2;14;0;22;36;2;2;4;4;2;0;8;2;6;6;2
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;20;16;8;4;10;4;6;14;6;2;2;2;4;2;12;10;4;10;8;6;10;4;4;6;10;8;2;6;8;6;0;8;0;20;6;0;4;8;8;0;4;6;0;4;12;4;0;8;2;2;4;4;18;4;4;4;6;10;0;6;6
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;10;4;4;6;2;8;4;2;6;0;6;8;12;4;6;2;6;4;10;8;14;10;6;2;4;0;12;10;4;6;2;8;0;4;2;6;2;4;12;8;8;4;4;16;4;4;2;6;8;6;4;6;0;2;2;4;2;4;2
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;6;4;4;14;62;4;0;8;0;4;18;6;0;24;6;4;6;6;4;8;2;0;0;10;2;10;4;2;2;4;16;8;0;4;2;2;28;0;0;4;4;0;8;26;4;10;18;0;0;8;10;20;6;26;0;4;6;0
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;2;4;8;4;4;2;2;8;10;8;14;0;14;2;2;6;8;12;8;10;20;0;10;6;10;2;0;2;4;4;26;8;6;6;6;0;2;4;0;2;0;14;4;6;4;2;4;2;4;2;2;10;0;0;2;4;0
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;10;4;8;6;4;4;8;2;28;2;8;2;2;8;4;2;2;2;2;8;2;4;2;0;18;4;0;0;4;4;6;4;0;2;0;0;172;0;0;4;2;6;2;4;2;6;4;4;0;2;0;2;6;4;6;6
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;12;4;0;2;24;10;6;12;16;8;16;10;4;6;4;6;4;2;4;10;22;0;6;8;4;0;0;4;8;0;2;14;6;8;6;6;8;12;8;0;10;0;2;18;6;4;2;2;4;8;2;4;0;10
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;2;22;2;6;0;8;2;6;2;14;4;0;2;4;4;2;4;8;2;4;2;12;12;2;2;10;2;2;6;4;0;4;6;0;10;4;10;0;0;2;2;2;6;0;2;2;8;0;0;8;6;6;6
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;12;8;12;12;2;8;8;4;12;4;4;8;8;10;0;6;8;8;4;10;0;6;2;8;0;10;6;8;0;8;10;8;0;8;6;4;0;0;6;0;16;4;8;4;6;0;4;4;6;6;4;4;8
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;12;0;12;4;2;12;18;10;12;8;4;10;8;62;8;4;8;2;8;14;0;2;4;12;0;4;2;10;2;6;6;12;6;0;2;0;6;2;6;0;8;8;2;4;12;10;12;2;14;6;8;2;6
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;6;4;2;8;2;6;26;6;8;4;8;10;14;6;8;2;10;2;6;10;0;6;4;10;16;4;8;2;2;20;4;8;4;2;2;4;28;6;20;8;0;0;8;10;18;8;8;2;8;0;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;6;10;6;14;2;2;6;6;6;6;6;4;60;14;6;8;12;6;10;4;2;14;8;8;4;2;36;8;4;4;4;4;2;6;12;12;4;6;0;2;10;4;12;4;14;14;8;20
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;2;6;6;0;2;0;4;4;6;6;2;2;6;0;0;2;18;4;14;6;2;0;2;0;2;6;0;2;4;0;0;8;0;0;14;0;2;0;4;2;0;4;2;2
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;22;4;10;8;2;2;2;22;4;2;4;6;4;4;0;2;0;2;0;8;4;4;0;2;2;0;2;2;2;2;0;2;0;4;4;2;0;2;4;2;0;0;6;8;10;4;0
security;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;6;4;0;6;8;6;2;2;6;2;2;8;4;10;4;4;4;6;0;4;6;6;2;8;2;2;8;2;2;2;10;6;10;0;4;6;2;4;0;4;2;4;2;4;6
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;12;2;2;6;4;2;4;16;6;8;0;6;0;0;6;2;0;4;2;8;4;2;12;6;2;6;0;14;8;6;2;2;4;0;0;4;6;6;2;6;4;0;0;2;6;0
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;20;2;2;6;8;4;12;0;6;4;2;6;2;12;0;2;6;2;6;4;4;0;6;4;2;22;4;6;0;6;20;0;16;10;2;0;6;2;8;4;2;4;2;0;8
times;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;4;0;4;2;14;8;6;14;4;4;6;0;4;0;4;6;4;2;4;2;2;0;4;6;2;2;6;2;6;8;4;10;0;6;2;12;6;0;4;4;10;8;2;0
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;6;8;4;10;6;4;8;14;6;8;4;10;6;4;2;8;0;0;4;8;0;6;8;2;8;14;6;2;12;2;4;0;6;0;6;2;8;4;2;4;0;2
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;4;6;14;4;2;2;8;2;14;0;0;0;22;0;10;8;0;2;4;24;2;2;0;2;2;4;20;4;18;6;0;0;8;0;12;8;10;0;10;0;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;4;8;2;2;2;4;2;12;2;4;8;8;2;4;4;2;4;2;8;8;4;0;8;0;4;0;2;0;0;6;8;0;0;2;0;0;4;10;2;6;4
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;2;4;4;0;0;8;2;4;6;8;2;2;0;0;10;4;2;4;6;8;0;0;2;0;0;8;6;0;6;2;8;4;0;2;0;2;6;4;2
military;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;2;0;6;8;12;0;4;10;4;8;4;4;4;2;2;4;4;0;4;4;4;2;8;0;2;4;0;4;6;12;2;6;6;10;0;6;4;8;4
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;6;0;10;14;2;6;6;2;8;2;4;6;4;4;0;8;4;6;2;4;8;0;2;8;6;14;4;8;6;6;4;4;12;4;10;2;2;20
post;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;14;2;8;6;2;8;8;2;0;4;4;8;4;0;10;4;8;2;2;6;2;4;6;0;4;2;4;2;4;4;4;4;2;10;6;4;2
hard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;6;2;2;6;4;10;2;6;4;14;4;4;10;0;4;42;2;8;14;2;2;2;0;2;4;8;6;6;2;8;6;0;4;2;2;4
thing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;4;2;8;4;2;6;2;0;4;2;0;4;0;2;2;2;6;6;0;8;4;10;2;6;2;0;2;0;6;4;4;2;8;0;2
story;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;4;6;4;4;2;0;4;8;8;4;6;2;0;4;8;0;4;0;10;6;6;6;0;0;6;8;0;6;4;0;0;4;4;0
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;6;4;14;6;8;2;6;6;0;0;0;0;2;4;2;12;4;8;4;0;6;0;6;6;6;2;0;6;4;2;16;6;12;14
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;40;4;0;4;2;4;26;4;0;0;2;2;4;4;2;16;8;2;6;10;2;2;2;2;6;4;8;118;10;0;2;4;2
