;live;#covid19;#akgov;watch;press;@alaska_dhss;briefing;#flattenthecurve;alaska;health;outbreak;alaskans;economy;update;tonight;state;reopen;5pm;#alaska;public;officials;alaskas;facebook;page;joined;join;ak;reopening;approximately;@annezinkmd;new;another;thank;aks;5;cabinet;members;responsibly;hosting;#reopenalaskaresponsibly;continue;0;protect;great;commissioner;virus;plan;provide;medical;working;help;ways;team;cases;discuss;holding;actions;supplies;briefings;taking;plans;work;care;resume;economic;discussing;covid19;evening;begin;#reopenalaska;response;numbers;gt;native;@franklin_graham;system;methodically;prayer;americans;information;efforts;businesses;students;budget;deaths;battle;daily;mandates;workwatch;9;johnson;crucial;success;phase;recovered;put;give;@realdonaldtrump;safety;f35s
alaskans;0;0;0;0;0;0;0;0;0;0;0;0;16;12;10;6;14;10;10;8;8;4;2;2;6;8;6;6;2;4;2;4;4;4;4;4;4;8;4;8;6;0;10;2;2;8;6;4;2;2;4;8;6;2;4;2;6;2;2;4;2;6;2;2;4;2;4;2;2;2;0;2;0;0;2;0;2;0;0;4;6;0;0;0;0;4;4;0;2;0;0;0;0;0;2;4;2;4;4;0
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;16;14;2;18;8;10;4;4;8;2;2;6;6;4;10;0;0;0;2;2;4;4;4;4;0;0;2;0;0;4;2;0;0;4;2;0;10;2;6;2;0;4;2;2;0;2;2;6;0;2;2;0;4;0;0;6;4;0;2;0;0;0;0;4;0;0;0;4;2;0;0;0;0;2;0;4;0;0;0;0;2;0;2;2;0;0;0
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;12;12;16;8;14;14;4;12;12;8;8;4;2;10;10;0;6;0;0;6;6;6;0;4;6;0;0;2;0;4;4;0;8;0;4;0;6;0;0;4;4;2;0;4;2;4;0;0;4;0;2;2;8;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0
tonight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;20;2;8;8;0;6;6;0;14;4;6;8;4;4;8;0;6;6;2;2;0;6;4;0;4;2;0;2;2;4;4;0;2;4;2;2;4;6;6;0;0;8;0;4;0;2;8;4;2;0;0;6;2;0;6;2;0;0;0;0;0;0;0;4;2;0;0;4;2;2;2;4;4;0;0;0;2;2;2;2;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;4;10;8;6;12;12;2;6;4;0;6;2;0;4;2;2;4;2;2;2;2;0;4;0;2;6;2;2;0;4;2;2;0;4;0;0;4;2;0;2;0;0;0;2;4;0;0;0;2;4;0;0;6;0;0;2;2;4;0;2;2;0;0;0;2;2;0;2;0;0;0;0;2;4;0;0;0;0;2;0;2;2
reopen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;0;0;4;0;0;2;2;0;0;0;0;2;2;0;0;2;0;0;10;0;4;2;0;4;4;0;0;6;2;0;8;0;8;2;2;4;2;0;0;2;0;4;6;2;2;0;2;4;0;2;4;0;2;0;0;0;0;4;0;0;4;2;2;0;0;0;0;4;0;0;0;0;0;0;2;2;2;0;0;4;0
5pm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;10;0;6;6;0;12;4;4;10;6;0;10;0;4;0;2;2;2;8;4;0;0;0;0;2;2;2;4;0;2;2;4;0;0;4;2;0;0;4;0;2;2;0;4;2;2;0;2;4;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;4;2;2;0;0;0;0;0;0;4;2;0;2;0
#alaska;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;4;0;2;0;0;4;0;0;0;0;4;0;2;2;0;2;2;0;0;0;0;2;6;2;4;2;0;0;0;0;2;0;0;6;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0;2;4;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;2;12;12;8;6;10;0;12;2;0;6;0;8;6;10;10;0;8;0;2;0;2;2;0;2;0;6;0;0;2;2;0;0;0;4;4;0;0;4;0;0;0;0;2;4;4;8;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;2;0;0;0;0;4;0;0;0
officials;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;12;12;8;6;10;0;12;2;0;6;0;6;6;10;10;0;8;0;2;0;2;0;0;2;0;6;0;0;2;2;0;0;0;4;4;0;0;4;0;0;0;0;2;4;2;8;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;0;0
alaskas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;6;4;0;4;0;4;0;2;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;4
facebook;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;6;4;2;2;10;2;0;4;0;2;8;6;6;0;4;0;2;0;0;2;0;0;2;6;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;8;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;4;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0
page;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;2;10;2;0;4;0;2;8;6;6;0;4;0;2;0;0;2;0;0;2;6;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;8;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;4;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0
joined;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;6;0;0;0;0;4;6;6;0;0;0;0;0;2;2;2;2;0;4;4;2;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0
join;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;4;0;2;0;4;4;0;0;0;6;2;2;0;2;2;2;2;2;0;0;0;2;0;2;0;4;0;0;0;2;0;4;0;2;2;2;2;0;2;4;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0
ak;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;0;8;8;0;2;2;2;0;2;0;2;2;0;0;0;0;2;2;2;0;0;2;4;2;0;4;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;4;0;0;0
reopening;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;0;0;0;0;0;2;0;0;0;4;0;0;0;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0
approximately;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;0;4;4;4;4;0;6;0;0;0;0;0;0;2;0;6;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;0;2;2;2;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
@annezinkmd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;4;0;0;2;0;4;4;0;0;4;0;0;0;0;0;2;0;2;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;4;0;2;0;0;2;0;0;0;0;0;0;6;0;2;0;0;4;0;0;2;0;4;0;0;2;0;0;0;0;4;2;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0
another;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;8;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;2;2;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;4;0;6;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0
aks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;4;0;0;0;0;2;0;2;2;2;0;0;4;0;2;0;0;0;2;0;0;2;0;0;0;0;4;4;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;2;0;2;2;0;0;2;0;2;0;0;0;2;0;0
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;2;0;0;0;2;4;0;0;2;0;2;2;2;0;0;0;2;0;2;0;2;2;0;0;2;6;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0
cabinet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;2;0;2;0;0;2;0;2;0;0;0;2;0;0;2;2;4;0;0;4;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
members;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;2;0;0;2;2;4;0;0;4;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
responsibly;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;6;0;0;0;0;4;0;2;0;0;0;0;0;2;0;6;0;0;0;0;4;0;2;0;0;0;0;0;0;0;2;0;0;4;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;4;0
hosting;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
#reopenalaskaresponsibly;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;4;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;2;2;0;0;0;0;0;0;2;0;2;2;0;0;2;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;2;0;2;2;4;0;0;4;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;2;0;0;0;0;4;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0
commissioner;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0
virus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;6;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
plan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;4;0;6;0;0;0;0;0;0;0;2;0;0;4;0;4;0;0;0;0;0;0;4;0;0;0;0;4;2;2;0;0;0;0
provide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;2;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0
medical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;4;0;0;2;0;0;0;0;2;0;0;0;0;0;0
ways;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;4;0
team;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;0;4;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0
cases;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;0;4;0;0;2;0;0;0;0;4;2;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0
discuss;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
holding;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0
actions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
supplies;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
briefings;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0
taking;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
plans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;2;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
resume;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0
economic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0
