;new;mexico;covid19;health;state;mexicans;home;stay;information;#alltogethernm;positive;public;@nmdoh;spread;#coronavirus;cases;officials;announced;continue;care;#nmgov;statewide;community;together;tests;protect;essential;school;order;additional;best;children;workers;please;emergency;across;federal;currently;take;working;slow;businesses;contact;presumptive;#nmleg;states;ensure;totaling;making;services;child;online;people;families;possible;info;critical;find;close;government;social;mexican;tested;fed;novel;funding;insurance;live;important;tune;support;thank;schools;solar;pandemic;energy;grocery;steps;test;proud;part;mitigate;help;response;resources;continues;ensuring;tomorrow;credit;morning;legislation;website;absolutely;staying;glad;update;mexicos;facilities;communities;distancing
public;0;0;0;0;0;0;0;0;0;0;0;0;10;16;14;4;6;2;10;2;8;8;4;8;0;8;4;2;16;2;4;0;2;4;16;6;2;4;6;4;4;4;4;0;2;6;0;0;0;6;0;0;2;2;2;4;4;0;6;4;2;2;2;0;0;0;2;6;2;4;2;2;4;0;6;0;0;6;0;0;0;6;0;6;0;0;2;4;0;4;0;2;0;0;0;6;2;2;2;0
@nmdoh;0;0;0;0;0;0;0;0;0;0;0;0;0;12;26;10;20;20;6;0;2;4;8;4;16;4;2;0;14;4;6;0;0;4;0;4;4;6;4;6;0;0;4;14;0;6;0;4;0;0;0;4;8;0;6;0;2;2;0;2;2;0;14;0;12;0;0;0;2;0;2;0;0;0;0;0;0;2;10;0;2;4;4;4;0;4;6;2;0;8;0;4;0;0;8;2;0;0;2;2
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;6;6;0;0;16;10;0;10;10;2;10;2;2;2;2;4;2;2;4;2;12;2;26;4;8;0;0;4;2;0;0;0;0;0;2;0;10;0;6;2;4;0;8;6;0;0;0;2;0;0;2;0;0;0;4;0;0;0;2;2;0;0;4;14;4;0;2;2;0;2;0;2;0;0;8;12;0;0;2;0;0;8
#coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;12;12;10;2;10;4;14;4;14;6;2;2;6;2;10;2;0;6;2;4;2;6;10;2;0;0;4;8;0;6;0;4;0;6;0;0;10;0;2;0;4;0;6;2;6;0;10;2;10;0;0;2;2;2;2;2;6;0;0;0;0;6;2;0;0;4;0;4;0;4;4;4;0;8;0;0;0;0;4;2;0;0;4;6
cases;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;24;8;0;4;8;8;0;20;6;2;0;2;22;2;0;0;0;4;2;0;20;0;0;0;0;6;8;0;4;0;18;0;0;0;0;2;0;0;4;0;0;2;2;2;0;2;0;4;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;4;0;0;4;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;2
officials;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;16;6;0;32;4;2;0;0;20;0;0;0;0;0;0;2;26;0;0;0;0;0;12;0;10;0;24;0;0;0;0;6;0;2;4;0;2;0;0;0;0;16;0;4;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;4;0;0;10;0;0;2;0;0;6;0;2;4;0;2;10;4;0;0;0
announced;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;6;0;32;4;2;0;0;22;0;0;0;0;2;0;0;26;0;0;0;0;0;12;0;4;0;24;0;0;0;0;6;0;2;6;0;2;0;0;0;0;16;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;12;4;2;4;2;4;4;14;0;2;6;12;6;0;2;12;2;0;2;6;2;4;4;0;6;2;12;0;0;6;6;0;2;2;0;2;2;2;2;4;4;2;0;10;2;2;0;0;2;0;4;2;0;0;0;0;0;2;2;0;0;2;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;4;2
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;6;4;2;4;0;0;2;14;6;4;2;2;0;4;2;2;2;0;0;0;0;4;0;4;4;10;0;0;4;0;0;4;0;0;4;0;2;0;2;0;2;2;0;0;0;0;2;2;0;2;0;6;0;0;2;2;0;0;0;0;2;0;0;2;0;2;0;0;4;0;0;2;4;0;0
#nmgov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;2;0;2;8;2;0;2;0;8;6;0;0;6;0;0;4;0;20;2;2;0;10;6;2;0;4;4;2;0;2;0;2;2;2;0;0;0;2;2;4;2;2;2;2;0;2;4;0;6;0;0;0;6;0;0;0;0;0;2;4;2;4;2;6;2;0;0;0;0;0;0;0;2
statewide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;12;4;6;2;2;12;0;4;2;0;4;4;6;12;0;2;0;2;2;0;0;6;8;12;0;2;0;2;4;2;2;6;2;0;0;4;2;4;4;4;0;2;0;2;0;2;4;0;0;0;4;0;2;0;0;0;4;0;2;4;2;2;0;2;0;4;0;0;2;0;2;4;0;0;2;0
community;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;18;4;2;4;6;8;0;0;4;0;0;6;8;16;0;8;0;2;0;0;4;2;6;0;2;0;0;0;0;4;0;4;0;2;0;4;4;0;0;4;4;0;0;4;0;0;0;2;0;4;0;0;8;0;0;10;4;2;0;0;2;0;0;0;0;0;2;4;4;0;0;0;0;2;4
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;4;2;0;8;2;2;10;4;2;0;0;6;2;6;2;2;0;0;0;4;0;0;0;0;0;0;0;4;2;0;6;0;0;2;2;0;4;2;0;0;0;0;0;2;6;0;0;2;0;0;0;2;0;0;2;2;0;4;0;0;0;0;0;0;0;2;0;2;0;0;0;4;2
tests;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;18;0;0;0;2;2;2;0;24;0;2;0;0;0;4;0;4;0;24;0;0;0;0;10;0;2;4;0;0;0;0;0;0;14;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;4;10;2;6;6;2;2;4;4;14;2;4;0;4;0;2;0;2;4;0;0;0;0;2;4;2;0;2;0;0;0;2;4;0;4;4;2;0;0;2;0;0;0;0;0;2;0;0;6;0;0;12;2;0;2;0;2;2;0;0;0;0;0;2;4;0;0;2;0;4;2
essential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;4;2;4;0;4;2;2;2;8;4;4;0;0;0;0;2;0;2;4;0;2;0;10;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;2;4;0;0;2;4;0;0;0;0;0;2;2;2;0;0;8;4;0;0;0;2;0;2
school;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;12;8;2;0;8;2;0;4;2;0;0;0;0;6;0;12;0;0;2;6;0;0;2;0;2;2;2;4;2;0;2;0;10;0;2;0;0;2;0;0;2;2;0;2;0;2;2;0;2;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;0;4;2;2;4;4;0;0;0;0;0;0;0;0;2;4;0;4;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;4;0;0;0;2;2;0;0;0;2;2;0;2;0;0;2;0;2;0;0;4;2;0
additional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;4;18;0;0;0;0;0;2;2;0;4;18;0;0;2;0;0;0;0;4;2;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;2;0;0;0;0;0;0;4;0;0;0;0;0;2;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;6;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;4;2;2;0;0;0;0;2;0;0;0;0;0;0;4;0
children;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;8;0;0;0;2;2;0;0;0;6;0;10;0;0;0;6;0;0;6;0;0;0;0;0;0;0;2;0;10;0;0;0;0;2;0;2;2;4;0;0;0;0;0;0;2;2;0;2;0;2;0;4;2;2;0;0;0;0;2;2;0;0;0;0;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;0;0;2;4;0;2;0;0;0;0;4;0;2;2;8;0;0;6;0;2;0;0;0;4;0;4;0;10;0;0;2;0;0;0;0;6;0;0;2;0;8;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0
please;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;4;0;0;2;0;0;0;0;0;2;0;4;2;0;0;6;0;2;2;2;2;4;2;0;0;0;0;2;2;0;2;0;2;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;4
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;4;2;0;0;0;0;0;0;4;2;0;2;0;4;4;0;0;0;2;0;2;2;0;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;8;0;2;0;0;4;0;8;0;2;2;4;0;4;2;0;2;2;0;0;4;0;4;0;4;0;0;0;0;0;0;2;4;0;2;0;4;0;0;0;2;4;0;0;0;2;2;0;0;2;0;0;0;0;2;4;0;4;0;2;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;4;2;8;0;2;2;0;2;0;0;0;2;8;0;0;10;0;4;0;0;0;12;0;0;2;0;0;2;2;0;4;2;0;2;0;0;6;0;0;2;4;4;4;0;0;2;0;0;0;4;4;2;2;0;2;0
currently;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;24;0;0;0;0;6;0;0;4;0;0;2;0;0;0;10;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;2;4;0;0;0;4;0;4;0;0;0;4;0;0;0;0;0;0;0;2;0;2;0;0;10;0;0;2;4;0;0;0;2;0;0;0;0;0;0;2;4;0;0;4;0;2;4
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;0;2;2;0;4;0;2;2;0;0;0;0;4;0;2;0;2;0;2;2;0;2;0;0;4;0;0;0;0;0;0;0;2;4;0;0;0;2;2;0;0;2;0;2;0;0;2;4;0;2;0;0;0
slow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;2;0;4;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;8;8;0;0;0;0;0;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;4;2;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0
contact;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;2;2;0;12;0;0;0;2;4;8;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6
presumptive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;6;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
#nmleg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;6;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2;4;0;2;2;6;2;0;0;0;0;0;0;0;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;4;0;0;4;0;6;2;0;0;0;4;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2
ensure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;2;6;2;0;2;0;4;0;8;0;8;0;0;0;0;2;2;2;0;2;0;0;0;0;2;4;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;4;0
totaling;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;4;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0
making;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;4;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0
services;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;2;4;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
child;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0
online;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;2;4;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;6;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;2;0;2;0;0;0;0;2;2;0;4;0;0;2;0;0;0;0;0;2;0
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;6;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;2;0;0;0
possible;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;4
info;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;4;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
critical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;8;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;4;2;0;2;0;4;0
find;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2
close;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;6;0;0;0;0;2;0;0;0;4;0;0;0;0;0;4;0;4;0;0;0;0;0;0;2;2;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;4;0;0;4;0;4;2;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;0;2;0;2;0;0;2
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;14
mexican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2
tested;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
fed;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
novel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0
