;arizona;#covid19;thank;health;state;arizonans;public;#thearizonaway;arizonas;#aztogether;care;work;continue;@azdhs;support;protect;grateful;help;working;1;testing;safety;new;across;businesses;discuss;spread;resources;safe;guidance;@drcarachrist;kids;home;ensure;together;families;2;@aznationalguard;leaders;information;access;stay;az;continued;law;provide;workers;efforts;latest;school;students;food;nation;medical;3;million;call;professionals;people;communities;important;thanks;budget;#returnstronger;local;schools;partnership;proud;#azbalanced;officials;jobs;great;emergency;healthy;visit;@azcommerce;everyone;service;education;available;president;relief;enforcement;responders;@supt_hoffman;4;take;community;22;order;economy;director;watch;2020;@uarizona;5;year;forward;additional;joining
care;0;0;0;0;0;0;0;0;0;0;0;20;36;26;28;20;20;26;44;22;42;8;20;10;6;4;18;14;16;8;10;14;6;14;6;16;18;6;14;8;48;0;12;8;12;18;48;8;2;2;0;8;2;16;10;14;0;46;6;2;6;4;6;0;0;2;12;8;2;8;0;2;6;2;4;2;10;0;4;12;6;8;6;34;2;18;8;6;4;14;0;4;2;2;32;16;0;0;16;2
work;0;0;0;0;0;0;0;0;0;0;0;0;42;20;44;44;56;26;18;28;12;32;6;24;10;20;24;8;28;16;22;12;2;20;10;2;10;16;18;0;10;4;16;22;12;12;4;8;6;10;12;12;8;4;10;8;18;14;14;12;10;22;6;24;8;6;26;14;4;12;6;16;8;16;0;8;16;6;8;14;6;14;10;4;16;6;6;12;10;4;14;8;2;2;4;4;2;10;2;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;34;26;36;34;22;30;28;22;30;18;14;26;16;22;20;10;26;12;12;8;30;14;16;16;12;18;2;20;6;14;12;6;18;10;14;6;6;10;6;8;12;6;12;12;8;8;18;12;6;2;16;10;12;12;8;2;20;6;4;2;10;6;10;12;4;16;8;4;12;4;2;12;6;24;10;10;16;10;4;0;0;0;12;6;12;4;0
@azdhs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;8;4;26;12;40;20;10;34;12;32;22;10;8;38;108;4;2;16;2;0;16;26;14;14;8;6;6;12;2;12;4;22;38;6;0;4;0;6;8;2;18;10;0;6;8;4;0;4;10;4;4;0;4;16;0;0;16;4;6;0;2;2;4;24;4;0;2;0;2;6;0;4;8;10;0;46;26;0;2;16;0;2;8;18
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;40;26;26;18;8;10;12;16;20;12;12;36;6;4;0;20;4;6;22;30;2;12;8;10;16;2;30;22;10;22;14;18;4;6;4;12;16;30;4;20;12;36;10;20;2;14;2;26;4;0;6;10;4;2;2;6;16;6;8;6;18;2;4;4;14;30;4;24;2;10;4;10;8;4;2;0;0;0;8;6;2;2;6;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;24;42;20;18;50;2;14;8;16;34;4;14;10;28;2;8;16;4;4;14;8;10;8;0;4;12;8;20;16;8;24;6;0;4;0;8;8;18;0;8;18;10;16;10;8;4;14;20;0;16;4;2;16;2;0;14;6;2;0;8;4;2;0;8;10;18;14;4;4;12;8;6;10;10;12;8;0;16;2;0;6;8;2
grateful;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;28;10;6;32;8;10;6;18;12;14;16;4;4;20;6;12;22;12;10;10;22;0;6;8;16;34;6;14;12;18;4;10;4;4;20;14;6;8;12;16;4;16;6;6;0;14;8;0;24;2;0;12;2;2;14;4;2;0;14;28;6;4;6;16;4;10;12;2;4;8;18;0;4;4;0;0;2;4;4;14;2;4
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;8;6;26;10;26;2;22;20;16;6;2;28;14;24;8;18;2;4;2;14;20;8;30;4;6;12;12;10;0;4;20;18;4;12;10;22;6;16;6;14;4;2;6;14;10;10;6;8;4;2;6;2;8;6;8;12;2;4;2;12;2;28;2;4;2;0;4;8;4;4;2;0;0;0;10;10;0;2;4;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;10;16;4;16;2;2;18;12;22;8;20;12;8;34;24;6;4;8;24;6;14;8;14;8;10;14;12;16;2;6;4;2;8;8;12;8;8;26;4;16;10;14;4;4;12;8;8;4;12;18;6;4;10;12;4;2;16;4;10;0;8;10;8;8;6;6;8;8;4;10;0;0;0;2;10;8;4;10;4;4
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;22;20;16;16;14;34;6;18;12;10;4;8;14;8;10;10;2;18;0;10;2;18;14;10;14;2;12;6;6;8;12;2;4;6;22;10;14;10;12;16;8;6;8;12;10;6;12;2;20;2;0;12;10;4;0;6;4;4;0;2;18;8;2;8;2;6;8;0;12;18;4;0;0;2;0;6;10;12;2
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;30;2;20;16;2;8;8;6;0;2;2;2;0;12;8;6;14;4;0;6;18;0;26;12;16;12;0;4;2;2;6;14;4;20;4;0;0;2;2;2;2;2;2;10;8;2;2;0;0;2;2;0;0;2;0;0;36;8;0;0;14;2;8;4;4;2;6;6;4;0;0;24;4;2;2;10;0
safety;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;16;12;12;10;0;16;20;16;10;4;20;4;0;6;6;2;2;8;4;2;26;14;6;14;6;8;8;4;2;2;4;2;8;8;8;4;16;8;4;20;6;8;4;12;0;22;20;2;4;10;6;2;0;10;4;8;4;0;4;10;10;12;4;4;0;2;8;8;10;6;2;2;2;6;4;2;4
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;4;6;8;8;12;2;2;10;6;8;10;8;0;2;2;4;2;14;6;2;6;4;4;2;10;4;6;8;0;6;30;2;6;10;2;2;4;14;6;2;8;6;2;10;2;20;2;0;2;0;10;4;6;6;2;0;18;2;2;0;8;8;0;2;10;4;2;2;4;0;6;12;8;12;2
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;8;6;6;16;14;14;6;4;14;10;10;6;4;18;10;4;2;10;6;4;10;12;2;6;4;4;6;12;6;4;6;18;4;8;16;4;10;6;10;8;4;2;10;4;6;2;2;4;8;6;2;10;6;2;26;0;4;4;6;4;4;4;6;0;2;10;0;2;0;0;2;4;4;4;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;12;22;10;34;6;0;0;4;8;22;4;0;6;14;10;2;14;8;6;0;10;8;0;0;2;4;4;4;6;2;10;2;20;6;4;6;2;18;10;0;6;4;0;4;4;2;6;6;10;20;4;2;0;4;6;16;2;2;0;4;12;2;0;2;20;0;4;0;0;6;2;2;4;4
discuss;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2;12;8;44;2;2;2;2;4;2;12;20;4;2;2;8;24;0;8;0;36;64;2;6;0;4;4;0;0;62;2;2;2;6;6;0;14;4;0;10;0;0;4;0;6;0;8;0;0;6;2;4;0;4;4;0;2;0;0;4;12;0;0;10;20;14;8;6;6;2;4;0;18
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;16;12;4;20;8;6;6;10;2;6;8;0;12;10;16;0;10;4;22;6;2;2;4;2;2;6;6;12;8;4;0;16;6;0;4;4;4;12;0;0;14;0;0;14;10;2;0;2;0;2;0;0;10;0;0;2;14;10;10;2;6;2;6;4;0;4;6;0;2;10;2
resources;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;14;6;16;16;20;6;6;2;32;18;2;4;8;6;16;2;10;6;2;12;4;14;12;4;4;4;6;2;4;4;2;4;6;14;14;6;0;6;0;6;0;6;2;16;10;2;0;8;4;4;6;4;0;4;12;0;4;6;2;6;2;0;0;0;6;2;0;6;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;8;20;6;6;2;10;4;2;12;8;4;4;6;6;10;6;16;8;4;6;4;2;6;6;4;6;16;14;2;22;14;6;0;12;4;4;16;2;0;14;0;8;2;38;4;0;2;8;2;2;0;2;12;4;12;4;8;6;0;4;8;2;0;10;4;6;0;2;0;4
guidance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;6;8;0;0;10;0;14;0;4;6;4;18;4;2;0;8;2;4;0;2;0;0;8;0;8;2;2;2;6;0;0;32;6;2;2;0;0;28;0;0;4;4;2;4;10;0;0;6;0;2;2;0;0;10;6;10;2;10;20;0;2;0;0;12;2;6;6;2
@drcarachrist;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;10;2;2;8;18;20;6;2;4;6;8;0;10;2;24;38;2;4;0;0;0;4;0;28;6;0;0;4;6;0;6;10;4;4;0;0;8;0;0;8;2;2;0;4;0;2;0;2;0;0;0;8;2;0;6;6;0;6;46;18;0;2;6;0;2;0;26
kids;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;18;10;40;2;0;20;6;14;4;4;12;2;2;6;2;2;42;18;0;4;2;6;2;2;2;2;6;4;8;6;2;2;30;12;6;6;4;0;2;0;12;6;6;2;4;10;2;0;6;0;2;38;2;2;2;4;0;0;2;0;0;0;2;4;2;2;4
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;8;2;0;2;2;48;4;4;2;0;2;0;0;2;4;0;2;4;8;4;6;0;2;0;4;0;2;0;0;6;2;10;4;6;0;2;0;32;0;2;0;4;2;4;2;4;2;2;6;4;6;2;2;12;0;0;4;2;0;6;0;4;4;0
ensure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;6;8;18;0;30;0;4;18;10;6;4;0;0;8;12;6;6;6;8;4;2;2;0;12;6;6;4;6;10;12;12;2;10;4;8;0;4;0;4;10;2;0;10;2;0;2;8;0;16;4;4;6;2;6;6;2;0;2;2;4;2;2;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;4;12;14;8;2;2;2;8;2;8;2;2;0;6;0;4;6;0;0;2;0;2;10;6;0;8;4;4;0;6;12;0;0;2;0;0;4;2;6;2;8;0;6;0;4;4;2;2;14;4;4;8;4;0;2;2;0;0;0;2;8;12;0;2
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;12;8;18;2;14;2;4;8;6;4;0;20;12;12;2;2;2;8;0;2;0;6;4;8;2;4;0;16;2;2;2;2;0;2;4;4;2;2;2;2;8;8;2;16;0;4;16;2;2;10;4;4;0;0;0;0;0;6;2;0;2;2
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;2;2;4;8;10;4;4;4;10;2;4;2;2;4;4;4;8;2;0;4;0;2;8;6;2;2;6;4;0;0;6;6;0;8;8;4;2;0;2;2;2;2;4;2;0;0;0;2;12;0;18;2;2;2;0;0;4;2;4;8;0
@aznationalguard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;2;0;2;10;8;6;10;8;10;0;0;18;10;16;10;2;10;8;0;4;0;2;0;2;6;0;4;0;0;0;0;2;6;0;4;0;2;8;0;4;2;0;6;2;8;6;0;6;4;10;2;2;2;0;0;4;0;2;2;2
leaders;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;16;12;4;2;8;8;24;12;2;4;4;8;2;18;4;2;6;2;6;0;8;16;10;10;8;0;12;0;2;2;4;2;2;8;4;24;2;0;4;12;0;14;6;2;18;2;2;12;6;0;0;2;8;4;6;2;6
information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;2;2;0;6;6;4;12;2;2;4;2;0;0;0;2;0;0;2;14;0;0;0;2;4;0;2;0;0;4;0;6;6;24;6;0;0;2;6;0;2;0;4;4;4;0;0;4;6;0;0;0;2;2;2;0;0;2;2
access;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;6;10;2;2;2;2;6;12;6;0;4;8;6;2;2;2;8;6;0;4;2;2;6;2;6;6;2;2;2;2;0;4;14;4;2;4;6;0;2;0;2;6;4;0;2;2;10;0;0;0;0;2;2;0;0;2;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;4;0;0;0;0;0;2;0;4;0;0;2;2;0;0;2;0;2;2;2;0;2;0;2;0;38;4;0;0;2;2;0;2;0;0;0;2;0;4;0;2;16;0;0;2;0;0;4;0;4;0;0
az;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;10;8;6;4;4;6;8;6;18;4;14;4;12;4;12;8;2;0;14;6;4;6;4;2;2;0;0;0;6;0;4;0;2;6;4;6;50;0;2;2;0;0;8;4;2;2;2;2;0;4;4;2;0;8;0
continued;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;20;8;6;8;4;8;0;4;2;12;2;0;8;2;2;2;20;0;4;32;2;2;12;4;0;4;8;0;2;2;2;6;2;0;2;0;2;12;4;4;6;6;4;10;2;0;4;4;0;2;10;2;2
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;2;14;2;0;10;0;8;2;0;4;0;14;0;2;2;2;2;2;2;4;4;0;0;8;4;0;0;4;0;82;6;0;4;0;10;0;4;0;0;2;0;0;4;0;0;6;0
provide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;6;2;4;6;8;14;12;10;6;20;0;8;2;2;6;2;8;6;4;10;2;6;0;2;14;2;2;0;4;2;2;8;6;10;6;18;4;4;4;2;2;8;0;8;6;0;18;6;0;2;6;6
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;8;0;2;4;26;6;4;0;12;0;6;0;0;8;2;0;4;2;4;8;4;2;4;8;4;2;2;4;4;0;6;2;2;2;30;4;2;2;6;2;4;0;0;0;0;18;2;0;2;2;0
efforts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;2;0;2;0;2;2;2;18;2;2;2;2;8;0;8;4;0;4;0;0;2;0;2;6;8;2;0;2;0;2;2;4;10;0;2;0;12;2;6;4;4;6;16;2;0;2;0;0;2;8;8
latest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;28;0;0;0;0;2;0;4;0;2;6;0;0;4;0;0;2;4;2;0;2;2;0;2;0;0;0;0;4;0;2;0;2;2;2;20;16;0;2;6;0;2;4;18
school;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;2;0;2;8;2;0;0;4;2;4;8;0;2;32;4;12;10;6;0;2;0;4;2;0;0;4;14;4;4;2;0;0;28;4;2;4;2;0;0;2;0;2;0;2;12;0;6;4
students;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;6;4;0;0;2;4;6;12;0;0;28;4;6;16;4;4;2;0;2;6;8;2;6;12;4;2;0;0;0;20;0;0;0;4;0;0;0;0;0;6;0;2;2;2;0
food;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;8;0;2;0;0;0;0;0;2;12;0;2;0;0;0;0;4;6;0;6;0;0;0;0;8;0;4;0;2;2;0;0;2;0;2;0;0;0;0;0;4;0;0;0;0
nation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;8;4;6;4;2;4;4;6;2;2;2;8;4;0;2;4;0;2;0;2;6;10;6;0;4;0;0;2;0;2;0;0;2;0;2;0;0;0;2;2;4;0;0;0
medical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;4;48;0;8;4;0;0;6;2;0;2;2;0;0;6;0;18;4;2;0;4;2;0;2;0;12;4;20;4;4;0;2;6;4;0;0;0;0;4;4;0;0;2;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;10;2;2;6;2;0;12;2;2;0;0;4;0;0;8;2;2;0;8;0;2;4;4;2;10;4;4;4;4;6;0;10;2;2;0;2;2;0;0;6;4;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;8;4;2;28;2;6;4;2;4;28;2;2;0;2;4;0;0;0;0;4;2;0;12;2;0;0;4;0;2;2;0;0;0;0;0;0;12;12;0;6;0
call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;4;0;2;8;0;2;4;2;0;0;10;2;0;4;2;2;0;4;2;0;2;0;0;4;6;0;2;8;6;0;0;2;2;0;0;0;4
professionals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;2;0;4;6;0;4;6;0;8;0;0;12;2;0;0;8;2;2;0;6;12;12;22;2;6;0;2;2;4;0;0;0;0;14;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;0;2;0;2;2;4;2;6;2;0;6;0;0;0;2;2;0;2;0;2;4;0;0;2;4;0;0;0;0;4;6;2;0;0
communities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;8;2;6;0;4;8;12;2;2;6;2;6;0;0;2;2;2;0;4;8;8;4;2;0;2;4;0;0;6;0;0;0;2;4;0;4;0;4
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;4;0;12;2;2;2;4;0;2;4;4;6;0;10;2;4;0;0;8;2;0;2;4;10;6;2;0;2;0;0;10;0;2;2;4;0;0
thanks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;2;12;0;0;6;0;4;4;6;0;6;16;2;0;0;6;6;0;0;6;2;0;4;2;0;4;0;6;2;4;2;2;4;0;2
budget;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;2;70;0;4;2;4;0;0;0;0;2;8;0;0;4;4;0;0;0;0;0;0;0;4;0;0;0;2;2;2;0;4;0
#returnstronger;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;8;2;0;8;0;6;2;4;0;10;2;2;2;6;0;10;0;0;0;0;2;0;2;0;20;2;4;0;0;2;0;8;0;4
local;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;10;0;0;4;2;8;0;2;0;0;2;0;4;12;0;2;8;6;4;0;2;4;2;2;0;0;4;2;4;0;0
