Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter,TweetsTokenized
"With the confirmation of Cory T. Wilson the Republican-controlled Senate has confirmed 200 federal judges appointed by President Trump. 
 
Almost 1 out of every 5 federal judges throughout the country today are Trump nominees.",226,2020-06-24 19:37:16,TweetDeck,6895,1668,LindseyGrahamSC,1275875657713672195,,432895323,False,,en,June,Q2,"['confirmation', 'cory', 'wilson', 'republicancontrolled', 'senate', 'confirmed', '200', 'federal', 'judges', 'appointed', 'president', 'trump', 'almost', '1', '5', 'federal', 'judges', 'throughout', 'country', 'trump', 'nominees']"
It is clear to me it is an unpardonable sin for Democrats to work with Republicans to try to solve a problem that may benefit President Donald Trump.,149,2020-06-24 17:03:42,TweetDeck,2966,669,LindseyGrahamSC,1275837014647193603,432895323.0,432895323,False,,en,June,Q2,"['clear', 'unpardonable', 'sin', 'democrats', 'work', 'republicans', 'try', 'solve', 'problem', 'may', 'benefit', 'president', 'donald', 'trump']"
"House Democrats are jamming a bill through the House without any Republican input. 

Republicans in the House have been shut out and Senate Democrats are now refusing to even try and find common ground with Republicans on police reform.",236,2020-06-24 17:03:13,TweetDeck,3188,916,LindseyGrahamSC,1275836889765986305,432895323.0,432895323,False,,en,June,Q2,"['house', 'democrats', 'jamming', 'bill', 'house', 'without', 'republican', 'input', 'republicans', 'house', 'shut', 'senate', 'democrats', 'refusing', 'try', 'find', 'common', 'ground', 'republicans', 'police', 'reform']"
I am bitterly disappointed by the fact that Senate Democrats will not even allow debate on #policereform.,105,2020-06-24 17:02:25,TweetDeck,21902,5509,LindseyGrahamSC,1275836689991204864,,432895323,False,,en,June,Q2,"['bitterly', 'disappointed', 'fact', 'senate', 'democrats', 'allow', 'debate', '#policereform']"
"@JoeBiden @SpeakerPelosi @SenSchumer @AOC @realDonaldTrump The Democrat Party will be held captive by the most radical political mob in modern American history.  

Their power and electoral success appears to be growing day by day.",231,2020-06-24 15:24:05,TweetDeck,3014,737,LindseyGrahamSC,1275811943958417411,432895323.0,432895323,False,,en,June,Q2,"['@joebiden', '@speakerpelosi', '@senschumer', '@aoc', '@realdonaldtrump', 'democrat', 'party', 'held', 'captive', 'radical', 'political', 'mob', 'modern', 'american', 'history', 'power', 'electoral', 'success', 'appears', 'growing']"
"@JoeBiden @SpeakerPelosi @SenSchumer @AOC Every elected Democrat in office, and every Democrat running for office, lives in fear of the mob and The Squad. 

The idea of working with President @realDonaldTrump to accomplish objectives to help America is a one way ticket to political exile.",289,2020-06-24 15:23:37,TweetDeck,2854,723,LindseyGrahamSC,1275811825108557830,432895323.0,432895323,False,,en,June,Q2,"['@joebiden', '@speakerpelosi', '@senschumer', '@aoc', 'elected', 'democrat', 'office', 'democrat', 'running', 'office', 'lives', 'fear', 'mob', 'squad', 'idea', 'working', 'president', '@realdonaldtrump', 'accomplish', 'objectives', 'help', 'america', 'ticket', 'political', 'exile']"
"@JoeBiden, @SpeakerPelosi, and @SenSchumer are figureheads. 

There is a growing radical liberal movement which will eventually cast them aside.  

The real power rests with @AOC, the Squad and affiliated individuals/groups.",224,2020-06-24 15:22:50,TweetDeck,3022,696,LindseyGrahamSC,1275811630991974401,432895323.0,432895323,False,,en,June,Q2,"['@joebiden', '@speakerpelosi', '@senschumer', 'figureheads', 'growing', 'radical', 'liberal', 'movement', 'eventually', 'cast', 'aside', 'real', 'power', 'rests', '@aoc', 'squad', 'affiliated', 'individualsgroups']"
"It appears the French Revolution has now come to the Democratic Party based on initial primary results from New York and Kentucky.

If you had any doubts about who is in charge of the Democratic Party ALL doubts should have been removed.",237,2020-06-24 15:21:35,TweetDeck,8661,2395,LindseyGrahamSC,1275811314091397122,,432895323,False,,en,June,Q2,"['appears', 'french', 'revolution', 'democratic', 'party', 'based', 'initial', 'primary', 'results', 'new', 'york', 'kentuckyif', 'doubts', 'charge', 'democratic', 'party', 'doubts', 'removed']"
"Justice.  

Finally justice.

Justice delayed is better than no justice.",99,2020-06-24 14:55:27,TweetDeck,6228,1439,LindseyGrahamSC,1275804738186104832,,432895323,False,https://t.co/pU0lrLtWLa,en,June,Q2,"['justice', 'finally', 'justicejustice', 'delayed', 'justice']"
"Congratulations to President @realDonaldTrump and his administration for delivering on his promise to secure our border by building the wall and getting Mexico to cooperate with the U.S. at unprecedented levels.
 
Well done, Mr. President.",239,2020-06-23 23:51:14,Twitter for iPhone,3115,432,LindseyGrahamSC,1275577184346923008,432895323.0,432895323,False,,en,June,Q2,"['congratulations', 'president', '@realdonaldtrump', 'administration', 'delivering', 'promise', 'secure', 'border', 'building', 'wall', 'mexico', 'cooperate', 'unprecedented', 'levels', 'mr', 'president']"
