;president;trump;states;united;great;people;new;government;news;state;house;federal;american;national;administration;history;republican;campaign;white;man;best;world;china;media;city;democrats;obama;country;russia;job;party;donald;court;year;good;fbi;amazing;working;thank;america;election;trying;health;department;washington;help;security;police;another;york;americans;fake;big;senator;article;senate;act;night;stop;lot;million;bill;greatest;love;thing;announce;former;important;left;weeks;public;usa;says;story;congress;texas;supreme;fact;win;hard;week;team;work;friend;incredible;investigation;russian;law;free;presidential;take;times;military;2015;seen;report;person;killed;complete;fight
house;0;0;0;0;0;0;0;0;0;0;0;8;6;10;2;8;4;2;38;0;2;2;0;2;2;6;2;2;4;2;6;4;0;2;4;8;0;6;4;4;2;4;4;2;4;4;12;0;4;6;0;6;0;2;2;8;4;2;0;2;0;12;2;2;4;2;8;0;2;0;0;0;2;0;2;2;0;0;2;4;6;0;0;0;0;4;0;0;0;0;4;4;4;0;0;2;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;6;0;2;0;2;2;0;4;2;2;2;2;0;2;2;0;0;6;2;4;0;0;4;0;2;2;0;0;0;4;6;2;0;2;2;2;0;0;0;2;2;4;2;2;2;2;2;2;0;2;0;2;0;2;2;6;0;2;2;0;2;2;0;2;2;2;4;0;0;0;2;0;6;2;4;2;2;0;0;0;0;0;0;0;2
american;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;12;0;2;2;0;2;0;0;2;2;2;2;2;0;8;4;4;2;0;0;2;4;4;0;6;4;6;4;0;4;0;4;0;2;0;0;4;0;0;0;0;2;6;2;0;0;2;6;2;2;2;4;0;2;2;4;0;0;2;6;0;2;2;2;2;0;0;0;4;2;0;0;0;0;2;0;0;0;2;2;2;0;0;0;2
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;16;4;6;0;2;0;0;2;0;2;4;0;6;2;6;4;0;0;6;4;0;4;2;0;6;4;4;0;4;8;16;0;2;0;0;2;0;0;0;0;0;0;2;4;0;2;0;0;0;6;10;0;0;2;0;2;0;4;10;0;0;4;2;2;4;4;4;2;2;2;0;0;0;2;2;2;2;0;2;2;0;0;0;2
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;0;0;0;2;0;2;30;0;4;0;0;2;4;0;0;0;0;0;2;2;0;0;0;4;2;2;2;0;6;0;4;2;2;2;2;0;6;0;2;0;0;2;2;0;0;0;4;2;0;2;0;0;2;2;0;4;4;0;4;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;6;0;0;2;0
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;6;4;0;4;2;4;2;6;0;6;4;4;0;2;2;0;4;2;0;8;4;2;0;0;2;4;0;0;0;0;2;0;0;0;0;4;0;4;2;0;0;2;14;0;4;2;2;0;0;2;0;2;0;0;2;2;0;2;0;0;0;2;2;2;0;0;0;2;0;4;0;2;2;0;2;0;0;0;2;2
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;0;2;2;2;6;0;0;2;2;22;6;0;6;4;2;2;0;0;2;4;2;4;2;2;0;2;0;0;0;4;2;4;2;0;4;0;2;2;4;2;2;2;0;4;4;0;2;2;4;0;0;2;0;2;0;0;2;2;0;4;0;4;4;2;2;0;0;0;4;4;0;0;0;2;0;0;0;2;2
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;2;2;4;0;10;0;0;2;0;2;0;6;0;0;0;0;4;4;0;4;0;0;0;0;2;4;0;0;0;2;0;0;0;2;4;0;0;0;2;0;4;6;4;0;0;6;0;0;0;0;4;0;0;4;2;0;0;2;0;0;4;0;4;0;0;12;0;2;0;0;2;2;0;0;0;2
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;2;4;4;2;2;4;0;2;0;6;0;4;2;4;2;0;2;2;2;0;10;2;0;2;0;6;0;2;0;0;0;2;2;0;0;0;0;2;0;2;6;0;2;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;2;2;0;0;2;4;0;4;0;2;0;0;2;0;2;0;2;0;16;0;0;0;0;0;0;0;0;0;6;2;2;0;0;0;4;2;2;2;2;0;0;4;0;2;0;0;6;0;2;0;0;2;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;4;8;0;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;6;0;2;0;0;6;0;2;0;0;0;0;2;0;2;2;6;4;0;2;0;0;0;0;0;2;0;4;6;2;4;4;4;2;0;0;0;4;6;12;2;0;8;0;0;0;4;0;0;2;0;0;0;2;2;0;0;4;4;0;2;0;2;0;0;2;0;0;0;4;0;0;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;2;0;4;0;2;0;0;0;0;0;0;0;6;4;4;2;0;6;0;2;0;2;0;0;0;4;0;0;0;0;0;0;2;0;0;2;2;6;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;2;0;0
china;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;4;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;4;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;4;0;0;0;0;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;6;0;0;2;0;4;4;0;0;2;6;0;0;0;6;2;0;0;0;0;20;0;0;0;2;0;2;0;0;0;4;0;0;2;0;0;0;2;2;2;2;0;0;0;0;0;0;0;4;0;2;2;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;6;0;4;0;0;0;0;0;2;0;2;2;0;0;4;0;8;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;2;0;0;0;2;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;0;2;0;0;6;0;0;0;0;0;2;2;0;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;2;8;2;4;2;0;2;0;2;0;0;2;10;0;4;2;0;6;0;0;0;0;0;0;2;0;4;0;2;2;0;2;0;4;2;4;0;0;0;6;0;0;0;0;2;0;0;4;0;4;0;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;4;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;2;0;2;0;0;0;0;2;2;2;0;6;0;2;0;0;4;4;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;2;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;2;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;4;0;0;4;0;2;4;2;2;2;2;2;0;0;2;0;2;0;0;0;0;0;2;2;2;2;2;2;4;0;2;2;0;0;4;2;0;2;0;2;2;0;0;0;0;2;0;0;2;4;0;2;0;4;0;2;6;0;0;0;0;0;0;2;0;4
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;4;0;0;2;2;0;4;0;0;2;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;0;4;6;0;0;4;2;0;4;2;2;0;0;6;4;0;0;4;2;2;0;0;0;0;0;0;0;0
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;10;2;0;2;4;0;0;4;0;0;0;0;2;0;2;2;4;0;0;0;0;2;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;0;2;0;0;2;0;0;0;0;4;0;0;2;2;2;0;2;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;0;2;0;0;2;2;4;2;0;2;0;0;0;2;0;2;0;2;2;0;2;0;4;0;2;2;0;2;0;6;0;0;0;2;4;0;2;2;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;2;2
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;4;0;2;0;8;2;2;0;0;2;0;4;0;4;0;0;0;4;2;6;0;0;2;2;0;2;2;2;2;2;0;0;4;0;2;4;0;0;0;0;2;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;4;0;2;0;2;0;0;0;4;0;0;0;0;0;0;2;0;4;0;2;0;0;4;0;0;0;2;2;20;2;2;0;0;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;2;0;2;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;4;2;0;0;0;6;2;2;2;0;2;0;0;0;0;0;0;0;8;0;0;2;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;2;0;0;2;2;0;2;0;0;2;2;0;2;0;0;4;0;0;2;2;4;0;2;2;0;0;2;0;2;4;4;0;2;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;4
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;10;4;0;6;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;6;0;0;2;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;4;4;0;0;2;4;0;0;0;0;0;0;0;0;0
amazing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;2;2;0;2;0;0;0;0;2;0;0;4;2;0;0;0;0;2;0;4;0;2;4;0;4;2;0;2;0;2;0;0;0;4;2;0;0;4;0;2;2;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;0;2;2;0;2;6;0;0;2;2;2;0;2;0;0;0;2;0;0;2;2;2;0;0;2;0;4;0;0;0;0;0;4;2;0;0;0;0;16;4;2;2;0;0;2;2;2;0;0;0;2;0;0;0;2;0;0;0;2
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;4;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;4;0;6;2;2;0;2;0;0;0;2;0;4;0;0;0;2;0;2;0;2;2;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;6;2;0;0;0;0;2;2;0;0;0;0;6;4;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;6;0;2;0;2;0;0;0;2;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;6;0;2;0;0;2;0;2;0;2;4;0;2;0;2;2;2;4;4;0;10;0;0;0;0;4;0;0;0;0;0
trying;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;2;0;0;0;2;2;0;4;0;2;0;0;0;4;0;0;0;0;2;0;2;0;0;0;2;4;2;4;2;0;0;2;2;0;2;2;0;0;2;4;2;0;0;0;0;0;2;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;2;4;0;0;0;0;4;0;0;0;2;2;0;0;2;0;0;4;0;2;6;0;0;0;4;0;0;0;2;2;2;0;2;0;0;0;0;0;2;0;2;2;2;0;0;2;0;2;0;0
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;8;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;2;2;4;0;0;2;2;0;0;0;2;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;4;0;2;0;2
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;0;2;0;6;0;2;0;0;0;0;0;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;2;0;0;2;0;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;2;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2
security;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;8;0;2;0;2;0;0;2;4;0;0;2;0;2;2;2;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;12;0;0
another;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;4;0;0;0;0;0;2;4;0;0;0;0;2;4;2;4;0;0;2;2;0;0;4;0;2;0;2;0;0;2;4;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;2;0;0;2;0;0;4;0;2;2;2;2;0;0;0;0;0;0;4;0;0;0;0;2;4;0;2;0;0;2;2;0;0;4;0;2;12;0;0;0;0;0;2;0;0
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;4;0;4;0;0;2;0;2;0;4;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;4;2;0;0;0;0;0;2;0;2;0;2;4;0;0;0;0;0;4;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;4;2;0;2;0;0;2;0;0;0;0;2;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
senator;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;2;2;0;0;2;4;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;2;2;2;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0
act;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;2;0;0;2;0;0;0;2;2;0;0;0;0
night;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;2;2;0;0;0;0;4;2;0;2;0;0
stop;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;2;2;2;0;0;0;0;2;2;0;0
lot;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
greatest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;2;2;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0
thing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2
announce;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;2;0;2;0;0;0;0;4
