;great;trump;president;united;states;people;new;house;american;government;news;national;federal;state;administration;white;obama;country;world;democrats;man;working;republican;party;department;york;help;thank;big;fbi;donald;campaign;media;best;history;senate;job;election;2016;court;police;good;washington;may;presidential;americans;former;russia;love;fake;justice;city;year;article;million;america;bill;military;congress;security;thing;committee;times;left;hard;hillary;law;china;story;post;released;clinton;war;proud;supreme;trying;killed;investigation;nothing;team;important;support;work;act;called;announce;night;vote;report;senator;win;strong;end;radical;political;fact;amazing;russian;week;think
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;72;106;114;30;26;16;26;42;44;40;62;80;32;38;114;32;82;52;18;4;56;38;18;34;30;26;66;26;62;32;4;16;8;10;24;32;26;80;22;46;42;20;212;38;36;22;20;18;12;22;30;28;22;16;140;20;38;164;10;20;18;22;32;26;2;26;44;26;16;56;8;2;214;44;32;22;24;16;18
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;22;18;50;22;22;24;32;42;32;26;32;18;20;14;14;14;24;40;210;44;20;14;20;6;30;20;20;22;16;22;24;14;10;24;4;20;10;6;10;12;20;30;18;12;20;4;38;18;18;8;6;8;26;22;128;32;20;6;8;14;10;8;24;6;38;8;20;20;10;6;12;10;12;16;10;10;8;12
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;46;60;34;68;42;48;32;22;32;68;50;26;34;56;42;22;10;18;34;34;20;22;54;18;32;38;44;34;30;22;6;18;36;36;36;50;16;24;14;16;28;332;14;40;24;18;10;8;12;12;34;8;32;8;12;16;42;46;46;38;20;12;46;20;18;8;28;24;28;16;34;22;16;38;10;20;26
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;412;18;26;26;40;76;14;166;70;36;30;46;62;30;64;80;22;6;30;52;32;160;24;40;12;28;42;14;14;18;6;24;18;42;26;40;12;38;120;12;52;36;56;6;4;12;18;22;44;12;22;26;36;8;4;28;4;20;18;12;20;20;12;40;64;18;72;48;36;14;40;26;16;12;8;12;18
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;20;18;30;52;26;76;40;34;30;56;36;12;52;52;14;6;22;26;24;56;28;38;22;28;36;18;6;16;12;20;26;14;22;24;12;40;42;14;66;34;56;12;10;10;18;16;40;18;16;16;30;6;6;34;6;10;24;12;16;24;10;22;38;6;24;52;18;8;54;44;16;6;8;10;14
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;48;16;20;150;22;64;20;8;10;22;28;32;66;8;148;10;38;34;46;30;48;68;2;16;446;46;20;20;28;12;6;18;24;82;4;30;22;8;12;44;40;22;14;20;56;46;8;18;0;16;26;102;16;10;10;24;18;18;14;20;20;10;30;4;26;6;16;8;14;26;8;48;10;12
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;12;26;48;62;48;22;32;30;16;16;14;20;16;44;32;56;20;30;14;66;30;20;38;34;154;24;56;18;24;38;14;16;10;16;18;388;10;26;22;18;6;52;76;14;24;14;20;8;14;16;34;14;18;10;8;12;8;26;10;32;0;14;14;12;14;18;10;16;10;18;16;20;12
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;22;10;12;12;24;24;12;30;18;22;28;8;20;26;12;22;22;48;18;20;24;14;16;40;18;30;72;32;30;30;50;20;12;14;8;18;34;4;20;26;14;18;14;6;16;26;8;22;8;8;14;22;18;40;32;18;24;24;4;16;2;12;38;14;12;14;6;12;20;6;12;8
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;12;14;14;16;32;22;32;58;20;8;14;16;38;18;20;12;22;6;8;64;24;16;12;22;26;6;46;26;32;18;12;16;10;10;6;34;8;20;20;22;8;8;4;16;30;12;22;4;8;16;32;32;64;42;18;16;18;26;36;6;26;18;18;14;8;8;8;54;6;14;28
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;28;28;32;32;24;34;42;32;24;18;16;26;28;10;26;28;12;18;28;32;14;12;28;6;10;32;38;30;16;14;18;16;10;26;36;28;14;16;30;20;12;24;6;26;14;30;6;6;22;22;20;18;22;16;8;32;24;32;4;24;82;28;12;14;12;14;20;14;16;28
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;136;40;6;14;42;36;90;108;4;18;24;42;50;64;10;148;116;0;30;164;20;22;14;6;12;10;4;50;58;22;60;28;22;6;84;36;4;32;30;30;70;2;0;0;22;24;166;26;18;14;4;10;16;12;2;6;12;40;14;14;6;16;20;26;8;4;98;14;14
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;42;16;16;16;20;86;72;24;8;24;74;26;152;18;32;38;10;30;32;18;8;20;10;18;14;18;12;22;22;32;42;26;20;72;18;14;16;44;24;70;14;8;16;10;6;12;20;6;10;12;8;10;22;2;24;14;10;16;28;16;8;8;18;28;10;26;16;8
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;12;24;52;12;100;168;12;6;26;30;40;156;26;66;144;6;40;58;10;6;24;24;0;10;2;18;16;14;122;38;16;14;108;18;4;18;22;60;128;12;8;8;24;4;58;28;32;4;20;2;16;26;14;18;20;30;24;58;12;10;14;30;24;0;84;16;14
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;30;14;30;32;26;12;8;26;22;32;48;16;12;42;20;314;18;8;18;12;16;20;8;8;14;12;34;22;18;32;30;16;10;10;54;24;10;20;10;2;12;70;20;14;38;10;8;4;16;6;22;6;14;16;40;10;10;4;6;20;26;36;12;28;20;26
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;10;34;26;14;12;10;34;22;10;18;20;4;4;32;30;4;16;40;6;4;28;20;22;12;8;102;14;18;28;30;6;8;8;18;14;2;2;14;22;10;22;6;8;24;46;26;10;26;4;12;24;18;12;4;24;24;18;6;16;10;22;34;2;14;20
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;16;54;36;18;6;16;20;18;54;24;14;14;20;40;18;16;14;20;22;26;24;24;16;14;30;6;26;16;14;16;16;10;24;18;10;20;30;22;16;24;8;8;16;12;32;8;10;18;16;10;36;14;12;12;20;0;16;18;80;20;12;4;18;16
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;58;58;18;4;14;24;38;34;16;38;52;8;20;20;2;10;10;12;10;160;12;32;20;16;190;18;30;16;12;28;6;18;14;44;10;8;12;14;26;4;48;24;12;40;20;14;58;18;14;16;88;44;40;22;20;18;30;14;8;6;48;32;8
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;14;8;22;76;12;10;6;26;14;10;22;28;20;14;10;2;4;24;22;16;28;8;32;12;14;16;34;16;12;6;10;4;2;18;8;26;6;26;4;8;24;18;20;20;28;6;8;14;12;8;8;16;14;32;16;22;20;16;78;4;18;24
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;330;22;4;30;26;32;238;30;18;96;4;20;34;2;22;14;22;16;6;12;26;12;22;84;8;28;30;50;16;8;22;34;40;46;2;4;22;44;4;70;16;8;22;16;12;4;24;6;16;42;28;28;52;16;8;14;34;30;6;108;12;12
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;28;32;32;362;18;48;124;0;20;62;18;24;12;24;14;8;8;28;18;6;110;14;22;18;56;22;6;20;20;50;50;0;8;4;18;14;68;24;18;16;10;14;12;24;18;10;38;28;24;58;14;16;10;24;26;4;104;12;18
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;12;24;28;6;36;6;6;2;4;76;10;10;6;10;24;10;12;20;22;4;0;4;12;10;6;70;4;12;12;8;6;8;6;520;10;10;4;2;0;20;2;6;36;6;12;6;24;8;4;16;2;8;8;18;8;4;8;14;4
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;12;16;6;2;20;0;8;2;24;70;18;4;10;8;14;14;0;6;6;2;6;12;8;2;30;6;22;6;22;2;4;12;8;12;116;22;6;2;8;10;12;8;14;12;44;2;20;2;2;0;8;4;2;2;16;0;6;8
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;20;14;18;20;18;18;28;16;10;12;10;16;20;6;10;18;2;32;10;22;20;48;28;20;8;14;20;26;30;4;22;10;16;2;6;24;28;20;16;26;4;16;14;20;16;12;32;18;22;2;8;6;22;22;8;16;26
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;40;20;46;42;10;30;40;16;8;18;16;18;12;18;28;14;10;24;40;20;12;30;12;6;30;184;18;30;14;14;16;14;6;30;10;10;8;12;16;12;24;16;14;10;36;22;26;10;24;10;22;20;8;22;4;10
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;12;42;42;14;20;26;8;26;44;8;10;18;16;18;34;12;26;24;6;4;14;18;8;24;24;10;12;18;6;28;8;16;30;0;16;8;10;0;20;22;6;18;20;18;8;12;6;32;4;12;8;8;18;4;6
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;38;88;4;32;48;10;14;20;18;6;2;12;20;20;12;78;22;18;20;70;10;6;6;14;32;56;4;6;6;16;2;42;18;14;16;12;6;8;16;8;28;22;16;32;52;14;12;12;24;18;2;88;10;24
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;24;18;14;2;36;18;38;42;22;18;24;62;20;12;18;24;24;6;24;8;4;14;8;14;26;30;26;14;32;4;0;6;22;16;34;40;4;18;4;20;14;6;12;8;34;20;26;14;16;4;6;16
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;6;4;42;30;20;28;16;8;16;8;36;94;10;66;32;8;14;88;12;10;22;26;28;84;10;16;4;6;8;68;12;18;10;14;12;10;26;16;4;4;14;14;12;18;24;4;12;10;2;32;12;6
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;42;62;4;6;18;6;8;4;6;22;22;16;70;26;18;22;10;8;42;14;20;10;16;26;2;2;28;6;72;26;4;4;8;8;14;28;0;8;12;20;14;42;14;16;12;26;22;6;64;4;8
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;10;20;16;8;2;40;14;26;6;0;10;2;8;14;34;6;12;6;20;8;2;4;8;26;0;12;2;0;10;26;12;26;26;2;8;8;6;2;10;8;12;18;0;10;8;18;40;2;20;4
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;12;10;6;12;10;6;12;12;30;10;34;32;26;12;6;8;50;22;10;14;8;6;4;72;4;10;30;8;8;2;12;6;24;0;14;26;32;14;6;0;12;24;18;26;12;16;16;24
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;4;12;6;10;4;16;20;16;6;24;12;8;16;34;42;8;10;26;12;32;8;6;62;10;10;98;10;6;6;14;8;26;10;4;12;6;14;10;18;12;16;10;14;18;2;38;12;10
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;14;44;14;32;8;2;8;10;4;8;6;12;4;22;2;8;4;8;4;0;28;0;6;14;6;4;30;6;18;26;14;10;38;24;6;6;2;14;10;8;0;10;0;12;4;10;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;42;18;4;6;12;12;18;12;14;12;18;2;8;8;8;18;26;2;12;14;10;10;18;12;8;10;18;4;16;16;14;24;10;2;6;4;2;8;28;8;12;24;24;6;14;0
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;18;12;10;4;12;6;6;50;10;8;12;4;6;14;46;2;10;16;2;4;4;0;12;4;12;8;8;4;10;20;4;12;2;6;2;2;6;14;10;16;10;4;0;10;8
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;4;12;14;6;30;4;6;4;18;10;6;4;12;14;14;16;10;8;8;18;2;4;6;0;20;16;10;8;28;4;6;6;8;2;6;22;0;2;10;2;4;18;2
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;18;14;8;22;4;6;22;22;14;20;8;18;8;10;12;20;38;20;22;10;4;18;8;18;16;10;10;20;26;6;10;6;14;12;24;8;30;4;10;20;4;12;20
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;42;14;16;10;16;22;22;8;44;6;10;8;0;22;6;30;6;20;10;2;10;8;18;30;10;58;10;14;14;54;6;14;12;8;16;10;8;0;6;0;22;10
military;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;22;18;0;8;24;26;4;24;20;12;8;4;2;24;32;12;8;30;0;10;8;22;22;10;14;12;10;4;10;8;26;10;54;8;30;12;12;22;10;14;2
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;12;20;10;36;20;14;14;4;8;14;6;12;10;8;18;14;4;30;20;4;16;22;16;60;20;12;4;26;16;26;14;22;18;32;10;20;6;12;12;6
security;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;34;10;8;6;4;22;12;12;18;22;6;4;10;8;2;0;32;14;14;14;10;12;8;8;18;6;2;16;20;10;12;16;6;6;12;2;22;12;4
thing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;8;24;18;10;4;10;6;4;10;16;8;4;16;4;6;22;10;48;14;6;6;16;6;6;10;6;4;14;8;12;10;4;20;26;4;6;30
committee;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;8;58;14;4;0;8;66;44;4;8;2;12;0;62;14;10;6;10;8;12;8;18;6;12;66;24;16;2;12;4;20;12;6;86;8;2
times;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;18;14;8;6;46;34;10;20;10;6;4;12;4;26;12;8;6;2;12;4;28;0;10;2;14;8;4;8;18;14;16;6;8;16;6;14
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;12;6;20;10;4;0;14;16;12;56;6;14;92;6;16;10;12;12;16;4;10;12;4;12;26;8;8;308;16;10;6;10;16;10
hard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;16;12;8;10;8;0;20;10;42;2;4;10;32;14;16;94;8;4;20;12;4;6;18;20;14;4;14;8;18;26;4;8;10
hillary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;20;12;36;438;6;10;4;16;4;44;22;6;8;12;4;4;6;10;12;18;14;14;18;12;8;6;16;34;6;14;6;16
