Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter,TweetsTokenized
"Thank you to our great teachers who have worked hard to adapt in these trying times to continue to provide an education to our students. We are indescribably grateful for your commitment and passion.

(2/)",205,2020-04-22 16:56:11,Twitter Web App,93,11,henrymcmaster,1253004684631126017,16335288.0,16335288,False,,en,April,Q2,"['thank', 'great', 'teachers', 'worked', 'hard', 'adapt', 'trying', 'times', 'continue', 'provide', 'education', 'students', 'indescribably', 'grateful', 'commitment', 'passion2']"
"South Carolina's public K-12 will remain closed for the rest of this school year. 

I am asking all schools to make special accommodations to ensure that our graduating seniors are able to have a form of commencement ceremony or recognition.

(1/)",271,2020-04-22 16:56:10,Twitter Web App,204,78,henrymcmaster,1253004682945081344,,16335288,False,https://t.co/bFsRdqOOnq,en,April,Q2,"['south', 'carolinas', 'public', 'k12', 'remain', 'closed', 'rest', 'school', 'year', 'asking', 'schools', 'special', 'accommodations', 'ensure', 'graduating', 'seniors', 'able', 'form', 'commencement', 'ceremony', 'recognition1']"
"I've restored public beach access, allowing locals to use their discretion. I've also allowed some retailers that were previously closed to open, but they must follow strict social distancing measures. 

Please stay safe and follow all recommendations from public health experts.",303,2020-04-20 21:15:54,TweetDeck,581,186,henrymcmaster,1252345270588698627,,16335288,False,https://t.co/pnemrtKI2j,en,April,Q2,"['ive', 'restored', 'public', 'beach', 'access', 'allowing', 'locals', 'use', 'discretion', 'ive', 'allowed', 'retailers', 'previously', 'closed', 'follow', 'strict', 'social', 'distancing', 'measures', 'please', 'stay', 'safe', 'follow', 'recommendations', 'public', 'health', 'experts']"
This morning I joined governors of all 50 states on a COVID-19 video briefing with @WhiteHouse officials lead by the @VP. Thank you @realDonaldTrump and @Mike_Pence for your constant support. We are working together to beat this virus and reopen our economy safely.,265,2020-04-20 18:08:42,TweetDeck,1933,346,henrymcmaster,1252298160220798979,,16335288,False,,en,April,Q2,"['morning', 'joined', 'governors', '50', 'states', 'covid19', 'video', 'briefing', '@whitehouse', 'officials', 'lead', '@vp', 'thank', '@realdonaldtrump', '@mike_pence', 'constant', 'support', 'working', 'together', 'beat', 'virus', 'reopen', 'economy', 'safely']"
"The @NWS is warning that South Carolina should expect severe weather again this evening and into tomorrow morning. Please be sure to prepare now, have a plan, and be ready in case you get an emergency alert.",231,2020-04-19 21:03:20,Twitter for iPhone,170,69,henrymcmaster,1251979720029241350,,16335288,False,https://t.co/qvB3mE4rfO,en,April,Q2,"['@nws', 'warning', 'south', 'carolina', 'expect', 'severe', 'weather', 'evening', 'tomorrow', 'morning', 'please', 'prepare', 'plan', 'ready', 'case', 'emergency', 'alert']"
Very productive call this afternoon with southeastern governors @GovKemp @GovernorKayIvey @TateReeves @GovRonDeSantis @GovBillLee  We discussed each state’s plans to safely get folks back into the workplace.  Told them South Carolina was ready.  #accelerateSC,259,2020-04-18 20:30:14,Twitter Web App,1374,246,henrymcmaster,1251609000673771522,,16335288,False,,en,April,Q2,"['productive', 'call', 'afternoon', 'southeastern', 'governors', '@govkemp', '@governorkayivey', '@tatereeves', '@govrondesantis', '@govbilllee', 'discussed', 'states', 'plans', 'safely', 'folks', 'workplace', 'told', 'south', 'carolina', 'ready', '#acceleratesc']"
Today we've lowered our flags in honor of Charleston County Sheriff’s Deputy Jeremy C. LaDue who tragically lost his life in the line of duty this week. Please keep his family and community in your prayers.,230,2020-04-18 17:03:28,TweetDeck,344,60,henrymcmaster,1251556967073677312,,16335288,False,https://t.co/yfJCSAROwk,en,April,Q2,"['lowered', 'flags', 'honor', 'charleston', 'county', 'sheriffs', 'deputy', 'jeremy', 'c', 'ladue', 'tragically', 'lost', 'life', 'line', 'duty', 'week', 'please', 'family', 'community', 'prayers']"
"The greatness of the devastation we witnessed in Hampton County was matched only by the spirit of resilience and resolve of the people we saw. SC is a big family, and we're going to take care of each other. The worst nature can throw at us will only bring out the best in us.",299,2020-04-15 00:24:33,Twitter Web App,322,86,henrymcmaster,1250218420211245057,,16335288,False,https://t.co/qcmJ2r3hLN,en,April,Q2,"['greatness', 'devastation', 'witnessed', 'hampton', 'county', 'matched', 'spirit', 'resilience', 'resolve', 'people', 'saw', 'sc', 'big', 'family', 'take', 'care', 'worst', 'nature', 'throw', 'bring', 'best']"
"They left in their wake utter destruction, but the one thing they could not destroy is the spirit of our people. We will rebuild after these storms just as we do after hurricanes and how we are battling the Coronavirus—together. (2/2)",234,2020-04-13 23:50:11,Twitter for iPhone,187,41,henrymcmaster,1249847381744640003,16335288.0,16335288,False,,en,April,Q2,"['left', 'wake', 'utter', 'destruction', 'thing', 'could', 'destroy', 'spirit', 'people', 'rebuild', 'storms', 'hurricanes', 'battling', 'coronavirustogether', '22']"
We saw more tragedy in the midst of what is already one of the most trying times our state has endured. We lost at least 9 precious lives across South Carolina last night to the tornadoes that swept through our state. (1/2),247,2020-04-13 23:50:10,Twitter for iPhone,305,96,henrymcmaster,1249847378867257344,,16335288,False,https://t.co/35Q75TAedC,en,April,Q2,"['saw', 'tragedy', 'midst', 'trying', 'times', 'state', 'endured', 'lost', 'least', '9', 'precious', 'lives', 'across', 'south', 'carolina', 'night', 'tornadoes', 'swept', 'state', '12']"
"Easter Sunday gives us the opportunity to reflect on the sacrifice made for us and to celebrate the precious blessing that is life. Stay home, stay safe, and make sure your loved ones know what they mean to you.",211,2020-04-12 14:13:19,Twitter for iPhone,765,72,henrymcmaster,1249339819026780165,,16335288,False,,en,April,Q2,"['easter', 'sunday', 'gives', 'opportunity', 'reflect', 'sacrifice', 'celebrate', 'precious', 'blessing', 'life', 'stay', 'home', 'stay', 'safe', 'loved', 'ones', 'mean']"
"Today @SCEMD received a generous donation of 100,000 N95 masks from @Apple They will be distributed to South Carolina's health care professionals and first responders. Thank you and welcome to #TeamSC",200,2020-04-11 20:46:48,Twitter Web App,1086,204,henrymcmaster,1249076454324940804,,16335288,False,,en,April,Q2,"['@scemd', 'received', 'generous', 'donation', '100000', 'n95', 'masks', '@apple', 'distributed', 'south', 'carolinas', 'health', 'care', 'professionals', 'responders', 'thank', 'welcome', '#teamsc']"
