;ca;tune;#covid19;new;cases;continue;health;home;physical;take;update;positive;confirmed;stay;people;help;hospitals;public;state;lives;thank;moment;live;curve;work;workers;healthcare;practice;flattening;wear;seriously;million;#stayhomesavelives;together;hands;listen;save;spread;crisis;california;mask;distancing;reopening;across;safe;californians;working;actions;school;science;icu;fight;meet;days;protect;testing;important;literally;allow;states;great;healthy;making;staying;change;firstinthenation;still;trump;simply;distancing#stayhomesavelives;grateful;homelessness;risk;vote;1;start;cant;impact;face;housing;isnt;communities;country;care;wash;provide;address;cas;stores;job;families;major;guided;#casots;system;2;record;love;next;weeks
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;8;0;2;2;10;8;4;2;0;4;0;2;0;26;2;0;0;6;4;0;2;2;2;4;22;2;4;6;0;0;2;2;0;4;16;0;0;0;4;0;4;0;0;0;0;0;2;2;0;2;0;0;0;4;6;4;0;2;0;4;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;6;16;12;0;0;0;0;2;0;4;0;0;2;0;0;2;0;2;0;2;6;2;2;0;2;0;0;0;0;2;0;0;2;0;0;0;2;4;6;2;0;0;0;0;0;0;8;0;2;0;0;8;0;0;0;0;0;4;4;0;0;2;0;0;4;0;0;2;0;0;0;0;0;4;2;0
moment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;0;0;0;0;0;0;0;16;0;4;0;2;0;2;0;2;2;0;2;6;4;2;0;4;2;4;18;0;2;0;2;0;2;0;2;2;0;4;6;0;0;0;0;0;2;2;0;0;2;4;4;0;0;0;2;2;2;0;0;2;2;2;4;2;0;0;2;0;2;0;0;0;6;4
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;2;2;4;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0
curve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;12;30;0;10;0;4;2;0;0;6;0;0;0;2;8;14;0;0;0;0;6;0;10;10;0;4;2;0;2;2;4;8;0;0;0;0;6;2;0;0;0;0;10;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;8;0;0;0;0;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;4;2;4;0;0;2;0;0;6;2;2;4;2;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;2;0;4;2;0;0;0;0;0;4;0;2;0;0;0;2;4;2;0;0;2;0;4;0;0;0;2;2
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;0;2;2;6;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;4;0;2;2;0;0;0;0;0;0;2;0;2;4;4
healthcare;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;2;6;0;0;0;0;2;2;2;4;0;0;0;0;0;0;0;4;0;0;2;0;0;0;2;4;0;2;2;0;2;0;0;4;2;2;0;2;0;0;0;0;0;0;2;0;2;0;4;2;0;2;2;2;0;0;0;6;0;2;2;0;0
practice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;10;0;4;0;12;0;8;0;0;0;8;24;2;0;0;0;2;6;0;4;8;0;0;4;0;0;2;6;2;0;0;0;0;0;0;0;4;0;0;10;0;0;0;0;0;0;4;4;4;0;0;0;0;0;12;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
flattening;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;2;0;0;0;6;0;0;0;0;2;14;0;2;0;2;4;0;10;12;0;0;2;0;4;0;6;8;0;0;0;0;4;0;0;0;0;0;12;0;0;0;0;2;0;4;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;8;0;0;0;0;0;0;0
wear;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;2;4;10;0;0;26;4;0;0;2;2;0;4;0;2;0;0;0;2;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
seriously;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;2;0;0;2;4;8;0;0;0;4;2;0;6;8;0;0;2;0;2;0;0;6;0;0;0;0;2;0;0;0;0;0;6;0;0;2;0;0;0;0;12;0;0;0;0;2;0;2;0;0;2;0;0;2;0;6;0;0;0;0;0;2;2
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;4;0;0;0;0;0;2;2;0;2;0;0;0;2;4;0;0;0;0;0;4;2;2;0;0;2;0;2;6;4;0;0;0;0;2;0;0;0;0;2;0;6;0;0;2;0;6;0;0;0;0;0;2;0;0;2;2;0;0;2;4
#stayhomesavelives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;2;2;0;0;0;4;2;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;2;4;0;2;0;2;0;4;10;0;4;0;0;0;0;2;0;2;0;2;4;0;0;0;2;0;0;0;0;0;4;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0
hands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;6;10;0;0;0;0;0;2;0;0;0;0;2;4;0;0;0;2;0;0;0;2;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;16;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
listen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
save;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;4;0;0;4;0;2;16;0;0;0;0;0;2;4;0;4;16;0;0;2;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;4;0;4;0;0;2;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;0;2;0;0;6;0;0;2;0;2;2;0;4;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
crisis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;2;0;2;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;6;0;0;2;0;0;0;2;2;0;0;2;0;0;2;8;0;0;2;0;0;0;2;2;0;0;0;0;0
california;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;0;0;0;2;0;4;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;2;0;0;4;2;0;0;4;0;0;2;0;2;2
mask;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;6;0;2;0;0;0;2;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
distancing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;2;0;4;0;0;0;4;0;0;4;2;4;0;0;0;0;6;0;0;4;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;10;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
reopening;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;16;2;0;0;2;0;6;2;0;12;0;2;0;0;6;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;10;0;0;2;0;0;0;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;4;0;2;0;2;2;0;0;6;0;4;2;2;0;0;0;0;2;0;2;2;0;0;0;2;4;0;0;2;2;4;8;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;2;2;2;0;0;0;4;2;0;0;0;0;0;2;0;8;2;4;2;2;4;4;0;2;2;0;4;0;2;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0
californians;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;4;0;0;2;2;0;6;0;2;0;2;0;0;0;0;2;2;0;0;2;0;4;0;2;4;0;2;0;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;6;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;2;2;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;4;4
actions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;2;2;0;2;10;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;10;4;0;0;0;0;0;4;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2
school;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
science;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;2;0;12;2;0;4;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0
icu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;14;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
fight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;4;0;0;0;2;4;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;2;2
meet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;2;0;0;0;0;0;4;4
days;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;4;0;2;0;0;4;4;2;0;0;0;0;2;0;0;0;0;0;0;6;2
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2;4;0;0;0;2;0;0;2;0;0;4;0;0;2;0;0;0;0;2
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0
literally;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;0;0;0;0;0;4;0;4;0;2;0;0;0;4;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
allow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;8;0;0;0;0;0;2;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;4;0;6;2;0;4;0;2;0;0;0;0;2;0;0;0;0;0;2;2
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0
healthy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;6;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
making;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;2;2;2;4;6;0;0;0;0;2;0;2;0
staying;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
change;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0
