;thank;businesses;city;toronto;todays;new;health;covid19;please;#covid19;people;community;support;work;public;#stopcommericalevictions;government;eblast;help;care;provincial;@churchwellesley;premier;commercial;streets;local;together;full;business;important;@petertabuns;housing;council;@suzemorrison;#torcen;learn;goes;social;everyone;cycling;without;big;video;year;shoutout;@andrewfstewart;@paulafletcherto;#communitycare;lanes;#saveourbusiness;hard;emergency;#activeto;pandemic;bia;bike;landlords;#stopcommercialevictions;ford;may;family;st;@fitsquadjenn;email;take;save;@johntory;difficult;information;main;@corktownto;food;talk;working;distancing;staff;safe;federal;@fordnation;program;call;different;installed;join;living;could;build;special;rent;share;needs;tenants;stay;village;virtual;immediately;cultural;seeing;neighbourhoods;physical
people;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;2;2;4;0;0;0;2;0;8;2;2;0;0;4;2;0;0;2;0;2;0;6;2;0;0;6;0;2;0;0;2;2;0;0;4;0;4;2;0;0;0;0;2;2;0;2;0;2;2;0;0;2;2;0;0;0;0;2;4;2;0;0;2;2;0;2;0;0;6;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4
community;0;0;0;0;0;0;0;0;0;0;0;0;6;4;4;0;0;4;0;10;0;0;0;0;0;2;0;2;4;0;0;2;0;0;4;4;8;0;0;2;2;0;2;2;10;2;0;2;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;4;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;4;0;0;0;0;0;0;2;4;2;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;6;6;10;0;4;2;4;2;4;6;4;0;4;2;4;0;0;6;2;0;2;0;0;4;2;0;2;0;0;2;4;2;2;2;0;2;2;4;2;2;2;4;4;0;0;4;2;2;2;4;0;2;0;4;2;0;4;0;0;0;0;0;4;0;0;2;2;0;0;2;0;0;0;4;2;2;0;0;0;0;2;2;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;2;2;2;2;2;4;2;8;2;0;0;0;4;0;0;0;0;0;2;0;0;6;2;0;0;0;0;0;2;0;0;4;0;2;2;0;0;2;4;2;0;0;4;0;0;0;4;2;2;0;4;0;2;0;4;0;0;0;2;2;2;0;0;0;0;4;2;2;0;0;0;2;2;0;0;0;0;2;2;0;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;4;0;2;0;0;0;2;0;0;6;0;0;2;0;2;2;2;0;0;2;4;2;0;2;4;0;0;2;4;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
#stopcommericalevictions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;4;0;8;12;6;4;6;4;2;0;6;2;16;0;0;16;0;2;0;2;0;0;2;0;0;0;0;0;14;0;0;0;0;2;0;2;4;0;2;0;4;2;0;0;14;0;0;2;0;4;2;6;0;0;2;0;0;0;0;0;2;0;4;0;0;2;0;2;0;0;2;0;2;2;0;0;0;4;0;0;2;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;16;6;4;4;2;2;4;0;4;0;8;6;2;10;0;0;0;0;0;2;2;2;0;0;0;0;8;0;0;0;4;2;0;4;2;0;0;0;2;0;0;0;6;2;0;0;0;4;2;2;0;0;2;0;0;0;0;6;4;0;4;0;0;2;0;0;2;0;0;2;2;0;0;0;0;4;0;2;0;0
eblast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;12;2;4;0;2;2;0;0;6;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;4;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;4;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;0;0;2;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;10;0;2;8;0;0;6;4;4;2;0;6;0;0;6;2;4;0;0;0;0;0;2;0;6;6;0;0;0;4;0;0;0;0;0;6;6;2;2;0;0;6;0;4;0;2;0;2;0;0;2;2;0;2;4;0;6;0;0;0;0;2;0;4;0;2;2;0;0;0;0;0;0;2;0;0;0;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;8;2;0;0;2;0;2;0;10;0;0;2;0;0;2;0;0;2;0;0;0;0;0;2;2;2;0;0;4;0;0;2;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
provincial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;6;4;2;2;0;2;0;6;2;2;8;4;0;0;0;2;2;2;2;0;0;0;0;6;0;0;4;4;2;0;0;2;0;2;0;2;2;0;0;4;0;2;2;0;2;2;4;2;0;2;0;0;0;0;10;2;0;6;0;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0
@churchwellesley;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;0;2;0;2;0;10;0;0;10;0;0;0;0;0;0;2;0;0;0;0;2;10;0;0;2;0;2;0;2;8;0;4;2;2;0;0;4;10;0;0;0;2;2;0;4;0;0;2;2;0;0;0;2;2;0;2;0;2;2;0;0;0;0;0;0;4;4;0;0;0;4;0;0;2;0
premier;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;8;0;10;0;0;8;0;0;0;2;4;0;0;0;0;2;0;0;8;0;0;0;0;4;0;0;2;0;0;10;14;2;0;0;2;6;0;8;0;0;0;4;0;0;2;0;0;0;2;0;6;0;4;0;0;4;0;4;0;0;2;0;0;0;0;0;0;6;0;0;0;0
commercial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;6;0;4;0;0;4;8;0;0;0;0;0;2;0;0;2;0;0;4;0;0;12;0;2;0;0;2;0;10;0;0;2;0;2;2;0;0;2;0;0;0;2;8;0;2;2;0;0;0;2;2;2;2;0;0;0;0;0;0;0;6;0;0;6;0;2;2;2;2;0;4;0
streets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;4;4;0;0;2;2;0;0;4;2;0;2;0;0;0;0;0;4;0;2;2;0;0;4;0;0;2;0;6;4;2;0;0;2;0;0;8;0;0;0;14;0;0;2;0;2;0;0;2;4;2;2;0;0;0;2;4;0;0;2;0;2;0;0;0;0;2;2;0;2;0
local;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;6;0;0;0;2;0;0;0;0;2;0;2;2;0;4;0;2;2;0;0;0;0;2;2;0;4;0;2;2;2;2;0;0;0;0;2;2;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;2
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;2;4;4;0;0;0;2;4;0;0;2;0;0;4;2;0;0;2;0;2;2;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0
full;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;4;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0
business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;4;4;0;0;0;2;2;0;0;0;0;0;0;4;0;0;4;0;2;0;2;0;0;2;4;6;2;0;0;2;0;0;8;0;2;0;2;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;4;0;0;2;0;0;0;0;0;2;4;2;2;0;0
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;2;2;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;2;0;0;2;0;4;2;2;0;0;0;0;4;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2
@petertabuns;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;2;2;0;2;0;0;0;0;0;16;0;0;0;0;2;0;2;4;0;0;2;6;0;0;0;10;4;0;2;0;2;0;4;0;0;2;0;0;0;2;0;6;0;4;0;0;4;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0
housing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;6;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;4;0;2;0;0;4;2;4;0;2;2;0;0;0;0;0;2;0;0;0;0
council;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;4;0;2;0;2;0;0;4;0;2;2;2;0;0;4;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;2;2;0;2;0;0;0;0;4;0;2;0;0;0
@suzemorrison;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;16;0;0;0;0;2;0;2;4;0;0;2;4;0;0;0;10;4;0;0;0;4;0;2;0;0;2;0;0;0;2;0;6;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0
#torcen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;2;0;0;2;0;14;0;0;2;2;2;0;4;0;0;2;0;4;0;0;0;4;0;0;0;2;10;0;0;2;0;2;0;2;0;0;2;0;2;0;0;0;0;0;4;0;2;2;0;0;0;0;4;4;0;0
learn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;4;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;4;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
goes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;16;0;0;12;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;2;0;0;0;0;4;0;0;0;0;0;2;0;2;0;2;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
everyone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;2;0;0;2;0;2;0;4;2;0;2;0;0;2;2;2;2;2;2;0;0;0;0;0;0;0;4;2;2;2;0;2;0;4;2;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0
cycling;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;8;0;0;2;4;2;0;6;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;2;0;2;2;0;0;0;0;4;2;0;0;4;0;0;0;2;0;0;0;0;0;0;4;0;2
without;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;4;0;0;2;0;0;0;2;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;4;2;0;2;2;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2
video;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2
shoutout;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
@andrewfstewart;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;4;0;0;0;0;2;0;2;0;2;0;0;0;0;4;0;0;0;6;2;0;2;0;0;0
@paulafletcherto;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;2;4;2;0;0;10;4;0;0;0;2;0;4;0;0;2;0;0;0;2;0;6;0;4;0;0;4;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0
#communitycare;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0
lanes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;12;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;4;0;0;0;4;0;0;0;2;0;0;0;0;0;0;2;0;2
#saveourbusiness;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;6;0;0;2;0;2;0;0;0;4;0;0;0;2;12;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;4;0;2;4;0;0;0;0;4;2;2;0
hard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;2;2;2;0;0;2;0;0;2;2;0;0;0;0;2;0;4;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;2;0
#activeto;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;4;0;2
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;2;0;0;0;0;4;2;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0
bia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;4;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;4;2;2;2;0;0;0;0;0;0;2;2;0;4;2;2;0;0;0;0
bike;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;2
landlords;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;4;10;0;2;2;0;0;0;4;0
#stopcommercialevictions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;8;0;0;0;6;0;0;2;0;0;0;2;0;6;0;2;0;0;2;0;2;0;0;2;0;2;0;0;2;2;4;2;0;2;0
ford;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;8;0;0;0;4;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
family;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0
st;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;4;0;2;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0
@fitsquadjenn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
email;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
