Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month,TweetsTokenized
"Through centuries of persecution, exile and struggle, the story of Passover has reminded the Jewish people––and all of humanity––of the power to overcome even the greatest of odds. Michelle and I send our warmest wishes to those celebrating with loved ones at home or virtually.",278,2020-04-08 21:18:19,Twitter for iPhone,254441,28685,barackobama,1247997223360704512,False,,en,April,"['centuries', 'persecution', 'exile', 'struggle', 'story', 'passover', 'reminded', 'jewish', 'peopleand', 'humanityof', 'power', 'overcome', 'greatest', 'odds', 'michelle', 'send', 'warmest', 'wishes', 'celebrating', 'loved', 'ones', 'home', 'virtually']"
"Social distancing bends the curve and relieves some pressure on our heroic medical professionals. But in order to shift off current policies, the key will be a robust system of testing and monitoring – something we have yet to put in place nationwide.",275,2020-04-08 14:15:54,Twitter for iPhone,201370,44853,barackobama,1247890918440448003,False,https://t.co/evkTSrzReB,en,April,"['social', 'distancing', 'bends', 'curve', 'relieves', 'pressure', 'heroic', 'medical', 'professionals', 'order', 'shift', 'current', 'policies', 'key', 'robust', 'system', 'testing', 'monitoring', 'something', 'put', 'place', 'nationwide']"
"My advisor and friend @cecmunoz has been someone I’ve turned to for years. In her new book, More Than Ready, she shares her story and an empowering message to women, especially women of color, that they are the leaders we need to make a change in our world.",281,2020-04-07 18:40:15,Twitter for iPhone,85333,9732,barackobama,1247595056875425794,False,https://t.co/6bQski6N23,en,April,"['advisor', 'friend', '@cecmunoz', 'someone', 'ive', 'turned', 'new', 'book', 'ready', 'shares', 'story', 'empowering', 'message', 'women', 'especially', 'women', 'color', 'leaders', 'change', 'world']"
"It’s World Health Day, and we owe a profound debt of gratitude to all our medical professionals. They’re still giving their all for us every day, at great risk to themselves, and we can’t thank them enough for their bravery and their service.",242,2020-04-07 16:02:23,Twitter for iPhone,596578,106884,barackobama,1247555328365023238,False,,en,April,"['world', 'health', 'owe', 'profound', 'debt', 'gratitude', 'medical', 'professionals', 'still', 'giving', 'great', 'risk', 'cant', 'thank', 'enough', 'bravery', 'service']"
"Bill Withers was a true American master. His music, rooted in the everyday joys and sorrows of working people, was soulful, wise and life-affirming––a perfect tonic for hard times.",204,2020-04-06 22:54:01,Twitter for iPhone,82730,9623,barackobama,1247296532623261697,False,https://t.co/P8cusIny4k,en,April,"['bill', 'withers', 'american', 'master', 'music', 'rooted', 'everyday', 'joys', 'sorrows', 'working', 'people', 'soulful', 'wise', 'lifeaffirminga', 'perfect', 'tonic', 'hard', 'times']"
"As she often does, @SenWarren provides a cogent summary of how federal policymakers should be thinking about the pandemic in the coming months.",167,2020-04-06 18:45:29,Twitter for iPhone,184757,42412,barackobama,1247233987304660993,False,https://t.co/zkX0E7ncK5,en,April,"['often', '@senwarren', 'provides', 'cogent', 'summary', 'federal', 'policymakers', 'thinking', 'pandemic', 'coming', 'months']"
"It's Census Day and we all have a crucial role to play. Filling out the 2020 Census determines what the next decade will look like for your community: your roads, health care, schools, representation and more. Takes a few minutes by mail, phone or online.",279,2020-04-01 14:47:48,Twitter for iPhone,135024,30665,barackobama,1245362232931880960,False,https://t.co/KzxFJKavmM,en,April,"['census', 'crucial', 'role', 'play', 'filling', '2020', 'census', 'determines', 'next', 'decade', 'community', 'roads', 'health', 'care', 'schools', 'representation', 'takes', 'minutes', 'mail', 'phone', 'online']"
"We've seen all too terribly the consequences of those who denied warnings of a pandemic. We can't afford any more consequences of climate denial. All of us, especially young people, have to demand better of our government at every level and vote this fall.",280,2020-03-31 15:19:04,Twitter for iPhone,341654,91118,barackobama,1245007713387544576,False,https://t.co/K8Ucu7iVDK,en,March,"['seen', 'terribly', 'consequences', 'denied', 'warnings', 'pandemic', 'cant', 'afford', 'consequences', 'climate', 'denial', 'especially', 'young', 'people', 'demand', 'government', 'level', 'vote', 'fall']"
"So many Americans right now are stepping up to help their communities. Zohaib Begg, a 7-year-old from VA, is one of them. This inspiring kid has been gathering supplies from hotels to donate to the medical professionals at his local hospital.",266,2020-03-30 17:03:55,Twitter for iPhone,170815,27221,barackobama,1244671710198104064,False,https://t.co/K8Pvp9Cyaq,en,March,"['americans', 'stepping', 'help', 'communities', 'zohaib', 'begg', '7yearold', 'va', 'inspiring', 'kid', 'gathering', 'supplies', 'hotels', 'donate', 'medical', 'professionals', 'local', 'hospital']"
We are grateful for what he did for this country. He carried the baton longer and surer than almost anybody. It falls to the rest of us now to pick it up and never stop moving forward until we finish what he started—that journey to justice.,240,2020-03-28 19:56:14,Twitter Web App,27463,2653,barackobama,1243990301175353345,False,,en,March,"['grateful', 'country', 'carried', 'baton', 'longer', 'surer', 'almost', 'anybody', 'falls', 'rest', 'pick', 'stop', 'moving', 'forward', 'finish', 'startedthat', 'journey', 'justice']"
"What a joy it was to watch him pray and preach. I took heart in him saying, “We ain’t going back. We’ve come too far, marched too long, prayed too hard, wept too bitterly, bled too profusely, and died too young to let anybody turn back the clock on our journey to justice.”",273,2020-03-28 19:56:14,Twitter Web App,35610,3711,barackobama,1243990300009402368,False,,en,March,"['joy', 'watch', 'pray', 'preach', 'took', 'heart', 'saying', 'aint', 'marched', 'prayed', 'hard', 'wept', 'bitterly', 'bled', 'profusely', 'died', 'young', 'anybody', 'turn', 'clock', 'journey', 'justice']"
"Rev. Joseph Lowery was a giant who let so many of us stand on his shoulders. With boundless generosity, patience, and moral courage, he encouraged a new generation of activists and leaders. Michelle and I remember him fondly today, and our love and prayers are with his family.",301,2020-03-28 19:56:13,Twitter Web App,135326,14535,barackobama,1243990296385466368,False,https://t.co/xxjY2habOm,en,March,"['rev', 'joseph', 'lowery', 'giant', 'stand', 'shoulders', 'boundless', 'generosity', 'patience', 'moral', 'courage', 'encouraged', 'new', 'generation', 'activists', 'leaders', 'michelle', 'remember', 'fondly', 'love', 'prayers', 'family']"
"During this crisis, our grocery store clerks, delivery drivers, transit and utility workers—along with so many others—have been selflessly getting up every day to make sure we have the things we need. And for that, we say thank you.",256,2020-03-27 17:43:32,Twitter for iPhone,294136,50857,barackobama,1243594515677622274,False,https://t.co/Fq5qIRXt03,en,March,"['crisis', 'grocery', 'store', 'clerks', 'delivery', 'drivers', 'transit', 'utility', 'workersalong', 'othershave', 'selflessly', 'thank']"
"And this article provides a great example of the kind of community spirit that we need to get through this—a spirit that we can hopefully learn to instill more of into our lives, workplaces, civic institutions, and government once the crisis has passed.",277,2020-03-26 00:00:34,Twitter for iPhone,44795,9958,barackobama,1242964623504158720,False,https://t.co/xYZvspW4Ug,en,March,"['article', 'provides', 'great', 'example', 'kind', 'community', 'spirit', 'thisa', 'spirit', 'hopefully', 'learn', 'instill', 'lives', 'workplaces', 'civic', 'institutions', 'government', 'crisis', 'passed']"
Here’s a useful overview of the likely scenarios that the world will be facing in the coming months while managing this pandemic. So much depends on our ability to make good decisions going forward along with our ability to remain resilient.,265,2020-03-26 00:00:33,Twitter for iPhone,219934,65788,barackobama,1242964620870070272,False,https://t.co/uYpP1KfOUs,en,March,"['heres', 'useful', 'overview', 'likely', 'scenarios', 'world', 'facing', 'coming', 'months', 'managing', 'pandemic', 'depends', 'ability', 'good', 'decisions', 'forward', 'along', 'ability', 'remain', 'resilient']"
These are the burdens our medical heroes already face in NYC. It's only going to get harder across the country. Another reason to maintain social distancing policies at least until we have comprehensive testing in place. Not just for our sake—for theirs.,278,2020-03-25 14:11:51,Twitter for iPhone,150306,34940,barackobama,1242816471572545536,False,https://t.co/bwNXhOPMYs,en,March,"['burdens', 'medical', 'heroes', 'face', 'nyc', 'harder', 'across', 'country', 'another', 'reason', 'maintain', 'social', 'distancing', 'policies', 'least', 'comprehensive', 'testing', 'place', 'sakefor']"
Our medical professionals are heroes putting their lives on the line to keep our country going. Here's a look at how an ER doctor who already fought on the front lines of one crisis makes it through a day in this one. A good reminder for us to help them out by staying home.,298,2020-03-24 16:50:08,Twitter for iPhone,226850,44119,barackobama,1242493913337913345,False,https://t.co/ah7vva9776,en,March,"['medical', 'professionals', 'heroes', 'putting', 'lives', 'line', 'country', 'heres', 'er', 'doctor', 'fought', 'front', 'lines', 'crisis', 'makes', 'good', 'reminder', 'help', 'staying', 'home']"
Here’s a useful summary of the current best thinking among public health experts on how we need to approach the fight against COVID-19 in the coming weeks.,179,2020-03-23 15:43:41,Twitter Web App,132122,38379,barackobama,1242114805588267008,False,https://t.co/7cy71sKLVG,en,March,"['heres', 'useful', 'summary', 'current', 'best', 'thinking', 'among', 'public', 'health', 'experts', 'approach', 'fight', 'covid19', 'coming', 'weeks']"
"Ten years ago today, I signed the Affordable Care Act into law. It protected preexisting conditions, cut the uninsured rate in half, and lots more. But it's still under political attack right when we need care the most. We have to protect it, build on it, until we cover everyone.",304,2020-03-23 14:41:49,Twitter Media Studio,356885,61436,barackobama,1242099236231053314,False,https://t.co/zz2v3DzMgq,en,March,"['ten', 'signed', 'affordable', 'care', 'act', 'law', 'protected', 'preexisting', 'conditions', 'cut', 'uninsured', 'rate', 'half', 'lots', 'still', 'political', 'attack', 'care', 'protect', 'build', 'cover', 'everyone']"
Sometimes it takes the wisdom and resilience of those who have been marginalized for all of us to remember the importance of community and mutual aid.,150,2020-03-21 13:24:06,Twitter for iPhone,97824,14952,barackobama,1241354902875619329,False,,en,March,"['sometimes', 'takes', 'wisdom', 'resilience', 'marginalized', 'remember', 'importance', 'community', 'mutual', 'aid']"
"And @cripchick, a disabled activist, understands what it’s like for people with particular vulnerabilities to come together for support:",160,2020-03-21 13:24:06,Twitter for iPhone,44008,5668,barackobama,1241354900677832709,False,https://t.co/aBAuBoMYFm,en,March,"['@cripchick', 'disabled', 'activist', 'understands', 'people', 'particular', 'vulnerabilities', 'together', 'support']"
.@sullydish witnessed the impact of HIV-AIDS on the LGBT community in the early stages of that devastating disease:,139,2020-03-21 13:24:05,Twitter for iPhone,31349,5336,barackobama,1241354898299633664,False,https://t.co/j0ipIrzoDC,en,March,"['@sullydish', 'witnessed', 'impact', 'hivaids', 'lgbt', 'community', 'early', 'stages', 'devastating', 'disease']"
"Here are a few stories that have less to do with the very real medical or economic aspects of this crisis, and more with how we take care of each other as a human family during all crises:",188,2020-03-21 13:24:05,Twitter for iPhone,231875,36700,barackobama,1241354895829106688,False,,en,March,"['stories', 'less', 'real', 'medical', 'economic', 'aspects', 'crisis', 'take', 'care', 'human', 'family', 'crises']"
"The best part of my job was meeting people like this—ready to make a selfless act in a time of need. Many Americans are already making deep sacrifices to keep our communities healthy, but if you’re able to, consider helping those hit the hardest.",270,2020-03-19 15:25:09,Twitter for iPhone,22872,4104,barackobama,1240660590600892417,False,https://t.co/CdrMsC6VXF,en,March,"['best', 'part', 'job', 'meeting', 'people', 'thisready', 'selfless', 'act', 'americans', 'making', 'deep', 'sacrifices', 'communities', 'healthy', 'able', 'consider', 'helping', 'hit', 'hardest']"
.@rgay and @SheaSerrano are using their feeds to directly support people in need—and helping shift our ideas about how to approach giving.,162,2020-03-19 15:25:09,Twitter for iPhone,42851,6386,barackobama,1240660587677450244,False,https://t.co/1JHPUYEiKV,en,March,"['@rgay', '@sheaserrano', 'using', 'feeds', 'directly', 'support', 'people', 'needand', 'helping', 'shift', 'ideas', 'approach', 'giving']"
"In my old neighborhood, the @BSAllianceChi established a crisis pantry to provide food and essential items for particularly vulnerable queer and trans residents on the South and West sides of Chicago.",224,2020-03-19 15:25:08,Twitter for iPhone,11139,1664,barackobama,1240660584800161793,False,https://t.co/ilyDlj3ago,en,March,"['old', 'neighborhood', '@bsalliancechi', 'established', 'crisis', 'pantry', 'provide', 'food', 'essential', 'items', 'particularly', 'vulnerable', 'queer', 'trans', 'residents', 'south', 'west', 'sides', 'chicago']"
