;united;president;states;new;great;people;trump;government;news;state;national;american;man;world;federal;obama;party;house;fake;white;working;country;york;republican;good;department;media;russia;big;administration;city;democrats;love;year;called;best;help;job;end;work;thank;war;hard;police;trying;americans;presidential;nothing;election;court;military;security;fbi;senate;thing;friend;donald;article;million;released;america;committee;china;huge;justice;tuesday;economy;republicans;team;political;vote;2016;supreme;night;former;congress;thursday;saturday;hillary;killed;history;post;fact;may;take;left;radical;continue;second;part;black;live;russian;bernie;law;lot;video;times;campaign;provide
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;32;2;2;2;4;2;4;0;6;4;8;2;4;2;0;2;4;2;2;2;2;0;0;2;0;4;0;0;0;0;0;2;2;2;6;0;2;0;2;2;4;0;8;2;0;2;2;4;2;0;2;2;0;0;10;2;4;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;4;2;2
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;10;0;0;4;2;20;4;0;2;0;6;2;2;2;0;0;2;0;0;0;2;4;0;6;0;4;4;0;0;0;4;0;2;4;0;4;0;0;0;4;0;0;0;2;0;0;2;2;8;2;0;0;2;0;2;2;2;0;0;0;0;0;2;0;2;2;2;2;0;0;0;0;0;0;0;0;0;2;0
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;2;4;0;2;0;0;4;4;0;0;4;4;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;0;2;0;2;2;0;2;2;2;2;2;2;0;0;0;6;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;8;0;0;0;0;2;0;4;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;6;2;0;4;2;2;2;10;4;4;4;4;2;24;0;2;0;0;0;0;0;0;4;2;0;4;0;0;2;4;0;2;2;0;0;0;0;4;0;0;4;2;2;0;2;0;0;2;0;2;0;0;0;0;0;4;0;0;2;0;4;0;0;0;0;0;2;0;2;0;2
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;0;2;0;2;4;4;0;0;2;2;0;4;4;0;4;2;2;0;0;0;2;0;0;2;4;0;0;0;2;0;0;0;0;4;2;0;0;0;2;4;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;2;2;0;2;0;2;2;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;2;4;8;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;4;0;2;0;0;0;2;2;0;0;2;4;0;0;0;0;0;2;6;0;0;2;4;0;0;0;0;0;2;2;0;4;4;0;0;4;2;0;0;0;0;0;2;0;0;6;2;0;2;2;2;12;4;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;6;0;0;6;0;2;0;2;0;4;2;0;2;0;0;2;0;0;8;2;8;2;0;0;0;2;0;2;4;0;2;0;0;10;0;6;0;2;2;0;0;0;4;6;0;2;0;2;2;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;0;0;0;4;2;2;2;0;2;2;0;2;0;0;0;0;0;2;4;4;0;0;2;2;0;2;6;2;2;0;0;0;2;0;0;0;0;4;2;0;2;0;4;0;4;0;0;2;0;4;0;2;4;0;0;0;0;0;2;4;2;0;0;0;0;0;4;0;0;2;0
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;2;0;0;0;0;2;2;0;0;2;2;2;0;0;4;0;0;0;6;6;0;0;0;2;2;2;0;0;2;0;0;16;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;2
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;4;0;2;2;0;0;0;0;2;0;0;0;0;4;0;2;4;0;0;0;0;0;2;4;0;4;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;6;0;0;0;2;0;0;0;0;2;0;0;0;0;4;2;0;0;2;4;0;0;0;0;0;0;0
