;trump;great;president;people;new;united;states;news;house;government;federal;american;state;national;administration;obama;white;democrats;world;donald;department;working;york;job;best;republican;city;campaign;man;police;big;party;thank;country;good;americans;trying;help;media;fake;announce;washington;former;may;history;nothing;court;presidential;post;story;political;election;called;2016;thing;times;america;senate;love;fight;think;order;article;radical;coming;fbi;senator;amazing;money;killed;law;following;night;deal;left;leader;another;november;important;texas;act;take;statement;real;women;proud;congress;fact;james;friend;arrested;hard;second;family;secretary;supreme;justice;bernie;released;looking
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;4;2;8;0;0;0;2;2;2;0;0;2;2;0;0;0;4;0;2;2;0;0;0;0;0;2;2;2;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;2;0;0;0;2;4;0;0;2;4;0;0;0;2;4;0;4;0;4;4;2;2;0;6;0;0;4;6;0;2;2;0;2;0;6;0;0;2;0;0;0;0;0;2;0;4;0;0;2;0;0;4;0;0;0;0;0;0;2;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;2;0;0;0;2;0;0;0;0;4;2;0;2;0;0;2;4;2;0;0;0;0;4;0;2;2;4;2;2;0;4;0;2;2;0;2;0;0;0;0;0;0;2;2;0;0;0;6;0;4;0;2;0;2;0;0;2;0
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;6;0;0;0;0;0;0;0;0;2;0;2;0;2;0;4;2;0;0;2;0;0;2;0;0;0;0;2;2;4;2;0;0;2;2;2;0;6;2;4;0;2;0;0;0;2;2;2;0;0;0;0;2;0;2;0;0;2;0
trying;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;8;0;0;0;0;0;6;0;4;2;4;2;6;0;2;2;0;0;0;2;0;0;0;0;2;0;2;2;0;2;0;2;0;0;0;2;2;0;0;2;0;2;10;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;2;4;2;0;0;0;2;0;0;2;0;0;4;0;0;2;2;0;0;0;2;2;0;0;2;0;2;0;2;0;0;4;2;0;0;0;2;0;2;0;0;0;2;0;2;0;2;0;2;0;2;0;2
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;4;0;4;0;2;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;2;2;2;4;2;2;2;0;0;2;2;2;0;0;0;0;0;0;2;4;0;0;0;10;0;2;0;0;0;0;0;0;2;0;0;0
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;8;0;0;4;6;0;0;0;0;2;0;0;2;0;0;4;0;0;4;0;4;2;2;4;2;2;0;0;2;4;2;0;0;4;0;2;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
announce;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;4;2;0;2;0;0;2;0;0;0;10;0;0;0;2;0;2;0;0;4;0;0;2;0;0
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;2;0;12;2;0;0;4;0;0;4;2;0;0;0;2;0;4;0;0;2;2;0;2;0;0;2;0;2;0;0;0;2;2;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;4;2;0;4;0;6;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;6;0;0;0;0;4
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;4;2;2;0;0;0;2;2;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;2;2;6;0;0;0
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;4;6;2;0;0;0;0;0;6;2;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2
nothing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;2;0;0;0;2;0;2;0;0;10;4;4;2;2;0;0;2;0;0;0;8;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;2;2;2;2;0;0;4;0;0;20;6;0;0;0
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;2;12;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2
post;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;0;0;0;0;0;0;2;2;0;0;2;2;0;0;2;8;0;2;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0
story;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;4;0;0;0;4;0;0;4;2;2;0;0;0;0;0;0;0;0;4;0;4;0;2;0;4;4;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0
political;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;4;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;4;0;0;2;2;2;0;0;0;2;0;2;0;2;0;0;0;2;2;2;0;2;0;0;2;2;0;0
called;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;4;0
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;6;0;0;0;2;0;0;0;2;2;0;2
thing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0
times;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;4;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;4;0;4;0;0;0;2;0;0;2;0;2;2;0;0;2;2;0
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;2;0;2;0;0;0;4;2;0;0;2;0;0;0;0;2;0;0;0;0;0;4;2;2;0;4;0;0;4;2;2;2;0;0;0;0;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;4;0;4;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;2;0;2
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
fight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;2;0;0;0;2;0;0;0;0;2
think;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;2;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
radical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;14;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
coming;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;2;0;2;0;0;0;4;0;0;0;2;0;6;0;0;0;0;0;4;0;0;0;0;2
