;united;states;trump;people;great;president;new;government;federal;american;house;state;news;administration;obama;national;history;russia;world;fbi;election;country;working;white;york;democrats;campaign;republican;washington;media;big;party;year;story;department;fake;texas;man;thank;2016;help;presidential;best;police;congress;post;left;court;killed;another;city;law;america;americans;economy;china;stop;millions;trying;released;senate;committee;investigation;times;may;justice;night;act;donald;security;hard;job;military;former;article;force;report;director;nations;hillary;week;second;looking;investigating;bill;attack;deal;real;team;called;greatest;million;shooting;order;jobs;think;clinton;making;saying;university
house;0;0;0;0;0;0;0;0;0;0;0;2;6;4;6;6;2;2;4;4;4;6;4;48;0;4;2;6;0;2;2;2;0;2;2;0;2;0;2;0;0;2;2;6;2;0;6;0;0;6;0;0;4;2;0;0;2;0;2;4;6;12;2;2;0;4;2;8;8;6;4;2;2;4;0;2;2;6;0;0;2;2;2;0;10;0;0;2;2;2;4;2;0;2;0;0;0;2;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;8;0;0;2;6;6;4;4;2;8;6;2;6;4;0;2;4;12;0;4;2;8;0;0;2;4;2;4;4;0;0;2;2;2;0;4;6;2;0;2;0;4;0;2;2;2;2;2;0;2;0;0;2;2;4;2;4;2;4;0;2;0;2;0;2;0;2;0;0;2;2;2;0;0;2;0;0;2;0;2;2;0;2;2;2
news;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;6;6;4;2;4;2;0;6;6;4;4;2;2;6;16;2;0;2;8;0;36;2;6;4;2;0;2;2;0;2;4;2;0;2;0;0;0;2;2;0;2;0;2;4;4;2;4;0;6;0;0;6;0;0;2;2;2;0;4;0;2;0;2;0;0;0;0;2;0;2;2;0;0;2;2;2;2;0;0;0;4;0;2;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;2;6;10;0;0;4;0;4;4;4;4;4;6;6;4;4;2;0;2;4;4;6;2;2;2;4;2;0;2;2;6;2;4;4;0;2;0;2;4;0;2;2;6;10;4;2;2;2;0;4;2;2;0;0;4;0;0;2;0;0;0;4;0;0;0;0;0;0;2;2;4;0;2;2;2;0;0;2;4;2;0;0;0;4;2
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;6;4;4;2;0;2;4;0;2;4;8;8;0;2;2;0;2;2;2;2;0;0;2;0;4;0;2;2;2;2;2;2;0;0;0;4;2;2;0;4;4;10;2;4;4;2;0;2;2;2;0;0;6;2;0;0;4;0;0;2;2;2;2;0;2;0;2;0;4;0;0;2;2;0;0;2;2;4;0;2;0;4;2
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;6;6;0;2;2;0;8;2;8;2;0;2;2;8;0;2;2;2;4;2;8;0;4;6;2;4;0;0;0;2;0;2;2;0;6;0;4;0;8;2;0;0;16;0;0;0;4;0;0;0;18;2;0;2;2;0;0;0;8;0;2;2;0;0;2;2;2;2;0;2;0;2;4;0;2;0;0;2;0;2;0
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;6;2;0;2;2;2;0;4;6;2;2;0;10;0;4;4;0;2;4;0;2;4;2;2;0;0;0;2;4;2;4;0;4;2;2;0;0;2;2;2;0;0;2;0;0;2;0;0;0;2;0;4;0;2;0;2;0;4;4;0;0;4;0;4;2;0;4;2;2;8;0;0;0;0;0;4;0;2;0
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;12;0;2;2;2;2;12;2;0;2;2;0;2;2;4;2;0;2;0;10;2;12;0;0;2;2;0;2;0;2;0;0;0;0;0;2;2;0;0;4;0;0;6;4;4;4;0;0;0;2;0;0;0;2;0;4;0;2;0;0;0;0;4;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;2;2;2;2;0;2;2;2;0;0;0;0;0;0;2;0;6;4;0;0;2;0;2;0;0;0;0;0;8;2;0;8;2;0;0;2;0;2;0;2;0;0;0;4;0;2;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;2;4;4;0;2;0;2;0;0;0;0;2
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;2;0;6;0;0;0;2;0;2;4;6;2;0;4;4;2;2;4;0;4;2;2;0;2;2;0;4;2;0;0;0;0;0;2;4;2;0;6;6;2;0;10;0;2;0;2;2;2;2;4;2;0;2;20;0;8;0;0;6;14;0;2;2;0;0;0;0;0;4;2;0;0;4;0;6;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;0;6;8;4;0;2;0;6;2;2;2;2;0;4;2;24;2;18;2;0;0;2;4;2;0;4;0;2;2;2;0;0;0;2;0;4;2;6;2;0;0;2;0;0;4;2;4;6;2;0;2;2;0;0;0;2;0;2;2;4;0;0;0;2;0;2;2;0;2;0;0;0;2;0;4;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;2;0;0;2;0;0;0;2;0;4;0;2;0;0;4;0;0;4;2;2;0;4;4;0;6;0;8;6;2;2;0;2;2;0;0;2;2;2;0;2;6;2;0;4;0;0;0;2;2;0;2;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;4;0;2;4;2;2;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;6;2;0;2;2;6;6;2;2;4;0;6;0;6;0;8;2;0;0;0;2;0;6;0;6;0;0;0;4;4;0;0;0;2;0;0;4;0;0;0;2;20;0;2;0;0;0;0;0;0;0;0;2;2;0;6;0;2;2;2;4;2;0;4;0;0;2;0;0;2;2
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;2;0;2;0;2;0;0;2;0;6;0;0;4;0;2;6;0;0;4;2;0;0;0;0;0;2;0;0;2;2;0;0;4;2;6;4;0;2;2;2;0;2;0;2;0;0;2;0;2;2;0;0;0;0;2;2;2;2;2;0;0;0;0;2;0;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;2;0;2;2;0;0;2;0;2;0;4;0;0;6;4;0;2;0;8;0;2;0;0;0;0;0;2;2;2;0;2;26;0;0;0;0;0;0;0;0;0;2;10;0;2;0;0;2;0;0;2;2;0;4;2;0;0;2;0;0;2;2;0;2;4;0;0;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;8;2;2;0;0;2;2;2;2;0;10;0;4;0;0;0;2;8;2;0;4;0;0;2;0;0;0;2;0;2;0;4;6;0;0;0;2;2;2;4;0;2;0;2;0;2;0;2;0;0;2;0;0;2;2;0;2;0;4;2;0;0;0;0;0;0;0;2;0;2;0
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;2;4;0;2;2;2;0;2;0;8;0;10;2;0;0;0;0;2;2;0;0;0;0;0;2;4;0;2;6;6;4;2;4;2;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;6;0;0;6;6;4;2;0;2;0;2;0;2;2;2;0;0;8;0;0;2
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;2;2;2;0;0;0;0;8;2;0;0;2;2;2;0;0;0;0;2;2;0;2;2;0;4;0;2;4;2;0;0;0;0;0;6;4;4;4;0;2;0;0;0;0;0;0;0;2;0;0;4;2;0;2;0;4;0;0;0;0;0;0;0;2;0;2
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;2;0;0;0;0;2;2;0;16;0;0;2;4;2;2;0;0;0;0;2;0;0;0;2;0;2;2;0;0;2;0;0;2;0;0;2;0;2;0;2;0;2;4;4;0;0;0;0;2;0;0;0;0;0;2;4;0;0;0;2;0;4;4
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;6;0;14;2;6;0;4;0;4;0;0;2;0;2;0;2;0;0;0;2;0;0;0;4;0;4;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;2;0;4;0;2;0;0;2;2;2;0;0;0;0;2;2;0;2;0;0
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;2;4;6;0;2;0;0;0;2;2;2;0;0;0;0;2;0;2;0;8;2;2;0;0;0;2;0;0;0;4;2;0;0;0;2;4;4;0;2;0;0;0;0;2;2;2;2;2;0;0;10;0;2;0;0;0;2;0;0;0;0;0;2;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;4;0;4;0;0;2;0;0;0;0;2;0;0;2;0;0;4;2;2;6;2;4;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;6;2;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2;2;2;2;4;2;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;2;2;0;2;2;2;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;2;0;0;2;0;0;2;0;0;0;0;4;2;0;0;2;0;0;0;2
story;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;0;2;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;2;2;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;4;0;2;2;0;0;2;0;2;2;2;0;0;6;0;0;2;0;2;0;0;0;0;0;2;0
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;6;2;4;0;8;0;0;0;0;2;4;6;2;0;4;2;0;0;2;2;2;2;6;4;0;0;20;2;0;2;4;0;4;2;2;0;0;4;2;0;0;0;2;0;12;0;0;2;2;0;0;0;0;6;0;2;0;0;0;0;2
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;0;2;2;0;2;4;2;0;2;0;0;0;2;0;0;2;0;0;2;2;0;2;0;2;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0
texas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;2;6;4;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;6
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;8;2;4;0;4;8;0;0;0;0;0;0;0;2;2;0;2;2;2;0;0;2;2;4;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;2;0;0;0;0;0;2;0;0;4;0;0;2;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;2;2;0;0;0;0;2;2;4;0;2;0;4;2;0;0;0;0;2;0;0;0;0;0;2;4;2;4;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;0;0;0;0;0;2
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;24;2;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;2;0;2;8;2;0;0;4;0;0;2;0;0;0;2;0;2;0;0;0;0;4;0;0;2;4;0;0;0;2;0;0;0;0;0;2;0;0;4;2;2;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;2;0;2;4;2;4;6;0;4;8;4;0;2;0;4;0;0;2;0;4;0;0;4;4;4;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;2;0;2;2;0;4;0;2
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;2;0;0;0;4;2;8;2;0;0;4;0;0;10;0;0;0;0;2;0;0;0;0;2;2;0;4;2;6;0;0;0;2;0;0;0;0;0;2;0;0;2;0;2;2
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;2;0;4;0;0;0;0;0;2;0;0;4;0;0;2;0;0;0;4;0;0;0;0;2;0;6;0;0;0;2
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;6;0;0;0;2;2;0;0;0;4;0;0;4;0;0;2;4;0;0;0;0;4;0;0;0;4;2;2;0;0;0;0;2;6;2;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;2;2;0;0;2;2;0;2;0;0;0;0;0;0;6;2;0;4;0;0;0;0;2;0;2;2;0;0;4;2;0;4;0;2;2;0;2;2;2;0;0;0;0;0;0;6;0
post;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;2;0;2;0;0;0;0;0;4;0;0;0;0;4;2;0;0;0;0;2;0;0;4;0;0;0;2;0;0;0;2;0;4;0
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;2;2;2;0;2;0;2;0;2;0;2;0;2;4;0
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;4;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0
killed;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;4;0;0;0;2;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;4;0;0;0;2;0;0;2;0;0;0;0;0;0;0
another;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;0;2;0;2;0;2;0;0;2;4;2;6;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;2;4;0;4;2;4;0;0;0;0;0;0;0
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;0;0;0;2;0;4;0;0;0;2;0;0;2;2;0;4;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;2;2;0;4;0;0;0;2;2;0;0;0;0;2;0;0;4;0;0;0;0;2;2;0;2;0;0;2;0;0;8;2;0;0;0;0;0;0
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;2;0;0;2;0;0;4;0;0;0;0;0;2;2;2;0;0;0;2;0;4;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;2;2;0;2;0;0
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;12;4;0;0;0;0;0;0;2;0;0;0;6;2;4;4;0;0;0;0;2;0;2;0;0;2;0;2;0;2;2;0;0;2;0;0;2;0;2;0;2;0;0
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;4;0;0;0;0;0;0;4;4;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;4;0;0;2;0;0;2;2;0;0;6;2;0;2;0;0
china;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;4;0;0;0;0;2;0;0;2;0;0;0;0;0
stop;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;2;0;2;0;2;2;0;0;0;0;0;4;0;0;2;0;0
millions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0
trying;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;4;0;2;2;0;0;0;2;0;6;0;0;0;0;6;2;0;4;2;0;2;0;2;0;2;0;2;4;0;2
released;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;4;0;2;0;0;0;0;0;0;2;10;0;0;0;2;0;2;2;0;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;2;0;4;0;0;2;0;0;0;0;0;2;0;0;0;2;2;0;2;8;0;0;0;0;2;0;0;0;2;4;0;0;0;0;0
committee;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;2;2;0;0;4;4;2;2;0;2;0;4;0;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0
investigation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;2;0;0;0;2;2;0;0;4;0;0;2;0;0;6;0;0;0;2;0;0;4;0;0;0;2;0;0;0
times;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;4;2;0;0;0;0;0;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;4;0;2;0;0;0;0;0;0
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;2;0;0;0;4;0;0;0;0;0;8;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0
