;new;watch;briefing;#coronavirus;daily;giving;york;live;state;yorkers;people;covid;holding;ny;updates;testing;mask;1130am;health;wear;available;workers;et;states;closed;asl;reopening;interpretation;captioning;nys;yesterday;thank;help;lost;tests;federal;positive;police;public;reopen;government;#newyorktough;covid19;stay;distancing;essential;phase;work;nyc;social;lives;may;law;1;facts;virus;press;working;masks;pandemic;support;order;moment;region;across;reform;cant;home;still;together;curve;good;country;begin;spread;executive;hospitalizations;crisis;change;safe;protect;face;infection;update;tested;thing;ventilators;without;frontline;stop;cases;call;show;honor;came;use;data;regions;act;americans
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;4;0;2;6;2;2;0;0;0;0;2;0;0;4;0;0;2;0;6;0;0;0;0;0;0;0;2;0;4;2;0;2;0;2;0;0;0;2
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;6;2;8;2;4;0;0;0;0;4;0;4;10;2;4;4;0;2;0;0;0;2;4;2;0;2;2;0;0;0;0;0;0;4;0;0;2;0;0
facts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;6;0;0;2;2;0;0;2;0;0;2;0;0;0;4;2;2;0;0;0;0;0;2;0;0;0;2;2;0;2;0;0;2;2;0;4;0
virus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;2;0;2;6;4;0;2;0;2;0;0;0;0;0;2;0;4;0;2;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0
press;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;4;0;0;0;2;0;2;0;0;2;0;0;0;0;4;0;0;2;2;4;0;4;0;0;0;0;2;0;2;10
masks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;2;0;0;0;0;0;0;4;6;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;6;2;2;0;0;0;0;0;0;0;4;0;0;4;0;0;4;0;0;0;0;0;2;0;0;4;0;2;0;0;0;0;0;2
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;4;0;0;0;0;0;0;0;0;2;2;2;0;0;8;0;0;0;2;0;0;0;0
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;0;0;2;0;0;0;2;2;0;36;0;0;2;0;0;6;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0
