;great;thank;news;people;fake;coronavirus;states;working;federal;mike;mini;job;#kag2020;american;united;house;together;bernie;country;work;good;strong;hard;joe;virus;democrats;white;government;media;conference;sleepy;new;win;america;new_york;democrat;support;bad;state;history;workers;president;order;families;bill;biden;usa;decision;full;governors;world;governor;national;love;reserve;nothing;russia;@foxnews;eastern;cut;endorsement;americans;vote;important;early;nation;best;ventilators;trump;protect;complete;race;corrupt;numbers;ahead;quickly;low;act;congress;possible;bloomberg;lives;wonderful;general;incredible;prevail;safe;borders;situation;presidential;sanders;health;help;senator;soon;msdnc;republicans;enemy;chinese;god
mini;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;6;4;0;0;0;0;0;0;6;0;0;0;0;8;2;6;2;4;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;6;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
job;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;6;0;0;0;4;4;0;6;0;2;0;6;2;2;2;0;2;0;0;2;4;6;4;0;0;0;0;2;0;0;0;2;4;4;4;0;6;0;4;0;0;0;0;0;0;4;0;2;0;4;2;0;0;0;2;4;0;0;2;2;2;0;0;0;2;0;2;2;2;6;0;0;4;0;0;0;2;2;2;2;0;0;0;2;0
#kag2020;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;2;2;0;0;2;0;2;0;0;0;2;0;0;2;4;6;0;2;4;0;0;2;4;0;0;10;6;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;4;0;0;0;0;0;2;2;4;0;0;0;0;4;2;2;0;4;0;2;0;0;2;2;0;0;0;0;2;0;2
united;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;6;2;0;4;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;4;0;2;2;0;0;4;0;0;2;0;2;2;0;0;0;0;2;0;4;0;4;0;0;0;2;0;0;0;2;0;2;2;0;0;4;0;0;2;2;0;6;0;2;0;0;0;0;0;2;0;0;0;2;2;4
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;2;2;2;4;6;34;0;2;18;0;2;4;0;2;0;2;4;0;0;6;4;2;2;6;0;2;0;2;4;0;0;2;0;0;2;0;0;6;2;0;2;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;6;6;0;2;8;4;0;4;0;0;2;0;4;4;0;2;4;0;0;2;0;2;0;2;2;0;0;0;2;2;4;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;6;2;0;0;2;4;0;0;12;0;0;0;0;2;0;2;0;0;2;4;0;2;0
bernie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;8;0;6;0;0;0;0;8;0;2;0;0;6;2;2;0;4;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;4;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;14;0;0;0;4;0;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;4;4;0;4;0;2;2;0;2;0;0;4;2;0;0;4;4;8;0;2;4;0;2;0;0;2;0;0;2;0;4;8;0;0;0;0;0;0;0;0;2;2;4;0;6;0;2;2;0;0;4;2;4;0;2;0;0;2;0;4;2;0;2;0;0;0;2;0;0;2;0;0;2;2;2;0;0;2
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;2;2;2;2;2;2;2;2;2;2;2;0;0;2;0;0;2;2;0;0;2;0;0;0;0;0;4;2;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;0;0;2;0;0;2;2;0;2;2;2;2;0;0;2;4;0;0;0;2;0;0;4;4;2;2;2;0;0;2;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;6;2;2;2;2;0;2;2;2;0;6;2;0;0;2;0;0;2;2;0;2;0;0;2;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;2;0;4;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;2;0;0;2;0;2;2;2;4;0
strong;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2;0;0;0;2;2;0;0;2;0;2;0;2;0;0;4;0;0;0;2;4;2;0;2;0;0;0;4;0;0;0;0;0;0;10;2;2;0;2;0;0;0;2;2;10;0;0;0;0;0;0;2;6;0;0;0;0;0;2;6;0;6;2;0;0;0;2;4;0;0;0;0;2;2
hard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;2;0;2;0;0;6;4;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;4;0;4;0;0;0;2;0;0;2;2;0;0;0;2;0;2;2;0;2;0;0;2;0;0;4;0;0;2;2;0;2;0;4;0;0;2;0;2;2;2;2;4;0;2;0;0;2;0
joe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;28;0;4;0;0;6;2;2;0;2;0;4;4;0;0;20;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;4;0;0;2;0;2;0;4;2;0;4;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0
virus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;2;0;6;8;0;2;0;0;2;0;0;6;2;2;2;2;0;0;2;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;6;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;4;0;0;0;0;2;2;2;0;6;0;16;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;6;2;2;0;0;2;2;0;4;0;0;0;4;0;2;0;0;0;0;0;0;0;0;4;2;2;0;4;0;2;2;4;0;0;4;0;0;2;0;2;0;0;2;0;2;0;2;0;0;2;0;0;2;0;0;2;2;0;2;0;0;0;0;4;12;0;0;0
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;18;0;2;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;6;0;0;2;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;4;0;0;0;2;2;0;0;0;0;10;6;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;4;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;4;0;0;0;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;4;2;0;2;4;0;0;6;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;2;4;0;0
conference;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;12;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0
sleepy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;2;0;0;2;0;2;2;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;2;0;6;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;4;4;0;4;0;8;0;0;2;2;0;0;4;0;2;0;2;0;0;0;2;0;2;0;0;0;0;6;0;2;0;0;2;2;0;0;0;0;0;0;4;0;0;2;4;0;2;0;0;0;0;2;4;0;0;0;0;2;0;0;2;2;0;2;0
win;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;2;0;6;0;2;0;2;2;0;0;2;0;4;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;4;4;0;2
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;4;0;0;4;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;4;0;4;0;0;2;2;0;0;0;6;0;0;0;0;6;2;0;0;0;0;0;0;0
new_york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;2;0;0;2;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;6;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0
democrat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;4;0;0;0;4;2;0;0;4;2;0;0;2;2;0;0;0;2;6;4;0;0;2;0;0;0;0;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;6;2;2;0;0;0;0;0;0;2;6;0;0;0;0;0;0;2;0;0;0;0;2;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0
bad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;2;0;2;0;0;2;4;0;0;0;0;0;0;2;0;4;0;0;2;0;0;2;2;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;4;0;4;0;0;0;0;2;2;2;4;0;0;0;2;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;2;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;2;0;0;0;4;0;0;2;0;6;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;2
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;8;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;4;0;0;0;2;0;0;0;0;0;0;4;4;8;0;0;0;0;0;0;0;4;2;0;0;0;4;0;0;0;0;4;0;0;0
president;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;2;2;0;0;2;0;2;0;0;0;2;0;0;4;0;0;0;8;0;0;4;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;6;0;4;0;8;0;0;4;0;0;0;2;0;0;0;0;4;0;4;0;0;0;4;0;0;0;0;0
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;8;0;0;0;2;0;0;0;0;0;0;4;4;4;0;0;2;0;0;0;0;6;0;0;0;0;8;2;0;0;0;0;0;0;2
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0
biden;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;2;0;2;0;4;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0
usa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;6;0;0;0;0;4;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;8
decision;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;4;2;0;0;0;0;0;2;0;0;0;2;0
full;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0
governors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;4;2;0;4;2;0;2;0;0;0;0;0;2;0;0;0;2;0;4;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;6;0;0
governor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;6
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;4;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0
reserve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0
nothing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;0;2;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;2;4;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;2;0;0
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
@foxnews;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
eastern;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cut;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;0;2;0;0;0
endorsement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;16;0;0;0;0;0;0;0;4;0;2;0;0;0;6;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
vote;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;2;2;4;0;0;2;4;2;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;4;0
early;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;10;0;0;0;0;0;6;2;0;0;0;0;0;2;0;0;0;2;0
nation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;4;0;0;0;0;6;2;2;0;0;0;0;0;0
