;united;trump;states;great;people;president;new;house;government;state;american;administration;news;campaign;man;federal;thank;department;democrats;working;world;national;white;country;help;russian;big;best;obama;justice;presidential;fbi;court;election;trying;media;senate;russia;may;york;republican;history;2016;good;washington;proud;year;hard;senator;job;police;city;former;congress;support;americans;north;announce;bill;military;love;story;huge;night;donald;republicans;vote;supreme;fake;full;killed;family;take;million;nothing;america;act;committee;party;says;free;texas;think;thing;nfl;business;released;latest;game;team;nations;care;governor;life;security;radical;win;another;fact;china
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;0;4;2;4;2;0;2;4;2;2;0;0;0;2;0;2;4;10;0;0;0;0;2;2;0;0;4;0;0;6;0;0;2;2;0;0;0;4;2;0;0;2;2;2;0;2;0;0;2;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2;2;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;2;0;0;4;2;2;0;0;2;0;2;0;2;0;0;0;6;2;4;4;6;0;0;2;2;6;2;0;4;0;4;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;2;0;0;0;0;4
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;4;0;2;0;0;0;2;0;0;4;0;0;2;0;2;0;4;2;2;0;0;0;0;0;0;2;2;2;0;2;2;4;2;2;2;0;2;0;0;0;0;0;2;0;2;8;0;2;0;2;0;4;0;0;0;2;0;0;2;4;0;0;4;2;0;2;2;2;4;2;2;0
russian;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;8;10;0;10;6;4;4;6;2;0;0;0;6;0;4;0;0;0;0;0;0;0;6;2;0;0;0;0;0;4;0;0;2;0;0;0;0;0;2;2;4;0;0;0;0;0;2;10;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;6;2;0;2;2;0;2;0;0;2;0;4;0;4;2;2;0;6;0;0;0;4;0;0;0;0;2;0;2;0;2;0;0;2;4;4;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;2;2;2;0;0;0;2;0;2;2;2;0;2;6;2;0;2
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;4;0;4;0;0;0;2;0;0;0;4;2;2;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;6;2;10;0;2;0;2;0;2;0;0;0;0;0;0;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;0;0;2;2;2;2;2;2;0;2;0;2;0;2;0;2;0;4;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;2;0;4;0;2;2;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;2;6;0
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;10;4;4;2;0;0;6;0;2;0;0;8;0;0;0;0;2;0;0;0;4;2;2;2;0;2;2;2;4;0;0;0;0;0;2;0;0;0;0;0;2;0;4;0;0;0;0;0;4;2;2;0;2;0;0;0;2;0;2;0;2;0;0;0;0;2;2;2;0
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;10;0;2;0;8;4;2;8;4;24;0;2;0;0;0;0;0;0;2;2;2;2;0;0;0;0;2;0;0;0;4;10;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;4;0;0;2;0;0;2;2;2;0;4;0;0;0
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;6;2;4;0;2;10;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;2;0;6;2;0;0;2;0;2;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;2;0;0
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;2;0;0;2;2;0;2;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;4;30;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;6;0;0;4;2;18;0;0;0;0;2;2;2;0;0;0;0;4;0;0;0;0;0;0;2;0;2;0;4;0;0;0;0;2;0;2;0;0;0;0;4;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0
trying;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;0;0;2;0;0;6;0;2;6;0;4;0;0;2;4;0;0;2;0;2;2;0;4;0;0;0;4;2;0;6;2;2;0;4;2;6;0;2;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;2;2;4;2;2;0;2;0;0;2;0;0;2;0;6;0;0;2;2;0;0;16;4;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;4
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;6;0;0;0;2;0;0;4;6;4;0;0;2;4;2;2;0;0;6;2;0;2;0;0;0;4;12;0;2;2;0;0;2;0;0;0;4;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;2;4
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;10;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;4;0;6;0;0;4
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0;0;0;0;0;2;0;0;0;4;2;0;2;0;0;2;2;0;2;0;2;2;2;2;4;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;6;0;2;0;0;2;0;2;0;4;6;2;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;2;0;0;0;0;0;4;8;4;0;2;2;0;0;2;0;2;8;0;2;2;0;0;0;0;4;4;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;2;4;0;0;2;2;2;2;0;2;2;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;4;0;2;6;2;0;0;2;0;2;0;0;0;4;2;0;2;0;6;10;0;2;0;0;0;0;0;0;0;2;2;0;4;10;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;2;2;0;2;0;2;2;0;0;2;2;0;2;0;0;0;0;2;2;2;2;0;0;4;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;4;0;2;2;0;2;0;0;0;0;2;0;2;0;2
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;4;6;0;0;0;0;2;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;6;0;0;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;4;0;0;2;2;0;0;2;0;4;0;6;2;2;2;0;2;0;2;2;0;0;0;2;0;0;4;2;0;0;0;0;0;2;2;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;4;0;0;0;2;0;2;2;4;2;0;0;0;0;0;2;0;2;2;4;0;6;2;0;2;2;0;0;0;0;0;2;2;0;0;2;0;0;2;2;2;0;0;0;0
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;8;4;0;16;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;4;0;4;2;0;0;0;0;0;0;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;2;0;0;4;2;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;2
hard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;0;2;2;0;0;2;4;0;0;0;2;0;2;2;2;2;0;0;0;4;0;4;0;0;2;0;2;0;0;0;0;2;0;0;2;2;0;0;0;4;0
senator;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;2;2;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;2
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;2;0;0;0;0;0;4;2;0;2;0;2;4;0;0;2;2;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0;2;0;0;0;2;2;0;2
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;6;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;4;2;0;0;0;0;2;2;2;0;0;0;0;0;6;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;2;0;0;2;2;2;2;0;0;0;2;0;0;0;0;0;0;4;2;0;4;0;0;0;0;0;0;2;0;0;0;0;0;2;0;8;0;0;0;2;0
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;6;2;2;2;4;0;2;0;0;0;2;4;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;2;2;0;2;0;4;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;0;0;0;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0;2;2;0;2
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;0;2;0;2;0;0;0;0;0;2;2;2;2;2;0;2;0;0
north;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;4;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0
announce;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;0;0;0;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;2
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;4;6;0;0;2;0;0;0;0;0;0;6;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;2;0;2;4;0;0
military;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;0
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0
story;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;2;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0
huge;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;4;0;0;2
night;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;4;0;4;4;0;0;0;0;0;0;0;0;0;2;0;0;0
republicans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;0;0;0;4;0;2;0;0;2;4;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;4;2
