;delaware;delawareans;covid19;health;thank;public;stay;state;home;workers;protect;care;delawares;face;de;community;difficult;situation;sussex;help;work;together;watch;neighbors;economy;front;briefing;director;emergency;healthy;social;lines;part;businesses;county;family;@delaware_dhss;covering;especially;@foodbankofde;still;updates;livestream;response;school;spotlight;working;serious;save;support;mobile;text;take;everyone;delawarean;across;important;info;safe;helping;fight;drivethru;division;new;informed;#stayhomede;continue;hospital;distancing;essential;order;giving;surge;communities;schools;food;recovery;virtual;online;learn;guidance;educators;testing;pantry;countypreregister;partners;required;cases;management;spread;dover;live;yo;bring;decisions;days;visit;volunteers;restrictions;science
protect;0;0;0;0;0;0;0;0;0;0;0;6;4;2;0;0;0;6;0;0;4;6;0;10;2;4;0;0;4;0;2;2;8;0;0;8;2;2;4;0;4;0;0;0;0;0;0;4;4;0;0;0;2;2;0;0;2;2;2;2;2;0;2;0;4;4;0;2;2;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0
care;0;0;0;0;0;0;0;0;0;0;0;0;12;2;2;4;2;4;0;4;2;4;0;4;0;16;0;0;2;0;0;14;0;2;0;2;0;0;4;0;4;0;0;6;2;6;4;2;4;6;0;0;0;2;4;0;2;2;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0
delawares;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;4;4;4;4;2;2;6;2;0;2;0;2;6;0;4;2;2;0;0;2;0;0;0;2;10;2;0;2;0;2;6;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;2;0;2;2;0;2;0;0;0;6;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0
face;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;8;4;4;0;2;0;0;0;2;0;0;0;0;4;2;2;0;4;0;2;8;4;0;4;0;0;0;2;4;2;6;0;2;0;0;2;2;4;0;0;4;0;2;0;0;2;0;2;2;0;0;4;2;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;4;2;0;4;0;0;0;0;0;0;0;0;0;2
de;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;0;0;0;0;0;0;2;0;0;4;0;0;2;2;2;2;2;0;0;2;0;4;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;4;0;0;0
community;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;4;0;4;2;0;2;4;0;0;0;0;4;0;0;0;2;4;0;2;0;4;0;0;0;0;2;0;2;4;0;0;2;0;0;0;0;2;0;0;2;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;2;0;6;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0
difficult;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;6;2;0;2;2;0;0;0;2;2;2;0;2;0;0;0;2;0;0;0;0;2;0;0;4;6;0;0;0;0;0;0;0;0;6;2;0;0;2;2;2;0;2;0;4;0;6;0;2;0;0;0;0;2;6;2;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0
situation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;2;0;4;2;0;0;0;2;2;0;0;6;0;4;4;0;0;4;0;10;2;0;0;0;2;0;12;2;0;0;2;2;8;2;0;4;0;0;4;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;2;0;0;2
sussex;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;12;0;2;0;6;6;4;0;0;0;2;0;2;4;2;0;6;0;0;2;0;2;0;2;0;0;0;6;2;4;0;0;0;2;0;0;0;0;2;4;0;2;0;0;0;2;0;0;6;4;4;2;0;2;0;2;0;0;2;4;0;0;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;2;0;4;0;0;0;0;0;4;2;0;2;0;0;2;2;2;2;0;0;2;0;4;2;2;0;4;0;0;0;2;4;0;0;2;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;2;0;0;2;2;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;2
