;united;states;great;president;trump;people;new;american;house;federal;government;state;national;best;administration;republican;news;working;history;man;department;white;obama;job;court;thank;world;york;night;media;country;democrats;party;congress;senate;end;big;million;russia;campaign;story;fbi;presidential;love;support;security;think;act;americans;proud;election;2016;fake;former;important;help;america;supreme;military;justice;senator;clinton;city;beautiful;may;investigation;political;killed;take;together;washington;released;death;left;hoax;war;year;young;bill;strong;nation;part;university;hillary;china;good;full;information;article;vote;times;shooting;complete;community;video;donald;looking;work;win;post
government;0;0;0;0;0;0;0;0;0;0;0;6;6;2;8;2;0;4;2;2;6;2;2;6;2;2;2;0;0;0;6;2;2;10;2;6;4;6;2;0;0;2;0;0;0;4;0;6;4;0;2;0;2;0;2;0;4;2;0;0;0;2;2;0;2;0;2;0;0;0;2;4;0;2;2;2;0;2;2;0;6;2;2;0;0;2;4;2;2;0;0;0;0;0;2;2;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;2;4;2;4;0;8;2;4;4;6;6;0;0;0;2;2;0;2;2;2;4;0;6;2;2;2;0;4;4;2;0;0;4;0;2;6;0;2;6;2;2;2;6;0;0;0;8;6;0;0;2;4;0;0;0;2;4;2;2;0;2;0;0;0;0;4;4;0;6;0;0;2;0;2;0;0;0;2;2;2;2;2;0;2;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;10;2;0;0;2;6;4;6;4;2;2;2;2;2;0;4;0;2;6;0;2;0;4;0;0;0;2;0;0;4;24;2;0;6;2;0;0;0;6;0;0;2;2;2;4;0;2;2;2;2;6;0;0;0;4;2;4;0;0;0;0;2;4;2;0;0;0;6;2;2;0;2;2;2;4;2;4;0;0;0;4;2;0;2;2
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;8;2;0;0;0;0;2;0;4;4;4;4;2;4;2;2;0;0;2;0;0;2;0;2;2;2;6;0;0;0;0;2;0;2;0;0;0;2;0;0;0;4;0;4;0;2;4;0;0;4;0;0;0;0;0;0;4;2;2;2;0;0;4;2;6;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;6;4;26;2;2;0;2;2;0;2;0;4;4;4;0;2;0;4;2;0;2;0;2;2;0;4;2;2;8;0;2;2;2;2;4;2;4;0;2;0;4;0;0;0;0;4;0;0;4;2;4;2;4;0;2;0;0;0;0;4;2;0;2;0;2;2;0;2;0;2;2;0;2;2;0;2;0;2;2;2
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;0;0;2;0;0;2;0;4;2;0;0;2;24;2;2;4;2;0;0;4;0;0;14;2;2;0;4;2;2;0;4;2;0;2;2;0;0;0;4;0;2;0;0;0;2;0;2;0;2;0;4;0;0;6;0;2;0;0;6;0;0;0;0;0;0;2;2;0;0;6;2;0;2;4;2;12;0;2;4;4
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;4;2;2;0;8;2;10;0;12;4;8;4;0;2;0;2;0;2;4;4;0;4;0;2;2;4;2;0;0;2;2;28;2;2;0;0;0;0;0;0;0;0;0;2;0;6;2;0;0;0;2;4;4;4;0;0;4;2;0;0;0;0;0;2;4;0;0;0;0;6;0;0;0;4;2;4;4;2;2
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;4;2;2;0;0;4;2;2;2;2;0;2;0;0;0;0;0;2;2;2;0;4;4;2;0;0;0;0;0;2;2;2;2;4;0;4;0;2;0;0;0;2;0;6;4;2;0;0;4;2;0;2;2;0;4;6;0;0;0;0;2;4;0;0;0;0;0;4;0;0;0;0;0;0;0
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;4;2;6;0;6;6;2;2;6;0;0;4;4;0;0;0;0;0;0;0;0;2;2;4;0;0;6;2;0;0;2;0;0;0;0;2;2;0;0;0;8;2;0;0;0;0;0;0;2;0;0;2;2;0;4;0;0;2;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;0;0;2;2;2;0;2;0;0;2;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;2;0;0;2;0;0;0;2;2;0;6;0;0;2;4;4;0;2;0;2;6;0;0;0;0;4;0;2;2;0;0;0;2;0;6;2;4;0;0;0;0;0;2
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;2;0;0;0;2;0;4;2;4;2;8;4;2;0;10;0;0;0;6;0;0;2;2;4;2;2;0;2;0;0;0;0;22;0;6;2;0;0;10;4;0;0;2;2;4;2;0;0;0;0;2;2;0;0;4;2;6;0;0;0;4;2;0;2;0;0;0;2;0;4;0;0;2
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;0;2;0;0;2;0;4;2;2;6;0;0;0;0;0;2;4;0;4;0;4;0;2;0;0;2;0;2;2;0;2;6;2;0;6;0;4;2;2;6;6;2;2;4;2;4;0;0;0;0;0;0;4;2;0;0;2;2;2;2;0;2;2;0;2;2;0;2;0;2;4;0;2;2;2
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;2;0;0;2;4;0;0;0;2;2;4;2;0;4;0;0;0;0;0;6;0;4;0;2;8;0;0;2;0;0;2;0;4;0;0;0;4;0;2;2;2;4;0;2;0;2;0;0;0;2;0;2;0;2;4;0;0;2;0;2;0;2;0;2;0;2;4;2;0;2;2
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;2;0;4;0;0;2;2;0;0;0;4;0;0;2;0;0;2;0;0;0;4;2;4;4;0;0;2;0;2;0;2;2;0;6;6;0;0;4;0;0;0;0;0;0;0;2;2;4;0;0;2;0;2;0;0;2;2;6;0;0;0;0;0;0;2;0;0;2;0;0;0;0
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;4;2;0;0;4;0;0;0;2;0;4;2;6;2;0;2;0;0;0;0;4;0;0;4;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;4;0;0;0;2;0;0;2;0;0;4;2;0;0;2;0;0;2;4;0;0;0;0;2;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;2;0;0;0;0;4;0;2;2;2;2;2;0;2;2;0;4;2;2;2;0;0;2;2;2;0;0;0;0;2;2;0;0;4;0;2;0;0;0;2;2;2;2;0;2;0;2;4;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;2;2;0;2;0;0;2;0;8;2;2;0;0;2;2;0;2;4;2;0;4;4;0;0;2;0;2;2;2;2;8;2;0;2;0;4;0;0;2;4;0;0;2;2;0;0;4;0;0;0;0;2;2;2;0;0;0;0;20;0;0;0;0;2;2;0;0;4
night;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;2;4;0;2;0;4;4;4;0;4;0;0;0;0;0;0;2;2;4;2;2;2;0;0;2;0;0;0;2;2;2;0;0;2;0;0;2;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;2;2;2;2;6;2;2;0;0;2;0;0;0;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;2;8;4;0;4;0;2;0;4;4;0;0;2;2;12;0;2;0;0;0;0;0;0;2;0;0;6;0;4;2;0;0;0;0;2;0;4;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;2;0;2;0;0;0;0;2;2;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;4;4;0;2;0;0;0;0;2;0;0;0;2;2;0;0;2;0;4;0;0;2;0;0;0;0;2;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;6;0;0;0;8;2;4;0;0;0;4;0;0;2;0;0;2;0;8;0;2;0;2;0;0;2;0;0;2;2;0;2;4;0;4;0;0;6;0;10;10;0;2;0;2;2;2;2;0;0;0;0;2;0;0;2;0;0;2;2;0;0;2;2;0;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;2;2;2;2;0;0;2;0;0;0;4;0;0;0;0;2;0;2;0;2;0;2;6;2;2;0;0;4;0;0;0;0;4;0;4;0;0;0;2;0;0;0;0;2;2;0;0;4;0
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;4;0;0;2;8;0;4;2;2;0;0;0;4;0;0;2;2;2;2;0;2;0;0;0;4;0;0;0;0;4;4;4;2;0;0;0;0;4;0;2;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;2;0;4;0;0;2;4;0;2;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;4;0;0;2;0;0;4;0;2;0;4;2;2;0;0;4;0;0;2;2;2;4;0;0;0;0;4;0;4;0;4;2
end;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;0;0;0;0;4;2;0;4;0;2;0;0;0;0;0;0;2;0;4;0;0;2;0;2;4;2;2;0;2;2;4;4;2;0;4;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;4;0;0;0;0;2;0;2;4;0;4;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;2;0;0;2;2;2;0;0;0;0;0;0;2;0;4;2;0;0;0;2;0;0;0;0;0;2;0;2;0;4;0;8;2
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;2;0;0;4;0;2;2;0;4;6;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;4;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;2;0;0;0;0;0;2;0;4;4;4;2;0;0;0;0;0;4;0;2;0;0;0;10;2;0;0;0;0;0;0;2;14;2;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;2;0;2;0;0;0
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;8;0;0;0;0;0;4;2;4;6;4;2;2;0;0;0;0;2;0;8;0;0;2;2;2;0;0;0;4;0;0;2;2;2;0;2;0;2;0;0;0;6;2;2;2;4;0;2;0;0;0;2;0;4;2;0;2;0
story;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;2;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;8;0;0;0;0;0;0;0;0;2
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;2;2;0;0;0;0;0;10;0;0;0;0;0;8;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;2;0;0;0
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;4;10;2;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;4;0;8;2;2;0;2
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;2;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;2;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;2;2;0;4;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;4;0;0;0;2;2;2;2;4;4;0;2;0;2;2;0;0;0;0;0;0;0;4;2;0;0;0;0;0
security;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;6;0;0;2;0;0;2;0;0;0;0;0;4;2;0;2;0;4;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;4;0;0;0;2
think;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;0;0;0
act;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;4;0;4;2;2;0;2;0;0;0;4;2;2;0;0;0;0;0;0;0;0;2;0;2;2;2;2;0;0;0;0;0;6;0;0;0;0;0;0;2;0;0;0;2;0;0
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;2;2;2;2;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;2;2;0;0;6;2;0;0;0;0;0;6;0;0;0;2;0;0;0;2;2;2;6;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;2;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;0;2;0;2;0;2;6;2;8;0;0;0;4;0;0;0;0;0;0;0;2;4;2;2;0;0;0;0;4;0;8;0;2;0;0;0;2;2;0;0;0;0;2;0;0;2;0
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;6;0;0;0;4;0;0;0;0;4;0;0;0;2;0;4;0;0;2;0;0;0;6;0;2;0;2;0;4;0;0;0;0;0;2;0;0;0;0
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;8;0;0;0;0;4;0;2;6;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;4;0;0;0;4;0;0;2;2;0
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;4;0;0;8;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;2;4;4;2;2;0;0;0;2;2;2;0;0;0
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;4;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;2;2;0;2;4;0;2;0;0;0;0;2;2;0;2;0;0;0;2;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;2;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;2;2;2;0;0;0;0;0;4;2;0;0;0;0;2
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;4;0;0;0;2;0;4;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;2;2;0
supreme;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
military;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;2;2;0;2;2;0;0;0;2;0;2;0;2;0;0;4;8;2;0;0;0;0;0;0;4;2;0;2;0;4;0;0;0;0;2;0;0
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;12;0;0;0;0;4;0;0;0;2;2;0;2;2;0;0;4;0;6;0;0;0;6;0;0;2;0;0;0;0;2;2;0;0;0
senator;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;2;0;4;0;0;0;2;2;0;4;0;0;0;0;2;0;0
clinton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;24;2;6;2;0;0;0;2;0;0;0;0;0;4;0;0;0
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;2;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0
beautiful;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;2;2;2;0;0;0;0;2;0;2;2;2;2
investigation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;4;0;0;4;4;0;0;2;0;0;0;0;0;0;2;0;0
