kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD
taking,2,leaders,2,distancing,3,number,4,province,3,general,2,good,12
congratulations,2,office,2,good,3,advisory,4,update,3,english,2,watch,11
protect,2,move,2,call,3,spoke,4,still,3,address,2,government,11
generation,2,enjoy,2,vulnerable,3,pandemic,4,number,2,speaking,2,pandemic,11
medical,2,200,2,kind,3,medical,4,relief,2,believe,2,america,11
vote,2,means,2,world,3,provinces,3,pandemic,2,hold,2,best,11
stop,2,children,2,relief,3,yesterday,3,important,2,week,2,million,11
paid,2,simply,2,planning,3,another,3,council,2,councillor_matlow@torontoca,2,2,11
best,2,put,2,received,3,america,3,bad,2,reopen,2,remember,11
emissions,2,commonwealth,2,delivery,3,hard,3,districts,2,programs,2,testing,11
visit,2,help,2,learn,3,still,3,helping,2,ny,2,keeping,11
build,2,ward,2,efforts,3,president,3,explain,2,late,2,latest,10
week,2,#dcstatehood,2,number,3,test,3,clear,2,riots,2,life,10
equity,2,tomorrow,2,crisis,3,decision,3,face,2,told,2,address,10
democrats,2,yesterday,2,tonight,3,essential,3,call,2,peaceful,2,social,10
arizona,2,kentucky,2,continue,3,missourians,3,news,2,yes,2,stand,10
expressway,2,president,2,thousands,2,faith,3,members,2,edt,2,part,10
necessary,2,strong,2,registration,2,begin,3,york,2,dollars,2,kind,10
2020,2,government,2,internet,2,run,3,good,2,liberal,2,housing,10
resources,2,mayor,2,email,2,virus,3,celebrating,2,walk,2,illinois,10
important,2,conservatives,2,order,2,country,3,essential,2,covid,2,spread,10
leadership,2,event,2,ambulances,2,vote,3,website,2,victory,2,spoke,10
air,2,politics,2,tomorrow,2,communities,3,remain,2,york,2,number,10
answered,2,action,2,process,2,join,3,limit,2,2,2,efforts,10
trump,2,reminder,2,enjoy,2,learn,3,federal,2,save,2,end,10
million,2,latest,2,increase,2,responders,3,honor,2,campto,2,year,10
allies,2,committees,2,president,2,important,3,district,2,ridge,2,ensure,10
ready,2,1,2,administration,2,cases,3,game,2,act,2,happy,10
question,2,premier,2,confirmed,2,virtual,3,missouris,2,joe,2,vulnerable,10
home,2,coronavirus,2,high,2,cant,3,reopen,2,cannot,2,join,9
