;de;les;la;et;à;le;des;trudeau;pour;du;en;canadians;canadiens;justin;nous;que;canada;au;qui;un;conservatives;une;ont;pas;conservateurs;aux;notre;covid19;cette;ce;est;sur;nos;il;ne;gouvernement;je;government;vous;plus;sont;tous;leur;help;libéraux;aujourdhui;se;trudeaus;canadas;liberals;par;pays;avec;doit;cest;country;son;votre;dans;crise;plan;crisis;leurs;support;canadian;work;important;aider;questions;tomber;ils;leadership;workers;live;direct;travailleurs;besoin;ses;ces;faire;tout;world;businesses;entreprises;ceux;temps;laisse;santé;fait;quil;monde;durant;toujours;continue;letting;spending;travail;avons;pourquoi;parliament
canadiens;0;0;0;0;0;0;0;0;0;0;0;0;0;108;122;120;58;106;110;92;0;94;108;78;114;96;76;46;98;76;70;70;50;66;72;92;58;0;50;60;64;80;60;0;58;42;58;0;0;0;48;36;44;44;34;0;36;20;22;52;10;0;48;0;0;0;6;44;22;64;36;26;0;0;28;18;36;42;30;24;26;0;0;26;30;42;50;28;24;20;22;38;18;8;0;0;36;22;28;0
justin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;64;46;28;40;48;56;46;36;64;42;28;42;18;24;38;38;42;18;64;42;26;26;34;50;24;20;4;10;18;22;14;24;80;18;26;18;18;16;46;30;28;20;4;6;16;6;22;12;16;14;10;16;4;28;56;6;38;10;38;34;6;14;40;16;20;16;4;6;4;2;12;46;6;22;24;2;12;8;16;52;30;6;4;16;20
nous;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;74;76;82;74;0;62;74;48;82;56;68;46;76;50;50;48;48;36;50;62;38;0;44;46;52;42;30;0;32;54;44;0;0;0;52;16;32;32;34;0;26;16;38;30;10;0;36;0;0;0;4;38;20;12;18;2;0;0;12;28;34;16;24;44;18;0;0;22;20;26;8;24;22;26;22;30;36;2;0;0;22;60;18;0
que;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;54;66;58;0;60;60;76;68;56;46;34;44;86;66;42;36;60;64;76;50;0;42;48;52;32;42;0;34;30;24;0;0;0;28;22;20;28;46;0;28;10;26;18;2;0;22;0;0;0;10;16;12;20;24;20;0;0;16;24;30;26;36;38;16;0;0;24;16;30;22;20;34;26;12;30;24;8;0;0;16;18;24;0
canada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;60;52;38;44;30;30;92;30;26;32;44;32;32;26;32;18;20;20;46;16;22;32;20;38;22;4;18;40;34;10;18;0;30;20;14;24;12;16;20;8;20;8;18;10;14;4;12;8;16;4;4;10;12;2;4;8;14;10;14;8;8;12;12;26;4;6;22;8;10;8;10;8;30;10;20;0;6;6;10;14;8;2
au;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;70;0;62;50;38;70;62;38;18;48;44;38;32;48;32;34;52;68;0;22;38;28;56;32;0;24;44;38;0;0;0;34;46;20;16;16;0;22;16;24;28;6;0;18;0;0;0;14;8;16;6;18;8;0;0;16;20;14;16;12;18;22;0;0;16;38;14;4;8;4;16;26;22;4;4;0;0;26;10;16;0
qui;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;50;72;56;58;56;58;20;64;56;32;30;38;40;40;32;72;0;18;36;58;76;32;0;26;48;32;0;0;0;28;42;18;20;32;0;8;16;24;10;10;0;14;0;0;0;10;16;4;8;18;2;0;0;18;20;18;14;8;12;12;0;0;16;68;10;6;12;24;12;18;18;28;2;0;0;18;12;14;0
un;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;60;36;60;52;52;38;28;54;38;64;38;26;56;40;48;42;0;32;38;20;40;28;0;26;28;22;4;0;0;24;32;22;26;18;0;18;10;30;22;30;0;12;0;4;0;8;20;6;14;16;12;0;2;16;14;4;14;18;20;22;0;0;18;16;18;18;14;12;8;18;18;4;2;0;2;16;8;12;0
conservatives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;60;0;0;0;24;90;44;0;2;0;0;0;20;0;0;0;0;16;20;0;44;24;28;20;0;8;0;0;4;34;16;0;0;0;0;0;0;0;22;32;0;0;0;0;0;0;0;0;0;0;36;12;26;0;0;0;14
une;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;36;46;54;26;16;52;30;56;44;12;30;34;30;30;0;28;34;24;32;30;0;30;30;30;0;0;0;30;20;24;28;28;0;26;18;28;14;14;0;14;0;0;0;6;8;8;24;12;8;0;0;6;10;12;16;14;14;14;0;0;2;14;14;24;4;14;18;20;2;16;2;0;0;10;10;10;0
ont;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;56;48;38;24;48;48;28;38;36;24;26;42;16;0;18;34;26;16;46;0;68;22;26;0;0;0;24;18;10;18;24;0;18;14;16;28;10;0;26;0;0;0;4;24;8;10;36;4;0;0;16;20;54;6;18;16;12;0;0;22;16;16;12;8;6;12;10;18;12;6;0;0;12;14;12;0
pas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;32;36;12;32;42;34;40;24;54;116;36;24;0;52;24;30;10;34;0;38;16;14;0;0;0;18;16;6;30;26;0;18;18;10;18;12;0;18;0;0;0;2;20;12;24;22;10;0;0;16;8;28;22;10;18;12;0;0;16;8;10;26;22;14;22;10;10;12;2;0;0;10;12;30;0
conservateurs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;46;20;48;42;32;42;26;20;22;48;34;0;36;34;30;38;22;0;38;24;44;0;0;0;30;18;20;16;20;0;14;8;18;16;12;0;20;0;2;0;8;26;8;8;22;6;0;0;14;24;22;8;12;20;16;0;0;18;20;14;10;6;6;8;20;14;30;4;0;0;14;6;10;0
aux;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;20;40;32;32;28;30;28;32;52;40;0;20;36;24;26;28;0;26;14;16;0;0;0;30;36;16;14;22;0;14;10;12;24;8;0;14;0;0;0;6;10;14;4;18;8;0;0;12;12;18;4;8;10;12;0;0;18;8;14;6;8;8;14;12;14;12;0;0;0;8;8;18;0
notre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;26;18;38;32;28;30;24;26;34;0;24;24;30;20;20;0;32;16;34;0;0;0;8;44;20;8;6;0;6;8;18;16;14;0;16;0;0;0;6;24;10;12;6;4;0;0;30;16;14;10;14;16;16;0;0;12;0;10;12;10;12;2;6;12;24;2;0;0;18;14;8;0
covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;12;16;22;8;10;8;28;14;24;8;14;24;10;6;28;8;0;10;4;2;10;26;12;14;10;6;4;8;10;10;8;8;8;8;14;6;4;8;18;18;0;10;8;16;6;6;14;8;8;8;8;0;6;14;12;2;8;0;12;2;4;2;12;2;12;2;2;0;10;8;0
cette;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;42;32;28;20;30;40;34;0;16;24;24;36;28;0;24;20;24;0;0;0;22;20;20;24;14;0;6;12;22;56;10;0;22;0;0;0;8;24;6;2;14;6;0;0;10;14;12;6;8;8;10;0;0;6;18;12;2;14;16;12;12;42;16;2;0;0;18;16;4;0
ce;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;32;8;28;34;40;28;0;30;10;30;30;36;0;40;20;22;0;0;0;18;12;16;24;24;0;16;14;14;14;6;0;12;0;0;0;6;6;6;6;20;2;0;0;12;4;12;14;12;24;12;0;0;8;16;26;4;4;14;22;16;20;14;2;0;0;6;6;4;0
est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;26;56;30;30;28;0;24;24;8;30;26;0;22;20;26;0;0;0;16;16;18;18;16;0;10;12;18;22;8;0;4;0;0;0;16;12;8;24;8;14;0;0;22;12;12;6;16;24;14;0;0;10;10;24;14;12;12;16;10;18;10;8;0;0;20;8;12;0
sur;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;20;30;32;22;0;20;14;26;12;20;0;32;18;18;0;0;0;16;16;14;20;8;0;24;14;6;18;14;0;18;0;0;0;2;14;10;12;10;4;0;0;14;14;6;18;14;12;12;0;0;10;6;14;16;8;8;20;6;12;12;0;0;0;10;4;12;0
nos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;24;18;24;0;14;14;18;18;16;0;12;14;12;0;0;0;12;14;8;8;14;0;2;12;14;12;2;0;14;0;0;0;2;8;2;6;4;2;0;0;0;20;20;6;10;8;8;0;0;14;6;12;6;10;8;4;6;2;8;0;0;0;18;12;10;0
il;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;30;24;0;34;18;14;20;14;0;14;18;14;0;0;0;14;16;12;28;12;0;18;8;16;10;4;0;6;0;0;0;4;12;10;40;6;16;0;0;20;8;8;28;10;8;12;0;0;10;8;22;36;8;10;10;8;12;10;4;0;0;4;4;24;0
ne;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;16;0;36;22;34;6;24;0;18;12;20;0;0;0;14;8;12;22;24;0;24;8;10;18;8;0;20;0;0;0;2;6;6;28;16;4;0;0;12;8;8;20;4;16;12;0;0;12;8;8;20;12;18;18;6;10;4;4;0;0;10;10;20;0
gouvernement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;16;28;36;14;24;0;14;6;20;0;0;0;22;12;14;20;10;0;16;4;10;36;2;0;12;0;0;0;2;16;14;14;22;8;0;0;10;10;14;6;8;14;8;0;0;16;2;20;14;6;18;12;2;20;8;4;0;0;10;12;18;0
je;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;12;16;50;26;0;6;40;24;0;0;0;30;28;12;10;12;0;12;14;22;12;0;0;8;0;0;0;10;4;10;10;4;4;0;0;34;6;6;12;10;12;8;0;0;4;34;10;12;14;10;4;20;14;10;0;0;0;20;6;10;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;10;4;8;0;0;0;0;0;10;0;0;0;0;4;36;0;20;12;12;10;0;8;0;0;4;8;10;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;16;8;20;0;0;0;8
vous;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;10;12;8;0;18;14;12;0;0;0;14;6;14;10;18;0;14;22;10;4;6;0;4;0;0;0;4;12;6;36;6;6;0;0;8;4;8;18;4;16;10;0;0;2;2;8;30;18;14;16;4;4;0;2;0;0;8;6;10;0
plus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;14;8;0;20;10;22;0;0;0;12;8;24;10;12;0;2;8;8;12;8;0;6;0;0;0;2;10;6;6;10;2;0;0;8;10;14;8;8;8;6;0;0;10;10;2;6;10;6;10;8;10;10;2;0;0;6;4;6;0
sont;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;16;0;18;18;22;0;0;0;30;12;16;2;8;0;14;14;6;10;0;0;12;0;0;0;2;12;14;14;10;2;0;0;2;18;6;14;8;10;8;0;0;10;14;16;8;10;18;6;10;8;20;0;0;0;10;16;0;0
tous;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;2;44;16;0;0;0;20;18;18;4;8;0;8;12;14;8;0;0;6;0;0;0;8;8;4;2;6;4;0;0;2;8;8;4;4;6;6;0;0;2;50;6;0;12;10;0;22;4;4;2;0;0;10;10;4;0
leur;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;20;12;0;0;0;12;14;8;8;14;0;6;12;10;10;6;0;16;0;0;0;8;10;6;2;20;0;0;0;10;6;8;4;4;6;10;0;0;8;12;4;6;6;4;10;8;18;12;0;0;0;16;4;6;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;20;0;0;0;0;0;6;0;0;0;0;8;10;0;16;16;12;8;0;2;0;0;0;26;8;0;0;0;0;0;0;0;2;26;0;0;0;0;0;0;0;0;0;0;14;12;2;0;0;0;2
libéraux;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;14;0;0;0;8;6;6;12;18;0;6;14;8;16;14;0;18;0;0;0;2;14;4;10;22;6;0;0;16;10;20;6;12;16;12;0;0;8;2;6;6;8;4;12;4;6;8;2;0;0;6;12;4;0
aujourdhui;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;12;16;6;0;12;0;6;2;12;2;0;0;6;0;0;0;0;0;4;2;10;2;0;0;6;2;0;8;0;2;2;0;0;0;20;6;4;6;10;8;20;8;8;0;0;0;4;6;4;0
se;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;14;8;12;10;0;10;4;18;10;8;0;6;0;0;0;0;12;10;8;12;4;0;0;12;10;16;10;2;10;14;0;0;6;12;6;8;6;6;6;12;12;8;2;0;0;2;8;4;0
trudeaus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;22;0;0;0;0;0;14;0;0;0;0;0;14;0;6;8;6;8;0;4;0;0;24;4;18;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;10;8;28;0;0;0;0
canadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;10;0;0;0;0;6;2;0;12;4;6;6;0;0;0;0;0;6;6;0;0;0;0;0;0;0;22;4;0;0;0;0;0;0;0;0;0;0;6;2;6;0;0;0;2
liberals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;12;14;0;8;8;8;6;0;4;0;0;6;10;14;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;8;4;16;0;0;0;10
par;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;6;4;14;0;8;2;14;10;2;0;8;0;0;0;2;10;6;6;6;2;0;0;2;10;6;6;4;8;4;0;0;10;8;14;6;6;10;8;10;4;10;0;0;0;4;8;6;0
pays;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;6;0;12;6;14;12;6;0;8;0;0;2;8;6;0;2;4;4;0;0;18;4;8;4;12;6;16;0;2;4;10;4;4;2;2;6;8;6;2;0;0;0;12;2;8;0
avec;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;12;10;2;6;6;0;10;0;0;0;6;14;0;4;2;2;0;0;2;10;0;8;10;8;8;0;0;4;8;6;4;10;8;4;0;8;6;0;0;0;10;10;0;0
doit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;16;0;4;6;4;0;4;0;0;0;2;4;10;14;6;6;0;0;6;2;4;14;2;12;6;0;0;2;2;2;10;8;4;10;4;8;2;2;0;0;4;6;10;0
cest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;4;10;0;0;8;0;0;0;4;8;4;8;6;6;0;0;6;4;18;6;4;10;6;0;0;4;8;4;10;2;4;10;0;8;6;0;0;0;4;8;22;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;0;10;4;12;10;0;0;0;0;6;4;16;2;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;4
son;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;2;0;8;0;0;0;2;0;0;10;4;14;0;0;2;6;2;12;8;10;8;0;0;8;0;6;8;0;10;14;2;6;6;0;0;0;6;4;2;0
votre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;0;2;0;0;0;2;0;4;0;10;4;0;0;4;8;4;0;6;6;4;0;0;0;4;0;2;12;4;0;6;2;0;0;0;0;20;4;4;0
dans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;4;0;0;0;0;6;6;8;4;2;0;0;2;6;8;6;0;8;14;0;0;2;8;6;6;0;10;2;24;4;10;0;0;0;4;2;2;0
crise;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;14;0;0;0;6;10;4;0;8;10;0;0;16;6;10;4;8;6;4;0;0;8;0;18;0;4;2;0;2;30;2;0;0;0;4;8;2;0
plan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;6;2;6;0;12;0;0;8;0;14;6;4;12;0;0;0;6;4;0;10;10;0;0;0;0;2;0;0;0;2;2;0;8;2;4;2;2
crisis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;6;8;6;0;2;0;0;10;4;16;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;4;0;6;0;0;0;4
leurs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;4;8;0;0;0;6;6;12;2;4;4;6;0;0;10;4;4;6;4;2;8;2;12;6;0;0;0;8;6;4;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;6;0;2;0;0;0;20;2;0;0;0;0;0;0;0;4;12;0;0;0;0;0;0;0;0;0;0;8;2;4;0;0;0;0
canadian;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;2;0;0;4;12;2;0;0;0;0;0;0;2;10;8;0;0;0;0;0;0;0;2;0;0;8;4;0;0;0;0;2
