;people;w;covid;workers;congress;new;black;police;community;thank;vote;public;healthcare;health;everyone;work;communities;still;lives;check;racial;housing;bc;families;voting;white;pay;june;justice;relief;country;change;campaign;history;millions;power;free;working;call;help;take;food;family;week;ny14;without;budget;bill;isnt;ny;could;york;moment;wall;ppl;may;human;idea;thanks;support;care;asking;officers;across;violence;rent;primary;ballot;nyc;person;lot;policy;deal;money;young;trump;believe;crisis;bad;peoples;protect;yes;killed;house;street;nypd;good;federal;year;bronx;place;paid;living;folks;movement;stay;wrong;hit;streets;find
voting;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;6;0;0;2;2;0;0;0;0;0;0;0;0;0;0;6;8;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;2;0;0;4;2
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;2;2;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;2;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0
pay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;2;0;2;4;0;2;2;0;0;0;0;0;2;4;0;0;2;0;2;0;0;0;0;2;0;0;2;2;0;4;0;4;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;6;0;2;2;4;0;0;0;2;0;0;0
june;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;2;0;2;0;0;0;0;0;0;0;0;2;0;0;10;8;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;4;2
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;4;4;0
relief;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;6;2;6;0;0;2;2;0;4;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;0;6;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;2;0;0;0;0;2;0;0;0;2;2;0;2;2;0;0;0;2;2;2;0;10;2;2;2;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
change;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;2;2;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;2;4;2;2;2;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;4;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0
