;state;covid19;health;wyoming;help;#covid19wy;cases;social;#slowthespread;distancing;home;confirmed;public;measures;spread;staying;critical;together;information;protect;additional;possible;provide;impacts;states;may;working;facebook;order;wyomings;statewide;close;please;wyomingites;testing;response;number;practicing;travel;issued;support;another;case;facilities;local;whenever;#covid19;county;best;disease;healthcare;economic;visit;steps;officials;residents;continue;necessary;supplies;lady;important;page;take;risk;weeks;facing;stay;practice;care;businesses;officer;understand;federal;impact;conference;office;least;remain;recognize;joined;people;live;department;vulnerable;resident;contact;resources;communities;food;available;proper;website;neighbors;planning;efforts;april;increased;business;lives;lander
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;4;2;0;0;2;0;2;0;0;0;0;2;0;0;0;2;4;0;2;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2
staying;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;8;0;2;2;0;2;0;0;0;2;0;0;2;2;0;4;4;0;0;0;0;0;0;0;8;0;2;4;0;0;0;2;2;0;0;0;0;2;2;0;0;2;0;4;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;2;2;0;2;0
critical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;2;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0;0;0;4;0;2;4;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;4;0;0;0;0;0;0;0;0;2;2;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;2;2;0;0;0;2;0;2;2;0;0;2;2;2;0;0;0;4;0;0;2;0;0;0;0;0;0;0;2;2;4;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0
information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;6;2;0;0;2;0;2;0;2;2;2;0;0;2;0;0;0;2;0;0;4;0;0;0;2;6;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;2;0;4;0;2;0;0;4;0;4;0;0;0;0;0;0;0;2
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;6;2;0;0;0;0;0;2;0;2;4;4;2;2;2;2;0;0;0;0;2;4;0;0;2;2;2;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;4;0;2;2;0;2;0;0;2;2;0;0;0;2;0
additional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;2;0;2;0;0;2;2;0;0;0;0;2;0;0;2;0;0;2;0;6;2;0;0;0;2;0;2;0;2;2;0;0;2;0;2;2;0;0;2;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0
possible;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;2;0;0;4;4;2;0;0;0;0;0;0;10;0;2;4;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;2;0;0;0
provide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;4;2;0;0;0;0;4;0;0;0;2;0;0;2;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;4;0;2;0;0;0;0;0;2
impacts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;2;0;2;2;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0
