;great;democrats;thank_you;president;foxnews;house;iran;people;american;big;party;impeachment;senate;democrat;impeachment_hoax;military;trump;usa;schiff;republican;do_nothing_democrats;history;strong;best;congress;dems;election;shifty;crime;republicans;left;state;country;job;win;radical;another;trade;united;economy;china;world;america;unfair;high;states;ukraine;nancy;working;trial;record;transcripts;foxandfriends;corrupt;deal;case;good;fake_news;partisan;hoax;dollars;john;bernie;witnesses;jobs;hard;money;court;vote;numbers;texas;cryin_chuck;media;totally;aid;wall;national;americans;soleimani;endorsement;killed;iranian;federal;border;hit;question;future;crazy;political;love;pelosi;witch_hunt;away;give;terrible;tonight;work;vets;watch;leader
shifty;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;2;2;0;6;0;2;0;0;0;2;0;4;0;0;4;10;0;2;0;2;0;12;0;4;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;8;0;4;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;2;2;2;2;0;0;0;0;2
crime;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;10;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;10;0;0
republicans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;2;0;0;0;0;0;0;4;0;0;2;4;0;0;0;4;0;0;0;0;0;0;6;4;0;0;0;4;0;2;0;4;6;0;0;4;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;22;0;0;0;2;0;0;2;4;0;0;0;4;0;0;0;0;2;0;0;6;0;4;0;0;0;0;0;2;0;0;0;2;0;0;0;4;2;2;0;0;2;0;4;0;0;0;2;0;0;0;2;2;0;0;4;2;0;2;0;2;0;0;0;2
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;8;0;0;0;2;0;0;0;0;4;0;0;4;2;2;2;2;0;0;2;0;2;0;0;0;2;0;4;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;2;6;2;4;0;0;0;0;4;2;0;2;0;0;2;4;0;2;0;2;2;2;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;2;0;0;2;6;0;0;2;0;2;0;0;2;0;0;0;4;0;0;0;0;0;0;0;6;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;6;0;0;0;4;0;0;0;0;2;0;0;2;2;2;2;0;2;6;0;0
win;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0
radical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;4;2;0;0;0;2;0;0;6;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;4;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;4;2;0;2;0;2;0;0;0;2
another;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;2;2;2;0;0;0;0;0;4;4;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;4;0;0;2;0;2;0;0;2;0;0;0
