;health;toronto;city;covid19;public;distancing;care;social;working;response;medical;safe;community;services;continue;together;spread;officer;emergency;workers;stay;residents;service;home;torontonians;essential;important;new;critical;vulnerable;torontos;protect;take;citys;work;provide;support;measures;part;shelter;safety;prevent;staff;frontline;physical;housing;everyone;child;advice;pandemic;test;prepare;works;moment;days;province;ensure;crisis;provincial;practice;staying;details;update;prepared;nonstop;information;informed;ontario;months;free;homeless;taking;help;facilities;closed;planning;role;across;global;priority;247;next;mayor;people;additional;access;clients;supports;businesses;best;necessary;confirmed;shelters;behind;times;#covid19;healthy;@johntory;remain;members
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;2;16;6;10;10;2;4;4;4;6;4;4;12;6;6;8;2;0;6;6;0;0;4;0;4;4;6;2;10;0;0;2;0;2;2;2;8;0;0;0;2;2;0;0;0;0;6;0;10;0;2;2;2;0;8;2;2;2;0;12;2;2;2;2;0;0;6;4;0;4;0;6;2;2;2;4;2;4;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;20;6;0;30;8;2;10;8;0;6;8;6;0;12;6;2;0;6;2;2;2;22;2;2;2;16;0;2;2;0;0;2;0;8;2;0;4;0;2;0;0;2;0;0;0;6;2;10;2;10;0;2;0;2;0;6;0;2;10;0;0;2;4;0;0;0;0;2;0;2;0;2;2;2;6;0;0;6
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;26;2;8;6;4;0;0;0;8;10;0;4;2;2;6;10;0;2;4;0;2;4;0;0;4;4;0;0;6;0;0;0;0;0;0;2;14;6;0;4;4;0;4;14;2;0;4;2;0;0;0;0;0;2;6;0;2;6;0;0;2;2;0;0;0;0;2;0;2;2;0;0;4;2;0;0;0
residents;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;4;4;8;2;2;6;0;8;6;2;0;0;2;4;0;0;4;4;4;10;2;2;2;0;4;0;0;6;2;4;2;0;2;0;0;2;2;4;2;4;2;4;4;2;0;0;0;4;0;2;2;0;2;2;0;2;0;0;2;2;0;4;0;4;8;2;2;2;4;2;0;0;0;2;0;2
service;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;24;8;2;8;8;2;2;2;2;4;10;4;2;0;2;4;0;10;4;2;0;8;14;0;0;2;0;6;2;2;8;2;0;8;0;0;4;0;2;0;0;0;10;0;8;0;4;4;2;2;4;0;10;0;2;8;0;6;2;4;0;6;0;0;2;2;0;6;6;4;2;6;6;4;2
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;6;0;0;0;8;12;0;2;0;2;0;8;0;0;2;2;4;6;0;2;4;2;0;0;0;2;0;4;0;0;0;0;12;12;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;4;4;0;2;4;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;2
torontonians;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;4;2;10;2;2;6;2;6;4;0;2;14;0;0;0;0;4;2;0;4;6;2;14;4;4;2;0;2;4;0;0;0;2;0;2;6;2;2;4;2;0;2;0;0;4;0;2;2;0;2;10;4;0;0;2;0;4;0;4;0;2;0;4;2;6;2;0;0;2;0;0
essential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;16;6;0;4;4;8;6;14;6;2;0;0;0;4;2;8;2;0;0;16;4;2;2;0;0;2;0;6;2;0;8;0;2;0;0;2;0;0;0;4;0;12;0;8;0;0;0;6;0;6;2;2;10;0;0;2;4;2;0;0;0;2;0;0;4;2;0;2;6;0;8;4
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;2;6;6;8;4;2;0;2;4;2;6;0;0;6;0;0;6;0;2;0;0;8;2;0;2;0;0;0;4;0;4;0;0;0;0;10;8;0;4;0;0;2;2;0;0;4;2;2;0;0;0;6;2;0;0;0;0;2;0;2;0;0;0;0;8;2;2;2;0;4
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;6;2;0;2;2;2;4;6;0;6;6;8;0;0;4;6;4;4;0;0;0;4;0;2;2;2;2;0;6;2;0;2;4;4;6;0;2;4;6;2;0;2;2;8;2;0;2;0;2;2;2;2;2;0;2;2;4;0;0;0;6;6;2;0;0;2;2;0;0;0
critical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;4;2;6;0;4;4;2;6;2;2;2;0;4;10;0;8;0;8;2;8;0;2;22;4;4;0;0;2;6;0;0;2;0;0;4;2;0;2;2;0;4;0;0;2;2;10;0;4;2;0;8;0;0;0;4;0;2;0;0;0;0;4;2;4;2;6;0;6;4
vulnerable;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;16;8;14;8;0;4;2;4;2;2;0;2;8;0;2;4;0;0;2;4;2;0;6;0;0;8;2;0;2;0;2;4;2;4;0;0;0;2;0;6;4;2;0;0;0;2;4;0;4;0;0;6;6;4;8;2;4;0;0;0;0;4;12;2;2;2;8;0;14
torontos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;10;6;6;4;2;4;2;2;2;0;4;6;2;2;2;6;0;0;2;2;4;0;2;0;0;2;0;4;8;2;2;0;0;0;2;2;2;2;0;4;2;0;0;0;2;0;2;0;12;0;0;0;0;0;0;0;2;2;0;0;2;0;0;10;0;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;4;0;2;4;8;0;6;4;2;4;4;2;4;0;2;2;0;2;0;4;0;0;2;2;0;6;2;0;2;0;0;0;0;0;0;0;4;0;4;2;2;0;8;2;2;4;2;0;2;2;2;2;0;0;2;2;2;0;2;2;4;6;0;2;0;4
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;2;0;0;4;0;8;0;0;0;2;0;0;0;0;2;2;2;0;0;6;0;4;6;0;2;0;0;0;4;0;0;0;2;10;2;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0
citys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;4;0;4;2;0;4;0;6;0;2;0;0;8;6;0;2;2;0;0;2;0;0;0;0;0;2;4;0;2;0;0;0;2;2;2;0;2;2;0;2;2;0;0;0;0;4;8;0;0;2;0;0;0;0;0;0;2;0;2;2;0;8;4;4
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;2;2;10;0;4;0;0;2;2;2;0;10;0;6;4;0;2;2;4;0;2;0;0;0;4;6;8;0;2;2;0;4;0;0;0;0;2;4;0;4;2;6;4;2;6;0;2;2;2;2;0;0;2;0;0;2;0;2;0;4;2;4
provide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;8;2;0;6;2;0;6;2;10;0;6;0;2;0;0;2;4;2;2;8;0;0;2;10;2;2;0;0;0;0;6;4;2;0;2;0;0;2;4;0;0;2;0;6;2;2;0;2;2;0;2;2;2;0;4;2;2;0;2;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;10;4;0;4;0;4;8;0;6;0;2;2;4;2;2;2;2;4;2;2;2;0;2;0;0;0;0;0;2;0;6;4;0;2;4;2;0;0;2;0;2;4;0;0;2;2;0;0;2;2;0;0;4;0;6;2;0;4;2;2;0
measures;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;8;2;2;0;4;2;0;4;0;0;2;2;4;2;4;4;2;2;0;4;2;2;2;0;0;8;2;2;0;4;2;4;6;0;0;2;0;2;0;0;0;0;2;8;0;0;0;6;0;6;0;2;4;0;2;2;0;0;2
part;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;4;0;0;0;2;0;0;0;2;2;0;2;2;0;0;14;4;0;0;0;2;0;2;0;4;0;0;0;2;0;2;0;2;0;0;2;0;2;0;2;2;0;0;0;4;2;0;0;0;0;2;4;0;0;0;0
shelter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;0;14;2;0;0;2;4;2;0;0;2;0;4;0;4;0;0;4;0;0;0;0;0;0;0;0;2;2;2;4;0;0;0;0;2;2;0;0;0;6;0;4;2;2;0;2;0;4;0;4;0;0;2;0;2;0
safety;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;2;2;2;4;0;0;6;2;6;4;2;0;6;4;4;2;0;0;2;0;2;6;0;2;4;0;0;0;4;2;0;0;0;4;4;0;6;2;2;0;2;0;0;8;6;4;0;2;2;0;0;2;0;0;0;2;2
prevent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;2;2;6;0;0;0;4;0;0;4;0;6;0;2;2;8;0;4;0;4;0;0;0;2;4;2;0;0;0;4;0;0;0;2;0;0;0;0;0;8;4;6;0;0;0;0;6;0;0;0;0
staff;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;2;0;2;0;0;4;0;4;4;0;0;6;0;0;4;0;0;0;0;0;2;0;0;0;0;4;0;2;0;0;4;2;2;0;0;0;4;4;2;12;0;0;0;0;2;4;0;0;0;2;2;0;2
frontline;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;6;0;0;2;2;2;0;0;4;0;0;2;0;2;0;0;0;0;2;2;2;6;0;0;0;0;0;2;4;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;2;0;2;2;4
physical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;6;0;2;0;0;0;6;4;0;0;0;0;0;0;2;2;0;0;0;2;2;4;0;4;0;0;2;0;2;0;0;2;0;4;0;0;2;0;0;2;0;6;2;0;0;2;0
housing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;4;0;2;4;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;6;0;6;0;0;0;0;0;0
everyone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;2;0;0;2;0;2;2;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;8;4;0;0;2;2;6;0;0;0;0;4;0;0;4;0;0;4;4;2;2;6;0;0
child;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;4;0;0;2;0;0;0;0;0;0;0;0;6;0;12;0;2;0;2;0;2;0;6;0;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
advice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;2;2;2;0;0;0;2;4;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;2;2;0;0;4;0
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;2;2;6;2;0;0;0;2;4;2;0;0;0;0;4;0;0;0;2;0;2;2;2;12;0;4;2;4;0;0;0;0;8;0;2;2;0;0;0;0;0;0;4;0;2
test;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;2;0;6;0;0;0;2;0;2;0;0;0;2;0;4;2;0;0;0;2;4;0;4;0;2;4;0;4;0;0;0;4;0;2;2;4;0;2;0;0;2;0;2;4
prepare;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;4;2;2;4;10;8;10;0;2;0;2;0;0;2;0;0;0;0;2;8;2;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0
works;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;0;2;4;0;2;0;0;0;8;2;0;0;2;6;2;2;0;2;2;0;0;0;2;0;2;0;2;4;2;0;0;2;0;2;0;2;0;0;2;0;0
moment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;2;0;0;4;2;0;0;0;0;4;0;0;0;0;8;0;4;0;0;4;0;0;0;4;0;0;0;0;0;0;0;2;6;0;2;0;0;4
days;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
province;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0;0;6;2;2;0;0;4;2;0;0;0;2;2;0;0;0;0;0;0;0;4;0;4;2;2;2;0;0;0;0;0;0;0;0
ensure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;2;0;4;0;0;4;0;0;0;4;0;2;0;0;2;0;0;2;0;0;0;2;2;2;0;2;2;0;2;0;0;4;2;0;2;0;0;6
crisis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0
provincial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;2;2;2;0;2;0;0;0;0;0;0;2;6;0;2;0;0;2;2;0;4;2;0;0;2;6;0;0;0;0;0;0;0;0
practice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0
staying;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0
details;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;2;2;4;4;2;0;0;0;0;0;2;0;0;0;4;2;0;2;0;0;0;0;6;2;0;0;0;2;0;0
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;2;0;0;0;4;0;2;0;0;0;2;2;0;0;2;0;8;0;2;0;0;2;0;0;2;4;0;2;0;0;0;2;0;2
prepared;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0;0;0;0;0;0;0;0;0;2;4;2;4;0;2;2;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0
nonstop;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;6;0;0;2;4;0;0;4;0;0;0;0;2;0;6;0;0;0;2;0;0;2;0;0;4
information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;2;0;2;4;0;0;2;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0
