;mississippi;state;stay;people;working;safe;mississippians;help;please;covid19;great;together;work;protect;home;ms;god;health;thank;care;take;new;live;local;bless;family;join;continue;order;lives;mississippis;facebook;workers;honor;fight;tomorrow;across;everyone;forward;grateful;spread;response;unemployment;country;news;tonight;briefing;efforts;days;national;leaders;neighbors;share;president;states;loved;strong;good;system;future;public;woman;disease;#stayhealthyms;women;emergency;families;prayer;elee;ones;celebrate;amazing;lot;proud;truly;trying;hope;communities;plan;week;making;responders;another;give;easter;cant;questions;testing;helping;could;hard;students;nation;businesses;still;support;storms;asked;@realdonaldtrump;able
mississippis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;4;2;0;2;4;2;0;2;0;0;0;4;2;2;8;0;4;2;0;6;0;0;2;0;2;2;2;2;0;0;6;0;0;0;0;0;2;2;2;4;4;2;2;2;0;0;0;4;0;2;0;0;0;0;2;2;0;2;4;0;0;0;0;0;0;0;0
facebook;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;0;0;2;0;4;10;4;2;4;4;2;6;0;0;0;0;6;0;2;0;0;2;0;2;0;0;0;2;0;0;0;8;0;0;0;0;0;0;0;0;2;0;4;0;2;0;2;2;0;0;8;0;2;0;2;0;0;0;0;2;0;0;0;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;4;2;6;2;8;4;6;0;4;4;0;4;2;0;4;4;0;0;0;6;2;2;2;0;0;0;2;4;4;2;0;0;0;2;8;0;2;2;2;2;0;0;0;2;0;2;2;2;0;4;0;0;0;0;0;4;0;4;2;0;2;2
honor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;4;0;0;0;6;2;0;2;0;2;2;0;2;2;2;0;8;2;2;2;2;2;0;0;0;6;0;2;4;6;8;6;2;0;4;4;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;4;4;0;0;0;0;0;0
fight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;4;0;0;2;2;0;2;2;0;2;2;2;0;2;2;0;4;2;0;0;0;0;4;10;4;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;2;2;0;0;2;2;0;0;2;0;2;0
tomorrow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;6;2;0;8;2;12;2;0;0;0;0;2;4;2;4;0;0;0;0;0;0;2;0;0;0;0;4;2;4;2;0;0;2;0;0;0;0;4;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;2
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;4;4;12;0;4;2;2;0;0;8;2;2;2;0;4;4;0;2;2;0;0;4;0;4;2;2;0;2;4;2;2;0;2;2;0;0;0;0;0;0;0;0;2;2;2;0;0;4;0;4;2;2;2;2;0;4;0;2;0
everyone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;2;0;2;0;2;2;0;6;0;2;0;0;0;4;2;0;0;0;0;0;2;2;0;4;0;0;2;4;4;0;0;2;2;0;4;0;4;4;2;0;2;2;0;0;0;6;2;2;0;0;0;0;0;2;0;0;0;0
forward;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;0;2;6;6;2;2;0;2;2;0;4;2;0;0;2;0;4;2;0;0;0;0;0;4;0;4;0;0;6;0;2;0;0;2;2;0;4;0;0;0;0;0;0;4;0;2;0;2;0;0;2;0;0;2;2;0;0
grateful;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;2;8;0;0;0;0;0;6;0;0;6;0;0;0;0;0;0;0;4;0;2;0;2;0;0;0;2;2;2;2;2;2;0;0;2;0;2;2;0;0;2;0;2;2;0;2;2;2;0;2;0;0;4;0
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;6;0;0;2;0;2;4;2;2;0;2;2;0;4;0;2;6;0;4;2;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;2;2;0;4;2;2;0;0;0;0;4;2;2;0;0;2;0
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;2;6;2;0;2;0;2;2;6;0;2;2;0;0;4;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;2;0;2;0;4;2;0;0;0;0;0;0;2;0;6;4;2;2
unemployment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;4;2;0;0;0;0;0;0;0;0;2;2;0;2;0;8;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0
