;state;health;#covid19;thank;new;live;care;covid19;county;help;great;take;continue;together;public;work;1;coronavirus;provide;businesses;stay;support;arizona;working;people;emergency;city;response;power;home;update;services;ensure;positive;schools;lives;important;workers;news;learn;best;everyone;fight;watch;center;hospital;safe;program;national;history;proud;government;hard;weeks;states;spread;thanks;country;action;west;president;pandemic;critical;strong;staff;year;honored;military;grateful;social;put;families;updates;distancing;dr;children;press;big;por;local;testing;meals;mexico;call;possible;high;2019;stream;economy;communities;increase;food;governor;order;kids;share;improve;@azdhs;ahead;necessary
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;2;6;0;2;0;0;0;2;2;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;2;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arizona;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;4;2;0;4;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;4;0;0;0;2;0;0;0;2;0;0;0;0;4;0;4;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;4;2;0;2;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;4;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;4;0;0;0;0;0;2;0;0;0;4;2;0;0;2;2;0;2;0;0;0;0;0;4;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;2
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;2;2;0;0;0;4;0;0;2;0;0;6;0;2;0;4;0;0;2;0;2;2;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;4;0;0;0;2;0;0;4;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;2;0;0;0;2;0;4;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
power;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2
