;trump;great;president;people;new;united;states;state;federal;news;american;government;administration;national;house;fbi;big;working;man;democrats;campaign;world;country;good;white;obama;job;city;best;america;fake;media;york;donald;department;former;court;help;party;bill;million;team;may;china;republican;war;election;year;history;russia;washington;congress;security;group;released;report;military;vote;money;proud;committee;senate;protect;biggest;number;justice;usa;2016;hard;story;women;times;tax;nothing;support;complete;thing;political;russian;thank;article;love;supreme;senator;left;radical;free;reserve;work;think;running;told;critical;health;presidential;police;economy;strong;fact;california
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;4;0;0;2;2;4;6;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;2;0;6;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;2;4;0;2;2;2;0;2;4;0;2;0;0;4;0;0;0;0;0;2;2;4;0;2;2;2;4;2;2;0;4;0;2;0;2;0;0;0;0;0;2;2;2;0;6;0;2;2;2;0;0;0;0;0;0;0;0;2;4;2;0;0
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;4;0;2;0;2;0;0;0;0;0;2;0;0;0;2;2;0;2;2;0;0;2;2;2;2;2;0;0;0;0;0;0;0;0;4;2;0;2;2;0;0;0;2;2;4;2;2;4;2;2;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;0;2;0;2;0;0;0;0;0;4;0;6;2;0;2;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;2;0;4;2;0;0;2;0;2;0;2;0;2;2;0;0;0;2;0;0;4;2
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;0;2;0;2;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;2;2;0;0;2;4;0;0;2;0;2;2;2;16;0;4;2;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;4;0;0;2;0;0;4;0;10;0;2;0;8;0;2;0;2;0;0;2;2;2;2;2;0;0;0;0;0;2;2;2;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;4;0;0;0;0;0
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;0;0;0;4;2;0;0;0;2;2;2;4;0;6;4;6;2;2;4;0;2;0;0;2;0;0;18;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;0;4;2;6;0;6;0;0;0;0
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;2;2;0;0;0;4;0;0;2;6;2;6;4;0;6;0;0;2;0;4;2;0;0;0;2;0;6;0;2;2;4;0;4;0;2;0;6;4;0;0;0;0;2;0;0;0;0;2;0;2;4;2;0;2;0;0;2;2;0
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;4;0;0;0;2;2;0;2;2;2;0;4;6;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;30;0;2;0;2;0;0;0;0;0;0;2;2;2;0;0;0;2
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;0;0;0;0;0;0;0;0;0;4;4;2;0;2;2;0;4;0;2;0;2;0;0;0;0;4;0;0;0;4;0;4;2;0;0;0;2;4;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;2;0;2;2
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;14;0;4;0;2;2;2;0;0;2;2;0;0;4;2;0;0;0;2;4;0;2;0;4;2;0;0;2;4;0;0;4;2;2;2;0;0;2;2;2;6;4;0;0;0;2;2;0;0;0;2;0;0;0;0;0
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;2;0;4;0;2;4;2;8;2;2;0;0;4;0;2;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;0;0;2;0;2;0;0;2;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2
team;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;2;2;0;2;2;0;0;2;0;2;0;0;0;2;0;2;2;2;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;2
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;2;0;2;2;0;0;2;0;2;2;0;4;0;0;0;2;0;0;2;0;0;4;0;0;0;2;2;0;2;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;4
china;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;4;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;2;0;0;4;0;0;0;0;2;0;0;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;6;0;0;0;2;4;0;6;4;0;0;0;0;0;2;2;0;0;0;2;0;0;6;0;0;0;0;2;0;0;6;0;0;0;0;2;0;2;0;0;0;4;0;0;2;0;0
war;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;4;4;0;0;0;0;0;4;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;4;0;0;2;0;0;0;4;2;0;4;2;0;2;0;0;2;16;0;0;0;0;0;0;2;2;0;0;2;0;2;0;2;0;2;2;4;0;0;2;4;2;0;0;14;0;0;0;0;0
