;health;public;covid19;toronto;city;new;@topublichealth;people;data;childcare;safe;staff;work;system;safely;care;continue;important;recovery;learn;physical;contact;province;support;case;masks;community;access;child;without;reopen;distancing;provincial;services;local;mask;help;pandemic;food;forward;supply;reopening;accessible;spread;results;board;response;follow;torontos;take;cases;housing;tips;program;affordable;place;ontario;live;virus;management;plan;within;cant;risk;medical;lab;torontonians;reporting;capacity;racism;working;clear;information;spaces;tracing;centres;ways;key;step;move;social;hours;gets;morning;programs;update;lanes;crisis;full;order;systems;approach;officer;year;units;guidelines;find;wearing;government;protect
distancing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;10;0;0;0;0;0;2;0;2;0;0;2;6;2;2;0;2;6;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;4;0;2;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;4;6;0;6
provincial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;8;0;0;0;2;4;0;2;0;0;0;2;0;4;2;0;2;4;0;6;0;2;6;6;0;4;0;2;6;0;6;2;0;4;0;2;4;0;2;0;6;4;0;0;0;0;0;0;2;0;0;2;0;2;2;2;2;6;2;0;0;2;0
services;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;2;4;0;0;2;0;0;0;2;2;2;0;2;0;2;2;0;0;0;0;2;0;0;2;0;2;0;4;0;2;4;0;0;0;0;0;0;2;0;0;2;2;0;0;0;6;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0
local;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;6;0;4;4;0;0;2;0;2;4;0;2;0;0;6;4;0;2;2;0;2;0;0;0;2;4;0;0;0;2;0;6;0;2;2;0;0;0;4;2;0;4;0;2;0;2;0;4;2;6;4;0;0;8;4;0;0;4;0
mask;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;8
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;4;0;0;2;2;0;0;0;2;0;0;0;0;0;2;4;0;0;0;0;8;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;4;0;2;2;0;2;0;0;0;0;0;4;2;0;0;4;8;0;0
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;2;0;2;0;2;0;0;2;0;0;0;4;0;2;0;2;2;2;4;2;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;2;0;2;2;0;0;2;6;0;2;0;2;2;0;0;0;0;0;2;0;6;0
food;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0
forward;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;0;2;0;0;0;2;0;0;0;0;2;2;4;0;4;2;0;0;0;0;2;2;2;0;0;0;4;2;4;0;0;0;0;2;2;10;2;0;4;0;2;0;0;0;4;0;2;4;2;0;6;2;0;2;4;2
supply;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;4;0;0;0;0;6;0;0;4;0;0;0;8;2;0;0;0;0;0;0;0
