;health;public;covid19;toronto;city;new;@topublichealth;people;data;childcare;safe;staff;work;system;safely;care;continue;important;recovery;learn;physical;contact;province;support;case;masks;community;access;child;without;reopen;distancing;provincial;services;local;mask;help;pandemic;food;forward;supply;reopening;accessible;spread;results;board;response;follow;torontos;take;cases;housing;tips;program;affordable;place;ontario;live;virus;management;plan;within;cant;risk;medical;lab;torontonians;reporting;capacity;racism;working;clear;information;spaces;tracing;centres;ways;key;step;move;social;hours;gets;morning;programs;update;lanes;crisis;full;order;systems;approach;officer;year;units;guidelines;find;wearing;government;protect
contact;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;28;0;0;4;0;0;2;0;6;2;4;0;0;2;0;2;0;2;0;8;10;4;4;0;2;0;4;0;0;0;0;0;0;2;4;18;0;8;2;2;4;6;0;4;0;0;4;2;4;0;16;2;0;6;0;0;0;8;0;0;0;6;0;0;0;0;10;0;4;2;8;0;0;0;0;0
province;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;6;6;4;4;0;0;2;8;0;2;0;0;10;4;10;4;0;0;4;0;0;2;4;0;2;0;0;4;6;4;0;2;4;4;0;0;2;2;4;0;0;0;0;2;0;8;0;0;2;0;0;0;4;0;0;0;4;2;0;0;0;0;2;8;6;2;2;4;2;2;0;2;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;2;2;4;0;0;6;4;0;8;2;4;2;2;0;0;0;0;2;0;2;2;4;0;0;4;4;2;2;0;0;0;0;0;0;2;4;2;0;2;0;0;0;0;0;2;0;0;0;6;0;0;4;2;0;0;0;6;0;0;2;4;0;0;0;2;4;0;2;0;0;0;0
case;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;10;2;4;0;0;2;0;2;0;0;0;8;8;2;4;0;2;0;8;0;0;0;0;0;4;0;4;18;0;6;2;0;4;8;0;6;0;0;4;0;4;0;12;2;0;10;0;0;0;6;0;0;0;6;0;0;0;0;6;0;4;2;12;0;0;0;0;0
masks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;4;2;0;0;2;0;0;0;6;0;0;2;2;4;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;10;0;0;0;2;0;0;6;0;8;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;4;10;0;2;0;0;8;0;6
community;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;6;4;6;10;0;4;0;2;0;0;0;0;0;0;0;0;4;0;4;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;2;4;0;0;4;0;0;0;0;2;0;0;0;0;0;2;4;6;2;0
access;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;2;2;2;4;0;2;4;4;2;6;2;6;2;2;0;2;0;0;4;2;4;0;2;8;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;2;2;0;0;0;2;6;0;0;2;2;2;2;2;0;0;4;0;0;0;4;0
child;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;0;2;2;0;0;0;2;0;0;0;2;6;0;0;0;0;0;0;2;0;0;0;2;6;0;2;0;0;0;6;0;0;0;0;0;0;0;2;0;2;0;0;2;0;4;0;0;0;2;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0
without;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;4;0;0;0;0;6;0;2;10;0;0;2;0;0;0;4;0;2;0;0;8;2;6;0;0;0;6;0;2;2;0;0;2;0;0;0;4;0;0;0;0;2;0;0;0;4;0;0;4;2;0;0;0;0;6;0;0;0;0;0;4;2;0;0;6;0
reopen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;4;0;0;4;0;0;6;2;0;0;0;0;2;0;0;4;0;2;0;4;6;4;8;0;0;6;0;4;4;0;4;2;4;4;0;0;4;0;2;2;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;0;0;0;4;2;0;0;4
