;#covid19;live;state;indiana;provide;hoosiers;may;fight;conference;watch;updates;press;hold;et;order;health;virtual;230;livestream;130;ct;tune;executive;website;@statehealthin;help;work;facebook;care;information;businesses;continue;found;hour;15;public;minutes;states;business;services;twitter;available;hoosier;indianas;resources;people;support;critical;across;@cdcgov;spread;emergency;school;economic;announced;medical;social;new;local;additional;million;click;great;testing;remain;call;signed;federal;#inthistogether;days;workers;home;guidance;funding;capacity;program;distancing;facilities;county;economy;plan;pandemic;coronavirus;face;recovery;assistance;together;education;safety;workforce;food;students;number;ppe;manufacturing;essential;communities;community;questions;steps
indianas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;10;4;0;0;4;0;14;4;4;0;8;4;2;4;4;2;4;4;4;6;2;0;0;4;0;0;0;6;4;0;4;4;14;2;2;6;2;14;2;0;2;2;10;2;4;0;2;2;0;2;2;0;0
resources;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;14;8;8;0;2;4;0;10;4;4;0;12;6;6;4;0;2;0;2;0;0;2;0;2;8;2;0;12;2;0;0;0;2;4;0;6;2;6;12;0;0;2;2;4;4;0;0;2;2;0;6;6;2;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;4;2;0;2;6;2;0;6;8;4;0;0;4;4;0;4;0;0;2;2;2;2;4;6;2;2;0;6;2;0;4;0;4;0;6;4;2;8;0;0;4;0;0;6;0;0;2;2;2;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;0;0;2;0;12;4;8;0;8;4;4;8;2;4;2;4;2;2;2;4;0;2;0;0;8;2;4;0;2;4;4;0;4;2;4;6;4;0;6;2;6;6;2;0;4;2;2;6;2;0;0
critical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;4;0;14;2;6;0;8;0;0;2;0;4;0;0;2;0;0;2;4;4;0;0;2;8;0;0;6;0;8;4;0;2;0;8;2;2;0;0;4;4;0;12;2;6;10;2;0;14;2
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;2;6;0;2;0;4;0;8;2;2;8;4;4;0;0;8;4;4;2;0;2;2;0;2;0;2;4;0;10;6;2;2;2;6;0;0;2;2;8;2;6;0;2;4;0;0;2
@cdcgov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;2;2;10;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;8;0;2;2;0;4;0;4;0;4;2;0;4;2;8;0;0;0;4;2;0;0;2;0;2;4;0;0;8;0;0;0;10;2;2;0;0;0;0;0;0;0;0;4;0;8
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;6;0;4;4;8;2;0;4;2;4;2;10;4;4;6;2;0;0;6;2;2;0;4;0;0;0;2;6;0;0;0;0;6;6;2;6;0;0;0;0;4;2;0;0;2
school;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;4;4;0;2;0;0;0;0;4;0;2;8;6;0;4;0;0;0;0;2;0;2;0;4;0;0;0;0;0;8;2;0;0;8;2;0;0;2;2;0;0;6
economic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;8;0;2;6;0;2;2;2;0;0;8;0;2;4;0;2;10;2;10;0;2;0;10;0;4;2;0;20;8;2;0;0;10;0;0;0;0;4;0;4;6;2;0
announced;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;4;10;10;0;0;8;6;2;2;8;0;6;0;0;4;8;0;16;0;0;0;6;8;2;6;2;2;8;0;2;0;0;0;0;0;0;0;2;4;2;0;10
medical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;2;0;4;2;4;4;0;0;0;2;0;4;10;0;2;2;0;8;2;0;2;0;0;0;0;4;0;4;0;0;0;0;2;0
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;6;0;0;4;2;2;8;0;48;8;0;0;2;0;0;0;0;0;4;0;0;0;4;0;2;0;0;2;2;6;0;2
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;6;2;2;6;0;0;0;2;2;4;4;4;0;0;0;0;8;0;2;0;0;6;0;0;0;6;2;2;2;0;0;2;0;2;0;0;2
local;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;4;2;4;8;0;0;0;2;2;2;0;2;0;2;8;0;2;4;6;2;2;4;2;2;0;2;0;0;2;2;0;0;4;4;0;6
additional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;6;0;0;16;4;2;0;2;2;6;0;0;0;0;0;2;6;2;0;4;0;0;0;0;2;0;0;2;0;0;0;2;2;4
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;0;0;0;0;0;20;0;18;0;0;4;6;2;2;2;2;4;6;0;6;0;2;0;0;0;2;2;0;0;0;0;0
click;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;6;0;2;0;0;0;4;0;0;0;0;0;0;0;6;2;0;0;0;2;0;2;0;0;4;0;0;0;0;0;2;2;0;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;2;0;2;0;0;0;0;2;0;2;2;0
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;2;0;8;2;0;2;0;0;0;0;4;0;0;2;2;0;2;0;0;0;0;2;0;2;0;4;0;0
remain;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;2;4;6;0;0;4;0;2;4;0;6;10;2;4;4;2;0;2;2;2;4;2;2;2;2;0;0;2;0;0;2
call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;2;0;4;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;4;0;0;4;0;0;0;2;2;0;8;4
