;connecticut;covid19;people;state;news;briefing;updates;live;#covid19;data;latest;discuss;tested;positive;update;died;happening;hospitalized;health;visit;patients;tests;new;daily;residents;states;hold;provide;response;connecticuts;reported;order;efforts;#memorialday;currently;#honorthefallen;public;army;county;thank;working;help;medical;workers;continue;sets;school;executive;facebook;work;video;youtube;call;todays;best;hospitals;emergency;@ctdph;watch;home;conference;iraq;take;connecticutwatch;ct;tonight;businesses;signed;community;care;staff;cases;#connecticut;morning;heres;de;join;testing;impact;yesterday;info;support;icymi;actions;guidance;additional;service;hospital;local;covid19watch;online;air;communities;safe;safety;spread;high;bringing;ensure;nursing
latest;0;0;0;0;0;0;0;0;0;0;0;256;6;6;12;0;94;0;8;2;2;2;4;2;10;6;90;16;16;10;0;4;14;0;0;0;6;0;2;0;0;0;2;0;4;0;2;2;72;0;8;74;38;22;0;0;4;14;30;0;10;0;2;72;2;16;2;0;0;0;0;0;20;26;2;0;10;8;2;2;18;0;22;4;6;2;0;2;4;64;8;42;0;0;0;0;0;4;0;2
discuss;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;102;0;4;4;0;0;0;2;4;12;88;6;18;16;0;0;16;0;0;0;0;0;0;0;0;4;0;0;0;0;4;2;78;0;6;80;30;0;2;0;2;6;8;0;14;0;2;72;2;12;2;0;0;0;2;0;4;26;2;0;16;6;12;0;6;0;2;4;2;0;0;0;6;64;6;28;4;0;0;0;0;0;0;2
tested;0;0;0;0;0;0;0;0;0;0;0;0;0;218;200;130;0;170;4;138;110;148;22;138;48;0;0;4;0;0;124;0;0;0;122;0;4;0;24;0;2;2;8;0;2;90;0;0;0;0;0;0;0;2;0;4;0;20;0;6;0;0;4;0;4;4;0;0;2;2;2;24;18;0;2;0;0;8;0;50;4;0;0;0;0;38;0;4;0;0;2;0;2;0;0;2;0;42;0;2
positive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224;130;0;182;4;158;118;152;34;138;44;0;2;8;0;0;126;0;0;0;124;0;2;0;24;0;2;4;2;0;2;102;0;0;0;0;0;0;0;12;0;6;0;16;0;14;0;0;0;0;4;4;0;0;2;0;4;34;20;2;4;0;0;6;8;52;4;4;0;0;0;44;0;6;2;0;0;0;4;0;0;0;0;54;2;6
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;2;184;4;158;112;154;28;140;48;6;0;8;4;6;122;2;2;0;122;0;4;0;18;0;4;2;2;0;4;102;0;2;0;0;0;0;2;16;0;0;2;12;2;2;0;0;2;0;2;4;0;0;2;0;0;28;20;2;2;0;4;8;0;52;4;0;0;2;4;44;0;2;2;0;4;0;0;0;0;2;0;54;0;4
died;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;130;0;128;78;110;4;130;0;2;2;0;2;0;110;0;0;130;120;130;0;92;0;0;2;0;2;0;0;82;36;0;2;0;0;2;0;0;0;0;0;0;4;0;0;78;0;0;0;0;0;0;2;0;22;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;10;0;0;0;0;8;0;0;0;0;36;0;0;2
happening;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;8;6;14;44;46;36;0;0;12;0;0;0;4;0;0;0;0;4;2;0;2;0;2;2;0;0;2;0;8;0;0;2;4;2;8;0;28;0;0;54;0;0;2;0;0;0;0;0;4;0;2;0;0;2;10;0;2;0;0;0;2;0;4;2;0;32;12;0;0;0;2;0;0;0;2;2
hospitalized;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148;112;132;14;138;22;0;0;0;0;0;120;0;2;0;122;0;0;0;0;0;0;0;0;0;0;102;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;26;0;0;0;0;0;0;2;34;0;0;0;0;0;32;0;4;0;0;0;0;0;0;0;0;0;44;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;2;18;22;4;24;14;8;0;14;18;0;0;0;70;0;0;4;14;12;16;22;14;0;6;10;2;6;0;2;6;0;24;8;26;8;2;8;2;0;10;0;14;12;4;10;4;36;6;6;14;4;0;0;2;6;2;0;8;10;0;10;6;0;4;6;16;0;0;0;2;10;20;8;0;0;10;8
visit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;116;14;136;2;4;0;0;2;0;108;2;0;0;118;0;0;0;0;0;2;10;4;0;0;102;0;0;0;2;0;0;0;8;0;2;4;0;0;0;0;0;0;0;2;0;0;0;2;2;0;14;2;2;0;0;2;4;2;2;4;0;0;0;0;8;0;0;6;0;0;0;0;2;0;0;0;14;0;0
patients;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;18;86;8;0;2;4;0;0;70;0;2;0;70;0;0;0;2;0;2;2;4;2;4;96;0;0;0;2;0;0;0;0;0;16;0;12;0;2;0;0;2;0;2;4;2;0;0;2;10;24;2;0;0;0;0;2;2;16;0;6;0;0;0;12;4;10;0;0;0;0;0;0;0;0;0;24;4;0
tests;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;110;34;2;0;0;0;2;116;0;2;0;110;0;0;0;6;0;2;2;2;0;2;62;0;0;0;0;0;0;0;10;0;0;0;14;0;0;0;0;0;0;0;2;0;0;2;0;0;6;8;0;0;2;0;8;0;28;0;0;0;2;0;28;0;0;0;0;0;0;0;0;2;0;2;28;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;14;8;6;8;2;8;4;10;8;0;2;0;2;0;14;4;12;4;2;6;6;12;0;10;0;6;2;0;0;4;8;6;0;2;0;2;4;0;2;0;0;4;0;6;6;2;6;24;20;6;2;0;0;10;2;12;6;2;2;10;4;10;8;6;0;0;6;2;0;4;6;4;0;22;2;2
daily;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;110;2;0;0;120;0;0;0;0;0;0;0;0;0;2;90;0;2;12;2;0;10;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
residents;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;4;22;2;10;0;4;12;0;0;0;6;0;18;4;2;4;8;2;6;0;0;6;0;2;2;0;0;0;4;6;12;16;4;10;6;0;12;0;10;0;2;4;2;0;4;12;18;8;6;0;6;8;4;40;6;4;2;4;2;28;2;4;6;0;2;0;0;12;8;2;0;36;2;4
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;8;8;0;4;20;0;2;0;8;0;0;10;10;10;12;2;12;0;0;2;2;2;4;2;4;6;16;16;8;4;6;4;8;0;4;0;10;4;8;0;16;8;2;0;2;6;2;2;4;0;8;0;2;8;2;0;6;0;4;6;10;0;0;0;2;12;8;6;4;0;4;2
hold;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;20;16;0;0;14;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;90;0;0;92;4;0;0;0;2;8;2;0;4;0;0;30;0;0;2;0;4;0;2;0;8;12;2;0;2;2;6;0;6;0;0;8;2;0;2;4;2;34;12;4;2;0;0;0;0;0;0;0
provide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;48;0;2;24;0;0;0;18;0;0;8;8;10;10;6;6;0;2;0;2;0;0;2;2;2;10;4;18;8;4;0;12;0;4;8;2;4;4;0;2;2;8;0;8;6;0;0;6;2;2;2;14;10;0;2;8;2;6;2;4;2;12;0;2;0;4;2;0;0;6;2
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;2;50;2;0;2;4;2;0;2;2;10;0;0;6;0;2;2;0;2;20;0;8;0;2;4;12;4;4;0;8;0;4;2;4;2;2;2;0;0;2;2;4;2;18;0;4;2;0;0;2;0;8;10;2;0;0;4;8;0;12;0;2;2;0;0;2;0;4;0
connecticuts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;6;0;0;4;6;6;14;8;0;0;4;0;0;0;18;0;0;0;6;4;6;4;2;0;12;0;4;2;4;2;6;0;6;2;2;0;0;6;16;0;8;2;2;0;2;4;0;2;6;4;2;4;0;0;14;0;0;0;4;2;0;0;2;6
reported;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;0;0;0;2;0;0;0;0;0;0;62;0;0;0;0;0;0;0;4;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;14;0;0;2;0;0;2;0;10;0;0;0;0;0;10;0;0;0;0;2;0;0;0;2;0;2;10;0;4
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;14;0;0;0;8;4;4;6;10;0;10;84;0;0;2;0;0;6;2;4;6;6;2;12;0;0;6;0;0;14;8;52;4;6;4;0;0;0;12;0;0;0;4;2;0;4;4;22;10;6;4;0;2;0;2;2;0;14;2;10;0;0;6;10
efforts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;8;6;12;2;4;14;0;0;6;0;6;8;0;6;6;4;6;8;8;8;0;12;0;6;0;4;8;4;6;4;4;6;4;2;4;0;2;6;6;4;0;2;4;8;4;2;2;4;2;12;0;6;0;12;0;10;6;0;0;10;0
#memorialday;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;0;92;0;0;2;0;2;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;2;0;0;80;0;0;0;0;0;0;2;0;22;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;10;0;0;0;0;8;0;0;0;0;36;0;0;2
currently;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0
#honorthefallen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;0;0;2;0;2;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;0;0;0;0;0;0;2;0;22;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;6;0;0;0;0;8;0;0;0;0;36;0;0;2
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;10;10;8;6;0;2;12;0;8;0;0;6;2;14;2;18;2;2;4;2;0;12;0;6;2;6;16;2;4;4;2;12;4;6;0;2;2;4;0;8;8;0;10;4;0;4;0;4;0;0;0;4;2;6;10;0;0;0;6
army;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;16;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;26;0;0;2
county;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;10;0;2;0;0;0;0;18;2;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;8;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;2;6;16;4;0;0;2;0;12;0;0;2;2;8;6;4;4;0;8;0;0;2;0;4;0;6;2;10;2;10;0;2;2;0;0;4;0;2;2;2;10;0;0;2;0;10;4;8;0;0;0;2;6;8;2;0;0;4;2
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;10;12;0;4;8;0;16;0;0;0;2;8;6;4;4;0;6;0;2;4;0;6;4;14;6;6;6;10;0;2;2;0;0;0;0;2;2;0;8;0;6;8;2;0;4;4;0;0;0;2;2;4;0;0;0;10;2
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;6;0;0;6;0;4;4;0;4;0;0;8;10;6;0;0;0;0;0;0;2;0;6;6;2;10;2;4;4;2;4;2;0;4;4;4;2;6;0;0;2;2;0;6;6;0;4;0;6;0;0;10;0;2;4;6
medical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;2;4;0;8;0;0;6;0;10;10;4;4;2;2;6;0;2;0;2;2;4;6;10;10;6;2;0;2;0;2;2;8;6;0;10;10;0;2;8;2;0;10;4;0;0;0;0;6;2;2;0;2;8;2
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;6;0;12;0;0;0;2;2;6;4;4;0;10;0;0;2;0;0;6;0;2;2;26;10;0;0;0;0;0;2;0;2;0;2;16;0;2;2;0;6;2;0;0;0;0;10;8;6;4;0;0;10;14
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;10;0;10;2;0;4;4;6;10;6;4;0;8;4;0;8;0;6;2;4;4;6;6;6;6;4;2;0;0;0;4;8;2;0;8;0;4;10;2;2;4;6;0;0;2;4;6;2;6;2;0;8;4
sets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0
school;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;4;0;2;0;2;0;0;4;0;0;2;0;18;2;0;4;2;0;2;4;2;10;0;0;2;2;0;0;0;4;0;4;4;2;2;0;0;0;0;0;0;0;0;0;0;4;0;40;0;2;4
executive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;6;2;2;12;0;0;8;0;0;10;4;50;4;6;4;0;0;6;10;0;0;2;4;2;0;4;4;22;8;6;2;0;0;0;2;2;0;14;2;10;0;0;4;4
facebook;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;0;0;0;0;0;0;2;0;0;0;0;26;0;2;0;0;0;0;0;0;0;4;0;0;4;0;2;0;2;0;0;0;0;0;2;0;0;26;0;0;0;0;0;0;0;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;12;2;6;0;8;0;0;6;0;10;0;0;0;4;4;10;0;0;2;0;0;0;0;0;0;2;4;0;2;2;0;2;6;4;0;0;2;8;6;4;0;0;0;8;2
video;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;4;6;2;4;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;2;0;4;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;2;4
youtube;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;28;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;26;0;0;0;0;0;0;0;0;0;0
call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;20;0;2;0;0;0;2;2;2;2;0;0;2;12;2;0;0;0;4;0;6;2;0;0;4;0;0;0;6;0;2;30;0;2;0;0;0;0;0;0
todays;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;46;4;2;0;0;0;0;0;0;4;4;0;0;2;0;0;2;0;2;4;4;0;2;0;42;4;0;6;0;2;2;0;0;0;0;2;2;0;2;0;0;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;4;4;0;2;0;6;2;2;0;8;2;4;0;0;0;0;0;4;0;4;0;0;2;0;0;6;0;2;2;2;0;0;0;2;6;8;2;0;0;0;0
hospitals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;6;4;0;0;0;4;4;2;4;4;14;12;2;0;0;2;0;2;0;4;0;0;6;0;0;0;0;4;18;2;0;2;0;0;4;0;2;0;0;18;8
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;0;10;0;2;4;4;10;2;6;2;0;0;0;0;0;0;2;2;2;4;12;0;8;4;2;2;2;6;0;2;0;2;4;4;0;0;0;2;2
@ctdph;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;0;0;2;6;0;4;0;4;2;14;14;4;0;0;4;12;0;2;2;0;0;0;6;2;0;6;2;0;2;0;0;0;0;2;0;2;2;14
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;0;0;0;4;2;0;0;0;2;2;0;0;0;46;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;4;2;8;4;8;2;4;2;0;2;0;0;0;0;2;0;2;0;4;2;0;2;2;0;0;0;0;0;16;2;0;0;0;0;18
conference;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;4;0;4;0;6;0;4;0;0;0;2;0;0;2;2;0;6;0;2;0;4;0;0;0;0;0
iraq;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;10;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;10;0;0;0;0;2;0;0;0;0;18;0;0;2
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;10;8;2;0;4;4;6;2;0;0;0;0;0;4;2;2;18;6;6;0;0;0;0;2;0;2;4;4;14;0;0;0;2
connecticutwatch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ct;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;6;4;0;4;0;4;0;0;0;2;6;2;2;2;0;2;0;0;2;4;4;0;0;0;4;2;2;2;0;0;2;2
