;new;covid19;#covid19;mexico;spread;health;statewide;public;mask;deaths;state;cases;mexicans;currently;info;update;todays;positive;tests;bringing;individuals;totaling;continue;home;protect;wear;face;slow;additional;safe;order;may;virus;#alltogethernm;stay;hospitalized;community;mexicos;practices;covidsafe;thank;announced;available;gather;people;crisis;essential;@nmdoh;required;lives;social;pandemic;slowing;care;covering;testing;emergency;tested;wearing;able;employees;distancing;statewidemore;businesses;request;part;across;work;officials;masks;gallup;together;reopening;place;give;remain;effective;thanks;staying;contact;services;live;tune;modified;tomorrow;incredible;grateful;working;loved;closed;could;help;memorial;ones;retailers;vote;workers;account;related;3
state;0;0;0;0;0;0;0;0;0;0;0;14;18;6;8;12;2;6;6;6;2;6;8;6;4;2;2;2;8;10;6;2;6;20;4;0;2;12;4;4;4;6;0;4;6;6;2;8;6;6;2;8;0;4;0;2;8;2;2;2;4;4;0;0;6;6;8;2;18;0;2;4;0;2;10;2;2;0;0;2;6;0;0;2;4;0;6;4;0;0;2;2;2;0;2;0;4;8;6;6
cases;0;0;0;0;0;0;0;0;0;0;0;0;2;60;54;54;58;60;62;62;52;60;8;12;0;12;0;8;32;0;0;0;4;0;4;34;2;0;0;0;0;14;0;8;8;0;0;6;2;6;6;0;4;0;0;2;0;2;0;2;0;6;20;0;2;4;2;0;6;0;0;0;0;0;2;0;2;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0
mexicans;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;10;6;10;8;12;12;0;14;4;12;12;8;4;0;8;0;0;0;2;0;4;2;6;14;4;4;8;6;6;10;8;10;8;6;0;6;8;10;6;4;0;2;2;4;8;4;0;6;0;6;2;0;0;2;8;4;2;4;6;0;2;2;4;4;6;4;2;0;2;2;0;2;0;2;2;0;0;0
currently;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;50;54;58;60;60;52;58;8;8;2;10;0;6;32;0;2;0;2;0;0;34;2;0;0;0;0;12;2;6;8;0;0;8;0;4;2;2;2;0;0;2;0;4;0;2;2;2;20;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;10;0
info;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;50;52;54;54;44;52;10;10;4;12;2;8;28;2;6;6;2;0;4;28;2;2;4;4;0;14;6;8;8;0;2;6;2;4;2;0;6;0;0;2;4;0;0;4;6;2;20;6;0;0;0;0;6;2;2;0;2;0;0;2;6;0;4;4;0;0;0;2;0;0;0;0;2;0;0;4;0;0;2;0;0;0;12;0
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;50;52;52;48;50;6;8;0;10;0;6;22;0;6;2;0;10;2;32;2;14;4;4;0;6;2;6;6;0;0;2;2;4;2;0;2;0;0;2;10;0;0;0;2;2;20;2;0;0;0;0;10;0;0;0;2;0;10;0;4;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;8;6;6
todays;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;56;56;52;54;6;8;0;10;0;6;26;0;2;2;0;0;2;34;2;0;2;2;0;8;2;6;6;0;0;4;2;4;2;0;2;0;0;2;2;0;0;0;0;2;20;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0
positive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;60;50;58;6;8;0;10;0;6;30;0;0;0;0;0;2;32;4;0;0;0;0;14;2;6;6;0;2;6;0;4;2;0;2;0;0;2;0;2;0;0;0;2;18;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;12;2
tests;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;52;60;6;8;0;10;0;6;32;0;0;0;0;0;2;34;2;0;0;0;0;14;0;6;6;0;0;6;0;4;2;0;2;0;0;0;0;0;0;0;0;2;20;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0
bringing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;60;6;8;0;10;0;6;32;0;0;0;0;0;2;34;2;0;0;0;0;14;0;6;6;0;0;6;0;4;2;0;2;0;0;0;0;0;0;0;0;2;20;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0
individuals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;2;8;2;10;0;6;26;0;0;2;0;0;0;34;2;0;0;0;0;4;4;6;6;0;0;0;0;4;2;2;2;0;0;0;2;0;0;0;0;2;20;2;0;0;0;0;0;0;2;0;4;2;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0
totaling;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;0;10;0;6;32;0;0;0;0;0;2;32;2;0;0;0;0;14;0;6;6;0;0;6;0;4;2;0;2;0;0;0;0;0;0;0;0;2;20;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;6;10;10;4;4;8;2;10;4;12;0;0;8;2;2;2;8;2;6;0;2;4;0;2;4;12;2;8;2;2;0;0;0;2;4;2;10;0;0;0;4;0;0;0;4;0;2;2;2;0;2;0;0;6;0;2;2;0;4;2;0;0;0;2;2;0;2;2;2;2;0;0;0;4;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;22;10;8;0;14;4;2;10;4;26;2;4;2;2;0;2;0;0;20;14;0;6;0;0;2;6;0;6;2;6;0;0;0;0;2;0;6;0;0;4;8;2;0;0;0;2;0;4;2;4;4;0;0;12;0;0;0;0;4;2;0;0;0;4;2;4;0;6;4;2;2;2;0;0;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;16;14;0;2;4;6;8;6;4;0;16;2;0;0;4;0;0;8;4;0;2;0;6;0;0;2;6;2;10;0;0;0;8;0;0;0;0;0;0;8;2;0;0;4;0;4;2;0;2;0;4;4;4;0;0;0;0;0;0;0;4;0;8;0;0;0;8;4;0;2;4;0;0;0
wear;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;8;4;4;0;6;4;2;8;2;8;4;0;0;0;2;0;14;10;0;10;0;10;0;4;0;4;0;8;0;0;0;2;0;4;6;0;6;4;2;2;0;0;4;2;6;0;0;2;0;8;2;4;0;0;0;0;0;4;0;0;0;4;0;2;0;6;4;0;0;0;0;0;0
face;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;4;2;0;4;2;8;6;0;8;6;0;0;4;2;0;8;2;0;6;0;2;6;4;2;12;4;18;0;0;0;12;0;2;4;0;2;0;6;2;2;0;6;0;6;0;0;2;0;2;4;2;0;0;0;0;0;0;2;2;0;6;0;4;0;8;4;0;0;0;0;0;0
slow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;2;4;6;0;8;2;0;0;2;2;4;6;0;0;4;0;4;8;0;4;4;2;12;4;0;4;8;0;2;0;0;0;2;6;0;2;0;4;2;4;2;2;0;0;2;2;0;0;0;0;0;2;0;0;2;0;4;0;0;4;4;4;0;0;0;0;0;0
additional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;6;2;2;0;12;0;0;0;0;0;6;2;0;4;0;0;0;0;0;0;0;0;4;0;4;20;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;6;12;0;4;2;2;0;4;0;2;6;4;0;4;2;0;0;4;6;2;4;2;4;0;4;2;0;2;4;0;0;4;0;2;2;0;0;2;0;2;0;0;2;0;2;2;2;0;0;0;4;2;0;6;4;2;2;0;2;0;2;2;0;0;0;0;0
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;8;0;4;0;0;4;12;12;2;2;2;0;0;2;2;4;6;2;0;0;0;0;0;2;6;0;0;0;2;0;0;2;0;0;0;2;0;0;2;0;6;10;0;6;4;0;0;2;2;2;0;14;2;0;0;0;0;8;0;0;0;0;8;0;0;0;0;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;4;0;6;6;0;0;2;0;0;0;6;0;8;0;0;0;0;0;2;2;8;0;0;2;2;0;0;8;0;0;0;0;0;6;6;2;2;8;0;4;10;0;0;2;4;0;0;4;4;2;0;0;0;6;0;0;0;2;8;2;0;0;0;0
virus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;0;0;2;6;2;2;0;2;8;6;2;4;4;0;2;0;2;0;2;0;6;0;0;0;4;6;0;0;0;0;0;4;0;2;0;2;2;4;0;0;0;0;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0
#alltogethernm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;12;0;0;8;0;0;0;0;2;2;0;0;4;0;4;4;4;0;0;6;0;2;0;0;0;0;0;4;0;2;2;10;2;0;4;0;0;10;0;0;2;0;0;4;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;8;0;6
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;10;6;0;6;0;0;2;2;0;2;2;4;0;0;0;0;0;2;0;0;0;4;4;0;0;0;0;2;0;4;2;0;2;0;0;0;0;0;0;0;4;2;0;2;2;4;2;2;2;4;2;2;0;0;0;2;0
hospitalized;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
community;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;8;0;2;0;2;0;0;0;4;0;0;0;2;6;6;0;0;0;8;0;0;0;0;0;0;6;0;2;0;2;0;4;0;2;0;0;2;6;0;0;2;0;0;0;0;4;2;2;0;0;0;0;0;0;0;2;2;0;0;0
mexicos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;0;2;0;0;2;0;0;2;6;0;2;2;0;0;8;0;0;2;2;6;0;2;0;2;0;0;10;2;0;0;2;2;10;0;2;0;0;0;0;2;2;2;0;2;0;0;0;0;0;2;0;0;0;2;2;8;0;6
practices;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;2;2;0;0;0;0;4;12;0;0;0;0;0;0;2;4;0;2;2;4;0;0;4;0;0;0;0;0;2;0;0;6;10;0;2;4;0;0;2;2;2;0;2;2;0;0;0;0;2;2;0;0;0;8;0;0;0;0;0
covidsafe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;12;0;0;0;0;0;0;2;4;0;2;2;4;0;0;4;0;0;0;0;0;2;0;0;4;10;0;2;4;0;0;2;2;2;0;2;2;0;0;0;0;2;2;0;0;0;8;0;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;4;0;0;4;2;0;0;2;0;2;0;0;0;0;0;0;2;0;6;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;6;2;2;0;0;0;0;0;0;0;0;0;0;0;0
announced;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;6;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;10;0
available;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;4;2;0;0;4;0;0;0;10;2;6;0;2;2;0;0;2;0;0;2;0;0;0;0;0;4;0;0;2;2;0;0;4;6;0;0;0;0;0;0;2;0;0;0;6;0;0;2;0;0;0;0;2
gather;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;2;0;0;0;4;0;2;0;6;0;0;0;0;0;0;4;0;0;2;4;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;8;0;2;0;8;4;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;2;2;0;0;4;0;4;2;0;2;4;0;0;2;2;6;0;2;0;2;2;2;0;0;0;0;0;4;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0
crisis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;4;2;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0
essential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;4;0;0;2;2;2;0;0;6;0;0;8;2;0;4;2;0;4;4;2;0;4;2;2;4;0;2;2;0;0;0;2;2;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0
@nmdoh;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;4;0;2;0;0;0;0;0;0;0;2;0;2;6;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;6;2
required;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2;2;2;0;0;4;2;0;0;0;0;4;0;4;2;6;0;0;10;0;0;0;0;2;0;0;4;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;0;2;2;2;2;0;0;0;0;0;0;0;4;4;0;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;4;0;16;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;2;2;0;0
slowing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;6;4;0;6;0;0;0;4;2;2;0;2;0;0;0;0;2;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;6;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;2;0;0;2;2;0;0;0;2;2;0;2;0;0;0;0;2;0;0;4;0;0;0
covering;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;2;2;0;4;0;2;0;6;4;0;0;0;0;0;0
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;6;0;8;0;2;6;6;2;4;0;0;0;0;2;0;2;0;0;0;0;0;4;2;0;0;0;2;0;0;6;0;2
tested;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0
wearing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;4;0;2;0;0;0;0;0;6;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0
able;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;4;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0
employees;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;2;0;4;2;0;0;0;6;0;0;0;0;0;0;0;0;0;4;4;0;0;0;4;0;0;2;0;2;0;0;0
distancing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
statewidemore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;4;0;4;8;0;0;2;0;0;0;0;2;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0
request;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
