kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_all,freq_all
write,3,work,3,weird,4,fun,3,piece,2,movies,3,left,14
welcome,3,cities,3,kits,4,masks,3,become,2,sunday,3,#illbegoneinthedark,14
hilarious,3,something,3,dude,4,probably,3,screaming,2,lets,3,hell,13
seats,3,morning,3,scene,4,death,3,martin,2,ha,3,big,13
@therealraywise,3,@bergenpac,3,reason,4,hilarious,3,scenes,2,fathers,3,beyond,13
gorgeous,3,@tompapas,3,isnt,4,needed,3,think,2,times,3,episode,13
store,3,next,3,makes,4,young,3,soon,2,mean,3,miss,13
hey,3,@aiapalucci,3,put,3,proud,3,donate,2,@hbo,3,something,13
work,3,hes,3,gotta,3,call,3,queen,2,hilarious,3,could,13
young,3,valentines,3,jack,3,level,3,@theavclub,2,donalds,3,beautiful,13
hes,3,live,3,goddamn,3,dead,3,2020,2,heard,2,someone,13
beyond,3,4,3,special,3,2018,3,season,2,ray,2,fascinating,13
michael,3,find,3,coming,3,fascinating,3,protesters,2,family,2,goes,13
men,3,oregon,3,safe,3,week,3,2,2,staten,2,gorgeous,13
mean,3,give,3,goddamit,3,fan,3,jfc,2,dark,2,friend,12
went,3,films,3,fantastic,3,thread,3,starts,2,jd,2,guy,12
seattle,3,elizabeth,3,fan,3,mean,3,carey,2,killed,2,gets,12
tries,3,favorite,3,youtube,3,comedy,3,came,2,captain,2,yeah,12
cuz,3,biden,3,cards,3,times,3,isnt,2,28th,2,work,12
ha,3,please,3,heres,3,huh,2,please,2,finally,2,season,12
george,3,big,3,yup,3,ted,2,stuff,2,paperback,2,safe,12
artist,3,whole,3,meredith,3,whats,2,enough,2,tweet,2,cuz,12
still,3,thingsll,3,eh,3,gonna,2,waiting,2,deleted,2,grab,12
trying,3,lot,3,live,3,needle,2,@tcm,2,safe,2,probably,12
hosting,3,queen,3,seen,3,wish,2,oswalt,2,island,2,gotta,12
@mrgeorgewallace,3,everyone,3,@stephenathome,3,credit,2,@mjmckean,2,@davidcrosss,2,fan,12
goofy,2,book,3,social,3,@netflixisajoke,2,#riplynnshelton,2,idiots,2,tweet,12
