;#covid19;arizona;#aztogether;thank;health;arizonans;care;state;support;businesses;help;professionals;medical;arizonas;work;working;1;testing;public;resources;workers;continue;discuss;stay;responders;grateful;@aznationalguard;home;protect;az;call;provide;across;information;#thearizonaway;safe;spread;@azcommerce;efforts;healthy;@uarizona;latest;relief;3;2;president;emergency;partners;access;safety;details;people;together;ensure;@azdhs;take;new;antibody;available;week;frontline;economy;slow;million;nation;program;#lightazblue;visit;fund;navajo;critical;kids;order;business;job;jobs;learn;lost;protection;@drcarachrist;#rip;hospitals;donation;paycheck;economic;students;communities;apply;coronavirus;assistance;additional;tests;thousand;families;@uarizonapres;personnel;connected;local;face;masks
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;6;0;2;8;6;0;2;10;6;0;10;2;6;2;6;0;8;6;8;0;2;4;2;2;4;2;2;4;2;8;2;10;0;4;0;4;2;2;0;0;8;2;0;6;8;0;2;0;0;0;2;2;4;0;0;6;0;2;0;2;0;2;0;2;2;0;2;0;2;0;2;4;0;0;2;2;2;4;0;2;6;2
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;10;2;6;8;2;6;4;6;2;4;12;4;0;10;0;2;6;2;6;0;10;6;6;2;4;6;4;4;0;4;2;2;4;0;6;0;0;2;0;2;0;2;2;0;2;2;2;0;0;0;2;2;4;0;6;4;2;0;0;0;0;2;0;2;2;0;8;2;2;0;2;0;0;2;0;0;2;4;4;0;0;2
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;2;2;4;0;2;0;0;2;2;4;4;4;4;0;8;6;2;0;2;2;2;2;4;2;4;2;4;2;2;6;4;6;2;0;4;2;4;8;0;0;0;8;0;8;0;0;0;0;6;0;0;0;2;2;2;0;0;0;0;0;0;4;2;0;2;0;6;0;4;0;4;4;0;0;2;2;0;2;0;0
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;8;0;6;0;2;0;4;0;12;6;2;2;2;8;4;0;6;2;12;6;0;4;4;6;0;6;2;2;4;0;0;0;4;2;4;16;2;2;2;4;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;4;2;0;4;2;0;0;0;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;2;0;4;2;2;0;12;2;4;2;2;4;2;6;10;0;4;0;4;0;4;2;4;2;2;4;2;8;0;0;0;0;2;4;2;4;2;2;0;2;6;0;0;0;0;0;2;0;2;0;4;0;0;0;0;0;0;2;4;4;2;0;4;0;2;0;2;0;0;2;0;0;4;2;0;0;0;0
resources;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;4;0;4;2;2;2;6;2;8;0;0;0;6;0;2;0;2;2;0;0;4;2;2;6;0;6;0;2;6;2;0;2;0;2;2;0;2;0;0;10;0;0;4;2;8;0;2;0;0;2;4;2;4;0;0;0;2;4;0;0;2;0;4;2;4;2;0;0;6;0;2;0;2;0;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;16;4;4;2;4;2;0;4;8;4;6;4;0;2;2;2;8;0;2;6;4;2;6;0;2;2;0;0;2;2;2;0;2;4;0;6;22;0;0;0;0;0;14;2;0;0;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;6;0;2;2;0;0;0;4;4
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;6;0;2;4;2;2;4;4;0;0;2;6;2;4;2;0;2;4;0;2;4;0;4;4;0;2;0;2;6;2;10;4;0;4;0;0;4;4;4;8;0;0;0;0;8;0;0;4;4;0;0;2;0;0;0;0;2;0;0;6;2;6;0;0;2;0;0;0;2;0;4;2;0;2;0
discuss;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;10;0;4;2;32;4;6;2;0;8;4;0;12;2;2;24;2;0;0;0;0;2;0;6;0;0;0;2;6;2;0;6;0;0;0;8;4;0;4;0;0;0;0;2;0;0;0;6;0;0;0;0;0;12;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;16;2;0;2;0;0;2;0;0;4;0;2;18;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0
responders;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;8;0;2;16;4;4;2;2;0;0;2;2;16;0;0;4;0;6;10;0;2;2;0;0;0;0;0;0;2;14;0;2;8;0;0;0;2;0;16;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;12;2;0;12;4;0;0;0;0
grateful;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;10;4;6;0;0;2;0;6;0;8;4;2;2;10;0;2;4;4;10;0;2;0;0;0;0;2;2;4;0;0;0;4;0;4;2;2;0;4;0;8;2;2;0;0;2;0;0;0;0;0;0;2;2;6;0;4;0;2;0;8;0;0;0;4;2;2;0;2;4;2;2
@aznationalguard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;2;2;0;4;2;0;0;4;0;0;8;0;2;0;2;2;0;0;2;0;0;6;0;12;0;0;0;0;4;0;2;0;2;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;2;2;2;2;4;2;0;18;0;0;2;4;4;0;0;0;0;0;2;0;0;2;0;4;2;0;2;4;0;0;0;2;2;0;0;0;2;0;2;2;4;0;0;0;4;0;0;0;0;2;2;0;0;4;0;0;2;0;4;0;0;0;0;2;18;0;0;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;2;2;0;6;0;4;2;8;0;0;6;0;6;0;2;0;12;0;2;0;2;2;4;0;4;0;2;2;0;6;0;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;2;2;4;0;0;0;0;4;0;0;0;2;2;0;0;6;4;2;4;4;2
az;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;4;0;2;0;4;2;2;4;0;2;22;0;0;4;0;4;0;0;2;2;0;0;0;0;2;0;0;0;0;0;4;6;2;4;0;0;20;0;0;0;0;2;0;0;0;0;2;0;2;0;12;2;4;0;6;4;20;0;4;0;2;2;0;0;2;4;2;2
call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;0;10;2;0;8;4;2;16;2;0;0;0;0;2;0;6;0;0;0;2;6;2;2;6;0;2;0;6;2;0;4;0;0;0;0;2;0;0;2;6;0;0;0;0;0;10;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
provide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;0;2;0;12;2;6;2;0;6;2;0;2;4;2;0;4;4;0;0;0;12;4;2;0;0;0;2;6;0;0;0;6;6;0;0;2;0;0;0;0;0;0;0;0;2;4;0;4;0;4;0;6;2;0;10;2;0;8;2;0;0;0;2
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;2;0;4;2;0;0;0;0;2;0;4;0;4;2;4;2;2;0;0;0;4;6;4;2;0;4;0;4;0;0;0;2;0;0;4;0;0;2;0;0;4;0;4;0;0;0;0;6;0;0;0;0;0;2;0;0;0;0;4;6;0
information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;2;2;2;4;0;0;2;0;2;0;6;2;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;6;0;2;0;0;2;2;2;0;2;4;0;2;6;0;0;0;0;6;0;0;0;2;0;2;2;2;0;2;0;0;2;0;0;0
#thearizonaway;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;2;0;2;0;0;0;2;0;2;0;4;2;8;4;0;0;2;4;0;2;2;0;0;4;0;0;0;0;2;2;0;2;0;0;0;0;4;0;0;0;0;0;2;0;0;2;2;0;2;2;0;2;0;2;2;2;0;0;6;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;4;2;0;2;2;0;0;2;2;6;2;2;0;0;0;4;0;2;0;2;2;8;0;0;2;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;2;0;4;4;4;0;2;6;0;2;0;2;0;0;2;4;0;0;0;0;0;0;24;0;2;0;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;4;0;0;2;0;0;0;2;0;2;0;0;0;0;0;4;2;0;0
@azcommerce;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;4;0;0;8;0;0;0;0;4;0;0;2;0;0;0;8;0;6;0;0;0;4;0;2;6;6;8;6;6;0;0;0;0;6;2;6;0;4;0;4;2;0;0;2;0;0;0;0;0;0
efforts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;10;0;0;0;0;2;4;0;4;0;0;0;0;2;0;0;2;2;0;2;2;8;0;0;0;2;0;0;0;4;0;0;0;2;0;0;0;0;4;0;0;0;0;4;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0
healthy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;2;0;4;0;0;0;4;0;0;0;0;2;2;2;0;2;0;2;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;20;2;0;0
@uarizona;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;12;0;0;0;0;0;0;0;0;0;0;0;18;0;2;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;0;20;0;0;0;0;0
latest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;4;2;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;8;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
relief;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;4;0;2;0;0;0;4;6;0;2;0;0;20;0;0;2;0;4;0;0;2;0;2;0;0;2;12;2;4;0;6;2;20;4;4;0;2;6;0;0;0;0;2;2
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;0;0;0;2;2;0;0;2;4;2;2;2;0;0;0;0;2;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;4;2;0;0;2
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;0;2;2;0;0;2;2;0;2;2;2;0;0;0;0;0;0;0;2;0;6;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;2;0;0;2;2;0;0;0
president;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;8;0;0;2;0;0;0;4;2;0;0;2;6;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;2;0;4;4;2;0;10;4;0;0;0;0
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;2;0;0;0;0;0;6;0;0;2;0;0;6;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2
partners;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;0;0;0;2;0;0;2;4;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;8;2;0;2;0;4;0;2
access;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;8;0;0;2;2;2;2;2;0;0;2;0;2;0;0;0;0;0;0;4;0;0;2;2;2;2;0;0;0;0;2;2;6;0;0;0;2;2;0;0;6;0;0;0;0;0;0
safety;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;2;0;0;2;2;2;0;2;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;2;0
details;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;4;2;4;2;0;0;0;2;0;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
ensure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;2;0;0;0;0;2;2;4;2;0;0;4;8;0;0;0;0;2;0;0;0;6;2;0;0;2;0;0;0;2;0;0;0;0;2;0
@azdhs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0;0;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;2;2;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;2;0;0;2;0;2;2;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;2;0;4;0;0;4;0;0;0;0;0;4
antibody;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;2;0;14;0;0;0;0;0
available;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;0;0;0;0;0;2;4;6;0;6;0;0;0;0;0;0;4;0;0;0;0;8;2;0;0;2;0;2;0;0;0;0
week;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;4;0;2;2;0;0;2;0;0;2;2;2;2;0;0;0;0;0;0
frontline;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
slow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;0;6;0;2;0;0;2;0;0;0;0;0;6
nation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0
