;ontario;covid19;thank;people;update;health;#covid19;businesses;work;visit;help;safe;premier;working;support;workers;continue;2020;#ontariospirit;great;ford;province;daily;updates;check;care;across;ontarians;ontarios;together;please;provides;home;stay;new;government;safety;community;everyone;may;economy;families;happy;protect;million;action;business;week;family;frontline;communities;join;making;reopen;plan;part;april;ensure;proud;jobs;hard;local;june;critical;fight;important;announced;year;learn;provide;best;public;testing;access;spread;economic;forward;live;medical;incredible;keeping;morning;spoke;canada;vulnerable;take;job;seniors;relief;canadian;food;loved;lives;2;centre;ones;homes;times;women;mental
help;0;0;0;0;0;0;0;0;0;0;0;16;2;8;22;22;18;2;26;12;2;6;0;0;0;14;14;10;10;14;14;0;16;10;22;10;6;8;14;4;8;12;2;10;14;12;12;6;2;10;6;0;2;2;16;0;2;6;8;8;4;0;0;8;12;6;12;0;14;10;2;4;2;2;6;2;4;2;4;4;2;2;6;2;10;6;4;6;8;2;4;4;4;2;4;4;2;4;2;8
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;30;14;24;30;0;0;8;0;16;0;0;0;12;8;22;14;6;26;0;20;30;4;6;20;4;20;6;0;14;12;10;4;6;4;12;8;22;10;4;10;14;10;10;0;12;4;0;10;2;4;4;6;2;6;12;2;4;8;6;4;4;4;4;2;4;2;2;24;4;6;2;10;10;0;8;0;2;0;6;6;0;2;6;0;6;6;0
premier;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;6;148;2;0;0;0;0;0;4;2;2;0;114;2;0;4;0;2;4;0;2;0;2;0;0;0;0;4;0;2;2;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0;22;4;2;0;0;0;2;0;0;2;0;2;8;2;0;0;0;0;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;30;16;2;10;22;0;20;0;0;0;16;18;16;14;28;14;0;14;18;2;14;8;4;12;0;10;4;4;10;8;4;4;6;4;14;2;4;4;6;8;10;0;22;8;8;26;0;2;6;12;4;0;2;4;2;12;4;4;10;8;4;10;4;4;6;10;6;8;4;8;4;4;4;2;6;14;6;4;2;2;6;6;2;12;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;14;4;4;14;0;16;2;0;0;10;24;4;6;10;16;0;6;4;2;18;6;12;8;0;16;10;8;8;12;10;14;6;6;14;10;2;4;8;8;2;0;6;2;8;10;22;2;6;2;2;12;0;10;8;4;2;0;2;0;4;4;2;4;8;2;0;2;4;16;2;2;8;8;6;6;6;4;0;2;6;4;4;4;8
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;14;14;0;18;0;0;0;18;26;10;12;8;10;0;8;12;10;2;8;10;8;2;6;18;8;12;6;10;8;4;2;56;14;2;12;4;8;6;0;20;2;6;10;4;0;14;4;4;4;0;12;4;2;2;2;4;0;2;6;0;14;6;14;2;6;0;14;2;2;4;6;6;14;2;0;2;6;2;2;6;0;2
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;0;20;0;0;0;10;8;28;24;12;22;0;14;20;6;22;20;4;18;8;12;10;2;20;4;2;8;4;12;8;4;6;6;12;4;18;0;14;4;4;14;2;2;8;14;18;8;0;2;10;8;4;4;0;14;4;4;2;10;0;10;2;8;2;4;12;6;2;6;0;2;8;4;2;2;8;6;0;0;4
2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;132;132;132;0;2;6;6;0;2;0;2;4;0;2;2;2;2;48;0;0;0;2;0;2;4;0;2;0;0;0;0;0;0;4;50;4;4;0;2;0;36;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;8;0;0;0;0;0;0
#ontariospirit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;10;0;0;0;0;14;6;0;16;2;0;6;2;2;2;0;6;0;0;0;2;2;0;6;4;10;0;2;6;4;2;4;0;0;0;0;2;10;0;2;4;0;2;4;2;4;0;2;2;6;0;0;2;2;0;2;2;4;8;0;2;4;0;0;0;0;0;0;2;4;0;0;0;0;0;0;8;0;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;2;0;0;0;16;12;8;6;2;0;6;4;6;6;2;14;6;0;6;2;14;0;4;0;8;8;6;2;10;8;8;2;6;6;2;0;6;10;8;4;0;6;4;4;2;6;6;0;0;0;2;6;2;8;6;0;2;2;2;2;2;2;2;4;6;0;0;12;4;0;6;0;4;0;0;6;6;6
