;de;illinois;state;que;people;la;covid19;#allinillinois;health;phase;care;virus;@govpritzker;en;daily;public;residents;support;el;3;communities;home;restore;@idph;testing;work;briefing;las;families;para;help;face;across;move;safe;plan;new;los;un;take;por;una;es;businesses;con;pandemic;states;stay;community;safety;contact;reopen;social;together;working;#covid19;family;fase;best;may;services;workers;thank;everyone;weeks;economy;facilities;spread;safely;illinoisans;mirza;tracing;business;order;hospital;dr;federal;visit;latino;protect;local;lives;como;staff;#jbonfb;lets;moment;más;se;still;forward;region;times;thousands;ive;find;al;1;rate;personas
care;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;6;4;6;0;4;2;0;4;6;2;6;0;0;2;0;0;2;2;4;0;4;2;0;0;6;0;0;0;2;0;2;0;0;0;6;0;6;4;0;4;2;0;0;2;0;4;2;4;2;2;0;12;0;4;0;10;0;2;0;2;6;0;0;0;2;0;0;0;2;4;0;4;0;0;0;2;2;0;2;0;0;0;0;0;0
virus;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;4;4;4;6;0;10;8;0;2;4;2;0;2;2;4;0;6;4;2;6;2;0;2;2;6;4;2;2;4;4;0;2;4;2;2;0;4;4;2;2;4;2;2;4;2;0;2;0;6;2;4;2;8;0;2;2;0;2;2;6;2;2;0;0;0;0;2;2;2;0;2;0;4;2;8;2;2;0;2;4;2;0;4;2;4
@govpritzker;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;6;0;4;2;6;2;2;0;8;0;0;4;0;2;2;2;4;4;2;4;0;0;6;0;0;0;0;0;0;2;10;0;0;0;4;6;6;4;2;6;0;0;2;0;4;0;2;0;2;0;0;0;0;12;0;4;0;6;6;2;0;0;2;4;0;0;2;0;0;0;0;0;2;2;0;6;0;10;0;0;0;0;0
en;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;6;0;0;4;6;0;0;0;14;0;16;0;0;0;0;0;6;0;18;20;0;16;18;16;0;14;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;8;0;0;0;0;12;14;0;0;0;0;0;0;0;8;4;0;8
daily;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;4;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;4;2;0;4;2;0;0;0;2;2;0;0;4;0;2;0;2;2;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;0;2;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;8;6;10;8;6;12;0;0;0;2;0;2;10;6;6;4;4;4;0;0;4;0;0;0;8;0;0;2;4;4;4;4;6;10;0;0;4;0;0;6;2;0;4;0;2;2;4;0;6;4;0;0;2;0;8;0;0;0;4;6;0;2;4;0;4;0;0;4;0;0;2;2;4;2;0;0;2;0;4;2;0
residents;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;2;2;2;2;0;2;6;0;0;10;0;6;0;0;4;4;0;6;0;0;2;0;0;0;6;0;4;2;2;4;4;0;4;2;2;0;2;2;0;4;2;6;6;0;0;0;8;4;4;2;0;0;0;2;0;0;0;0;0;2;6;4;0;0;4;0;2;2;0;0;2;6;0;4;2;0;2;0;2;2;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;4;0;12;0;0;12;0;16;0;0;2;4;2;2;0;0;2;0;0;0;14;0;2;4;0;2;2;2;4;4;4;4;2;2;0;2;2;2;4;2;0;0;0;2;0;0;2;0;0;0;2;0;0;10;0;0;2;2;2;0;2;0;2;0;0;0;0;0;0;2;2;6;0;0;0;0;0
el;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;16;0;14;0;0;0;0;0;4;0;12;14;0;12;8;14;0;8;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;10;0;0;0;0;16;16;0;0;0;0;0;0;0;8;4;0;6
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;22;6;4;4;0;4;0;8;0;4;0;14;4;2;2;4;0;6;2;4;2;2;4;0;0;4;2;4;0;6;4;2;2;2;0;10;0;2;4;0;0;4;4;6;0;2;6;2;0;0;4;2;2;0;0;2;2;0;4;0;2;2;0;0;2;0;0;0;2;6;0;0;0;0;8;2;2;2
communities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;10;2;0;0;4;0;2;6;10;0;4;2;0;0;0;0;0;0;0;0;0;2;0;2;4;0;4;0;2;2;0;8;4;0;4;0;0;0;2;0;4;0;4;6;0;2;0;4;0;0;0;2;2;4;10;4;2;0;0;4;0;4;2;0;0;2;0;2;0;0;4;0;0;2;2;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;4;2;0;0;4;0;6;6;6;2;4;0;6;0;0;4;0;0;0;0;0;2;0;16;4;8;4;0;2;0;6;2;2;0;4;6;2;2;4;2;0;2;2;8;0;0;0;4;0;8;2;0;0;6;2;4;0;4;0;8;0;6;0;0;0;2;0;0;0;2;2;0;0;4;0;0
restore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;4;0;4;2;10;2;8;2;8;2;16;0;2;4;2;0;8;4;2;6;0;0;2;0;4;0;8;4;2;0;4;0;6;4;2;2;0;0;0;2;6;0;2;12;2;0;0;4;2;0;0;0;4;0;0;2;4;0;0;0;0;0;0;2;0;2;6;0;0;0;0;4;0;2;0
@idph;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;4;2;4;2;2;0;0;2;2;2;4;0;6;8;0;2;0;2;2;2;6;6;2;2;0;2;2;2;4;4;4;0;2;2;2;0;0;6;4;2;0;0;4;0;0;0;0;0;10;0;0;0;2;0;4;0;2;2;0;0;0;0;2;0;2;0;0;0;0;2;0
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;4;0;2;0;0;2;0;0;0;0;0;0;4;2;6;0;4;2;0;0;0;6;0;0;4;0;0;0;0;0;2;4;2;6;4;2;0;4;2;2;0;0;0;2;8;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;4;0;2;4;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;4;0;2;6;6;2;0;0;0;0;0;0;6;0;6;0;2;0;0;0;4;2;8;0;2;2;0;0;0;2;0;2;4;2;2;2;0;6;6;0;0;0;2;2;2;6;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0
briefing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
las;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;6;0;10;10;0;6;8;14;0;4;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;8;0;0;0;0;12;8;0;0;0;0;0;0;0;4;0;0;10
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;4;2;4;2;4;0;0;2;0;0;0;6;0;4;4;2;0;4;0;2;0;0;10;2;2;0;2;2;2;6;2;0;0;2;0;0;2;0;2;0;0;2;0;0;4;0;0;4;2;2;0;4;0;2;0;0;0;0;2;0;2;2;2;2;0;0;0;0
para;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;14;8;0;4;14;16;0;10;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;10;0;0;0;0;8;8;0;0;0;0;0;0;0;10;4;0;4
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;4;2;0;0;4;0;0;0;6;0;2;2;4;0;2;0;0;0;2;8;2;0;0;0;4;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;6;2;0;0;8;0;0;0;0;2;0;0;0;2;0;0;0;2;4;6;0;0;0;0
face;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;6;0;0;0;4;0;0;0;0;0;4;0;2;4;2;0;2;14;4;0;0;2;0;8;4;0;0;0;0;0;0;0;4;2;0;2;0;0;2;2;2;0;2;0;2;0;2;0;0;0;8;2;0;0;4;2;0;0;0;0;2;0;0;2;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;10;2;0;0;2;0;0;0;4;0;4;0;4;4;0;2;0;0;6;8;6;0;0;2;0;0;0;4;0;2;0;2;0;2;0;2;2;0;0;0;2;0;8;0;2;2;2;0;2;2;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0
move;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;2;0;0;2;2;0;2;0;4;0;4;0;0;0;0;0;2;2;0;0;0;2;2;0;0;6;0;2;0;2;2;2;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;12;6;2;2;0;0;0;0;2;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;0;2;2;4;6;2;4;6;0;0;0;4;6;0;2;2;4;4;0;2;2;2;0;2;2;6;0;2;0;2;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
plan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;4;4;4;4;0;4;0;0;0;2;0;6;2;0;2;0;0;0;4;0;0;0;0;2;2;2;0;0;10;4;2;0;0;2;0;2;2;0;0;0;2;4;2;0;0;0;0;0;6;0;0;2;2;0;0;0;2;0;2;2
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;4;2;2;0;2;0;0;0;0;0;2;0;0;2;0;2;0;4;2;0;0;2;2;2;0;4;2;2;0;0;0;2;4;2;0;2;4;0;0;0;0;0;0;2;4;2;0;0;0;0;2;0
los;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;6;6;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;10;0;0;0;0;8;12;0;0;0;0;0;0;0;6;2;0;4
un;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;10;12;0;6;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;8;6;0;0;0;0;0;0;0;2;2;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;4;4;0;4;2;0;0;2;0;0;2;0;2;4;0;2;2;2;2;0;2;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;6;0;0;2;2;0;0;0;2;0;0;0;0;0
por;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;8;0;0;0;0;0;0;0;4;4;0;2
una;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;8;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;10;6;0;0;0;0;0;0;0;4;2;0;6
es;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;8;0;0;0;0;10;8;0;0;0;0;0;0;0;4;0;0;6
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;2;4;0;0;0;2;0;2;0;0;0;2;2;0;0;2;0;0;0;2;2;0;0;8;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0
con;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;4;4;0;0
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;2;0;4;0;2;2;4;4;2;2;2;0;0;2;0;2;0;0;0;0;0;0;0;2;2;2;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;0;2;0;2;0;2;4;0;2;2;2;2;2;0;0;6;2;0;0;0;2;0;0;4;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;4;2;4;0;0;2;0;0;0;2;2;2;0;2;0;0;0;2;0;8;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;2;2;0;0;2;0;2;0;0
community;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;8;4;0;0;0;2;2;4;4;2;0;0;0;0;2;0;2;0;4;0;0;0;0;8;0;2;0;0;2;2;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0
safety;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;4;0;0;0;2;0;4;4;2;0;0;2;4;4;2;2;0;0;2;0;2;0;0;0;0;4;0;0;0;2;0;4;0;0;0;0;2;4;0;0;0;0;0;0;2;0
contact;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;2;0;0;2;0;2;2;0;0;2;16;0;0;0;2;0;4;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;2;0
reopen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;2;4;0;2;2;6;2;2;8;0;2;0;4;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;4;0;2;0;2;0;0;0;0;4;0;0;2;0;4;0;2;0;2;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;4;0;0;0;2;2;2;0;0;2;2;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;2;2;2;2;0;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0
#covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;2;2;0;0;6;0;0;4;4;0;0;0;4;0;2;4;0;2;0;0;2;6;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0
family;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;2;0;2;2;0;0;2;0;4;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0
fase;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;6;0;0;0;0;0;0;0;8;4;0;2
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;6;0;4;0;2;2;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;4;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;2;0;2;0;2;0;0;0;4;0;0;0;4;2;0;0;2;0;0;2;4;0;2;0;2;0;0
services;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;2;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
everyone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
weeks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;4;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;0;0;4;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0
