;hawaii;#covid19;state;health;2020;news;community;dr;director;conference;live;#coronavirus;working;people;proclamation;watch;department;#hawaiicovid19;anderson;public;#live;bruce;#higov;#sustainablehawaii;emergency;help;together;hawaiis;new;work;travel;@higov_health;may;businesses;covid19;reopening;care;home;recovery;families;join;business;provide;march;travelers;residents;states;quarantine;questions;part;continue;speakers;services;reopen;safety;discuss;guest;dept;support;spread;testing;safe;#sots2020;efforts;mahalo;june;economic;resources;signed;crisis;details;information;ensure;interisland;essential;form;supplementary;county;flown;via;president;governor;needs;unemployment;facebook;update;operations;contact;plan;latest;meet;protect;starting;stay;taking;sakahara;tomorrow;visitors;ask;process
#hawaiicovid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;2;0;2;4;4;0;0;4;6;2;2;4;2;0;4;0;0;0;6;4;4;0;6;2;2;4;4;2;0;4;2;4;4;2;4;2;4;0;4;0;0;2;0;0;0;2;6;4;6;4;2;2;2;2;6;0;0;2;0;0;0;2;2;0;2;2;0;2;0;2;4;0;2;0;6;2;4;2
anderson;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;36;0;0;2;0;0;0;4;0;6;20;2;0;2;0;2;0;4;2;0;2;0;0;0;0;4;2;0;0;0;20;2;0;0;10;18;20;0;0;4;0;0;2;0;2;6;0;0;0;0;4;0;4;0;0;0;0;0;0;12;8;0;4;0;2;0;6;0;2;0;0;2;0;0;8;2;0;0;2
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;2;2;2;0;2;6;4;2;2;2;0;2;0;2;2;0;0;0;0;2;0;0;0;2;0;4;2;0;4;2;4;2;2;0;0;0;2;0;2;0;2;6;0;2;2;4;2;0;0;0;0;0;0;0;0;2;0;0;2;0;4;2;0;0;0;0;0;2;0;4;2;0;0;0
#live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4;0;0;0;8;2;0;8;0;4;0;2;4;8;0;6;0;0;0;0;0;8;0;0;2;2;0;0;2;0;2;0;4;4;0;0;2;2;0;2;2;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;10;2;0;0;0;10;0;0;0;0;4;6;4;0;6;2
bruce;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;6;16;0;0;2;0;0;0;4;2;0;2;0;4;0;0;2;2;0;0;0;22;2;0;0;8;20;20;0;0;0;0;0;2;0;2;6;0;0;0;0;4;0;4;0;0;0;0;0;0;10;10;0;4;0;0;0;4;0;2;0;0;2;0;0;10;2;0;0;0
#higov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;4;4;4;6;0;0;0;4;0;0;4;2;0;0;0;2;0;2;2;2;4;0;0;2;2;0;0;2;2;0;0;2;0;0;0;0;0;2;6;0;2;0;2;0;0;0;6;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0
#sustainablehawaii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;8;2;0;2;0;0;0;4;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;24;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;0;6;6;6;4;2;0;4;4;2;2;2;2;2;2;0;2;0;0;0;2;4;8;0;0;2;2;2;2;0;0;0;2;0;4;2;0;10;0;4;0;0;2;2;0;10;0;0;0;0;0;2;0;2;4;4;0;0;0;2;0;2;0;0;0;2;2;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;2;0;2;2;4;6;2;0;4;0;0;0;2;2;2;2;4;0;0;0;0;2;0;0;6;4;0;2;0;2;2;0;0;6;0;2;4;6;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;8;0;2;0;0;2;0;2;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;12;4;0;0;4;0;0;0;2;0;2;0;2;0;0;2;4;0;2;0;6;8;0;2;4;0;0;0;0;6;4;2;4;0;0;0;0;0;0;0;6;0;0;4;2;2;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;2;4;0;2;0;0;0;0;2;0
hawaiis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;2;6;2;8;0;2;6;4;0;4;4;2;0;8;0;0;0;0;0;0;0;6;2;0;0;2;0;2;0;2;2;6;2;2;4;2;0;2;0;0;4;0;0;2;0;2;0;0;2;0;0;0;2;4;4;2;4;2;0;4;0;2;0;0;2;4;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;0;4;4;2;0;0;2;2;2;0;0;2;0;0;4;0;2;0;0;0;0;2;2;0;2;0;2;2;4;2;0;2;2;0;0;0;2;0;0;0;6;0;2;0;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;4;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;2;0;2;12;0;2;0;0;2;2;2;4;0;0;0;2;10;0;2;6;0;0;0;0;2;4;2;2;2;2;0;0;0;0;6;4;0;0;4;0;10;0;6;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;12;0;0;0;2;0;0
travel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;4;2;2;0;0;0;0;2;0;6;4;0;10;0;2;0;0;0;2;4;2;0;0;0;2;4;4;0;0;0;2;0;2;0;0;0;0;2;10;2;6;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;2;4;2;4
@higov_health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;0;0;2;6;0;0;0;0;0;2;0;4;0;0;8;2;0;0;6;6;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;8;0;0;2;4;2;0;2;0;4;0;0;0;0;4;2;2;0;0;2
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;4;6;2;2;0;0;0;2;2;2;2;0;2;0;0;0;4;0;2;0;0;0;2;2;0;0;0;0;0;0;2;4;4;4;0;2;0;2;2;4;0;2;0;0;2;2;0;0;12;2;2;0;0;0;2;2;2;4;0;0;2;0;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;2;0;0;0;2;2;0;2;2;0;0;2;0;0;0;0;20;4;2;0;0;0;0;0;0;0;0;0;6;0;0;2;0;6;0;8;0;0;0;2;4;0;0;0;2;2;2;2;2;14;2;2;0;0;0;4;2;2;0;0;0;2;0
covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;4;4;0;0;2;0;2;0;0;0;2;0;4;0;0;0;0;2;8;4;2;0;0;4;0;0;2;4;2;0;0;0;0;2;4;2;2;0;0;2;2;4;0;2;4;4;0;0;0;2;0;0;0;0;0;2;2;0;2;0
reopening;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;0;0;0;0;0;0;2;2;0;2;0;0;0;0;4;2;2;0;0;0;2;0;6;0;0;0;4;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;6;4;2;2;0;0;2;0;0;2;0;0;0;2;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;4;0;0;0;0;0;4;2;2;0;0;0;0;0;4;2;0;0;0;2;2;0;0;0;0;0;0;2;6;2;0;0;0;4;0;0;2;0;0;2;0;4;0;0;0;2;0;0;0;0;0;0;0;0
